SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,
21, 有 兴趣 联系 email : em@1,1,email,邮箱,,,,,,,,, 有 兴趣 请联系邮箱 : em@1,3,1,2,[0_ 1_ 2],[3],[4_ 5],,,,
22, 精装 修 家具 全 free 无线 上网 !,1,free,免费,,,,,,,,, 精装 修 家具 全 免费无线 上网 !,6,1,1,[0_ 1_ 2_ 3_ 5_ 6],[4],[7],,,,
23, oakland 的 干净 精致 好 房 您 不 能 错过 ！,1,oakland,奥克兰,,,,,,,,, 奥克兰 的 干净 精致 好 房 您 不 能 错过 ！,9,1,1,[1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9],[0],[10],,,,
24, 停车 ： we offer free outdoor/off-street parking ， $ 20/month reserved outdoor parking ， or$55/month reserved garage parking .,4,we offer free,我们提供免费,parking,停车场,reserved outdoor parking,预留室外停车场,reserved garage parking,预留车库,,, 停车：我们提供免费室外/路外停车场，20美元每月的预留室外停车位和55美元每月的预留车库。,1,10,8,[0],[2_ 3_ 4_ 6_ 10_ 11_ 12_ 15_ 16_ 17],[1_ 5_ 7_ 8_ 9_ 13_ 14_ 18],,,,
26, （ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,1,share,共用,,,,,,,,, （ 对比 其他 地方 ， 可能 和 很多 人 共用， 并且 还 很 贵 ！,11,1,4,[1_ 2_ 3_ 5_ 6_ 7_ 8_ 11_ 12_ 13_ 14],[9],[0_ 4_ 10_ 15],,,,
27, ） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,1,nice,好,,,,,,,,, ） 房东 非常 无敌 好还 会 帮忙 丢 垃圾 ！,8,1,2,[1_ 2_ 3_ 5_ 6_ 7_ 8_ 9],[4],[0_ 10],,,,
28, 二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,完整的,,,,,,,,, 二 楼 是 三 间 卧室 和 一 个设施完全的卫生间 。,10,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 10],[9],[11],,,,
30, 这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1.,1,apartment,公寓,,,,,,,,, 这 附近 的 公寓 的 租金 至少 都 是 这个 房子 的,11,1,1,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 11],[3],[12],,,,
31, 门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,公交车,downtown,市中心,,,,,,, 门口 有 公交车到 中国 超市 ， 餐馆 和 市中心.,7,2,2,[0_ 1_ 3_ 4_ 5_ 7_ 8],[2_ 9],[6_ 10],,,,
32, 户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,客厅,dining room,餐厅,,,,,,, 户型 ： 一 楼 是 超大 客厅 ， 餐厅及 厨房 ；,7,4,3,[0_ 2_ 3_ 4_ 5_ 11_ 12],[6_ 7_ 9_ 10],[1_ 8_ 13],,,,
34, 长 租 all gone ！,1,all gone,全部结束,,,,,,,,, 长租已全部租满。,2,2,1,[0_ 1],[2_ 3],[4],,,,
35, room a$600 ( 双 人大 床 ） 已 租 ！,1,room,房间,,,,,,,,, 含双人大床房的房间已租。,5,1,4,[3_ 4_ 5_ 7_ 8],[0],[1_ 2_ 6_ 9],,,,
36, 暑期 短 租 还 available 哦 。,1,available,可用,,,,,,,,, 暑期短租仍可预订。,5,1,1,[0_ 1_ 2_ 3_ 5],[4],[6],,,,
37, 有 车库 ， drive way parking 和 street parking 。,2,drive way parking,私人车道,street parking,路边停车区,,,,,,, 有车库，私人车道和路边停车道。,3,5,2,[0_ 1_ 6],[3_ 4_ 5_ 7_ 8],[2_ 9],,,,
39, 有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,pa,宾夕法尼亚州,,,,,,, 有 宠物可以 商量， 正规 物业 管理 ， 宾夕法尼亚州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,15,2,4,[0_ 2_ 3_ 4_ 5_ 6_ 9_ 10_ 11_ 12_ 14_ 15_ 16_ 18_ 19],[1_ 8],[7_ 13_ 17_ 20],,,,
40, 欢迎 email 联系 咨询 。,1,email,发邮件,,,,,,,,, 欢迎发邮件联系咨询。,3,1,1,[0_ 2_ 3],[1],[4],,,,
45, - 你 会 有 queen size 的 床 ， 衣 ， 柜 ， 书桌 ， 椅子 在 你 的 房间 。,1,queen size,标准双人,,,,,,,,, - 你 会 有  标准双人床 ， 衣 ， 柜 ， 书桌 ， 椅子 在 你 的 房间 。,13,2,6,[1_ 2_ 3_ 6_ 7_ 9_ 11_ 13_ 15_ 16_ 17_ 18_ 19],[4_ 5],[0_ 8_ 10_ 12_ 14_ 20],,,,
46, ( 由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,2,google drive,谷歌云盘,link,链接,,,,,,, ( 由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 谷歌云盘的 链接观看 照片 ， 谢谢 ！,22,3,4,[1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 15_ 17_ 18_ 19_ 22_ 24_ 25_ 27],[20_ 21_ 23],[0_ 16_ 26_ 28],,,,
47, 公寓 位置 方便 ， 在 market district 超市 附近 。,1,market district,市场区,,,,,,,,, 公寓 位置 方便 ， 在 市场区超市 附近 。,6,2,2,[0_ 1_ 2_ 4_ 7_ 8],[5_ 6],[3_ 9],,,,
49, oakland 有 一 栋 三 层 楼 六 个 卧室 (,1,oakland,奥克兰,,,,,,,,, oakland 有 一 栋 三 层 楼 六 个 卧室 (,9,1,1,[1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9],[0],[10],,,,
50, 小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很 频繁 。,1,shuttle,班车,,,,,,,,, 小区 居民 是 学生 和 年轻 学者 ， 学校 的 班车从 门前 经过 ， 而且 很 频繁 。,15,1,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 9_ 11_ 12_ 13_ 15_ 16_ 17],[10],[7_ 14_ 18],,,,
51, 联系 电话 : pn-0 ， email : em@3,1,email,电子邮箱,,,,,,,,, 联系 电话 : pn-0 ， 电子邮箱: em@3,2,1,5,[0_ 1],[5],[2_ 3_ 4_ 6_ 7],,,,
52, squirrel hill 好 房 短 租 ， 租 的 时间 越 长 越好 。,1,squirrel hill,松鼠丘,,,,,,,,, 松鼠丘好 房 短 租 ， 租 的 时间 越 长 越好 。,10,2,2,[2_ 3_ 4_ 5_ 7_ 8_ 9_ 10_ 11_ 12],[0_ 1],[6_ 13],,,,
53, 周边 ： 步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店 。,2,giant eagle,巨鹰超市,rite aid,来德爱,,,,,,, 周边 ： 步行 五 分钟 到 巨鹰超市， 十 分钟 到 熊猫 超市 和 来德爱药店 。,12,4,3,[0_ 2_ 3_ 4_ 5_ 9_ 10_ 11_ 12_ 13_ 14_ 17],[6_ 7_ 15_ 16],[1_ 8_ 18],,,,
54, 所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,1,return,退还,,,,,,,,, 所有 想 寄 想 退化的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,13,1,2,[0_ 1_ 2_ 3_ 5_ 6_ 8_ 9_ 10_ 11_ 12_ 13_ 14],[4],[7_ 15],,,,
55, 免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,1,view,景观,,,,,,,,, 免费 送 顶楼 景观和 顶楼 的 阳光 普照 !,8,1,1,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8],[3],[9],,,,
56, 地址 位 于 beacon st.,1,beacon,灯塔,,,,,,,,, 地址位于灯塔路,3,1,1,[0_ 1_ 2],[3],[4],,,,
57, 后院 有 私家 车库 ， beacon st .,1,beacon st,灯塔路,,,,,,,,, 后院 有 私家 车库 ， 灯塔路。,4,2,2,[0_ 1_ 2_ 3],[5_ 6],[4_ 7],,,,
58, bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,,,,,,,,, 浴室: 二 楼 和 地下室 各 有 一 个 卫生间,9,1,1,[2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 10],[0],[1],,,,
61, 走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品 。,1,cvs,CVS,,,,,,,,, 走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品 。,11,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 8_ 9_ 10_ 11_ 12],[6],[7_ 13],,,,
62, 想 租 的 同学 可以 看看 论坛 里 其他 发 sherwood 的 照片 up up up !,2,sherwood,谢尔伍德,up up up,顶,,,,,,, 想 租 的 同学 可以 看看 论坛 里 其他 发 谢尔伍德的 照片，顶！,12,4,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 11_ 12],[10_ 13_ 14_ 15],[16],,,,
63, 最后 up 一次 ～ up,2,up,顶,up,顶,,,,,,, 最后顶一次~ 顶！,2,2,1,[0_ 2],[1_ 4],[3],,,,
64, 适合 couple 或 单身 居住 。,1,couple,情侣,,,,,,,,, 适合 情侣或 单身 居住 。,4,1,1,[0_ 2_ 3_ 4],[1],[5],,,,
65, 暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用 。,1,full size,单人尺寸,,,,,,,,, 暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， 单人 床 都 可以 用 。,18,2,3,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 18_ 19_ 20_ 21],[16_ 17],[7_ 15_ 22],,,,
67, 坡度 大 ， 不 适合 自行车 骑 行 联系 方式 ： 房东 steve 邮箱 ： em@4,1,steve,史蒂夫,,,,,,,,, 坡度 大 ， 不 适合 自行车 骑 行 联系 方式 ： 房东 史蒂夫邮箱 ： em@4,11,1,4,[0_ 1_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 11_ 13],[12],[2_ 10_ 14_ 15],,,,
68, 有 车库 ， off street parking .,1,off street parking,路外停车场,,,,,,,,, 有 车库 ，路外停车场,2,3,2,[0_ 1],[3_ 4_ 5],[2_ 6],,,,
69, 要求 ： no smoking ， no pets ， no parties .,3,no smoking,禁烟,no pets,禁止宠物,no parties,禁止派对,,,,, 要求：禁止吸烟，禁止宠物入内，禁止举办派对。,1,6,4,[0],[2_ 3_ 5_ 6_ 8_ 9],[1_ 4_ 7_ 10],,,,
70, html 继续 有效 。,1,html,网页,,,,,,,,, 网页继续有效。,2,1,1,[1_ 2],[0],[3],,,,
72, kitchen 副本 .,1,kitchen,厨房,,,,,,,,, 厨房副本,1,1,1,[1],[0],[2],,,,
74, 【 吃 货 福音 】 附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle 。,4,sichuan gourmet,四川美食,every day noodle,每日面食,panda,熊猫,giant eagle,巨鹰超市,,, 【 吃 货 福音 】 附近 有 四川美食 ， 台湾 味 ，每日面食， 各 种 小吃 ， 以及 熊猫中 超  ， 巨鹰超市。,13,8,8,[1_ 2_ 3_ 5_ 6_ 10_ 11_ 17_ 18_ 19_ 21_ 22_ 23],[7_ 8_ 13_ 14_ 15_ 24_ 26_ 27],[0_ 4_ 9_ 12_ 16_ 20_ 25_ 28],,,,
77, # 家具 齐全 : 房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,2,double size,双人床,walk in closet,步入式衣柜,,,,,,, # 家具 齐全 : 房间 有 双人床 ， 步入式衣柜， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,15,5,10,[1_ 2_ 4_ 5_ 8_ 14_ 15_ 17_ 19_ 21_ 24_ 25_ 26_ 27_ 28],[6_ 7_ 10_ 11_ 12],[0_ 3_ 9_ 13_ 16_ 18_ 20_ 22_ 23_ 29],,,,
78, house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,4,house,房子,shared kitchen,公用,dining room,餐厅,share,共用,,, 房子 里面 有 一 个 公共厨房和 餐厅， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用。,18,6,3,[1_ 2_ 3_ 4_ 7_ 11_ 12_ 13_ 14_ 15_ 17_ 18_ 19_ 20_ 21_ 22_ 23_ 24],[0_ 5_ 6_ 8_ 9_ 25],[10_ 16_ 26],,,,
79, 【 其他 】 包 utility fee ， 价格 和 时间 可 议 。,1,utility fee,物业费,,,,,,,,, 【 其他 】 包物业费 ， 价格 和 时间 可 议 。,7,2,4,[1_ 3_ 7_ 8_ 9_ 10_ 11],[4_ 5],[0_ 2_ 6_ 12],,,,
80, 一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,1,doorman,门卫,,,,,,,,, 一 层 有 门卫帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,14,1,2,[0_ 1_ 2_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 15],[3],[9_ 16],,,,
82, 周围 走路 可 达 whole food ， target ， trade jose 。,3,whole food,全食超市,target,塔吉特商店,trade jose,乔氏超市,,,,, 周围 走路 可 达 全食超市，塔吉特商店，乔氏超市 。,4,5,3,[0_ 1_ 2_ 3],[4_ 5_ 7_ 9_ 10],[6_ 8_ 11],,,,
87, 房子 在 bloom field bridge 旁边 。,1,bloom field bridge,布卢姆菲尔德桥,,,,,,,,, 房子在布卢姆菲尔德桥旁边,3,3,1,[0_ 1_ 5],[2_ 3_ 4],[6],,,,
89, 八月 开始 可 签 一 年 lease 。,1,lease,租约,,,,,,,,, 八月 开始 可 签 一 年 租约。,6,1,1,[0_ 1_ 2_ 3_ 4_ 5],[6],[7],,,,
90, 性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,1,nice,好,,,,,,,,, 性格 非常 好，好 相处 ， 绝对 不 会 打扰 你 。,9,1,2,[0_ 1_ 3_ 4_ 6_ 7_ 8_ 9_ 10],[2],[5_ 11],,,,
91, ［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,1,doorman,门卫,,,,,,,,, ［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫， 收发 快递 也 方便 。,10,1,5,[1_ 3_ 4_ 5_ 7_ 8_ 11_ 12_ 13_ 14],[9],[0_ 2_ 6_ 10_ 15],,,,
92, 本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 studio 。,1,studio,带卫浴和厨房的单间,,,,,,,,, 本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 带卫浴和厨房的单间。,17,1,3,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 15_ 17_ 18],[19],[4_ 16_ 20],,,,
94, 三 楼 是 一 卧 一 卫 的 studio 。,1,studio,公寓,,,,,,,,, 三 楼 是 一 卧 一 卫 的 公寓。,8,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7],[8],[9],,,,
95, up up up up up 房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！,1,up up up up up,顶,,,,,,,,, 顶！房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！,17,5,3,[5_ 6_ 7_ 8_ 9_ 10_ 11_ 13_ 14_ 15_ 16_ 18_ 19_ 20_ 21_ 22_ 23],[0_ 1_ 2_ 3_ 4],[12_ 17_ 24],,,,
96, up up 请问 你 是 男生 还是 女生 ？,1,up up,顶,,,,,,,,, 顶！ 请问 你 是 男生 还是 女生 ？,6,2,1,[2_ 3_ 4_ 5_ 6_ 7],[0_ 1],[8],,,,
97, 步行 到 walnut street ， whole foods ， 公交 到 giant eagle ， target 也 很 方便 。,4,walnut street,沃尔纳特街,whole foods,全食超市,giant eagle,巨鹰超市,target,塔吉特商店,,, 步行 到 沃尔纳特街，全食超市， 公交 到 巨鹰超市，塔吉特商店 也 很 方便 。,7,7,4,[0_ 1_ 8_ 9_ 14_ 15_ 16],[2_ 3_ 5_ 6_ 10_ 11_ 13],[4_ 7_ 12_ 17],,,,
98, 公寓 由 物业 walnut capital 管理 ， 服务 管理 都 很 好 。,1,walnut capital,沃尔纳特资本,,,,,,,,, 公寓 由 物业 沃尔纳特公司 管理 ， 服务 管理 都 很 好 。,9,2,2,[0_ 1_ 2_ 5_ 7_ 8_ 9_ 10_ 11],[3_ 4],[6_ 12],,,,
99, an open-air shopping 经历 。,2,an,一次,shopping,购物,,,,,,, 一次露天购物经历。,1,2,2,[3],[0_ 2],[1_ 4],,,,
100, oakland ave pittsburgh 15213$700 煤气 水电 网 全 包 。,1,oakland ave pittsburgh,匹兹堡 奥克兰大道,,,,,,,,, 匹兹堡，奥克兰大道 15213，700美元 煤气 水电 网 全 包 。,5,3,2,[4_ 5_ 6_ 7_ 8],[0_ 1_ 2],[3_ 9],,,,
101, 到 giant eagle ， lotus 可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去 。,2,giant eagle,巨鹰超市,lotus,莲花超市,,,,,,, 到 巨鹰超市，联华超市可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去 。,12,3,3,[0_ 5_ 6_ 7_ 8_ 9_ 11_ 12_ 13_ 14_ 15_ 16],[1_ 2_ 4],[3_ 10_ 17],,,,
102, （ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,1,share,共用,,,,,,,,, （ 对比 其他 地方 ， 可能 和 很多 人 共用， 并且 还 很 贵 ！,11,1,4,[1_ 2_ 3_ 5_ 6_ 7_ 8_ 11_ 12_ 13_ 14],[9],[0_ 4_ 10_ 15],,,,
104, 有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下 ： email : em@5,1,email,电子邮箱,,,,,,,,, 有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下 ： 电子邮箱 : em@5,11,1,4,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 9_ 10_ 11],[13],[8_ 12_ 14_ 15],,,,
105, 公寓 位 在 murray ave .,1,murray ave,梅瑞大道,,,,,,,,, 公寓 位于梅瑞大道.,3,2,1,[0_ 1_ 2],[3_ 4],[5],,,,
106, 家 对面 就是 cvs ！,1,cvs,cvs,,,,,,,,, 家对面就是CVS,3,1,1,[0_ 1_ 2],[3],[4],,,,
107, 附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,街区,,,,,,,,, 附近 街区非常 安静 也 非常 安全 ， 临近 富人 区 。,9,1,2,[0_ 2_ 3_ 4_ 5_ 6_ 8_ 9_ 10],[1],[7_ 11],,,,
108, 房子 目前 half furnished ，,1,half furnished,半装,,,,,,,,, 房子 目前装修了一半。,2,2,1,[0_ 1],[2_ 3],[4],,,,
110, 房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,1,fully furnished,全装,,,,,,,,, 房子 目前 几乎 装修完成， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,16,2,7,[0_ 1_ 2_ 3_ 7_ 8_ 10_ 12_ 14_ 15_ 16_ 18_ 20_ 21_ 22_ 23],[4_ 5],[6_ 9_ 11_ 13_ 17_ 19_ 24],,,,
119, 附近 有 cvs ， 餐厅 也 比较 多 。,1,cvs,cvs,,,,,,,,, 附近 有 cvs ， 餐厅 也 比较 多 。,6,1,2,[0_ 1_ 4_ 5_ 6_ 7],[2],[3_ 8],,,,
121, 想 找 1-2 间 带 家具 的 house room 或者 apartment room ， 2018.,2,house room,房屋内单间,apartment room,公寓单间,,,,,,, 想 找 1-2 间 带 家具 的房屋内单间 或者 公寓单间， 2018.,7,4,3,[0_ 1_ 3_ 4_ 5_ 6_ 9],[7_ 8_ 10_ 11],[2_ 12_ 13],,,,
123, 步行 / 公交 去 giant eagle/aldi/target 超市 10-15 min .,2,giant,巨鹰超市/阿尔迪超市/塔吉特商店,min,分钟,,,,,,, 步行 / 公交 去 巨鹰/阿尔迪/塔吉特 超市 10-15分钟 .,4,2,4,[0_ 2_ 3_ 6],[4_ 8],[1_ 5_ 7_ 9],,,,
124, 房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,1,house,房屋,,,,,,,,, 房间 是 一 套房子的 顶层 ， 非常 宽敞 。,8,1,2,[0_ 1_ 2_ 3_ 5_ 6_ 8_ 9],[4],[7_ 10],,,,
