SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,,,,,
35, 楼 主 你 是 不 是 在 sq hill ？,1,sq hill,sq （松鼠）山,,,,,,,,, 楼 主 你 是 不 是 在 松鼠山？,7,2,1,[0_ 1_ 2_ 3_ 4_ 5_ 6],[7_ 8],[9],,,,,
36, 车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,1,clean title,干净标题,,,,,,,,, 车子 状况 非常 好 ，干净标题， 无 事故 ， 省心 省 油 。,9,2,4,[0_ 1_ 2_ 3_ 8_ 9_ 11_ 12_ 13],[5_ 6],[4_ 7_ 10_ 14],,,,,
37, 没有 任何 故障 ， 车辆 非常 省心 ， 非常 reliable 。,1,reliable,可靠的,,,,,,,,, 没有 任何 故障 ， 车辆 非常 省心 ， 非常 可靠。,7,1,3,[0_ 1_ 2_ 4_ 5_ 6_ 8],[9],[3_ 7_ 10],,,,,
38, 大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 family plan 。,1,family plan,家庭套餐,,,,,,,,, 大家 好 ， 我 是 匹 大学生 ， 希望 加入 一 个 手机 的 家庭套餐。,12,2,3,[0_ 1_ 3_ 4_ 5_ 6_ 8_ 9_ 10_ 11_ 12_ 13],[14_ 15],[2_ 7_ 16],,,,,
39, cell : pn-1 ( 电话 或 短信 均 可 ),1,cell,电话,,,,,,,,, 电话 : pn-1 ( 电话 或 短信 均 可 ),5,1,4,[4_ 5_ 6_ 7_ 8],[0],[1_ 2_ 3_ 9],,,,,
40, cell : pn-1 ( 电话 或 短信 均 可 ),1,cell,电话,,,,,,,,, 电话 : pn-1 ( 电话 或 短信 均 可 ),5,1,4,[4_ 5_ 6_ 7_ 8],[0],[1_ 2_ 3_ 9],,,,,
41, clean title ， 随时 可 交 车,1,clean title,干净标题,,,,,,,,, 干净标题 ， 随时 可 交 车,4,2,1,[3_ 4_ 5_ 6],[0_ 1],[2],,,,,
42, 微波炉 搬家 sale,1,sale,出售,,,,,,,,, 搬家 出售微波炉,2,1,0,[0_ 1],[2],[],,,,,
43, 无线 激光 打印机 brother 牌子 可以 复印 ， 扫描 ！,1,brother,兄弟,,,,,,,,, 无线 激光 打印机 兄弟牌 可以 复印 ， 扫描 ！,7,1,2,[0_ 1_ 2_ 4_ 5_ 6_ 8],[3],[7_ 9],,,,,
44, 有 兴趣 请 联系 rent em@1,1,rent,出租,,,,,,,,, 有 兴趣 请 联系 rent em@1,4,1,1,[0_ 1_ 2_ 3],[4],[5],,,,,
45, 使用 至今 没有 任何 事故 记录 ， clean title 。,1,clean title,干净标题,,,,,,,,, 使用 至今 没有 任何 事故 记录 ， 干净标题 。,6,2,2,[0_ 1_ 2_ 3_ 4_ 5],[7_ 8],[6_ 9],,,,,
46, 写 paper 写 作业 必备 。,1,paper,文章,,,,,,,,, 写 文章 写 作业 必备 。,4,1,1,[0_ 2_ 3_ 4],[1],[5],,,,,
47, 有 兴趣 请 先 邮件 联系 rent em@1,1,rent,出租,,,,,,,,, 有 兴趣 请 先 邮件 联系 rent em@1,6,1,1,[0_ 1_ 2_ 3_ 4_ 5],[6],[7],,,,,
48, 豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,2,suv,城市功能越野车,pit,匹兹堡,,,,,,, 豪华城市功能越野车 包车 往返 匹兹堡 机场 及 匹兹堡 市区,7,2,0,[0_ 2_ 3_ 5_ 6_ 7_ 8],[1_ 4],[],,,,,
49, 豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,2,suv,城市功能越野车,pit,匹兹堡,,,,,,, 豪华城市功能越野车 包车 往返 匹兹堡 机场 及 匹兹堡 市区,7,2,0,[0_ 2_ 3_ 5_ 6_ 7_ 8],[1_ 4],[],,,,,
50, 联系 电话 ： pn-2 email : em@2,1,email,电子邮箱,,,,,,,,, 联系 电话 ： pn-2 电子邮箱 : em@2,2,1,4,[0_ 1],[4],[2_ 3_ 5_ 6],,,,,
51, 小 电风扇 已 出 ， 屏风 on hold,1,on hold,等待,,,,,,,,, 小 电风扇 已 出 ， 屏风待出,5,2,1,[0_ 1_ 2_ 3_ 5],[6_ 7],[4],,,,,
52, hello 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,1,hello,你好,,,,,,,,, 你好 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,10,1,2,[1_ 2_ 3_ 4_ 5_ 6_ 8_ 9_ 10_ 11],[0],[7_ 12],,,,,
53, 最好 在 north oakland,1,north oakland,北奥克兰,,,,,,,,, 最好 在 北奥克兰,2,2,0,[0_ 1],[2_ 3],[],,,,,
54, 本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,1,dealer,卖家,,,,,,,,, 本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪卖家 店 定期 保养 ， 车况 好 。,19,1,3,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 16_ 17_ 18_ 20_ 21],[15],[5_ 19_ 22],,,,,
55, 联系 电话 ： pn-2 email : em@2,1,email,电子邮箱,,,,,,,,, 联系 电话 ： pn-2 电子邮箱 : em@2,2,1,4,[0_ 1],[4],[2_ 3_ 5_ 6],,,,,
56, amazon fire tv stick ， 原价 $ 39.,1,amazon fire tv stick,亚马逊火焰电视棒,,,,,,,,, 亚马逊火焰电视棒 ， 原价 $ 39.,1,4,3,[5],[0_ 1_ 2_ 3],[4_ 6_ 7],,,,,
57, 宜家 立柜 / 书柜 ( like new ) : $25 ( multiple available ),2,like new,半新,multiple available,多个可得,,,,,,, 宜家 立柜 / 书柜 ( 半新 ) : $25 ( 多个可得 ),3,4,7,[0_ 1_ 3],[5_ 6_ 11_ 12],[2_ 4_ 7_ 8_ 9_ 10_ 13],,,,,
58, 地址 ： frick park,1,frick park,弗里克公园,,,,,,,,, 地址 ：弗里克公园,1,2,1,[0],[2_ 3],[1],,,,,
59, 我 住 n craig st 。,1,n craig st,北克列戈街,,,,,,,,, 我 住 北克列戈街 。,2,3,1,[0_ 1],[2_ 3_ 4],[5],,,,,
60, 以上 queen size 已 出 啦,1,queen size,大号尺寸的,,,,,,,,, 以上 大号尺寸的 已 出 啦,4,2,0,[0_ 3_ 4_ 5],[1_ 2],[],,,,,
61, 本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,1,dealer,卖家,,,,,,,,, 本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 的专卖 店 定期 保养 ， 车况 好 。,19,1,3,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 8_ 9_ 10_ 11_ 12_ 13_ 14_ 16_ 17_ 18_ 20_ 21],[15],[5_ 19_ 22],,,,,
62, 求购 bread toaster 一 个 ！,1,bread toaster,烤面包机,,,,,,,,, 求购烤面包机一 个 ！,3,2,1,[0_ 3_ 4],[1_ 2],[5],,,,,
63, cloth horse 是 啥 啊 楼 主,1,cloth horse,晾衣架,,,,,,,,, 晾衣架 是 啥 啊 楼 主,5,2,0,[2_ 3_ 4_ 5_ 6],[0_ 1],[],,,,,
64, 可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 learner permit 。,1,learner permit,学习者许可证,,,,,,,,, 可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 学习者许可证。,11,2,2,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 9_ 10_ 11],[12_ 13],[7_ 14],,,,,
65, 平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 clean title 可 送 aux 线 手机 支架,2,clean title,干净标题,aux,辅助接口,,,,,,, 平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 干净标题 可 送 辅助接口 线 手机 支架,15,3,0,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 9_ 12_ 13_ 15_ 16_ 17],[10_ 11_ 14],[],,,,,
66, 因 relocate 需要 ， 出手 小车 ~,1,relocate,搬家,,,,,,,,, 因 搬家 需要 ， 出手 小车 ~,4,1,2,[0_ 2_ 4_ 5],[1],[3_ 6],,,,,
67, 自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 coupe ， 2.,1,coupe,双开门车,,,,,,,,, 自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 双开门车 ， 2.,10,1,6,[0_ 1_ 3_ 4_ 5_ 7_ 8_ 9_ 11_ 13],[14],[2_ 6_ 10_ 12_ 15_ 16],,,,,
68, 全新 gre og$20,1,gre,研究生标准考试,,,,,,,,, 全新 研究生标准考试 官方指导书$20,1,1,1,[0],[1],[2],,,,,
69, 物品 condition 大部分 excellent to like new .,2,condition,状态,excellent to like new,完美到较新,,,,,,, 物品状态大部分完美到较新 .,2,5,1,[0_ 2],[1_ 3_ 4_ 5_ 6],[7],,,,,
70, 带 三 档 fan control ，,1,fan control,风扇控制,,,,,,,,, 带 三 档风扇控制 ，,3,2,1,[0_ 1_ 2],[3_ 4],[5],,,,,
71, front ， top ， bottom 都 有 dust filter ，,4,front,前面,top,上,bottom,下,dust filter,粉尘过滤器,,, 前面，上面 ， 下面 都 有 粉尘过滤器 ，,2,5,3,[5_ 6],[0_ 2_ 4_ 7_ 8],[1_ 3_ 9],,,,,
72, 出售 二手 full size 床 ！,1,full size,全尺寸大小,,,,,,,,, 出售 二手 全尺寸大小的 床 ！,3,2,1,[0_ 1_ 4],[2_ 3],[5],,,,,
73, 对 您 的 tv stand 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！,1,tv stand,电视站脚,,,,,,,,, 对 您 的 电视站脚 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！,14,2,7,[0_ 1_ 2_ 5_ 7_ 8_ 9_ 10_ 12_ 13_ 14_ 15_ 18_ 21],[3_ 4],[6_ 11_ 16_ 17_ 19_ 20_ 22],,,,,
74, 包含 ： 电 吉他 ， 音箱 ， cable ， 输入 3.,1,cable,线,,,,,,,,, 包含 ： 电 吉他 ， 音箱 ， 线， 输入 3.,5,1,5,[0_ 2_ 3_ 5_ 9],[7],[1_ 4_ 6_ 8_ 10],,,,,
75, 具体 的 信息 也 可以 参考 amazon 的 页面 或者 短信 我 。,1,amazon,亚马逊,,,,,,,,, 具体 的 信息 也 可以 参考 亚马逊 的 页面 或者 短信 我 。,11,1,1,[0_ 1_ 2_ 3_ 4_ 5_ 7_ 8_ 9_ 10_ 11],[6],[12],,,,,
76, 十 分钟 可 达 买 吃 一 条 街 - walnut street 。,1,walnut street,核桃街,,,,,,,,, 十 分钟 可 达 买 吃 一 条 街 - 核桃街 。,9,2,2,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8],[10_ 11],[9_ 12],,,,,
77, 这 是 amazon 的 link,2,amazon,亚马逊,link,链接,,,,,,, 这 是 亚马逊 的 链接,3,2,0,[0_ 1_ 3],[2_ 4],[],,,,,
78, png 回国 转让 家具 ：,1,png,图片？,,,,,,,,, 图片： 回国 转让 家具 ：,3,1,1,[1_ 2_ 3],[0],[4],,,,,
79, 小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,1,playground,操场,,,,,,,,, 小区 环境 非常 幽静 ： 有 多 处 操场 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,18,1,4,[0_ 1_ 2_ 3_ 5_ 6_ 7_ 9_ 10_ 12_ 13_ 14_ 15_ 17_ 18_ 20_ 21_ 22],[8],[4_ 11_ 16_ 19],,,,,
80, 今天 刚 做 的 inspection ， 去年 做 过 alignment ， 轮胎 刚 用 一 年 多 ， 很 新 。,2,inspection,检查,alignment,校准,,,,,,, 今天 刚 做 的 检查， 去年 做 过校准 ， 轮胎 刚 用 一 年 多 ， 很 新 。,15,2,4,[0_ 1_ 2_ 3_ 6_ 7_ 8_ 11_ 12_ 13_ 14_ 15_ 16_ 18_ 19],[4_ 9],[5_ 10_ 17_ 20],,,,,
81, 正值 壮年 ， 因为 是 timing chain 所以 不用 担心 timing belt 问题 。,2,timing chain,时间链,timing belt,同步带,,,,,,, 正值 壮年 ， 因为 是时间链 所以 不用 担心 同步带问题 。,8,4,2,[0_ 1_ 3_ 4_ 7_ 8_ 9_ 12],[5_ 6_ 10_ 11],[2_ 13],,,,,
82, 家具 都 是 宜家 或者 amazon 上 购买 的 ， 使用 了 不到 一 年 。,1,amazon,亚马逊,,,,,,,,, 家具 都 是 宜家 或者 亚马逊 上 购买 的 ， 使用 了 不到 一 年 。,13,1,2,[0_ 1_ 2_ 3_ 4_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14],[5],[9_ 15],,,,,
83, amazon 上 marcy 健身 椅$15,2,amazon,亚马逊,marcy,,,,,,,, 亚马逊 上 马西牌 健身 椅$15,2,2,1,[1_ 3],[0_ 2],[4],,,,,
84, ask for$19500 （ 可 小刀 ）,1,ask,需要,,,,,,,,, 需要$19500 （ 可 小刀 ）,2,1,3,[3_ 4],[0],[1_ 2_ 5],,,,,
85, 系统 及 功能 就 不用 说 了 ， 用 mac 的 都 知道 。,1,mac,苹果电脑,,,,,,,,, 系统 及 功能 就 不用 说 了 ， 用 苹果电脑 的 都 知道 。,11,1,2,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 8_ 10_ 11_ 12],[9],[7_ 13],,,,,
86, 就 在 south oakland 随时 看 车 ， pn-4 。,1,south oakland,南奥克兰,,,,,,,,, 就 在 南奥克兰 随时 看 车 ， pn-4 。,5,2,3,[0_ 1_ 4_ 5_ 6],[2_ 3],[7_ 8_ 9],,,,,
87, 【 物业 】 ： meyers management 公司 ， 物业 反应 迅速,1,meyers management,迈耶斯物业,,,,,,,,, 【 物业 】 ：迈耶斯物业 公司 ， 物业 反应 迅速,5,2,4,[1_ 6_ 8_ 9_ 10],[4_ 5],[0_ 2_ 3_ 7],,,,,
88, 盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 party 的 时候 大家 一起 玩 。,1,party,聚会,,,,,,,,, 盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 聚会的 时候 大家 一起 玩 。,19,1,3,[0_ 1_ 2_ 3_ 4_ 5_ 7_ 8_ 9_ 10_ 11_ 12_ 14_ 15_ 17_ 18_ 19_ 20_ 21],[16],[6_ 13_ 22],,,,,
89, 小朋友 不到 一 岁 就 换 了 convertible car seat ， 这个 在家 闲置 了 几 个 月 了 。,1,convertible car seat,可转换汽车座椅,,,,,,,,, 小朋友 不到 一 岁 就 换 了 可转换式汽车座椅 ， 这个 在家 闲置 了 几 个 月 了 。,15,3,2,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 11_ 12_ 13_ 14_ 15_ 16_ 17_ 18],[7_ 8_ 9],[10_ 19],,,,,
90, king size 的,1,king size,超大号,,,,,,,,, 超大号的,1,2,0,[2],[0_ 1],[],,,,,
91, clean title ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,1,clean title,干净标题,,,,,,,,, 干净标题 ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,14,2,5,[3_ 4_ 5_ 6_ 7_ 9_ 10_ 12_ 13_ 15_ 16_ 17_ 18_ 19],[0_ 1],[2_ 8_ 11_ 14_ 20],,,,,
92, 两 个 car seater 都 出 了 ， 谢谢 关注 ！,1,car seater,汽车座椅,,,,,,,,, 两 个 汽车座椅 都 出 了 ， 谢谢 关注 ！,7,2,2,[0_ 1_ 4_ 5_ 6_ 8_ 9],[2_ 3],[7_ 10],,,,,
93, room essentials 风扇 。,1,room essentials,房间必须,,,,,,,,, 房需牌 风扇 。,1,2,1,[2],[0_ 1],[3],,,,,
94, modem 和 wireless router 套餐 。,2,modem,猫（调制解调器）,wireless router,无线路由器,,,,,,, 调制解调器 和 无线路由器 套餐 。,2,3,1,[1_ 4],[0_ 2_ 3],[5],,,,,
96, 联系 方式 ： pn-5 ( text ),1,text,信息,,,,,,,,, 联系 方式 ： pn-5 ( 短信 ),2,1,4,[0_ 1],[5],[2_ 3_ 4_ 6],,,,,
97, 发动机 强劲 smooth ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,1,smooth,平稳,,,,,,,,, 发动机 强劲平稳， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,10,1,4,[0_ 1_ 4_ 5_ 7_ 8_ 10_ 11_ 12_ 13],[2],[3_ 6_ 9_ 14],,,,,
98, 型号 ： hamilton beach 331414-quart .,1,hamilton beach,汉密尔顿碧池,,,,,,,,, 型号 ：汉密尔顿碧池 331414-quart .,1,2,3,[0],[2_ 3],[1_ 4_ 5],,,,,
99, amazon 链接 ( 原价 $ 19.,1,amazon,亚马逊,,,,,,,,, 亚马逊 链接 ( 原价 $ 19.,2,1,3,[1_ 3],[0],[2_ 4_ 5],,,,,
100, 转让 玻璃 茶几 ， 包括 一 个 coffee table 和 两 个 side tables 。,2,coffee table,咖啡桌,side tables,茶几,,,,,,, 转让 玻璃 茶几 ， 包括 一 个咖啡桌 和 两 个茶几 。,9,4,2,[0_ 1_ 2_ 4_ 5_ 6_ 9_ 10_ 11],[7_ 8_ 12_ 13],[3_ 14],,,,,
101, 一 个 night stand ， 一 个 小 书桌 免费 赠送 。,1,night stand,床头柜,,,,,,,,, 一 个床头柜， 一 个 小 书桌 免费 赠送 。,8,2,2,[0_ 1_ 5_ 6_ 7_ 8_ 9_ 10],[2_ 3],[4_ 11],,,,,
102, 联系 方式 ： email : sum em@3,2,email,电子邮件,sum,和,,,,,,, 联系 方式 ： 电子邮件: sum em@3,2,2,3,[0_ 1],[3_ 5],[2_ 4_ 6],,,,,
103, 我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 standard window ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,1,standard window,标准窗,,,,,,,,, 我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 标准窗 ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,21,2,4,[0_ 1_ 2_ 3_ 4_ 5_ 6_ 7_ 8_ 10_ 11_ 12_ 13_ 14_ 18_ 19_ 20_ 21_ 22_ 24_ 25],[15_ 16],[9_ 17_ 23_ 26],,,,,
104, 地址 ： near frick park,1,near frick park,近弗里克公园,,,,,,,,, 地址 ：近弗里克公园,1,3,1,[0],[2_ 3_ 4],[1],,,,,
105, thx 已 出,1,thx,谢谢,,,,,,,,, 谢谢 已 出,2,1,0,[1_ 2],[0],[],,,,,
106, 利用 closet 下方 空间 的 整理 架 免费,1,closet,衣橱,,,,,,,,, 利用 衣橱 下方 空间 的 整理 架 免费,7,1,0,[0_ 2_ 3_ 4_ 5_ 6_ 7],[1],[],,,,,
