word index,word form,pos-tag,head,dep rel,frequency,Surprisal
7,可以,VV,9,aux:modal,2.86E-15,3.114755
8,商量,VV,0,root,1.68E-17,5.065556
9,。,PU,9,punct,,1.119376
,,,,,,
CMU,5,,,,,
0,房子,NN,3,nsubj,5.70E-17,5.512905
1,一共,AD,3,advmod,5.65E-18,5.228868
2,有,VE,0,root,1.01E-14,0.5955775
3,两,CD,7,nummod,2.28E-15,1.38895
4,层,M,4,mark:clf,1.86E-16,2.136289
5,+,PU,7,punct,,4.214566
6,地下室,NN,3,dobj,2.70E-18,6.114262
7,。,PU,3,punct,,0.9592402
,,,,,,
CMU,6,,,,,
0,一共,AD,2,advmod,5.65E-18,4.509301
1,有,VE,0,root,1.01E-14,0.2903937
2,两,CD,8,nummod,2.28E-15,1.38895
3,个,M,3,mark:clf,4.57E-15,0.4321387
4,可以,VV,6,aux:modal,2.86E-15,3.465795
5,洗澡,VV,8,acl,6.26E-18,6.824737
6,的,DEC,6,mark,1.12E-13,0.8959952
7,浴室,NN,2,dobj,2.84E-18,5.210801
8,。,PU,2,punct,,0.762357
,,,,,,
CMU,7,,,,,
0,还有,AD,2,advmod,2.17E-19,3.674056
1,青椒,VV,0,root,,7.081013
2,！,PU,2,punct,,4.418315
,,,,,,
CMU,9,,,,,
0,整个,DT,2,det,4.43E-16,3.732348
1,房子,NN,3,compound:nn,5.70E-17,4.488641
2,家具,NN,4,nsubj,1.16E-17,5.760885
3,齐全,VA,0,root,2.54E-17,6.166569
4,。,PU,4,punct,,0.8237057
,,,,,,
CMU,10,,,,,
0,后院,NN,3,dep,1.51E-18,6.258925
1,：,PU,3,punct,,2.914741
2,阳台,NN,0,root,4.39E-18,5.750101
3,。,PU,3,punct,,0.8616973
,,,,,,
CMU,11,,,,,
0,可以,VV,5,aux:modal,2.86E-15,3.535944
1,从,P,3,case,2.92E-15,1.71372
2,地下室,NN,5,nmod:prep,2.70E-18,4.346101
3,直接,AD,5,advmod,7.02E-16,4.471957
4,走,VV,10,dep,4.30E-16,3.898206
5,出去,VV,5,advmod:rcomp,7.80E-17,2.315778
6,的,SP,5,discourse,1.12E-13,1.041393
7,，,PU,10,punct,,1.281286
8,所以,AD,10,advmod,8.57E-16,1.788091
9,叫,VV,0,root,6.65E-17,2.823456
10,半地下室,NN,10,dobj,,Infinity
11,。,PU,10,punct,,1.427697
,,,,,,
CMU,13,,,,,
0,空调,NN,2,dep,1.23E-17,5.445959
1,有,VE,0,root,1.01E-14,3.517004
2,窗口,NN,4,compound:nn,3.90E-17,5.82538
3,式,NN,7,compound:nn,3.55E-16,2.047275
4,冷气机,NN,7,conj,,0.6465095
5,和,CC,7,cc,1.59E-14,1.845845
6,暖气,NN,2,dobj,2.19E-18,4.911385
7,。,PU,2,punct,,1.231957
,,,,,,
CMU,14,,,,,
0,入住,VV,0,root,7.82E-19,5.976814
1,时间,NN,1,dobj,9.88E-16,3.558488
2,灵活,VA,1,conj,8.67E-17,5.42058
3,，,PU,1,punct,,0.7122998
4,可,VV,7,aux:modal,1.43E-15,1.506279
5,长期,AD,7,advmod,3.90E-16,3.80937
6,入住,VV,1,conj,7.82E-19,4.813555
7,。,PU,1,punct,,0.9292497
,,,,,,
CMU,15,,,,,
0,感兴趣,VV,3,acl,1.63E-20,7.042348
1,的,DEC,1,mark,1.12E-13,0.4746102
2,同学,NN,5,nsubj,3.67E-17,4.199065
3,，,PU,5,punct,,0.765377
4,欢迎,VV,0,root,1.39E-16,4.921011
5,发送,VV,5,ccomp,1.59E-17,5.679813
6,邮件,NN,6,dobj,2.05E-17,1.964966
7,（,PU,10,punct,,2.43689
8,请,VV,10,xcomp,1.93E-16,4.056521
9,注明,VV,5,dep,5.49E-20,5.244545
10,“,PU,12,punct,,1.039642
11,租房,NN,10,dobj,2.26E-18,6.265025
12,”,PU,12,punct,,2.432533
13,）,PU,10,punct,,1.712326
14,，,PU,5,punct,,0.6021351
15,请,VV,18,xcomp,1.93E-16,4.027341
16,简单,AD,18,advmod,2.57E-16,4.666379
17,介绍,VV,5,conj,2.96E-16,2.487469
18,一下,AD,18,advmod,1.81E-16,1.699935
19,自己,PN,18,dobj,2.44E-15,1.931871
20,。,PU,5,punct,,2.022749
,,,,,,
CMU,16,,,,,
0,二,OD,2,amod:ordmod,3.43E-15,3.222314
1,楼,NN,13,nsubj,1.04E-16,1.591621
2,是,VC,13,cop,1.98E-14,1.601642
3,三,CD,6,nummod,3.17E-15,3.04637
4,间,M,4,mark:clf,1.74E-15,2.053292
5,卧室,NN,10,conj,3.33E-18,3.379827
6,和,CC,10,cc,1.59E-14,1.532987
7,一,CD,10,nummod,1.35E-14,2.57814
8,个,M,8,mark:clf,4.57E-15,5.729619
9,设施,NN,13,dep,2.41E-16,4.276497
10,完全,JJ,13,amod,6.08E-16,3.368013
11,的,DEG,11,case,1.12E-13,1.451586
12,卫生间,NN,0,root,4.05E-18,5.637688
13,。,PU,13,punct,,0.7613617
,,,,,,
CMU,17,,,,,
0,有,VE,3,dep,1.01E-14,2.715695
1,兴趣,NN,1,dobj,1.46E-16,4.139023
2,者,NN,6,nsubj,2.52E-15,3.022636
3,，,PU,6,punct,,0.6238034
4,请,VV,6,xcomp,1.93E-16,3.313639
5,发送,VV,0,root,1.59E-17,5.355831
6,短信,NN,6,dobj,2.91E-18,1.836648
7,介绍,VV,6,conj,2.96E-16,4.805568
8,一下,AD,8,advmod,1.81E-16,3.053878
9,自己,PN,11,compound:nn,2.44E-15,1.931871
10,情况,NN,8,dobj,1.64E-15,4.49036
11,。,PU,6,punct,,0.7784541
,,,,,,
CMU,18,,,,,
0,半山,NN,2,compound:nn,4.67E-19,5.637844
1,独,NN,4,compound:nn,5.28E-17,5.678452
2,栋,M,4,nummod,1.10E-18,3.272605
3,别墅,NN,7,nsubj,6.74E-18,2.500991
4,，,PU,7,punct,,0.544068
5,自,AD,7,advmod,7.10E-16,3.147691
6,带,VV,0,root,5.49E-16,4.49099
7,车库,NN,11,conj,9.99E-19,5.980581
8,和,CC,11,cc,1.59E-14,1.43785
9,私人,JJ,11,amod,1.03E-16,3.668677
10,车道,NN,7,dobj,1.61E-18,4.059361
11,。,PU,7,punct,,1.085591
,,,,,,
CMU,19,,,,,
0,一,CD,2,dep,1.35E-14,2.791026
1,楼,NN,3,dep,1.04E-16,5.695485
2,有,VE,0,root,1.01E-14,2.147275
3,半,CD,5,dep,1.13E-16,3.454723
4,浴室,NN,3,dobj,2.84E-18,5.558517
5,。,PU,3,punct,,1.046625
,,,,,,
CMU,22,,,,,
0,精装,AD,2,advmod,4.40E-19,5.804013
1,修,VV,0,root,3.12E-17,4.939471
2,家具,NN,2,dobj,1.16E-17,5.585263
3,全,DT,8,det,1.03E-15,3.700925
4,免费,JJ,7,amod,2.69E-17,5.015528
5,无线,JJ,7,amod,1.20E-17,2.859978
6,上网,NN,8,compound:nn,8.91E-18,0.5855799
7,!,NN,2,dep,,4.898229
,,,,,,
CMU,25,,,,,
0,对比,P,3,case,6.28E-17,4.759578
1,其他,DT,3,det,1.18E-15,1.553222
2,地方,NN,14,nmod:prep,1.04E-15,1.825154
3,，,PU,14,punct,,0.8829458
4,可能,AD,14,advmod,1.41E-15,2.80618
5,和,P,8,case,1.59E-14,2.275777
6,很多,CD,8,dep,3.62E-16,3.728692
7,人,NN,14,nmod:prep,8.08E-15,1.283624
8,共用,JJ,14,dep,4.01E-18,Infinity
9,，,PU,14,punct,,1.197862
10,并且,AD,14,advmod,3.64E-16,2.404721
11,还,AD,14,advmod,2.84E-15,2.04499
12,很,AD,14,advmod,2.06E-15,2.718947
13,贵,VA,0,root,2.85E-17,6.129158
14,！,PU,14,punct,,4.027408
,,,,,,
CMU,26,,,,,
0,房东,NN,7,nsubj,4.22E-19,6.258925
1,非常,AD,7,advmod,4.30E-16,4.013741
2,无敌,AD,7,advmod,3.07E-19,6.440294
3,好,AD,7,advmod,1.73E-15,4.612996
4,还,AD,7,advmod,2.84E-15,4.039603
5,会,VV,7,aux:modal,3.45E-15,1.467317
6,帮忙,VV,0,root,1.20E-17,3.048277
7,丢,VV,7,ccomp,5.74E-18,5.527355
8,垃圾,NN,8,dobj,2.40E-17,2.314101
9,！,PU,7,punct,,3.42206
,,,,,,
CMU,29,,,,,
0,门口,NN,2,nsubj,7.71E-18,5.976814
1,有,VE,0,root,1.01E-14,1.705884
2,公交车,NN,2,dobj,,4.874503
3,到,VV,2,conj,5.42E-15,2.386405
4,中国,NR,10,nmod:assmod,4.33E-15,2.271789
5,超市,NN,10,conj,3.83E-18,4.830029
6,，,PU,10,punct,,0.7621061
7,餐馆,NN,10,conj,4.10E-18,5.364427
8,和,CC,10,cc,1.59E-14,0.4281348
9,市中心,NN,4,dobj,,4.655278
10,。,PU,2,punct,,1.296286
,,,,,,
CMU,30,,,,,
0,户型,NN,11,dep,2.57E-19,6.482378
1,：,PU,11,punct,,2.276336
2,一,CD,11,dep,1.35E-14,2.337307
3,楼,M,3,mark:clf,1.04E-16,5.848589
4,是,VC,11,cop,1.98E-14,1.85848
5,超大,JJ,7,amod,1.28E-18,5.275753
6,客厅,NN,11,dep,6.20E-18,6.825455
7,，,PU,11,punct,,0.8922411
8,餐厅,NN,11,conj,6.78E-18,4.948161
9,及,CC,11,cc,1.61E-15,2.290288
10,厨房,NN,0,root,1.60E-17,2.268386
11,；,PU,11,punct,,2.668459
,,,,,,
CMU,31,,,,,
0,长,AD,2,advmod,1.22E-15,3.13938
1,租,VV,0,root,1.62E-17,4.953151
2,全部,DT,4,det,3.64E-16,4.537052
3,租出,NN,2,dobj,,4.4051
4,！,PU,2,punct,,4.382312
,,,,,,
CMU,33,,,,,
0,暑期,NN,2,nsubj,2.46E-18,5.886802
1,短,VA,7,dep,1.18E-16,4.559146
2,租,VV,5,xcomp,1.62E-17,5.854287
3,还,AD,5,advmod,2.84E-15,2.365675
4,有空的,VA,2,conj,,Infinity
5,哦,SP,7,discourse,5.49E-18,5.936751
6,。,PU,0,root,,1.335792
,,,,,,
CMU,35,,,,,
0,有,VE,0,root,1.01E-14,2.715695
1,宠物,NN,4,nsubj,1.71E-18,5.679086
2,可以,VV,4,aux:modal,2.86E-15,2.246461
3,商量,VV,1,ccomp,1.68E-17,5.10237
4,正规,JJ,6,amod,3.27E-17,5.394323
5,物业,NN,7,compound:nn,1.97E-17,5.486727
6,管理,NN,4,dobj,2.55E-15,4.318769
7,，,PU,1,punct,,1.058464
8,宾州,NR,11,nmod:assmod,,5.26095
9,法律,NN,11,compound:nn,9.49E-16,4.859396
10,规定,NN,12,nsubj,1.47E-15,1.509301
11,租房,VV,1,dep,2.26E-18,7.061756
12,合同,NN,12,dobj,3.83E-16,2.432533
13,，,PU,12,punct,,0.6128892
14,保护,VV,12,conj,6.36E-16,4.319332
15,双方,PN,17,compound:nn,2.47E-16,4.51813
16,权益,NN,15,dobj,1.06E-16,3.831482
17,，,PU,12,punct,,0.7667135
18,安心,AD,20,advmod,6.64E-18,5.8026
19,入住,VV,12,conj,7.82E-19,5.740441
20,。,PU,1,punct,,0.9292497
,,,,,,
CMU,36,,,,,
0,欢迎,VV,0,root,1.39E-16,5.269867
1,发,VV,1,ccomp,6.77E-16,5.297529
2,邮件,NN,2,dobj,2.05E-17,5.67024
3,联系,VV,1,conj,6.05E-16,3.218899
4,咨询,NN,4,dobj,1.20E-16,5.395529
5,。,PU,1,punct,,1.307169
,,,,,,
CMU,45,,,,,
0,所有,DT,7,det,6.50E-16,3.213507
1,想,VV,7,acl,6.31E-16,3.934522
2,寄,VV,2,ccomp,1.29E-17,5.699054
3,想,VV,2,conj,6.31E-16,4.474885
4,退还,VV,4,ccomp,1.00E-17,6.251147
5,的,DEC,2,mark,1.12E-13,1.292597
6,东西,NN,10,nsubj,4.28E-16,3.490744
7,，,PU,10,punct,,0.5892994
8,直接,AD,10,advmod,7.02E-16,3.87222
9,放在,VV,0,root,4.44E-20,2.438411
10,公寓,NN,13,compound:nn,1.10E-17,4.422504
11,一,CD,13,dep,1.35E-14,2.84408
12,楼,NN,10,dobj,1.04E-16,5.442994
13,就,AD,15,advmod,3.73E-15,3.865702
14,可以,VV,10,conj,2.86E-15,1.408872
15,。,PU,10,punct,,2.358855
,,,,,,
CMU,46,,,,,
0,免费,AD,2,advmod,2.69E-17,4.772542
1,送,VV,8,acl,9.48E-17,5.323745
2,顶楼,NN,4,compound:nn,4.63E-19,6.185939
3,景观,NN,6,conj,2.01E-17,5.143289
4,和,CC,6,cc,1.59E-14,1.736748
5,顶楼,NN,2,dobj,4.63E-19,5.847033
6,的,DEC,2,mark,1.12E-13,0.9520925
7,阳光,NN,9,nsubj,3.51E-17,4.386751
8,普照,VV,0,root,2.36E-19,4.060257
9,!,NN,9,dobj,,4.401905
,,,,,,
CMU,49,,,,,
0,浴室,NN,8,nmod:topic,2.84E-18,5.886802
1,:,PU,8,punct,,3.990607
2,二,OD,4,amod:ordmod,3.43E-15,4.232983
3,楼,NN,6,conj,1.04E-16,2.031714
4,和,CC,6,cc,1.59E-14,1.840524
5,地下室,NN,8,nsubj,2.70E-18,4.842676
6,各,AD,8,advmod,2.64E-15,4.231431
7,有,VE,0,root,1.01E-14,1.233011
8,一,CD,11,nummod,1.35E-14,0.6812197
9,个,M,9,mark:clf,4.57E-15,5.503237
10,卫生间,NN,8,dobj,4.05E-18,4.93294
,,,,,,
CMU,53,,,,,
0,适合,VV,0,root,8.67E-17,5.100725
1,情侣,NN,5,conj,1.23E-18,5.668503
2,或,CC,5,cc,1.79E-15,1.859549
3,单身,JJ,5,amod,3.03E-18,5.150689
4,居住,NN,1,dobj,1.22E-16,2.683036
5,。,PU,1,punct,,1.249253
,,,,,,
CMU,54,,,,,
0,暑假,NN,15,nmod:topic,8.29E-18,5.211875
1,短,JJ,5,amod,1.18E-16,4.75019
2,租,VV,5,acl,1.62E-17,5.854287
3,的,DEC,3,mark,1.12E-13,1.484861
4,同学,NN,15,nsubj,3.67E-17,4.074765
5,看,VV,15,dep,2.07E-15,3.508462
6,过来,VV,6,dep,5.18E-17,3.071391
7,～,PU,6,punct,,4.992917
8,家具,NN,6,dobj,1.16E-17,5.932618
9,全,AD,15,advmod,1.03E-15,3.700925
10,齐,AD,15,advmod,2.41E-17,5.26364
11,入住,VV,15,xcomp,7.82E-19,5.866266
12,即,AD,15,advmod,7.95E-16,3.763912
13,可,VV,15,aux:modal,1.43E-15,3.968558
14,用,VV,0,root,1.48E-15,3.26931
15,，,PU,15,punct,,1.859065
16,单人,NN,18,compound:nn,,5.540986
17,床,NN,21,nsubj,1.33E-17,5.79745
18,都,AD,21,advmod,3.54E-15,2.398519
19,可以,VV,21,aux:modal,2.86E-15,1.593835
20,用,VV,15,conj,1.48E-15,1.334412
21,。,PU,15,punct,,2.79789
,,,,,,
CMU,56,,,,,
0,有,VE,0,root,1.01E-14,2.715695
1,车库,NN,1,dobj,9.99E-19,5.391269
2,，,PU,1,punct,,0.6238034
3,路,NN,6,compound:nn,2.46E-16,4.854201
4,外,NN,6,compound:nn,1.07E-15,3.759812
5,停车场,NN,1,dep,4.11E-20,5.10788
6,。,PU,1,punct,,0.794089
,,,,,,
CMU,57,,,,,
0,要求,VV,0,root,1.36E-15,4.813935
1,：,PU,1,punct,,2.389885
2,禁止,VV,1,ccomp,9.11E-17,4.489005
3,吸烟,VV,3,ccomp,1.81E-20,2.324238
4,，,PU,1,punct,,1.189265
5,禁止,VV,1,conj,9.11E-17,3.993038
6,宠物,NN,6,dobj,1.71E-18,4.671572
7,入内,VV,6,ccomp,,Infinity
8,，,PU,1,punct,,1.197862
9,禁止,VV,1,conj,9.11E-17,3.924692
10,举办,VV,10,ccomp,1.47E-16,3.516026
11,派对,NN,11,dobj,1.73E-18,3.472183
12,。,PU,1,punct,,0.7998947
,,,,,,
CMU,61,,,,,
0,#,NN,2,compound:nn,,4.929329
1,家具,NN,3,nsubj,1.16E-17,5.757147
2,齐全,VA,0,root,2.54E-17,6.166569
3,:,PU,3,punct,,4.529543
4,房间,NN,6,nsubj,3.80E-17,5.311922
5,有,VE,3,conj,1.01E-14,2.191603
6,双人床,NN,6,dobj,,7.519056
7,，,PU,6,punct,,1.520604
8,步入,VV,6,conj,1.08E-20,5.390434
9,式,NN,11,compound:nn,3.55E-16,2.772047
10,衣柜,NN,9,dobj,4.72E-19,6.924273
11,，,PU,6,punct,,1.244165
12,挂,VV,6,conj,1.35E-17,4.795927
13,衣架,NN,13,dobj,3.08E-19,7.655366
14,，,PU,6,punct,,1.588359
15,书桌,VV,6,conj,9.78E-19,7.089008
16,，,PU,6,punct,,0.8406437
17,台灯,VV,6,conj,6.36E-20,7.604123
18,，,PU,3,punct,,1.199107
19,转椅,NN,26,nsubj,5.62E-20,7.721479
20,，,PU,20,punct,,1.353351
21,（,PU,20,parataxis:prnmod,,3.615288
22,还,AD,26,advmod,2.84E-15,4.384911
23,可,VV,26,aux:modal,1.43E-15,1.338908
24,低价,AD,26,advmod,1.35E-20,6.675121
25,出,VV,3,conj,2.20E-15,3.883179
26,显示器,NN,26,dobj,3.27E-18,5.392839
27,。,PU,3,punct,,0.9991082
,,,,,,
CMU,62,,,,,
0,房子,NN,2,compound:nn,5.70E-17,5.512905
1,里面,NN,3,dep,4.91E-17,2.721907
2,有,VE,0,root,1.01E-14,1.338366
3,一,CD,9,nummod,1.35E-14,1.053606
4,个,M,4,mark:clf,4.57E-15,5.503237
5,公共,JJ,9,amod,2.73E-16,3.350423
6,厨房,NN,9,conj,1.60E-17,4.166602
7,和,CC,9,cc,1.59E-14,1.306866
8,餐厅,NN,3,dobj,6.78E-18,1.338908
9,，,PU,3,punct,,0.6962472
10,烤箱,NN,13,compound:nn,1.42E-20,6.954485
11,微波炉,NN,13,compound:nn,3.92E-19,6.483206
12,洗衣机,NN,15,nsubj,9.63E-18,6.454674
13,都,AD,15,advmod,3.54E-15,2.329598
14,有,VE,3,conj,1.01E-14,1.13947
15,，,PU,3,punct,,1.940914
16,餐具,NN,19,nsubj,2.47E-19,6.059272
17,也,AD,19,advmod,5.45E-15,1.748957
18,可以,VV,3,conj,2.86E-15,1.555099
19,和,P,24,case,1.59E-14,2.230852
20,家,NN,24,dep,1.29E-15,4.266731
21,里,LC,21,case,1.06E-15,3.600037
22,其他,DT,24,det,1.18E-15,3.54543
23,人,NN,19,nmod:prep,8.08E-15,3.374271
24,共用,JJ,24,dep,4.01E-18,Infinity
25,。,PU,3,punct,,1.427697
,,,,,,
CMU,63,,,,,
0,【,PU,5,punct,,3.699992
1,其他,DT,4,det,1.18E-15,3.631898
2,】,PU,4,dep,,5.229108
3,包,NN,5,nsubj,7.36E-17,5.279957
4,物业费,VA,0,root,,8.503919
5,，,PU,5,punct,,1.378726
6,价格,NN,9,conj,6.70E-16,4.356595
7,和,CC,9,cc,1.59E-14,2.111471
8,时间,NN,11,nsubj,9.88E-16,3.437162
9,可,VV,11,aux:modal,1.43E-15,3.153694
10,议,VV,5,conj,1.26E-16,4.004665
11,。,PU,5,punct,,0.9994671
,,,,,,
CMU,64,,,,,
0,一,CD,3,dep,1.35E-14,2.791026
1,层,M,1,mark:clf,1.86E-16,2.89797
2,有,VE,0,root,1.01E-14,2.120752
3,门卫,NN,5,nsubj,3.06E-19,5.924223
4,帮忙,VV,16,acl,1.20E-17,5.556201
5,开门,NN,9,conj,2.40E-18,5.855171
6,和,CC,9,cc,1.59E-14,1.99024
7,收发,NN,9,compound:nn,2.25E-18,5.410367
8,快递,NN,5,dobj,2.01E-18,6.423736
9,，,PU,5,punct,,1.584157
10,不用,AD,12,advmod,5.89E-17,4.428697
11,担心,VV,5,conj,6.17E-17,1.413452
12,快递,NN,14,nsubj,2.01E-18,6.046609
13,丢失,VV,12,ccomp,1.30E-17,5.809309
14,等,ETC,5,dep,2.53E-15,2.508252
15,问题,NN,3,dobj,3.24E-15,2.308789
16,；,PU,3,punct,,1.973128
,,,,,,
CMU,67,,,,,
0,八月,NT,4,advmod:loc,2.42E-19,4.302052
1,开始,LC,1,case,1.01E-15,2.663521
2,可,VV,4,aux:modal,1.43E-15,4.100472
3,签,VV,0,root,1.89E-17,5.744014
4,一,CD,7,nummod,1.35E-14,2.150431
5,年,M,5,mark:clf,1.38E-14,0.4045706
6,租约,NN,4,dobj,8.76E-19,5.26434
7,。,PU,4,punct,,1.225863
,,,,,,
CMU,68,,,,,
0,性格,NN,5,compound:nn,6.45E-17,4.531389
1,非常,AD,3,advmod,4.30E-16,1.781411
2,好,JJ,5,amod,1.73E-15,1.808211
3,好,JJ,5,amod,1.73E-15,4.721241
4,相处,NN,10,nsubj,1.25E-17,3.915567
5,，,PU,10,punct,,0.7833342
6,绝对,AD,10,advmod,1.63E-16,4.544313
7,不,AD,10,neg,8.49E-15,1.185932
8,会,VV,10,aux:modal,3.45E-15,2.945629
9,打扰,VV,0,root,2.67E-18,4.850398
10,你,PN,10,ccomp,1.63E-15,1.571177
11,。,PU,10,punct,,0.8059883
,,,,,,
CMU,69,,,,,
0,［,PU,2,punct,,5.194147
1,治安,NN,6,dep,5.37E-17,5.250388
2,］,PU,2,punct,,6.208732
3,附近,NN,5,compound:nn,9.39E-17,4.069185
4,治安,NN,6,nsubj,5.37E-17,4.178795
5,好,VA,0,root,1.73E-15,3.183764
6,，,PU,6,punct,,1.148435
7,公寓,NN,9,dep,1.10E-17,5.263488
8,有,VE,6,conj,1.01E-14,2.746676
9,门卫,NN,9,dobj,3.06E-19,5.869847
10,，,PU,6,punct,,1.079181
11,收发,NN,13,compound:nn,2.25E-18,6.134986
12,快递,NN,15,nsubj,2.01E-18,6.14892
13,也,AD,15,advmod,5.45E-15,3.148362
14,方便,VA,6,conj,8.60E-17,4.082433
15,。,PU,6,punct,,1.293804
,,,,,,
CMU,76,,,,,
0,一,CD,4,nummod,1.35E-14,2.791026
1,次,M,1,mark:clf,1.38E-15,1.386087
2,露天,JJ,4,amod,2.37E-18,5.349654
3,购物,NN,5,dep,1.34E-17,5.400501
4,经历,NN,0,root,1.87E-16,4.979455
5,。,PU,5,punct,,1.138621
,,,,,,
CMU,79,,,,,
0,（,PU,15,punct,,2.636784
1,对比,P,4,case,6.28E-17,5.208936
2,其他,DT,4,det,1.18E-15,2.244044
3,地方,NN,15,nmod:prep,1.04E-15,1.825154
4,，,PU,15,punct,,0.8829458
5,可能,AD,15,advmod,1.41E-15,2.80618
6,和,P,9,case,1.59E-14,2.275777
7,很多,CD,9,dep,3.62E-16,3.728692
8,人,NN,15,nmod:prep,8.08E-15,1.283624
9,共用,JJ,15,dep,4.01E-18,Infinity
10,，,PU,15,punct,,1.197862
11,并且,AD,15,advmod,3.64E-16,2.404721
12,还,AD,15,advmod,2.84E-15,2.04499
13,很,AD,15,advmod,2.06E-15,2.718947
14,贵,VA,0,root,2.85E-17,6.129158
15,！,PU,15,punct,,4.027408
,,,,,,
CMU,83,,,,,
0,附近,NN,2,compound:nn,9.39E-17,4.302052
1,街区,NN,4,nsubj,3.81E-18,4.005742
2,非常,AD,4,advmod,4.30E-16,4.259539
3,安静,VA,0,root,1.56E-17,3.362691
4,也,AD,7,advmod,5.45E-15,3.304013
5,非常,AD,7,advmod,4.30E-16,2.780048
6,安全,VA,4,dep,4.75E-16,3.275451
7,，,PU,4,punct,,0.7766016
8,临近,VV,4,conj,6.57E-18,4.697981
9,富人,NN,11,compound:nn,5.69E-21,5.747021
10,区,NN,9,dobj,7.47E-16,1.320391
11,。,PU,4,punct,,0.5314789
,,,,,,
CMU,84,,,,,
0,房子,NN,3,nsubj,5.70E-17,5.512905
1,目前,NT,3,nmod:tmod,5.97E-16,4.075258
2,装修,VV,0,root,4.62E-18,5.853029
3,了,AS,3,aux:asp,1.80E-14,2.06606
4,一半,CD,3,dep,6.70E-17,3.584112
5,，,PU,3,punct,,0.5963829
,,,,,,
CMU,85,,,,,
0,房子,NN,6,nsubj,5.70E-17,5.512905
1,目前,NT,6,nmod:tmod,5.97E-16,4.075258
