sentence id,sentence,chinese word index,punct index,source
34,厨房 ， 餐厅 ， 客厅 配置 豪华 。,[0_2_4_5_6],[1_3_7],CMU
35,而且 ， 这 两 家 均 可 点 外卖 ！,[0_2_3_4_5_6_7_8],[1_9],CMU
36,如果 不 想 走路 ， 公交 也 可以 直达 .,[0_1_2_3_5_6_7_8],[4_9],CMU
37,这个 房子 是 匹 大 拥有 的 ， 所以 房子 管理 得很 棒 ！,[0_1_2_3_4_5_6_8_9_10_11_12],[7_13],CMU
38,并且 壁橱 分 上下 两 层 ， 高度 比例 大概 4：6 （ 上 ： 下 ） .,[0_1_2_3_4_5_7_8_9_12_14],[6_10_11_13_15_16],CMU
39,客厅 ： 有 壁橱 .,[0_2_3],[1_4],CMU
40,要求 ： 男士 女士 均可 ， 但是 必须 要求 身份 是 学生 ~ ~ .,[0_2_3_4_6_7_8_9_10_11],[1_5_12_13_14],CMU
41,需要 找 房子 的 同学 随时 可以 联系 我 ， 我 看到 后 就 会 回复 ~,[0_1_2_3_4_5_6_7_8_10_11_12_13_14_15],[9_16],CMU
42,不 是 那 种 密封 的 地下室 。,[0_1_2_3_4_5_6],[7],CMU
43,欢迎 联系 ～ 继续 有效 。,[0_1_3_4],[2_5],CMU
44,先 说 缺点 吧 ： 房子 没有 空调 ， 之前 夏天 我 是 用 一 个 落地 的 移动 小 空调 ， 所以 温度 也 还 算 凉快 。,[0_1_2_3_5_6_7_9_10_11_12_13_14_15_16_17_18_19_20_22_23_24_25_26_27],[4_8_21_28],CMU
45,隔音 一般 ， 不过 房间 之间 隔 得 比较 开 。,[0_1_3_4_5_6_7_8_9],[2_10],CMU
46,房间 挺 小 的 ， 要 好好 利用 空间 才 能 住 得 比较 舒服 。,[0_1_2_3_5_6_7_8_9_10_11_12_13_14],[4_15],CMU
47,公共 空间 充足 ， 厨房 非常 大 ， 客厅 可以 放 东西 。,[0_1_2_4_5_6_8_9_10_11],[3_7_12],CMU
48,可以 一 个 人 用 一 个 卫生间 （ 卫生间 不 在 屋内 ） 。,[0_1_2_3_4_5_6_7_9_10_11_12],[8_13_14],CMU
49,二 楼 另 有 一 个 小 办公室 、 和 厕所 （ 有 浴缸 ) 。,[0_1_2_3_4_5_6_7_9_10_12_13],[8_11_14_15],CMU
50,地点 安全 ， 环境 安静 优雅 ， 卧室 采光 很 好 ， 空气 清新 ， 楼 前后 均 有 草坪 、 后院 有 花坛 和 宽敞 露台 。,[0_1_3_4_5_7_8_9_10_12_13_15_16_17_18_19_21_22_23_24_25_26],[2_6_11_14_20_27],CMU
51,可 联系 看 房 。,[0_1_2_3],[4],CMU
52,拎包 入住 。,[0_1],[2],CMU
53,新装 的 窗子 。,[0_1_2],[3],CMU
54,一 楼 都 是 硬木 地板 。,[0_1_2_3_4_5],[6],CMU
55,地下室 巨大 。,[0_1],[2],CMU
56,可 免费 储藏 物品 .,[0_1_2_3],[4],CMU
57,价格 可 议 。,[0_1_2],[3],CMU
58,出租 两 间 卧室 。,[0_1_2_3],[4],CMU
59,房租 每 间 $600 / 月 。,[0_1_2_5],[3_4_6],CMU
60,比较 适合 有 车 的 同学 。,[0_1_2_3_4_5],[6],CMU
61,房子 在 半山 上 所以 很 安静 。,[0_1_2_3_4_5_6],[7],CMU
62,生态 好 ， 不时 有 鹿 出没 。,[0_1_3_4_5_6],[2_7],CMU
63,我 住 一 间 ， 出租 两 间 。,[0_1_2_3_5_6_7],[4_8],CMU
64,出租 的 两 间 卧室 共用 一 个 卫生间 。,[0_1_2_3_4_5_6_7_8],[9],CMU
65,每 个 卧室 都 有 两 个 不同 方向 的 窗户 ， 视野 和 采光 良好 。,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_15],[11_16],CMU
66,公寓 也 是 学生 居多 ， 安全 有 保障 。,[0_1_2_3_4_6_7_8],[5_9],CMU
67,[ kenmawr]$450/month 包 所有 ，,[2_3],[0_1_4],CMU
68,但是 大 一 点 的 一 室 ， 或者 三 室 都 可以 考虑 。,[0_1_2_3_4_5_6_8_9_10_11_12_13],[7_14],CMU
69,四川 ， 府 河 人家 .,[0_2_3_4],[1_5],CMU
70,房子 共 有 三 个 厕所 。,[0_1_2_3_4_5],[6],CMU
71,两 个 厨房 。,[0_1_2],[3],CMU
72,总共 三 层 。,[0_1_2],[3],CMU
73,每 屋 两 卧室 。,[0_1_2_3],[4],CMU
74,一 楼 有 厨房 和 厕所 。,[0_1_2_3_4_5],[6],CMU
75,二 楼 厨房 和 厕所 。,[0_1_2_3_4],[5],CMU
76,另外 一 个 厕 所在 地下室 ， 地下室 只有 一 面 地下 ， 另外 一 面 可以 走 出门 到 院子 。,[0_1_2_3_4_5_7_8_9_10_11_13_14_15_16_17_18_19_20],[6_12_21],CMU
77,一 楼 出门 就 是 阳台 。,[0_1_2_3_4_5],[6],CMU
79,家具 齐全 。,[0_1],[2],CMU
80,免费 停车 。,[0_1],[2],CMU
81,走 两 分 种 到 公交 车站 。,[0_1_2_3_4_5_6],[7],CMU
82,现 住 两 女 三 男 。,[0_1_2_3_4_5],[6],CMU
83,本人 很 和善 ， 好 说话 ， 热心肠 。,[0_1_2_4_5_7],[3_6_8],CMU
84,门口 有 阳台 ， 早上 起来 可以 呼吸 新鲜 空气 。,[0_1_2_4_5_6_7_8_9],[3_10],CMU
85,入住 可以 有 价值 $2000 的 家具 低价 $200 转让 ！,[0_1_2_3_5_6_7_9],[4_8_10],CMU
86,冬天 暖气 充足 （ 匹兹堡 有 漫长 的 五 个 月 冬季 ） 。,[0_1_2_4_5_6_7_8_9_10_11],[3_12_13],CMU
87,出租 其中 一 间 ， 隔音 效果 很 好 。,[0_1_2_3_5_6_7_8],[4_9],CMU
88,希望 您 是 单身 的 中国 学生 或 访问 学者 ， 不 吸烟 ， 不 吸毒 ， 不 养 宠物 ， 爱 清洁 ， 寻求 安静 和谐 的 居住 环境 。,[0_1_2_3_4_5_6_7_8_9_11_12_14_15_17_18_19_21_22_24_25_26_27_28_29],[10_13_16_20_23_30],CMU
89,来信 请 简单 介绍 一下 您 的 情况 。,[0_1_2_3_4_5_6_7],[8],CMU
90,谢谢 关注 ！,[0_1],[2],CMU
92,我 可以 电邮 你 房子 清晰 照片 的 截图 。,[0_1_2_3_4_5_6_7_8],[9],CMU
93,另外 还 免费 提供 吸尘器 和 蒸汽 拖把 。,[0_1_2_3_4_5_6_7],[8],CMU
94,所有 床单 被子 均 是 全新 ！,[0_1_2_3_4_5],[6],CMU
95,) 希望 您 是 单身 的 中国 学生 或 访问 学者 ， 不 吸烟 ， 不 吸毒 ， 不 养 宠物 ， 爱 清洁 ， 寻求 安静 和谐 的 居住 环境 。,[1_2_3_4_5_6_7_8_9_10_12_13_15_16_18_19_20_22_23_25_26_27_28_29_30],[0_11_14_17_21_24_31],CMU
98,房间 都 翻新 过 。,[0_1_2_3],[4],CMU
99,桌子 ， 凳子 ， 啥 都 有 ！,[0_2_4_5_6],[1_3_7],CMU
100,真的 是 拎包 入住 ！,[0_1_2_3],[4],CMU
106,有 兴趣 快 联系 哦 。,[0_1_2_3_4],[5],CMU
107,房子 整洁 ， ;,[0_1],[2_3],CMU
108,该 地 公共 交通 及 校园 交通 方便 。,[0_1_2_3_4_5_6_7],[8],CMU
109,带 家具 ， 包 水电 和 上网 。,[0_1_3_4_5_6],[2_7],CMU
111,已 租 ！,[0_1],[2],CMU
112,超级 方便 ！,[0_1],[2],CMU
113,拎包 就 可以 入住 ！,[0_1_2_3],[4],CMU
114,现出 租 客厅 。,[0_1_2],[3],CMU
115,这个 客厅 挺 大 的 ， 冬天 暖气 特别 足 ， 夏天 有 空调 。,[0_1_2_3_4_6_7_8_9_11_12_13],[5_10_14],CMU
116,周围 吃饭 的 中餐 西餐 也 很多 ， 生活 非常 便利 。,[0_1_2_3_4_5_6_8_9_10],[7_11],CMU
117,欢迎 联系 。,[0_1],[2],CMU
118,希望 您 是 个 爱 干净 的 人 ， 男生 女生 都 可以 ， 但是 请 帮忙 保持 整洁 的 居住 环境 。,[0_1_2_3_4_5_6_7_9_10_11_12_14_15_16_17_18_19_20_21],[8_13_22],CMU
119,新 的 合同 可以 从 8.,[0_1_2_3_4],[5],CMU
120,另 有 单独 后院 草坪 ， 尽 享 私密 空间 ， 衣服 晾晒 非常 方便 。,[0_1_2_3_4_6_7_8_9_11_12_13_14],[5_10_15],CMU
121,自然 历史 博物馆 、 艺术 博物馆 、 植物园 步行 十 分钟 左右 。,[0_1_2_4_5_7_8_9_10_11],[3_6_12],CMU
122,公寓 宽敞 面积 大 ， 家具 设施 齐全 ， 可 直接 拎包 入住 。,[0_1_2_3_5_6_7_9_10_11_12],[4_8_13],CMU
123,附近 餐馆 美食 众多 ；,[0_1_2_3],[4],CMU
124,治安 非常 良好 ， 安静 的 住宅 街 。,[0_1_2_4_5_6_7],[3_8],CMU
125,周围 很多 学生 和 医生 ， 以及 华人 同学 。,[0_1_2_3_4_6_7_8],[5_9],CMU
126,卧室 面积 很 大 ， 虽然 是 客厅 ， 但 并不 会 影响 隐私 ， 也 不 会 有 什么 噪音 影响 休息 。,[0_1_2_3_5_6_7_9_10_11_12_13_15_16_17_18_19_20_21_22],[4_8_14_23],CMU
127,房间 家具 齐全 （ 床 ， 书架 ， 桌子 ， 衣架 ， 椅子 ， 小 沙发 ， 台灯 等 ） ， 拎包 入住 。,[0_1_2_4_6_8_10_12_14_15_17_18_21_22],[3_5_7_9_11_13_16_19_20_23],CMU
128,适合 暑期 来 cmu/pitt 交流 的 同学 。,[0_1_2_4_5_6],[3_7],CMU
129,公寓 有 人 接收 快递 ， 维修 也 算 及时 。,[0_1_2_3_4_6_7_8_9],[5_10],CMU
130,健身房 楼 主 一直 是 去 学校 ， 毕竟 很 近 。,[0_1_2_3_4_5_6_8_9_10],[7_11],CMU
132,房子 干净 整洁 ， 环境 优雅 ， 宽敞 ， 安静 。,[0_1_2_4_5_7_9],[3_6_8_10],CMU
138,附近 环境 安全 安静 ， 安全 指标 全 绿 。,[0_1_2_3_5_6_7_8],[4_9],CMU
139,#NAME?,[1_2_3_4_5_6_7_8_9],[0_10],CMU
140,客厅 和 卧室 光线 充足 ， 均 连接 了 巨大 的 阳台 ， 每 天 看 着 心情 很 好 ～ 暑假 短 租 的 话 可以 只 租 卧室 ， 也 可以 整 间 出租 。,[0_1_2_3_4_6_7_8_9_10_11_13_14_15_16_17_18_19_21_22_23_24_25_26_27_28_29_31_32_33_34_35],[5_12_20_30_36],CMU
142,公寓 附近 社区 很 安全 ， 周围 环境 很 好 。,[0_1_2_3_4_6_7_8_9],[5_10],CMU
143,附带 健身 室 。,[0_1_2],[3],CMU
144,或 微 信 white_wolf_king,[0_1_2],[3],CMU
145,您 好 ！,[0_1],[2],CMU
146,欢迎 入住 。,[0_1],[2],CMU
147,地理 位置 不 能 更好 。,[0_1_2_3_4],[5],CMU
156,公共 区域 家具 + 生活 用品 全部 齐全 ， 入住 方便 。,[0_1_2_4_5_6_7_9_10],[3_8_11],CMU
157,卧室 和 厨房 餐厅 家具 用具 齐全 ， 拎包 入住 ！,[0_1_2_3_4_5_6_8_9],[7_10],CMU
160,租金 ： $450 全 包 （ 客厅 ）,[0_3_4_6],[1_2_5_7],CMU
161,房间 的 大小 从 十六 平米 到 十三 平米 不等 ， 一 楼 是 餐厅 ， 客厅 ， 和 厨房 .,[0_1_2_3_4_5_6_7_8_9_11_12_13_14_16_18_19],[10_15_17_20],CMU
162,二 楼 四 个 卧室 ， 三 楼 两 个 卧室 .,[0_1_2_3_4_6_7_8_9_10],[5_11],CMU
163,房间 宽敞 ， 明亮 ， 安静 ， 独立 ， 互 不 干扰 。,[0_1_3_5_7_9_10_11],[2_4_6_8_12],CMU
164,旁边 是 公园 和 植物园 。,[0_1_2_3_4],[5],CMU
165,八月 可以 入住 。,[0_1_2],[3],CMU
166,房间 属于 专门 翻修 过 的 ， 整体 感觉 算 比较 新 的 那 种 ， 暖气 很 足 。,[0_1_2_3_4_5_7_8_9_10_11_12_13_14_16_17_18],[6_15_19],CMU
167,时间 : may.,[0],[1_2],CMU
168,便利 条件 :,[0_1],[2],CMU
169,免费 停车场 / 泳池 / 健身房,[0_1_3_5],[2_4],CMU
170,一 楼 有 客厅 跟 厨房 ， 还 有 个 后 花园 可以 烧烤 。,[0_1_2_3_4_5_7_8_9_10_11_12_13],[6_14],CMU
171,附近 邻居 都 超级 友好 安静 ！,[0_1_2_3_4_5],[6],CMU
172,超级 方便 。,[0_1],[2],CMU
173,一 对 情侣 想 5.,[0_1_2_3],[4],CMU
174,谢谢 大家 。,[0_1],[2],CMU
175,入住 时间 不变 ， 限 女生 。,[0_1_2_4_5],[3_6],CMU
176,欢迎 咨询 ！,[0_1],[2],CMU
177,顶 一下 吐血 最后 降价 甩卖 顶 一下,[0_1_2_3_4_5_6_7],[],CMU
178,基本 家具 齐全 ， 拎包 入住 。,[0_1_2_4_5],[3_6],CMU
179,公寓 条件 好 、 治安 佳 。,[0_1_2_4_5],[3_6],CMU
180,， 是 独 栋 房屋 的 一 层 。,[1_2_3_4_5_6_7],[0_8],CMU
181,两 侧 也 可 免费 趴 车 。,[0_1_2_3_4_5_6],[7],CMU
182,顶 一下 顶 一下 顶 一下 仍然 有效 顶 一下 ， 可 议价 仍然 有效,[0_1_2_3_4_5_6_7_8_9_11_12_13_14],[10],CMU
183,顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~,[0_2_4_6_8_10_12_14],[1_3_5_7_9_11_13_15],CMU
184,户型 设计 很 容易 隔断 ， 进 房间 、 浴室 、 厨房 都 不 需要 经过 客厅 。,[0_1_2_3_4_6_7_9_11_12_13_14_15_16],[5_8_10_17],CMU
185,总而言之 拎包 入住,[0_1_2],[],CMU
186,购物 吃饭 上学 都 很 方便 ， 而且 附近 是 犹太 社区 所以 非常 安全 。,[0_1_2_3_4_5_7_8_9_10_11_12_13_14],[6_15],CMU
187,三 个 人 住 所以 价格 相对 便宜 。,[0_1_2_3_4_5_6_7],[8],CMU
188,家具 厨具 ， 暖气 ， 空调 都 有 。,[0_1_3_5_6_7],[2_4_8],CMU
190,公寓 特色 ：,[0_1],[2],CMU
191,搭乘 公交 非常 方便 ， 详见 下面 。,[0_1_2_3_5_6],[4_7],CMU
192,卫生间 设施 干净 、 整洁 、 配置 齐全 且 有 东南 朝向 窗户 （ 容易 保持 通风 、 干燥 ） ；,[0_1_2_4_6_7_8_9_10_11_12_14_15_16_18],[3_5_13_17_19_20],CMU
193,也 可以 单个 房间 出租 ， 价钱 可以 商量 。,[0_1_2_3_4_6_7_8],[5_9],CMU
194,东西 坏 了 联系 房东 会 尽快 修 。,[0_1_2_3_4_5_6_7],[8],CMU
195,超大 客厅 ， 有 隔断 和 屏风 ， 安静 舒适 。,[0_1_3_4_5_6_8_9],[2_7_10],CMU
196,水电 网 全 包 ， 家具 齐全 ， 拎包 入住 。,[0_1_2_3_5_6_8_9],[4_7_10],CMU
197,客厅 不 住 人 ！,[0_1_2_3],[4],CMU
198,两 个 洗手间 不 相互 影响 ！,[0_1_2_3_4_5],[6],CMU
199,与 房东 签约 ， 房租 已 包括 水电 等 所有 费用 。,[0_1_2_4_5_6_7_8_9_10],[3_11],CMU
200,周围 安全 安静 。,[0_1_2],[3],CMU
201,本人 在 这 居住 感觉 非常 便利 。,[0_1_2_3_4_5_6],[7],CMU
202,另 有 几 家 中餐 外卖 都会 送到 公寓 门口 。,[0_1_2_3_4_5_6_7_8_9],[10],CMU
203,比起 住 学校 附近 的 公寓 ， 其实 通勤 时间 不 会 差 很 远 。,[0_1_2_3_4_5_7_8_9_10_11_12_13_14],[6_15],CMU
204,最好 是 男生 .,[0_1_2],[3],CMU
205,希望 找 一 位 爱 干净 女生 。,[0_1_2_3_4_5_6],[7],CMU
206,还有 六七 两 月 可以 出租 继续 顶 !,[0_1_2_3_4_5_6_7],[8],CMU
207,拎包 入住 !,[0_1],[2],CMU
208,整 套 房子 够 近 ， 户型 也 很 好 。,[0_1_2_3_4_6_7_8_9],[5_10],CMU
209,两 分 种 步行 到 匹 大 。,[0_1_2_3_4_5_6],[7],CMU
210,私人 锁 。,[0_1],[2],CMU
211,一 个 人 租 六百 ;,[0_1_2_3_4],[5],CMU
212,加 一百 元 包 煤气 水 电网 。,[0_1_2_3_4_5_6],[7],CMU
213,有 空调 。,[0_1],[2],CMU
214,整个 房子 六 个 卧室 两 个 厨房 三 个 卫生间 。,[0_1_2_3_4_5_6_7_8_9_10],[11],CMU
215,豪华 装修 。,[0_1],[2],CMU
216,安全 安静 。,[0_1],[2],CMU
218,请 联系 微 信 weiclar2b.,[0_1_2_3],[4],CMU
219,价钱 可以 商量 ～ 时间 也 可以 商量 ～ 希望 是 爱 干净 的 女生 。,[0_1_2_4_5_6_7_9_10_11_12_13_14],[3_8_15],CMU
220,微 信号 : lo_me-sh,[0_1],[2_3],CMU
221,房间 很 新 （ 重新 装修 过 ） 。,[0_1_2_4_5_6],[3_7_8],CMU
222,欢迎 来看 ！,[0_1],[2],CMU
224,有意 可 联系 微 信 ： 152******** 。,[0_1_2_3_4],[5_6_7],CMU
227,家具 餐具 齐全 。,[0_1_2],[3],CMU
228,全 包 。,[0_1],[2],CMU
231,家具 部分 提供 ： 客厅 和 餐厅 家具 齐全 。,[0_1_2_4_5_6_7_8],[3_9],CMU
232,一楼 ： 餐厅 、 客厅 、 大 厨房 ， 半 个 卫生间 。,[0_2_4_6_7_9_10_11],[1_3_5_8_12],CMU
233,实木 地板 。,[0_1],[2],CMU
234,还有 一 个 三 楼 独 用 卫生间 。,[0_1_2_3_4_5_6_7],[8],CMU
235,地毯 为主 。,[0_1],[2],CMU
236,半 个 卫生间 。,[0_1_2],[3],CMU
237,免费 使用 。,[0_1],[2],CMU
238,冬天 有 暖气 ， 夏天 有 中央 空调 。,[0_1_2_4_5_6_7],[3_8],CMU
239,房子 维护 非常 好 。,[0_1_2_3],[4],CMU
240,今天 就 可以 入住 。,[0_1_2_3],[4],CMU
241,对 家具 、 地点 有 什么 具体 要求 。,[0_1_3_4_5_6_7],[2_8],CMU
242,或者 在 此 留言 ， 谢谢 ！,[0_1_2_3_5],[4_6],CMU
243,打扰 大家 ！,[0_1],[2],CMU
244,谢谢 大家 ！,[0_1],[2],CMU
245,开始 时间 ， 结束 时间 还 有 价格 均 可 刀 。,[0_1_3_4_5_6_7_8_9_10],[2_11],CMU
246,顶 一下 ～ ～,[0_1],[2_3],CMU
247,公寓 情况 良好 ， 房间 规整 宽敞 ， 拎包 入住 。,[0_1_2_4_5_6_8_9],[3_7_10],CMU
250,补充 三 张 图片,[0_1_2_3],[],CMU
251,公寓 设施 新 ， 物业 良好 。,[0_1_2_4_5],[3_6],CMU
252,有 专人 负责 接受 、 保管 包裹 ， 提供 免费 上门 维修 活动 。,[0_1_2_3_5_6_8_9_10_11_12],[4_7_13],CMU
253,学长 会 买 车 因此 生活 中 有 什么 紧急 情况 也 会 很 方便 ！,[0_1_2_3_4_5_6_7_8_9_10_11_12_13_14],[15],CMU
254,房子 户型 见 附件 （ 客厅 非常 非常 好 隔断 ！,[0_1_2_3_5_6_7_8_9],[4_10],CMU
255,谢谢 ： ）,[0],[1_2],CMU
256,卧室 地毯 。,[0_1],[2],CMU
257,卫生间 和 厨房 是 瓷砖 。,[0_1_2_3_4],[5],CMU
258,两 个 卫生间 非常 干净 。,[0_1_2_3_4],[5],CMU
259,拎包 入住 ！,[0_1],[2],CMU
261,房子 干净 整洁 ， 环境 优雅 ， 宽敞 ， 安静 ， 明亮 。,[0_1_2_4_5_7_9_11],[3_6_8_10_12],CMU
262,两 厅 特别 大 。,[0_1_2_3],[4],CMU
263,新装 的 窗子 和 中央 空调 。,[0_1_2_3_4_5],[6],CMU
266,交通 方便 ， 房 区 安全 。,[0_1_3_4_5],[2_6],CMU
267,松鼠 山 附近 有 超市 ， 餐馆 ， 吃喝 购物 非常 方便 。,[0_1_2_3_4_6_8_9_10_11],[5_7_12],CMU
269,一 楼 为 餐厅 、 客厅 和 厨房 ， 带 洗手间 ；,[0_1_2_3_5_6_7_9_10],[4_8_11],CMU
270,二 楼 有 四 个 卧室 和 洗手间 ；,[0_1_2_3_4_5_6_7],[8],CMU
271,（ 备注 租房 ）,[1_2],[0_3],CMU
272,价格 可 商量 。,[0_1_2],[3],CMU
273,家具 厨具 都 有 ， 中央 空调 。,[0_1_2_3_5_6],[4_7],CMU
274,要求 : 爱 干净 ， 好 相处 。,[0_2_3_5_6],[1_4_7],CMU
284,夏天 两 面 通风 ， 不 会 热 。,[0_1_2_3_5_6_7],[4_8],CMU
285,房间 照片 私下 联系 。,[0_1_2_3],[4],CMU
286,已 降价 ！,[0_1],[2],CMU
287,自己 顶 ， 房子 还 在 招租 ！,[0_1_3_4_5_6],[2_7],CMU
288,卧室 无 窗 但 有 独立 卫浴 ， 中央 空调 。,[0_1_2_3_4_5_6_8_9],[7_10],CMU
289,精装 修 家具 全 免费 无线 上网 ！,[0_1_2_3_4_5_6],[7],CMU
290,别墅 设 中央 空调 和 暖气 。,[0_1_2_3_4_5],[6],CMU
291,也 可 看 露天 电影 和 体验 野餐 ；,[0_1_2_3_4_5_6_7],[8],CMU
292,也 可 去 散步 / 跑步 / 锻炼 身体 ） 。,[0_1_2_3_5_7_8],[4_6_9_10],CMU
294,价格 好 商量,[0_1_2],[],CMU
295,洗手 间 与 两 人 共享 。,[0_1_2_3_4_5],[6],CMU
296,路上 一般 见到 都 是 学生 ， 很少 见到 游民 ， 公寓 对面 是 公园 和 一 个 艺术馆 ， 环境 很 好 很 安静 。,[0_1_2_3_4_5_7_8_9_11_12_13_14_15_16_17_18_20_21_22_23_24],[6_10_19_25],CMU
297,房 内 有 可 调节 的 电扇 ， 愉快 度过 夏天 。,[0_1_2_3_4_5_6_8_9_10],[7_11],CMU
298,房间 非常 宽敞 ~ ~,[0_1_2],[3_4],CMU
299,床 和 灯,[0_1_2],[],CMU
300,另外 有 两 家 中餐 外卖 都会 送到 公寓 门口 。,[0_1_2_3_4_5_6_7_8_9],[10],CMU
301,短 租 期间 会 和 另 一 个 女生 共用 卫生间 。,[0_1_2_3_4_5_6_7_8_9_10],[11],CMU
302,我 是 女生 ， 房间 非常 干净 。,[0_1_2_4_5_6],[3_7],CMU
303,生活 交通 都 很 便利 ！,[0_1_2_3_4],[5],CMU
304,备注 租房 。,[0_1],[2],CMU
305,购物 吃饭 上学 都 非常 方便 。,[0_1_2_3_4_5],[6],CMU
306,宽敞 明亮 。,[0_1],[2],CMU
307,晚上 回家 很 安全 .,[0_1_2_3],[4],CMU
308,具体 价格 和 时间 都 是 可以 商量 的 .,[0_1_2_3_4_5_6_7_8],[9],CMU
309,有 兴趣 的 同学 可以 联系 我 看 房 ， 或者 图片 .,[0_1_2_3_4_5_6_7_8_10_11],[9_12],CMU
317,中 超 （ 熊猫 超市 ） 特别 特别 近 。,[0_1_3_4_6_7_8],[2_5_9],CMU
318,下面 是 我 房间 的 照片 啦 ， 有点 乱 ， 不过 走 的 时候 会 收拾 的 。,[0_1_2_3_4_5_6_8_9_11_12_13_14_15_16_17],[7_10_18],CMU
320,看起来 很 不错,[0_1_2],[],CMU
321,不 能 更 低 了 ！,[0_1_2_3_4],[5],CMU
322,不过 是 不 包 电网 哈 ~ ~ 顶 ！,[0_1_2_3_4_5_8],[6_7_9],CMU
323,顶 一下 顶,[0_1_2],[],CMU
324,家具 齐全 ， 可以 拎包 入住 。,[0_1_3_4_5],[2_6],CMU
325,公寓 整体 管理 非常 好 ， 周围 街区 也 很 安静 。,[0_1_2_3_4_6_7_8_9_10],[5_11],CMU
328,有 专人 负责 开门 和 接受 快递 包裹 。,[0_1_2_3_4_5_6_7],[8],CMU
329,出租 我 的 房间 有 没 有 联系 方式 啊,[0_1_2_3_4_5_6_7_8_9],[],CMU
330,客厅 有 良好 隔断 ， 家具 齐全 ， 有 独立 空调 ， 可 直接 拎包 入住 。,[0_1_2_3_5_6_8_9_10_12_13_14_15],[4_7_11_16],CMU
331,价格 可以 商议 ， 谢谢 ！,[0_1_2_4],[3_5],CMU
332,继续 顶 ！,[0_1],[2],CMU
333,时间 价格 可 议 ， 不 要 错过 哦 ！,[0_1_2_3_5_6_7_8],[4_9],CMU
