sentence ID,original,translated,untranslated word,cs indices in original,cs indices in translated,punct indices in original,punct indices in translated
33,暑期 短 租 还 available 哦 。,暑期 短 租 还 有空的 哦 。,[],[4],[4],[6],[6]
35,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,[],[1_8],[1_8],[7_13_17_20],[7_13_17_20]
36,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,[],[1],[1_2],[4],[5]
42,联系 电话 : pn-0 ， email : em@3,联系 电话 : pn-0 ， 电子 邮箱 : em@3,[],[5_6_7],[5_6_7_8],[2_3_4_6_7],[2_3_4_7_8]
45,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,[],[4],[4],[7_15],[7_15]
46,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !,[],[3],[3],[9],[9]
49,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 : 二 楼 和 地下室 各 有 一 个 卫生间,[],[0_1],[0_1],[1],[1]
53,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,[],[1],[1],[5],[5]
54,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用 。,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， 单人 床 都 可以 用 。,[],[16_17],[16],[7_15_22],[7_15_21]
56,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,[],[3_4_5_6],[3_4_5_6],[2_6],[2_6]
57,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,[],[2_3_4_5_6_7_8_9_10],[2_3_4_5_6_7_8_9_10_11_12],[1_4_7_10],[1_4_8_12]
61,# 家具 齐全 : 房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,# 家具 齐全 : 房间 有 双人床 ， 步入 式 衣柜 ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,[],[0_6_7_10_11_12_13],[0_6_7_8_9_10_11],[0_3_9_13_16_18_20_22_23_29],[0_3_7_11_14_16_18_20_21_27]
62,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,[],[0_5_6_8_9_10_25_26],[0_5_6_8_9_24_25],[10_16_26],[9_15_25]
63,【 其他 】 包 utility fee ， 价格 和 时间 可 议 。,【 其他 】 包 物业费 ， 价格 和 时间 可 议 。,[],[0_4_5_6],[0_4_5],[0_2_6_12],[0_2_5_11]
64,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,[],[3],[3],[9_16],[9_16]
67,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,[],[6_7],[6_7],[7],[7]
68,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好 好 相处 ， 绝对 不 会 打扰 你 。,[],[2],[2],[5_11],[5_11]
69,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,[],[0_9_10],[0_9_10],[0_2_6_10_15],[0_2_6_10_15]
76,an open-air shopping 经历 。,一 次 露天 购物 经历 。,[],[0_1_2],[0_1_2_3],[4],[5]
79,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[0_9_10],[0_9_10],[0_4_10_15],[0_4_10_15]
80,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下 ： email : em@5,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下 ： 电子 邮箱 : em@5,[],[13_14_15],[13_14_15_16],[8_12_14_15],[8_12_15_16]
83,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,[],[1],[1],[7_11],[7_11]
84,房子 目前 half furnished ，,房子 目前 装修 了 一半 ，,[],[2_3_4],[2_3_4_5],[4],[5]
85,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,[],[4_5_6],[4_5_6],[6_9_11_13_17_19_24],[6_9_11_13_17_19_24]
87,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,想 找 1-2 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,[],[7_8_10_11_12],[7_8_10_11_12],[12],[12]
89,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,[],[4],[3_4],[7_10],[7_10]
92,budget 灵活 。,资金 灵活 。,[],[0],[0],[2],[2]
93,客厅 超大 ， walk-in closet 也 很 大 。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,[],[4],[3_4_5],[2_8],[2_9]
95,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,[],[6],[6],[3_8],[3_8]
96,出门 走 一 分钟 不到 就 有 81-83 bus 。,出门 走 一 分钟 不到 就 有 81 - 83 路 公交 。,[],[8_9],[7_8_9_10_11_12],[9],[8_12]
97,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,[],[0_1_4_5],[0_1_4_5],[5_10_20],[5_10_20]
98,房东 人 很 nice 。,房东 人 很 好 。,[],[3_4],[3_4],[4],[4]
99,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,[],[6],[6_7],[4_10],[4_11]
100,半夜 两 点 走 block 都 不 怕 。,半夜 两 点 走在 街区 都 不 怕 。,[],[4],[3_4],[8],[8]
102,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,卧室 内 家具 齐全 ， 标准 双人 床 ， 拎包 入住 。,[],[5_6],[5_6],[4_8_11],[4_8_11]
103,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,[],[1_3],[1_3],[6_15],[6_15]
107,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,[],[7_8_9],[7_8_9],[9_13_20],[9_13_20]
108,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调 。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调 。,[],[5_6],[5_6],[6_12],[6_12]
110,户型 ： 一 楼 是 超大 living room ， dining room ， sun room 及 厨房 。,户型 ： 一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房 及 厨房 。,[],[6_7_8_9_10_11_12_13],[6_7_8_9_10_11],[1_8_11_16],[1_7_9_14]
117,还 有 其他 utility 吗 ？,还 有 其他 设施 或 服务 吗 ？,[],[3],[3_4_5],[5],[7]
119,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,[],[3],[3_4],[11],[12]
121,也 有 parking 。,也 有 停车 坪 。,[],[2_3],[2_3_4],[3],[4]
123,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 washer dryer ， 可 包 utility ， queen 床 ， 厨具 和 床上 用品 都 可以 提供 。,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 洗衣机 和 烘干机 ， 可 包 物业费 ， 标准 双人床 ， 厨具 和 床上 用品 都 可以 提供 。,[],[13_14_15_18_19_20],[13_15_16_19_20_21_22_23],[2_5_8_15_19_22_30],[2_5_8_16_20_23_31]
124,house 出租 2018 .,房屋 出租 2018 。,[],[0],[0_2],[3],[3]
125,房型 ： house 一 层 ， 与 二 层 完全 独立 。,房型 ： 房屋 一 层 与 二 层 完全 独立 。,[],[2],[2],[1_5_11],[1_10]
127,周边 有 一 个 pizza 店 ， 一 个 墨西哥 菜 。,周边 有 一 个 披萨店 ， 一 个 墨西哥 菜 。,[],[4],[4_5],[6_11],[5_10]
134,餐厅 和 deck 之前 是 全 景 玻璃 门 。,餐厅 和 露台 之前 是 全 景 玻璃 门 。,[],[2],[2],[9],[9]
135,生活 不 只是 便利 ， 是 非常 丰富 ~ 关于 租约 和 价格 bedroom 1$600 ， bedroom 2$540 ， bedroom 3$520 ；,生活 不 只是 便利 ， 是 非常 丰富 ~ 关于 租约 和 价格 卧室 1$600 ， 卧室 2$540 ， 卧室 3$520 ；,[],[13_14_15_16_17_18_19_20_21],[13_14_15_16_17_18_19_20_21],[4_8_15_18_21],[4_8_14_15_17_18_20_21]
136,非常 宽敞 ， 可以 放 两 张 full-size 床 ， 还有 walk-in closet ！,非常 宽敞 ， 可以 放 两 张 单人床 ， 还有 步入 式 衣柜 ！,[],[12_13],[7_8_10_11_12_13],[2_9_13],[2_8_13]
140,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！,[],[14_15],[14_15],[2_15],[2_15]
143,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available 。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。,[],[12_13],[12_13_14],[8_13],[8_14]
145,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！,[],[5],[5],[9],[9]
146,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,[],[29_30_31],[29_30_31],[12_22_28_31],[12_22_28_31]
150,房间 宽敞 ， 客厅 更大 ， 可 开 party ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,房间 宽敞 ， 客厅 更大 ， 可 开 派对 ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,[],[8_9],[8_9],[2_5_9_16_19],[2_5_9_16_19]
151,欢迎 text ， 不 能 时时 接 电话 。,欢迎 来 短信 ， 不 能 时时 接 电话 。,[],[1_2],[1_2_3],[2_8],[3_9]
156,utility 不 包 。,公用 事业 不 包 。,[],[0],[0_1],[3],[3]
159,电话 ： pn-1 ， email : em@13,电话 ： pn-1 ， 邮箱 : em@13,[],[4_5_6],[4_5_6],[1_2_3_5_6],[1_2_3_5_6]
160,价格 ： $500 / 月 ， 包含 所有 utility 。,价格 ： $500 / 月 ， 包含 所有 水电气 等 服务费 。,[],[8_9],[8_9_10_11],[1_3_5_9],[1_2_3_5_11]
162,门口 有 bus 到 中国 店 等 。,门口 有 公交 到 中国 店 等 。,[],[2],[2],[7],[7]
164,路由器 是 dual band ！,路由器 是 双频的 ！,[],[2_3_4],[2_3],[4],[3]
165,价格 公道 ， 附近 其他 房子 算 utility fee 都 要 大概 700-800 左右 。,价格 公道 ， 附近 其他 房子 算 服务费 都 要 大概 700-800 左右 。,[],[7_8],[7],[2_14],[2_11_13]
169,（ utility 全 包 ） 。,（ 水电气 费 全 包 ） 。,[],[0_1],[0_1_2],[0_4_5],[0_5_6]
170,main office 就 在 地下 一 楼 ， 咨询 非常 方便 。,总 办公室 就 在 地下 一 楼 ， 咨询 非常 方便 。,[],[0_1],[0_1],[7_11],[7_11]
171,我 希望 租 一 个 房间 前 一 整 年 lease 。,我 希望 租 一 个 房间 前 一 整 年 的 租期 。,[],[10_11],[10_11_12],[11],[12]
177,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,全新 的 宜家 买 的 小 单人床 的 床 和 书桌 柜子 ， 房间 内 有 衣柜 。,[],[5_6_16_17],[5_6_16_17],[12_17],[12_17]
178,pn-3 call 或者 text 都 阔 以 。,pn-3 打 电话 或者 发 短信 都 阔 以 。,[],[0_1_3],[0_1_2_4_5_7],[0_7],[0_9]
179,只 用 交 electronic utility ， 三 人 平分 。,只 用 交 电费 ， 三 人 平分 。,[],[3_4_5],[3_4],[5_9],[4_8]
180,我俩 都 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我俩 都 是 刚 毕业 没 多久 的 年轻 职员 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,[],[8_9_10],[8_9_10],[10_14_21],[10_14_21]
182,联系 电话 : pn-4 ， email : em@3,联系 电话 : pn-4 ， 邮箱 : em@3,[],[5_6_7],[5_6_7],[2_3_4_6_7],[2_3_4_6_7]
184,另 有 全套 基本 家具 （ full size 床 / 书桌 / 柜子 / 空调 ） 如 需要 可 低价 转让 。,另 有 全套 基本 家具 （ 单人 床 / 书桌 / 柜子 / 空调 ） 如 需要 可 低价 转让 。,[],[6_7],[6],[5_9_11_13_15_21],[5_8_10_12_14_20]
185,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,可以 共用 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,[],[1],[1],[5_8_11],[5_8_11]
189,有 小 路 可以 快速 通向 forbes 上 各 种 饭店 。,有 小 路 可以 快速 通向 福布斯 榜单 上 各 种 饭店 。,[],[6],[6_7],[11],[12]
190,一 楼 还 有 一 个 健身房 ， 及 vending machine + 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,一 楼 还 有 一 个 健身房 ， 及 自动 售卖 机和 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,[],[9_10_11],[9_10_11],[7_11_15_23],[7_15_23]
192,utility 公寓 全 包 ， 网 费 三 人 均摊 。,水电气 等 费用 公寓 全 包 ， 网 费 三 人 均摊 。,[],[0],[0_1_2],[4_10],[6_12]
193,家具 ： 整个 house 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,家具 ： 整个 房子 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,[],[3],[3],[1_6_11_16_20],[1_6_11_16_20]
194,次 卧室 也 不 小 ， 可以 放 full size bed ， 面向 后院 安静 。,次 卧室 也 不 小 ， 可以 放 单人床 ， 面向 后院 安静 。,[],[8_9_10_11],[8_9],[5_11_15],[5_9_13]
198,这个 房间 在 夏季 是 整 个 house 最 凉爽 的 屋子 ， 最 热 的 时候 也 可以 不 开 风扇 。,这个 房间 在 夏季 是 整 个 房子 最 凉爽 的 屋子 ， 最 热 的 时候 也 可以 不 开 风扇 。,[],[7],[7],[12_22],[12_22]
199,房间 / 客厅 / share 都 可以 ， 有 张 床 就 行 。,房间 / 客厅 / 共用 都 可以 ， 有 张 床 就 行 。,[],[4],[4],[1_3_7_13],[1_3_7_13]
201,卧室 里 有 一 个 queen bed ， 凉台 上 又 一 个 twin bed 。,卧室 里 有 一 个 标准 双人床 ， 凉台 上 又 一 个 单人床 。,[],[5_6_7_13_14_15],[5_6_7_13_14],[7_15],[7_14]
203,两 个 block 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,两 个 街区 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,[],[2],[2],[8_10_15],[8_10_15]
204,about apt ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,关于 公寓 ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,[],[0_1_2],[0_1_2],[2_7_11_14_18_24],[2_7_11_14_18_24]
206,bedroom ， den ， 和 hallway 均 有 closet 3 .,卧室 ， 小 房间 ， 和 门廊 都 有 衣柜 。,[],[0_1_2_3_5_8_9_10],[0_1_2_3_4_6_7_9],[1_3_10],[1_4]
207,bedroom 和 den 之间 有 一 扇 滑动 门 地图 ：,房间 和 之间 有 一 扇 滑动 门 地图 ：,[],[0_2],[0],[10],[9]
208,同 问 楼主 这个 house 现在 还 在 招租 吗 ？,同 问 楼主 这个 房子 现在 还 在 招租 吗 ？,[],[4],[4],[10],[10]
209,洗 手间 春天 刚 remodel 过 很 干净 。,洗 手间 春天 刚 改造 过 很 干净 。,[],[4],[1_4],[8],[8]
210,公寓 有 free parking 。,公寓 有 免费 停车场 。,[],[2_3_4],[2_3_4],[4],[4]
211,manager 很 nice ， 有 问题 会 及时 给 解决 。,经理 很 好 ， 有 问题 会 及时 给 解决 。,[],[0_2_3],[0_2_3],[3_10],[3_10]
212,洗衣 房 在 basement ；,洗衣 房 在 地下室 ；,[],[3_4],[3_4],[4],[4]
214,楼道 building manager 和蔼可亲 。,楼道 物业 经理 和蔼可亲 。,[],[1_2],[1_2],[4],[4]
215,outside : lobby : floor plan : floor plan 显示 的 中间 客厅 有 空隙 的 区域 其实 完全 封闭 。,外部 : 大堂 : 楼层 设计 : 楼层 设计 显示 的 中间 客厅 有 空隙 的 区域 其实 完全 封闭 。,[],[0_1_2_3_4_5_6_7_8],[0_1_2_3_4_5_6_7_8],[1_3_6_20],[1_3_6_20]
216,room : 超大 空间 ， 包 家具 ， 直接 入住 。,房间 : 超大 空间 ， 包 家具 ， 直接 入住 。,[],[0_1],[0_1],[1_4_7_10],[1_4_7_10]
218,附近 house 的 地下室 或者 车库 都 是 可以 的 。,附近 房子 的 地下室 或者 车库 都 是 可以 的 。,[],[1],[1],[10],[10]
219,家具 ： queen size 床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,家具 ： 标准 双人床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,[],[2_3],[2_3_4],[1_5_9_14],[1_4_8_13]
221,联系 方式 ： email : em@16,联系 方式 ： 电子 邮箱 : em@16,[],[3_4_5],[3_4_5_6],[2_4_5],[2_5_6]
222,后院 有 double deck ， 很 休闲 安静 。,后院 有 双层 露台 ， 很 休闲 安静 。,[],[2_3_4],[2_3_4],[4_8],[4_8]
223,同学 自己 申请 和 分摊 utility .,同学 自己 申请 和 分摊 水电气 费 。,[],[5_6],[5_6_7],[6],[7]
225,其他 utility 按 人头 平分 。,其他 服务费 按 人头 平分 。,[],[1],[1],[5],[5]
226,电话 ： pn-4 ， email,电话 ： pn-4 ， 邮箱,[],[4],[4],[1_2_3],[1_2_3]
228,现在 还是 available 吗 ？,现在 还是 空闲 的 吗 ？,[],[2],[2_3],[4],[5]
231,house 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,房子 一共 有 三 间 卧室 ， 另外 两 间 分别 住 了 一 个 匹 大 本科 美国 女生 ， 和 一 个 匹 大 博士后 中国 男生 。,[],[0],[0],[6_20_29],[6_20_29]
233,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,房子 目前 几乎 是 家具 齐全 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 等 。,[],[4_5_6],[4_5_6],[6_9_11_13_17_20],[6_9_11_13_17_20]
234,房子 位 于 greenfield ， 非常 安静 ， 新 装修 ， 电器 也 都 是 全新 的 。,房子 位于 绿地 ， 非常 安静 ， 新 装修 ， 电器 也 都 是 全新 的 。,[],[3_4],[1_2_3],[4_7_10_17],[3_6_9_16]
238,之前 选 这个 房子 也 是 因为 小区 非常 安静 ， 邻居 都 很 nice ， 房子 特别 新 。,之前 选 这个 房子 也 是 因为 小区 非常 安静 ， 邻居 人 都 很 好 ， 房子 特别 新 。,[],[14_15],[12_15_16],[10_15_19],[10_16_20]
239,如果 renew ， 也 是 yearly lease 从 夏天 都 夏天 。,如果 更新 ， 也 是 一 年 期 租约 从 夏天 都 夏天 。,[],[1_2_5_6],[1_2_5_6_7_8],[2_11],[2_13]
240,不 包括 utilities .,不 包括 水电气 等 服务费 。,[],[2_3],[2_3_4_5],[3],[5]
241,同学 之间 分摊 utilities .,同学 之间 分摊 水电气 等 服务费 。,[],[3_4],[3_4_5_6],[4],[6]
244,朋友 来 聚餐 ， 开 party 都 有 足够 空间 。,朋友 来 聚餐 ， 开 派对 都 有 足够 空间 。,[],[5],[5],[3_10],[3_10]
245,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 apartment 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 公寓 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置 。,[],[12],[12],[4_15_24],[4_15_24]
246,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1 .,这 附近 的 公寓 的 租金 至少 都 是 这个 房子 的 1 。,[],[3],[3_12_13],[13],[13]
247,顶 个 ~ update 一下 ： 房子 还 在 。,顶 个 ~ 更新 一下 ： 房子 还 在 。,[],[3],[3],[2_5_9],[2_5_9]
248,适合 爸 妈 来 visit ， 男女 朋友 来 visit ， 各 种 。,适合 爸 妈 来 玩 ， 男女 朋友 来 玩 ， 各 种 。,[],[4_5_9_10],[4_5_9_10],[5_10_13],[5_10_13]
249,apartment 是 一 房 一 厅 ， 一 厨房 ， 一 卫浴 。,公寓 是 一 房 一 厅 ， 一 厨房 ， 一 卫浴 。,[],[0],[0],[6_9_12],[6_9_12]
256,现在 就 可以 move in !,现在 就 可以 入住 ！,[],[3_4_5],[3_4],[5],[4]
257,周围 有 很多 餐馆 ， pizza 店 以及 很多 亚洲 食物 ；,周围 有 很多 餐馆 ， 披萨店 以及 很多 亚洲 食物 ；,[],[5],[5],[4_11],[4_10]
259,上学 放学 so easy ！,上学 放学 很 方便 ！,[],[2_3_4],[2_3_4],[4],[4]
265,类型 ： apartment 。,类型 ： 公寓 。,[],[2_3],[2_3],[1_3],[1_3]
266,夏天 开始 ， yearly lease 。,夏天 开始 ， 一 年 租期 。,[],[3_4_5],[3_4_5_6],[2_5],[2_6]
267,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,小区 环境 非常 幽静 ： 有 多 处 休闲 场地 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,[],[8],[8_9],[4_11_16_19],[4_12_17_20]
