SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,ChineseWordCount,EnglishWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfCodeSwitchedWord,IndicesOfPunctuation
15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,1,email,,,,,,,,,,,,12,1,7,[0_1_2_4_7_8_10_14_15_16_17_18],[5],[3_6_9_11_12_13_19]
16,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,,,,,,,,,,,,10,1,1,[0_1_2_3_4_5_6_7_8_10],[9],[11]
17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,,,,,,,,,,,,9,1,2,[0_1_2_4_6_7_8_9_10],[5],[3_11]
18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,1,driveway,,,,,,,,,,,,8,1,2,[0_1_2_3_5_6_7_8],[9],[4_10]
19,一楼 有 half bath 。,1,half bath,,,,,,,,,,,,2,2,1,[0_1],[2_3],[4]
20,folk library 旁边 。,1,folk library,,,,,,,,,,,,1,2,1,[2],[0_1],[3]
21,有 兴趣 联系 email : em14,1,email : em14,,,,,,,,,,,,3,1,1,[0_1_2],[3_5],[4]
22,精装 修 家具 全 free 无线 上网 !,1,free,,,,,,,,,,,,6,1,1,[0_1_2_3_5_6],[4],[7]
23,oakland 的 干净 精致 好 房 您 不 能 错过 ！,1,oakland,,,,,,,,,,,,9,1,1,[1_2_3_4_5_6_7_8_9],[0],[10]
24,停车 ： we offer free outdoor/off-street parking ， $ 20/month reserved outdoor parking ， or$55/month reserved garage parking .,3,we offer free outdoor/off-street parking,,reserved outdoor parking,,reserved garage parking,,,,,,,,1,10,8,[0],[2_3_4_6_10_11_12_15_16_17],[1_5_7_8_9_13_14_18]
25,xin 招租 plan.,1,xin,,,,,,,,,,,,1,1,1,[1],[0],[2]
26,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,1,share,,,,,,,,,,,,11,1,4,[1_2_3_5_6_7_8_11_12_13_14],[9],[0_4_10_15]
27,） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,1,nice,,,,,,,,,,,,8,1,2,[1_2_3_5_6_7_8_9],[4],[0_10]
28,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,,,,,,,,,,,,10,1,1,[0_1_2_3_4_5_6_7_8_10],[9],[11]
29,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,,,,,,,,,,,,9,1,2,[0_1_2_4_6_7_8_9_10],[5],[3_11]
30,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1.,1,apartment,,,,,,,,,,,,11,1,1,[0_1_2_4_5_6_7_8_9_10_11],[3],[12]
31,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,,,7,2,2,[0_1_3_4_5_7_8],[2_9],[6_10]
32,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,1,living room ， dining room,,,,,,,,,,,,7,4,3,[0_2_3_4_5_11_12],[6_7_9_10],[1_8_13]
33,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,1,full,,,,,,,,,,,,10,1,1,[0_1_2_3_4_5_6_7_8_10],[9],[11]
34,长 租 all gone ！,1,all gone,,,,,,,,,,,,2,2,1,[0_1],[2_3],[4]
35,room a$600 ( 双 人大 床 ） 已 租 ！,1,room,,,,,,,,,,,,5,1,4,[3_4_5_7_8],[0],[1_2_6_9]
36,暑期 短 租 还 available 哦 。,1,available,,,,,,,,,,,,5,1,1,[0_1_2_3_5],[4],[6]
37,有 车库 ， drive way parking 和 street parking 。,2,drive way parking,,street parking,,,,,,,,,,3,5,2,[0_1_6],[3_4_5_7_8],[2_9]
38,sp = sharing 联系 方式 ： em24,2,sp = sharing,,em24,,,,,,,,,,2,2,2,[3_4],[0_2_6],[1_5]
39,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,,pa,,,,,,,,,,15,2,4,[0_2_3_4_5_6_9_10_11_12_14_15_16_18_19],[1_8],[7_13_17_20]
40,欢迎 email 联系 咨询 。,1,email,,,,,,,,,,,,3,1,1,[0_2_3],[1],[4]
41,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,1,full,,,,,,,,,,,,10,1,1,[0_1_2_3_4_5_6_7_8_10],[9],[11]
42,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,1,email,,,,,,,,,,,,9,1,2,[0_1_2_4_6_7_8_9_10],[5],[3_11]
43,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1.,1,apartment,,,,,,,,,,,,11,1,1,[0_1_2_4_5_6_7_8_9_10_11],[3],[12]
44,from = feed&loc = avatar up up up ， 还有 两 个 房间 剩下 up up up,3,from,,avatar up up up,,up up up,,,,,,,,5,8,4,[9_10_11_12_13],[0_4_5_6_7_14_15_16],[1_2_3_8]
45,- 你 会 有 queen size 的 床 ， 衣 ， 柜 ， 书桌 ， 椅子 在 你 的 房间 。,1,queen size,,,,,,,,,,,,13,2,6,[1_2_3_6_7_9_11_13_15_16_17_18_19],[4_5],[0_8_10_12_14_20]
46,( 由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,2,google drive,,link,,,,,,,,,,22,3,4,[1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_17_18_19_22_24_25_27],[20_21_23],[0_16_26_28]
47,公寓 位置 方便 ， 在 market district 超市 附近 。,1,market district,,,,,,,,,,,,6,2,2,[0_1_2_4_7_8],[5_6],[3_9]
48,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,,,7,2,2,[0_1_3_4_5_7_8],[2_9],[6_10]
49,oakland 有 一 栋 三 层 楼 六 个 卧室 (,1,oakland,,,,,,,,,,,,9,1,1,[1_2_3_4_5_6_7_8_9],[0],[10]
50,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很 频繁 。,1,shuttle,,,,,,,,,,,,15,1,3,[0_1_2_3_4_5_6_8_9_11_12_13_15_16_17],[10],[7_14_18]
51,联系 电话 : pn5 ， email : em30,1,pn5 ， email : em30,,,,,,,,,,,,2,1,3,[0_1],[3_5_7],[2_4_6]
52,squirrel hill 好 房 短 租 ， 租 的 时间 越 长 越好 。,1,squirrel hill,,,,,,,,,,,,10,2,2,[2_3_4_5_7_8_9_10_11_12],[0_1],[6_13]
53,周边 ： 步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店 。,2,giant eagle,,rite aid,,,,,,,,,,12,4,3,[0_2_3_4_5_9_10_11_12_13_14_17],[6_7_15_16],[1_8_18]
54,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,1,return,,,,,,,,,,,,13,1,2,[0_1_2_3_5_6_8_9_10_11_12_13_14],[4],[7_15]
55,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,1,view,,,,,,,,,,,,8,1,1,[0_1_2_4_5_6_7_8],[3],[9]
56,地址 位 于 beacon st.,1,beacon,,,,,,,,,,,,3,1,1,[0_1_2],[3],[4]
57,后院 有 私家 车库 ， beacon st .,1,beacon st,,,,,,,,,,,,4,2,2,[0_1_2_3],[5_6],[4_7]
58,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,,,,,,,,,,,,9,1,1,[2_3_4_5_6_7_8_9_10],[0],[1]
59,周边 ： 步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店 。,2,giant eagle,,rite aid,,,,,,,,,,12,4,3,[0_2_3_4_5_9_10_11_12_13_14_17],[6_7_15_16],[1_8_18]
60,② 离 各 大 超市 近 （ giant eagle ；,1,giant eagle,,,,,,,,,,,,6,2,2,[0_1_2_3_4_5],[7_8],[6_9]
61,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品 。,1,cvs,,,,,,,,,,,,11,1,2,[0_1_2_3_4_5_8_9_10_11_12],[6],[7_13]
62,想 租 的 同学 可以 看看 论坛 里 其他 发 sherwood 的 照片 up up up !,2,sherwood,,up up up,,,,,,,,,,12,4,1,[0_1_2_3_4_5_6_7_8_9_11_12],[10_13_14_15],[16]
63,最后 up 一次 ～ up,2,up,,up,,,,,,,,,,2,2,1,[0_2],[1_4],[3]
64,适合 couple 或 单身 居住 。,1,couple,,,,,,,,,,,,4,1,1,[0_2_3_4],[1],[5]
65,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用 。,1,full size,,,,,,,,,,,,18,2,3,[0_1_2_3_4_5_6_8_9_10_11_12_13_14_18_19_20_21],[16_17],[7_15_22]
66,② 离 各 大 超市 近 （ giant eagle ；,1,giant eagle,,,,,,,,,,,,6,2,2,[0_1_2_3_4_5],[7_8],[6_9]
67,坡度 大 ， 不 适合 自行车 骑 行 联系 方式 ： 房东 steve 邮箱 ： em43,2,steve,,em43,,,,,,,,,,11,1,3,[0_1_3_4_5_6_7_8_9_11_13],[12_15],[2_10_14]
68,有 车库 ， off street parking .,1,off street parking,,,,,,,,,,,,2,3,2,[0_1],[3_4_5],[2_6]
69,要求 ： no smoking ， no pets ， no parties .,1,no smoking ， no pets ， no parties,,,,,,,,,,,,1,6,4,[0],[2_3_5_6_8_9],[1_4_7_10]
70,html 继续 有效 。,1,html,,,,,,,,,,,,2,1,1,[1_2],[0],[3]
71,② 离 各 大 超市 近 （ giant eagle ；,1,giant eagle,,,,,,,,,,,,6,2,2,[0_1_2_3_4_5],[7_8],[6_9]
72,kitchen 副本 .,1,kitchen,,,,,,,,,,,,1,1,1,[1],[0],[2]
73,up up still available update : 可 赠 家具,1,up up still available update,,,,,,,,,,,,3,5,1,[6_7_8],[0_1_2_3_4],[5]
74,【 吃 货 福音 】 附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle 。,3,sichuan gourmet,,every day noodle,,panda ， giant eagle,,,,,,,,13,8,8,[1_2_3_5_6_10_11_17_18_19_21_22_23],[7_8_13_14_15_24_26_27],[0_4_9_12_16_20_25_28]
75,电话 ： pn8 up,1,pn8 up,,,,,,,,,,,,1,1,1,[0],[2_3],[1]
76,有 车库 ， drive way parking 和 street parking 。,2,drive way parking,,street parking,,,,,,,,,,3,5,2,[0_1_6],[3_4_5_7_8],[2_9]
77,距离 giant eagle 步行 十 分钟 .,1,giant eagle,,,,,,,,,,,,4,2,1,[0_3_4_5],[1_2],[6]
78,# 家具 齐全 : 房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,2,double size,,walk in closet,,,,,,,,,,15,5,10,[1_2_4_5_8_14_15_17_19_21_24_25_26_27_28],[6_7_10_11_12],[0_3_9_13_16_18_20_22_23_29]
79,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,4,house,,shared kitchen,,dining room,,share,,,,,,18,6,3,[1_2_3_4_7_11_12_13_14_15_17_18_19_20_21_22_23_24],[0_5_6_8_9_25],[10_16_26]
80,【 其他 】 包 utility fee ， 价格 和 时间 可 议 。,1,utility fee,,,,,,,,,,,,7,2,4,[1_3_7_8_9_10_11],[4_5],[0_2_6_12]
81,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,1,doorman,,,,,,,,,,,,14,1,2,[0_1_2_4_5_6_7_8_10_11_12_13_14_15],[3],[9_16]
82,附 ： 公寓 平面图 ： ding !,1,ding,,,,,,,,,,,,3,1,3,[0_2_3],[5],[1_4_6]
83,周围 走路 可 达 whole food ， target ， trade jose 。,1,whole food ， target ， trade jose,,,,,,,,,,,,4,5,3,[0_1_2_3],[4_5_7_9_10],[6_8_11]
84,north oakland/shadyside 阳光 非常 好 。,1,north,,,,,,,,,,,,3,1,2,[2_3_4],[0],[1_5]
85,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,,pa,,,,,,,,,,15,2,4,[0_2_3_4_5_6_9_10_11_12_14_15_16_18_19],[1_8],[7_13_17_20]
86,欢迎 email 联系 咨询 。,1,email,,,,,,,,,,,,3,1,1,[0_2_3],[1],[4]
87,顶 ～ ～ up up up,1,up up up,,,,,,,,,,,,1,3,2,[0],[3_4_5],[1_2]
88,房子 在 bloom field bridge 旁边 。,1,bloom field bridge,,,,,,,,,,,,3,3,1,[0_1_5],[2_3_4],[6]
89,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich neighborhood,,,,,,,,,,,,25,2,7,[3_4_6_7_8_9_12_13_14_15_17_18_19_20_21_22_23_24_25_26_28_29_30_31_32],[0_1],[2_5_10_11_16_27_33]
90,八月 开始 可 签 一 年 lease 。,1,lease,,,,,,,,,,,,6,1,1,[0_1_2_3_4_5],[6],[7]
91,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,1,nice,,,,,,,,,,,,9,1,2,[0_1_3_4_6_7_8_9_10],[2],[5_11]
92,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,1,doorman,,,,,,,,,,,,10,1,5,[1_3_4_5_7_8_11_12_13_14],[9],[0_2_6_10_15]
93,本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 studio 。,1,studio,,,,,,,,,,,,17,1,3,[0_1_2_3_5_6_7_8_9_10_11_12_13_14_15_17_18],[19],[4_16_20]
94,二 楼 是 三 间 卧室 和 一 个 full 的 卫生间 。,1,full,,,,,,,,,,,,11,1,1,[0_1_2_3_4_5_6_7_8_10_11],[9],[12]
95,三 楼 是 一 卧 一 卫 的 studio 。,1,studio,,,,,,,,,,,,8,1,1,[0_1_2_3_4_5_6_7],[8],[9]
96,up up up up up 房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！,1,up up up up up,,,,,,,,,,,,17,5,3,[5_6_7_8_9_10_11_13_14_15_16_18_19_20_21_22_23],[0_1_2_3_4],[12_17_24]
97,up up 请问 你 是 男生 还是 女生 ？,1,up up,,,,,,,,,,,,6,2,1,[2_3_4_5_6_7],[0_1],[8]
98,步行 到 walnut street ， whole foods ， 公交 到 giant eagle ， target 也 很 方便 。,2,walnut street ， whole foods,,giant eagle ， target,,,,,,,,,,7,7,4,[0_1_8_9_14_15_16],[2_3_5_6_10_11_13],[4_7_12_17]
99,公寓 由 物业 walnut capital 管理 ， 服务 管理 都 很 好 。,1,walnut capital,,,,,,,,,,,,9,2,2,[0_1_2_5_7_8_9_10_11],[3_4],[6_12]
100,an open-air shopping 经历 。,1,an open-air shopping,,,,,,,,,,,,1,2,2,[3],[0_2],[1_4]
101,oakland ave pittsburgh 15213$700 煤气 水电 网 全 包 。,1,oakland ave pittsburgh,,,,,,,,,,,,5,3,2,[4_5_6_7_8],[0_1_2],[3_9]
102,到 giant eagle ， lotus 可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去 。,1,giant eagle ， lotus,,,,,,,,,,,,12,3,3,[0_5_6_7_8_9_11_12_13_14_15_16],[1_2_4],[3_10_17]
103,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,1,share,,,,,,,,,,,,11,1,4,[1_2_3_5_6_7_8_11_12_13_14],[9],[0_4_10_15]
104,） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,1,nice,,,,,,,,,,,,8,1,2,[1_2_3_5_6_7_8_9],[4],[0_10]
105,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下 ： email : em74,1,email : em74,,,,,,,,,,,,11,1,3,[0_1_2_3_4_5_6_7_9_10_11],[13_15],[8_12_14]
106,公寓 位 在 murray ave .,1,murray ave,,,,,,,,,,,,3,2,1,[0_1_2],[3_4],[5]
107,家 对面 就是 cvs ！,1,cvs,,,,,,,,,,,,3,1,1,[0_1_2],[3],[4]
108,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,,,,,,,,,,,,9,1,2,[0_2_3_4_5_6_8_9_10],[1],[7_11]
109,房子 目前 half furnished ，,1,half furnished,,,,,,,,,,,,2,2,1,[0_1],[2_3],[4]
110,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,,,,,,,,,,,,9,1,2,[0_2_3_4_5_6_8_9_10],[1],[7_11]
111,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,1,fully furnished,,,,,,,,,,,,16,2,7,[0_1_2_3_7_8_10_12_14_15_16_18_20_21_22_23],[4_5],[6_9_11_13_17_19_24]
112,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,,,,,,,,,,,,9,1,2,[0_2_3_4_5_6_8_9_10],[1],[7_11]
113,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,1,fully furnished,,,,,,,,,,,,16,2,7,[0_1_2_3_7_8_10_12_14_15_16_18_20_21_22_23],[4_5],[6_9_11_13_17_19_24]
114,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,,,,,,,,,,,,9,1,2,[0_2_3_4_5_6_8_9_10],[1],[7_11]
115,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,1,fully furnished,,,,,,,,,,,,16,2,7,[0_1_2_3_7_8_10_12_14_15_16_18_20_21_22_23],[4_5],[6_9_11_13_17_19_24]
116,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,,,,,,,,,,,,9,1,2,[0_2_3_4_5_6_8_9_10],[1],[7_11]
117,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,1,fully furnished,,,,,,,,,,,,16,2,7,[0_1_2_3_7_8_10_12_14_15_16_18_20_21_22_23],[4_5],[6_9_11_13_17_19_24]
118,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,1,neighborhood,,,,,,,,,,,,9,1,2,[0_2_3_4_5_6_8_9_10],[1],[7_11]
119,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,1,fully furnished,,,,,,,,,,,,16,2,7,[0_1_2_3_7_8_10_12_14_15_16_18_20_21_22_23],[4_5],[6_9_11_13_17_19_24]
120,附近 有 cvs ， 餐厅 也 比较 多 。,1,cvs,,,,,,,,,,,,6,1,2,[0_1_4_5_6_7],[2],[3_8]
121,usp = sharing 邮箱 ： em78,2,usp = sharing,,em78,,,,,,,,,,1,2,2,[3],[0_2_5],[1_4]
122,想 找 1-2 间 带 家具 的 house room 或者 apartment room ， 2018.,2,house room,,apartment room,,,,,,,,,,7,4,3,[0_1_3_4_5_6_9],[7_8_10_11],[2_12_13]
123,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,,pa,,,,,,,,,,15,2,4,[0_2_3_4_5_6_9_10_11_12_14_15_16_18_19],[1_8],[7_13_17_20]
124,步行 / 公交 去 giant eagle/aldi/target 超市 10-15 min .,2,giant,,min,,,,,,,,,,4,2,4,[0_2_3_6],[4_8],[1_5_7_9]
125,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,1,house,,,,,,,,,,,,8,1,2,[0_1_2_3_5_6_8_9],[4],[7_10]
126,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,1,doorman,,,,,,,,,,,,14,1,2,[0_1_2_4_5_6_7_8_10_11_12_13_14_15],[3],[9_16]
127,地址 ： king edward apartment,1,king edward apartment,,,,,,,,,,,,1,3,1,[0],[2_3_4],[1]
128,公交 直达 giant eagle ， whole foods ， target 等 ；,1,giant eagle ， whole foods ， target,,,,,,,,,,,,3,5,3,[0_1_9],[2_3_5_6_8],[4_7_10]
129,giant eagle 和 whole foods 都 可以 坐 公交 直达 ；,2,giant eagle,,whole foods,,,,,,,,,,6,4,1,[2_5_6_7_8_9],[0_1_3_4],[10]
130,budget 灵活 。,1,budget,,,,,,,,,,,,1,1,1,[1],[0],[2]
131,客厅 超大 ， walk-in closet 也 很 大 。,1,closet,,,,,,,,,,,,5,1,3,[0_1_5_6_7],[4],[2_3_8]
132,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,1,living room ， dining room,,,,,,,,,,,,7,4,3,[0_2_3_4_5_11_12],[6_7_9_10],[1_8_13]
133,和 一 个 full 卫生间 。,1,full,,,,,,,,,,,,4,1,1,[0_1_2_4],[3],[5]
134,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,1,full,,,,,,,,,,,,10,1,1,[0_1_2_3_4_5_6_7_8_10],[9],[11]
135,距离 giant eagle 步行 十 分钟 .,1,giant eagle,,,,,,,,,,,,4,2,1,[0_3_4_5],[1_2],[6]
136,如果 感 兴趣 ， 请 通过 email 联系 em87,2,email,,em87,,,,,,,,,,6,1,1,[0_1_2_4_5_7],[6_8],[3]
137,出门 走 一 分钟 不到 就 有 81-83 bus 。,1,bus,,,,,,,,,,,,7,1,2,[0_1_2_3_4_5_6],[8],[7_9]
138,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,2,leasing office,,lobby,,,,,,,,,,15,3,3,[2_3_6_7_8_9_11_12_13_14_15_16_17_18_19],[0_1_4],[5_10_20]
139,房东 人 很 nice 。,1,nice,,,,,,,,,,,,3,1,1,[0_1_2],[3],[4]
140,房东 人 很 nice 。,1,nice,,,,,,,,,,,,3,1,1,[0_1_2],[3],[4]
141,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,1,email,,,,,,,,,,,,8,1,2,[0_1_2_3_5_7_8_9],[6],[4_10]
142,半夜 两 点 走 block 都 不 怕 。,1,block,,,,,,,,,,,,7,1,1,[0_1_2_3_5_6_7],[4],[8]
143,由于 是 在 terrace 的 最 里面 所以 非常 安静 。,1,terrace,,,,,,,,,,,,9,1,1,[0_1_2_4_5_6_7_8_9],[3],[10]
144,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,,,7,2,2,[0_1_3_4_5_7_8],[2_9],[6_10]
145,步行 3-5min 到 giant eagle/target 。,1,giant,,,,,,,,,,,,2,1,3,[0_2],[3],[1_4_5]
146,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,1,queen size,,,,,,,,,,,,7,2,3,[0_1_2_3_7_9_10],[5_6],[4_8_11]
147,有 车库 ， drive way parking 和 street parking 。,2,drive way parking,,street parking,,,,,,,,,,3,5,2,[0_1_6],[3_4_5_7_8],[2_9]
148,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,,,7,2,2,[0_1_3_4_5_7_8],[2_9],[6_10]
149,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,1,living room ， dining room,,,,,,,,,,,,7,4,3,[0_2_3_4_5_11_12],[6_7_9_10],[1_8_13]
150,和 一 个 full 卫生间 。,1,full,,,,,,,,,,,,4,1,1,[0_1_2_4],[3],[5]
151,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,1,full,,,,,,,,,,,,10,1,1,[0_1_2_3_4_5_6_7_8_10],[9],[11]
152,一楼 有 doorman ， 负责 人员 进出 管理 以及 收发 包裹 ， 所以 不用 担心 安全 问题 以及 包裹 丢失 。,1,doorman,,,,,,,,,,,,17,1,3,[0_1_4_5_6_7_8_9_10_12_13_14_15_16_17_18_19],[2],[3_11_20]
153,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街 pa 。,3,indoor,,outdoor,,pa,,,,,,,,12,3,2,[0_2_4_5_7_8_9_10_11_12_13_14],[1_3_15],[6_16]
