SentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
18,半山 独 栋 别墅 ， 自 带 车库 和 driveway  。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,[],[9_10],[9_10_11],[4_10],[4_11]
19,一 楼 有 half bath  。,一 楼 有 盥洗室 。,[],[3_4_5],[3_4],[5],[4]
20,folk library 旁边  。,民间 图书馆 旁边 。,[],[0_1],[0_1],[3],[3]
21,有 兴趣 联系 email  :  em@1,有 兴趣 请 联系 邮箱  :  em@1,[],[3_4_5],[2_4_5_6],[4_5],[5_6]
22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !,[],[4],[4],[7],[7]
23,oakland 的 干净 精致 好 房 您 不 能 错过 ！,奥克兰 的 干净 精致 好 房 您 不 能 错过 ！,[],[0],[0],[10],[10]
24,停车  ：  we offer free outdoor/off-street parking ， $ 20/month reserved outdoor parking ， or$55/month reserved garage parking .,停车 ： 我们 提供 免费 室外 / 路外 停车场 ， 20 美元 每 月 的 预留 室外 停车位 和 55 美元 每 月 的 预留 车库 。,[],[2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18],[2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26],[1_7_8_13_18],[1_6_9_26]
26,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[0_9_10],[0_9_10],[0_4_10_15],[0_4_10_15]
27,） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,） 房东 非常 无敌 好 还 会 帮忙 丢 垃圾 ！,[],[0_4],[0_4],[0_10],[0_10]
28,二 楼 是 三 间 卧室 和 一 个 full 卫生间  。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间  。,[],[9],[9_10_11],[11],[13]
30,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1 .,这 附近 的 公寓 的 租金 至少 都 是 这个 房子 的,[],[3],[3],[13],
31,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交车 到 中国 超市 ， 餐馆 和 市中心 .,[],[2_9_10],[2_9_10],[6_10],[6_10]
32,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,[],[6_7_8_9_10],[6_7_8],[1_8_13],[1_7_11]
34,长 租 all gone ！,长 租 已 全部 租满 。,[],[2_3_4],[2_3_4_5],[4],[5]
35,room a$600  (  双 人大 床 ） 已 租 ！,含 双 人大 床 房 的 房间 已 租 。,[],[0_1_2],[0_4_5_6],[2_6_9],[9]
36,暑期 短 租 还 available 哦  。,暑期 短 租 仍 可 预订 。,[],[4],[3_4_5_6],[6],[6]
37,有 车库 ， drive way parking 和 street parking  。,有 车库 ， 私人 车道 和 路边 停车道 。,[],[3_4_5_7_8_9],[3_4_6_7_8],[2_9],[2_8]
39,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住  。,有 宠物 可以 商量 ， 正规 物业 管理 ， 宾夕法尼亚州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住  。,[],[1_8],[1_9],[7_13_17_20],[4_8_14_18_21]
40,欢迎 email 联系 咨询  。,欢迎 发 邮件 联系 咨询 。,[],[1],[1_2],[4],[5]
45,# NAME ?,#NAME?,[],[0_1_2],[0],[0_2],[0]
46,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 谷歌 云 盘 的 链接 观看 照片 ， 谢谢 ！,[],[0_20_21_23],[0_20_21_22_24],[0_16_26_28],[0_16_27_29]
47,公寓 位置 方便 ， 在 market district 超市 附近  。,公寓 位置 方便 ， 在 市场 区 超市 附近  。,[],[5_6],[5_6],[3_9],[3_9]
49,oakland 有 一 栋 三 层 楼 六 个 卧室  (,oakland 有 一 栋 三 层 楼 六 个 卧室  (,[oakland],[0],[0],[10],[10]
50,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很 频繁  。,小区 居民 是 学生 和 年轻 学者 ， 学校 的 班车 从 门前 经过 ， 而且 很 频繁  。,[],[10],[10],[7_14_18],[7_14_18]
51,联系 电话  :  pn-0 ， email  :  em@3,联系 电话  :  pn-0 ， 电子 邮箱 :  em@3,[],[5_6_7],[5_6_7_8],[2_3_4_6_7],[2_3_4_7_8]
52,squirrel hill 好 房 短 租 ， 租 的 时间 越 长 越好  。,松鼠丘 好 房 短 租 ， 租 的 时间 越 长 越好  。,[],[0_1],[0],[6_13],[5_12]
53,周边  ：  步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店  。,周边  ：  步行 五 分钟 到 巨鹰 超市 ， 十 分钟 到 熊猫 超市 和 来 德 爱 药店  。,[],[6_7_8_15_16],[6_15_16_17],[1_8_18],[1_8_19]
54,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以  。,所有 想 寄 想 退化 的 东西 ， 直接 放在 公寓 一 楼 就 可以  。,[],[4],[4],[7_15],[7_15]
55,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !,[],[3],[3],[9],[9]
56,地址 位 于 beacon st .,地址 位于 灯塔路,[],[3_4_5],[1_2],[5],
57,后院 有 私家 车库 ， beacon st .,后院 有 私家 车库 ， 灯塔 路 。,[],[5_6_7],[5_6_7],[4_7],[4_7]
58,bathroom  :  二 楼 和 地下室 各 有 一 个 卫生间,浴室 :  二 楼 和 地下室 各 有 一 个 卫生间,[],[0_1],[0_1],[1],[1]
61,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品  。,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品  。,[cvs],[6_7],[6_7],[7_13],[7_13]
62,想 租 的 同学 可以 看看 论坛 里 其他 发 sherwood 的 照片 up up up !,想 租 的 同学 可以 看看 论坛 里 其他 发 谢尔 伍德 的 照片 ， 顶 ！,[],[10_13_14_15_16],[10_11_15_16],[16],[14_16]
63,最后 up 一次 ～ up,最后 顶 一 次 ~ 顶 ！,[],[1_4],[1_2_3_4_5_6],[3],[4_6]
64,适合 couple 或 单身 居住  。,适合 情侣 或 单身 居住  。,[],[1],[1],[5],[5]
65,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用  。,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， 单人 床 都 可以 用  。,[],[16_17],[16],[7_15_22],[7_15_21]
67,坡度 大 ， 不 适合 自行车 骑 行 联系 方式  ：  房东 steve 邮箱  ：  em@4,坡度 大 ， 不 适合 自行车 骑 行 联系 方式  ：  房东 史蒂夫 邮箱  ：  em@4,[],[12],[12],[2_10_14_15],[2_10_14_15]
68,有 车库 ， off street parking .,有 车库 ， 路 外 停车场,[],[3_4_5_6],[3_4_5],[2_6],[2]
69,要求  ：  no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,[],[2_3_4_5_6_7_8_9_10],[2_3_4_5_6_7_8_9_10_11_12],[1_4_7_10],[1_4_8_12]
70,html 继续 有效  。,网页 继续 有效 。,[],[0],[0],[3],[3]
72,kitchen 副本 .,厨房 副本,[],[0],[0],[2],
74,【  吃 货 福音  】  附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle  。,【  吃 货 福音  】  附近 有 四川 美食 ， 台湾 味 ， 每 日 面食 ， 各 种 小吃 ， 以及 熊猫 中 超 ， 巨 鹰 超市 。,[],[0_7_8_9_13_14_15_16_24_25_26_27_28],[0_7_8_9_13_14_15_16_22_26_27_28_29],[0_4_9_12_16_20_25_28],[0_4_9_12_16_20_25_29]
77,# 家具 齐全  :  房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器  。,# 家具 齐全  :  房间 有 双人床 ， 步入 式 衣柜 ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器  。,[],[0_6_7_10_11_12_13],[0_6_7_8_9_10_11],[0_3_9_13_16_18_20_22_23_29],[0_3_7_11_14_16_18_20_21_27]
78,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share  。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,[],[0_5_6_8_9_10_25_26],[0_5_6_8_9_24_25],[10_16_26],[9_15_25]
79,【  其他  】  包 utility fee ， 价格 和 时间 可 议  。,【  其他  】  包 物业费 ， 价格 和 时间 可 议  。,[],[0_4_5_6],[0_4_5],[0_2_6_12],[0_2_5_11]
80,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,[],[3],[3],[9_16],[9_16]
82,周围 走路 可 达 whole food ， target ， trade jose  。,周围 走路 可 达 全食 超市 ， 塔吉特 商店 ， 乔 氏 超市  。,[],[4_5_6_7_8_9_10_11],[4_5_6_7_8_9_10_11_12_13],[6_8_11],[6_9_13]
87,房子 在 bloom field bridge 旁边  。,房子 在 布卢姆菲尔德 桥 旁边,[],[2_3_4],[2_3],[6],
89,八月 开始 可 签 一 年 lease  。,八月 开始 可 签 一 年 租约 。,[],[6_7],[6_7],[7],[7]
90,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你  。,性格 非常 好 ， 好 相处 ， 绝对 不 会 打扰 你  。,[],[2],[],[5_11],[3_6_12]
91,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便  。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便  。,[],[0_9_10],[0_9_10],[0_2_6_10_15],[0_2_6_10_15]
92,本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 studio  。,本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 带卫浴 和 厨房 的 单间 。,[],[19_20],[19_20_21_22_23_24],[4_16_20],[4_16_24]
94,三 楼 是 一 卧 一 卫 的 studio  。,三 楼 是 一 卧 一 卫 的 公寓 。,[],[8_9],[8_9],[9],[9]
95,up up up up up 房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！,顶 ！ 房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！,[],[0_1_2_3_4],[0_1],[12_17_24],[1_9_14_21]
96,up up 请问 你 是 男生 还是 女生 ？,顶 ！ 请 问 你 是 男生 还是 女生 ？,[],[0_1],[0_1_2_3],[8],[1_9]
97,步行 到 walnut street ， whole foods ， 公交 到 giant eagle ， target 也 很 方便  。,步行 到 沃尔纳特 街 ， 全食 超市 ， 公交 到 巨鹰 超市 ， 塔吉特 商店 也 很 方便  。,[],[2_3_4_5_6_7_10_11_12_13],[2_3_4_5_6_7_10_11_12_13_14],[4_7_12_17],[4_7_12_18]
98,公寓 由 物业 walnut capital 管理 ， 服务 管理 都 很 好  。,公寓 由 物业 沃尔纳特 公司 管理 ， 服务 管理 都 很 好  。,[],[3_4],[3_4],[6_12],[6_12]
99,an open-air shopping 经历  。,一 次 露天 购物 经历 。,[],[0_1_2],[0_1_2_3],[4],[5]
100,oakland ave pittsburgh 15213$700 煤气 水电 网 全 包  。,匹兹堡 ， 奥克兰 大道 152 13，700 美元 煤气 水电 网 全 包  。,[],[0_1_2_3],[0_1_2_3_4_5_6],[9],[1_5_12]
101,到 giant eagle ， lotus 可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去  。,到 巨鹰 超市 ， 联华 超市 可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去  。,[],[1_2_3_4],[1_2_3_4_5],[3_10_17],[3_11_18]
102,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[0_9_10],[0_9_10],[0_4_10_15],[0_4_10_15]
104,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下  ：  email  :  em@5,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下  ：  电子 邮箱  :  em@5,[],[13_14_15],[13_14_15_16],[8_12_14_15],[8_12_15_16]
105,公寓 位 在 murray ave .,公寓 位于 梅瑞 大道 .,[],[3_4_5],[1_2_3_4],[5],[4]
106,家 对面 就 是 cvs ！,家 对面 就是 CVS,[],[4_5],[2_3],[5],
107,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区  。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区  。,[],[1],[1],[7_11],[7_11]
108,房子 目前 half furnished ，,房子 目前 装修 了 一半 。,[],[2_3_4],[2_3_4_5],[4],[5]
110,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全  。,房子 目前 几乎 装修 完成 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全  。,[],[4_5_6],[3_4_5],[6_9_11_13_17_19_24],[5_8_10_12_16_18_23]
119,附近 有 cvs ， 餐厅 也 比较 多  。,附近 有 cvs ， 餐厅 也 比较 多  。,[cvs],[2_3],[2_3],[3_8],[3_8]
121,想 找 1-2 间 带 家具 的 house room 或者 apartment room ， 2018 .,想 找 1-2 间 带 家具 的 房屋 内 单间 或者 公寓 单间 ， 2018 .,[],[7_8_10_11_12_13_14],[7_8_9_11_12_13_14_15],[12_14],[2_13_15]
123,步行 / 公交 去 giant eagle/aldi/target 超市 10-15 min .,步行 / 公交 去 巨 鹰 / 阿尔迪/塔吉特 超市 10 - 15 分钟 .,[],[4_5_8_9],[4_5_6_7_9_10_11_12_13],[1_9],[1_6_7_10_13]
124,房间 是 一 栋 house 的 顶层 ， 非常 宽敞  。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞  。,[],[4],[3_4],[7_10],[7_10]
125,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,[],[3],[3],[9_16],[9_16]
126,地址  ：  king edward apartment,地址 ： 爱德华 国王 公寓 。,[],[2_3_4],[2_3_4_5],[1],[1_5]
129,budget 灵活  。,资金 灵活,[],[0],[0],[2],
130,客厅 超大 ， walk-in closet 也 很 大  。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,[],[4],[3_4_5],[2_8],[2_9]
131,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,[],[6_7_8_9_10],[6_7_8],[1_8_13],[1_7_11]
135,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,[],[6],[6],[3_8],[3_8]
136,出门 走 一 分钟 不到 就 有 81-83 bus  。,出门 走 一 分钟 不到 就 有 81 - 83 路 公交  。,[],[8_9],[7_8_9_10_11_12],[9],[8_12]
137,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决  。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决  。,[],[0_1_4_5],[0_1_4_5],[5_10_20],[5_10_20]
138,房东 人 很 nice  。,房东人 很好,[],[3_4],[0_1],[4],
140,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细  。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细  。,[],[6],[6_7],[4_10],[4_11]
141,半夜 两 点 走 block 都 不 怕  。,半夜 两 点 走在 街区 都 不 怕  。,[],[4],[3_4],[8],[8]
142,由于 是 在 terrace 的 最 里面 所以 非常 安静  。,由于 是 在 露台 的 最 里面 所以 非常 安静  。,[],[3],[3],[10],[10]
145,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住  。,卧室 内 家具 齐全 ， 标准 双人 床 ， 拎包 入住  。,[],[5_6],[5_6],[4_8_11],[4_8_11]
152,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街 pa  。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 停车 。,[],[1_3_15_16],[1_3_14_15],[6_16],[6_15]
156,trader joe's 和 target 更 是 在 步行 范围 内  。,乔氏 超市 和 塔吉特 超市 更 是 在 步行 范围 内  。,[],[0_1_3],[0_1_3_4],[10],[11]
161,apt 隶属 franklin west 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决  。,公寓 隶属 西 富兰克林 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决  。,[],[0_2_3],[0_2_3],[5_9_17],[5_9_17]
163,还有 很多 知名 餐厅 ， 例如 noodle head ， spoon 等等 ， 吃喝 不 愁  。,还有 很多 知名 餐厅 ， 例如 面试 爱好者 餐厅 ， 勺子 餐厅 等等 ， 吃喝 不 愁  。,[],[6_7_8_9],[6_7_10],[4_8_11_15],[4_9_13_17]
175,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪  。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪  。,[],[7_8_9],[7_8_9],[9_13_20],[9_13_20]
176,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调  。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调  。,[],[5_6],[5_6],[6_12],[6_12]
185,晚上 回来 有 学校 的 黄 线 escort 送 回来 ， 治安 非常 好  。,晚上 回来 有 学校 的 黄 线 护送 车 送 回来 ， 治安 非常 好  。,[],[7],[7_8],[10_14],[11_15]
186,户型  ：  一 楼 是 超大 living room ， dining room ， sun room 及 厨房  。,户型  ：  一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房 及 厨房  。,[],[6_7_8_9_10_11_12_13],[6_7_8_9_10_11],[1_8_11_16],[1_7_9_14]
193,邮箱  ：  [ url ] em@9,邮箱  ：  [ 链接 ] em@9,[],[3_4_5],[3_4_5],[1_2_4_5],[1_2_4_5]
195,晚上 ， 有 学校 escort 直达 门口  。,晚上 ， 有 学校 护送 车直 达 门口  。,[],[4],[4_5_6],[1_7],[1_8]
197,guaizhu_person up 一下 up 一下,guaizhu_person 顶 一下 顶 一下,[],[0_1_3],[0_1_3],,[0]
199,北边 南 边 都 有 giant eagle ， 左右 邻居 都 是 young couple ， 非常 安静 ， neighborhood 相当 安全 ， 晚上 有 路灯  。,北边 南 边 都 有 巨鹰 超市 ， 左右 邻居 都 是 年轻 情侣 ， 非常 安静 ， 街区 相当 安全 ， 晚上 有 路灯  。,[],[5_6_7_12_13_14_18],[5_6_7_12_13_14_18],[7_14_17_21_25],[7_14_17_21_25]
202,三 楼 front room 600，12 ft x 10 .,三 楼 客厅 600，12 尺 x 10 .,[x],[2_3_4_5_6_7_8],[2_3_4_5_6_7],[8],[3_7]
203,户型  ：  12'0'' * 10'8' ， 有 足够 挂 衣服 的 地方 价格  ：  $480 / 间  (  包含  :  水 ， garbage ， 不 包含  ：  网 ， 电 ， 气  ),户型  ：  12'0'' * 10'8' ， 有 足够 挂 衣服 的 地方 价格  ：  $480 / 间  (  包含  :  水 ， 车库 ， 不 包含  ：  网 ， 电 ， 气  ),[],[22_23],[22_23],[1_3_5_13_15_17_19_21_23_26_28_30_32],[1_2_3_4_5_13_14_15_17_19_21_23_26_28_30_32]
204,还 有 其他 utility 吗 ？,还 有 其他 设施 或 服务 吗 ？,[],[3],[3_4_5],[5],[7]
209,房屋 出租 ， 独 栋 房子 ， 其中 一 大 间 带 独立 卫生间 ， 随时 入住 ， 位 于 greenfield ave 紧邻 giant eagle and murry ave .,房屋 出租 ， 独 栋 房子 ， 其中 一 大 间 带 独立 卫生间 ， 随时 入住 ， 位 于 绿地 大道 ， 紧邻 巨鹰 超市 和 梅瑞 大道 .,[],[20_21_23_24_25_26_27_28],[20_21_22_24_25_26_27_28_29],[2_6_14_17_28],[2_6_14_17_22_29]
210,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,[],[3],[3_4],[11],[12]
212,由 meyers management 公司 统一 管理 ， 非常 规范  。,由 梅耶 公司 统一 管理 ， 非常 规范  。,[],[1_2],[1],[6_9],[5_8]
213,也 有 parking  。,也 有 停车 坪 。,[],[2_3],[2_3_4],[3],[4]
214,步行 五 分钟 有 whole food  。,步行 五 分钟 有 全食 超市  。,[],[4_5_6],[4_5_6],[6],[6]
215,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 washer dryer ， 可 包 utility ， queen 床 ， 厨具 和 床上 用品 都 可以 提供  。,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 洗衣机 和 烘干机 ， 可 包 物业费 ， 标准 双人床 ， 厨具 和 床上 用品 都 可以 提供  。,[],[13_14_15_18_19_20],[13_15_16_19_20_21_22_23],[2_5_8_15_19_22_30],[2_5_8_16_20_23_31]
218,house 出租 2018 .,房屋 出租 2018,[],[0],[0_2],[3],
220,房型  ：  house 一 层 ， 与 二 层 完全 独立  。,房型  ：  房屋 一 层 与 二 层 完全 独立  。,[],[2],[2],[1_5_11],[1_10]
221,距离 giant eagle （ 10-15 min ） ， cvs （ 10-15 mins ） 可以 步行 可达 ， 周围 还有 很多 的 饭店  。,距离 巨 鹰 超市 （ 10 - 15 分钟 ） ， cvs （ 10 - 15 分钟 ） 可以 步行 可达 ， 周围 还有 很多 的 饭店  。,[cvs],[1_2_3_4_5_6_7_8_9_10_11_12],[1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17],[3_6_7_9_12_16_22],[4_6_9_10_12_14_17_21_27]
222,周边 有 一 个 pizza 店 ， 一 个 墨西哥 菜  。,周边 有 一 个 披萨店 ， 一 个 墨西哥 菜  。,[],[4],[4_5],[6_11],[5_10]
223,租户 将 与 mozart management 物业 直接 签约  。,租户 将 与 莫扎特 物业 管理 公司 直接 签约  。,[],[3_4],[3_5_6],[8],[9]
224,晚上 还 有 escort 直达 公寓 门口  。,晚上 还有 护送 车直 达 公寓 门口  。,[],[3],[1_2_3_4],[7],[7]
225,附近 有 giant eagle 和 府 河 人家  。,附近 有 巨鹰 超市 和 府 河 人家  。,[],[2_3],[2_3],[8],[8]
227,两 个 超大 walk in closet ， 还 可以 免费 申请 地下室 storage space  。,两 个 超大 步入 式 衣柜 ， 还 可以 免费 申请 地下室 的 储物 空间  。,[],[3_4_5_6_12_13_14],[3_4_5_6_12_13_14_15],[6_14],[6_15]
228,walnut street 上 餐厅 众多 ， 附近 还 有 giant eagle ， whole foods 等 大型 超市  。,沃尔纳特 街上 餐厅 众多 ， 附近 还有 巨 鹰 超市 ， 全食 超市 等 大型 超市  。,[],[0_1_9_10_11_12_13],[0_1_6_7_8_11],[5_11_17],[4_10_16]
