Word,Probability,Frequency
家教,1.7930626406433508E-6,1
i,5.056436646614249E-4,282
j,1.972368904707686E-5,11
吃吃,1.7930626406433508E-6,1
k,8.248088146959414E-5,46
l,1.5061726181404147E-4,84
eating,1.7930626406433508E-6,1
m,1.6137563765790158E-4,90
扣除,1.7930626406433508E-6,1
男人,3.5861252812867016E-6,2
n,5.41504917474292E-4,302
o,3.944737809415372E-5,22
审查,8.965313203216754E-6,5
p,4.482656601608377E-5,25
q,4.482656601608377E-5,25
entering,1.7930626406433508E-6,1
r,5.020575393801383E-4,280
s,4.7874772505177466E-4,267
outdoors,3.5861252812867016E-6,2
t,1.7930626406433508E-4,100
u,4.482656601608377E-5,25
v,3.980599062228239E-4,222
w,2.1875364215848882E-4,122
sunset,3.5861252812867016E-6,2
x,2.0261607839269864E-4,113
y,2.1516751687720212E-5,12
z,1.2551438484503456E-5,7
information,6.455025506316063E-5,36
强词夺理,3.5861252812867016E-6,2
录用,1.7930626406433508E-6,1
分量,1.7930626406433508E-6,1
cgi,3.5861252812867016E-6,2
keywords,2.9406227306550954E-4,164
powered,7.172250562573403E-6,4
肆,1.7930626406433508E-6,1
肉,1.7930626406433508E-5,10
肌,1.7930626406433508E-6,1
good,2.1875364215848882E-4,122
analytics,3.5861252812867016E-6,2
gong,7.172250562573403E-6,4
suffered,1.7930626406433508E-6,1
serious,1.4344501125146806E-5,8
后勤,1.7930626406433508E-6,1
领衔,1.7930626406433508E-6,1
见到,5.379187921930053E-6,3
股,1.7930626406433508E-6,1
一身,1.7930626406433508E-6,1
che,1.7930626406433508E-6,1
£,1.7930626406433508E-6,1
chi,5.379187921930053E-6,3
肥,1.7930626406433508E-6,1
¥,3.5861252812867016E-6,2
§,1.7930626406433508E-6,1
肩,5.379187921930053E-6,3
临街,1.0758375843860106E-5,6
walker,7.172250562573403E-6,4
叉子,5.379187921930053E-6,3
gone,1.5420338709532818E-4,86
肯,1.7930626406433508E-5,10
°,3.5861252812867016E-6,2
pretest,1.7930626406433508E-6,1
·,1.3806582332953802E-4,77
将对,1.7930626406433508E-6,1
scholars,7.172250562573403E-6,4
审核,1.0758375843860106E-5,6
cic,1.7930626406433508E-6,1
cid,5.379187921930053E-6,3
胃,3.5861252812867016E-6,2
领袖,1.7930626406433508E-6,1
资料,5.1998816578657176E-5,29
规则,1.4344501125146806E-5,8
背,7.172250562573403E-6,4
胎,4.124044073479707E-5,23
水晶,5.379187921930053E-6,3
邮箱,0.0014649321774056177,817
谆谆,1.7930626406433508E-6,1
胖,1.7930626406433508E-6,1
劳累,1.7930626406433508E-6,1
×,2.8689002250293613E-5,16
即日,3.5861252812867017E-5,20
规划,1.2551438484503456E-5,7
快捷,2.330981432836356E-5,13
供不应求,1.7930626406433508E-6,1
roof,1.6137563765790156E-5,9
恶劣,1.7930626406433508E-6,1
胡,3.5861252812867016E-6,2
名单,3.5861252812867016E-6,2
不赖,1.7930626406433508E-6,1
caliber,3.5861252812867016E-6,2
multiple,3.944737809415372E-5,22
重大,3.5861252812867016E-6,2
即时,7.172250562573403E-6,4
room,4.124044073479707E-4,230
水暖,3.5861252812867016E-6,2
better,1.4344501125146806E-5,8
连锁,1.7930626406433508E-5,10
重复,3.0482064890936964E-5,17
翻腾,1.7930626406433508E-6,1
胶,5.379187921930053E-6,3
里头,3.5861252812867016E-6,2
ü,7.172250562573403E-6,4
能,0.002472633381447181,1379
能手,8.965313203216754E-6,5
环线,1.7930626406433508E-6,1
taking,5.379187921930053E-6,3
不起,3.5861252812867016E-6,2
环绕,5.379187921930053E-6,3
超市,0.0024923570704942577,1390
马上,1.3089357276696462E-4,73
合同,4.2136972055118745E-4,235
拐角,3.5861252812867016E-6,2
机能,3.5861252812867016E-6,2
脏,1.0758375843860106E-5,6
脑,5.379187921930053E-6,3
废话,3.5861252812867016E-6,2
cla,8.965313203216754E-6,5
脚,2.1516751687720212E-5,12
野外,5.379187921930053E-6,3
栏杆,1.7930626406433508E-6,1
联盟,7.172250562573403E-6,4
flow,3.5861252812867016E-6,2
order,1.0758375843860106E-5,6
附件,4.841269129737047E-5,27
携带,1.6137563765790156E-5,9
cli,1.7930626406433508E-6,1
赶快,1.972368904707686E-5,11
pike,5.379187921930053E-6,3
量大,7.172250562573403E-6,4
上路,1.0758375843860106E-5,6
小孩,2.70752458737146E-4,151
脸,1.972368904707686E-5,11
树木,3.5861252812867016E-6,2
小学,2.04409141033342E-4,114
coach,1.6137563765790156E-5,9
能把,1.7930626406433508E-6,1
women,1.0758375843860106E-5,6
用具,1.3985888597018136E-4,78
厕所,1.3447969804825132E-4,75
pink,1.7930626406433508E-6,1
电信,3.5861252812867016E-6,2
ping,1.7930626406433508E-6,1
规劝,1.7930626406433508E-6,1
宽敞,3.2633740059708985E-4,182
protection,1.7930626406433508E-6,1
何时,8.965313203216754E-6,5
pint,1.7930626406433508E-6,1
不足,3.944737809415372E-5,22
cmx,1.7930626406433508E-6,1
cameras,1.7930626406433508E-6,1
goto,1.7930626406433508E-6,1
佛教,1.7930626406433508E-6,1
扫除,1.7930626406433508E-6,1
求教,1.7930626406433508E-6,1
问好,1.7930626406433508E-6,1
avail,3.5861252812867016E-6,2
cnn,3.5861252812867016E-6,2
gaming,1.0758375843860106E-5,6
阳光,1.8827157726755185E-4,105
question,5.379187921930053E-6,3
additions,1.7930626406433508E-6,1
陋习,1.7930626406433508E-6,1
ross,3.5861252812867016E-6,2
whirlpool,3.5861252812867016E-6,2
interchangeable,1.7930626406433508E-6,1
picture,2.6895939609650264E-5,15
创造,1.7930626406433508E-6,1
腰,2.1516751687720212E-5,12
案情,1.7930626406433508E-6,1
阿拉斯加,3.5861252812867016E-6,2
容易,1.6137563765790158E-4,90
认领,5.379187921930053E-6,3
感兴趣,4.5364484808276776E-4,253
cod,1.7930626406433508E-6,1
rose,1.0758375843860106E-5,6
半死,1.7930626406433508E-6,1
thousand,3.5861252812867016E-6,2
进门,1.2551438484503456E-5,7
腿,2.1516751687720212E-5,12
com,0.0015778951237661488,880
con,3.5861252812867016E-6,2
视力,7.172250562573403E-6,4
导师,2.6895939609650264E-5,15
代理,3.4068190172223665E-5,19
玩耍,4.482656601608377E-5,25
alden,1.7930626406433508E-6,1
gown,1.7930626406433508E-6,1
abilities,3.5861252812867016E-6,2
长期,1.972368904707686E-4,110
眼睁睁,1.7930626406433508E-6,1
automation,1.7930626406433508E-6,1
cpb,1.7930626406433508E-6,1
pipe,1.7930626406433508E-6,1
膜,3.765431545351037E-5,21
representative,7.172250562573403E-6,4
队友,3.5861252812867016E-6,2
爱好者,3.5861252812867016E-6,2
作文,1.7930626406433508E-6,1
cpt,5.379187921930053E-6,3
conveniently,5.379187921930053E-6,3
后台,7.172250562573403E-6,4
注册,1.0399763315731435E-4,58
cpu,1.0758375843860106E-5,6
rout,3.5861252812867016E-6,2
plenty,2.6895939609650264E-5,15
树林,2.330981432836356E-5,13
christmas,1.7930626406433508E-6,1
对应,2.6895939609650264E-5,15
一边,1.0758375843860106E-5,6
社区,7.530863090702074E-5,42
水杯,1.0758375843860106E-5,6
马云,1.7930626406433508E-6,1
路况,7.172250562573403E-6,4
找不到,1.2551438484503456E-5,7
口头,1.7930626406433508E-5,10
完毕,1.6137563765790156E-5,9
chicken,5.379187921930053E-6,3
臂,1.7930626406433508E-6,1
举行,1.0758375843860106E-5,6
洗手间,2.492357070494258E-4,139
反对,1.7930626406433508E-6,1
effective,1.7930626406433508E-6,1
timer,1.7930626406433508E-6,1
times,8.965313203216754E-6,5
足够,7.351556826637738E-5,41
crm,1.7930626406433508E-6,1
cro,7.172250562573403E-6,4
碰撞,3.5861252812867016E-6,2
二维,5.379187921930053E-6,3
comments,7.172250562573403E-6,4
crt,1.7930626406433508E-6,1
理由,1.6137563765790156E-5,9
水果,1.6137563765790156E-5,9
bachelor,1.4344501125146806E-5,8
方向盘,3.227512753158031E-5,18
自,1.8827157726755185E-4,105
加拿大,3.765431545351037E-5,21
劳务费,3.5861252812867016E-6,2
上身,1.7930626406433508E-6,1
臭,1.7930626406433508E-6,1
寄放,1.7930626406433508E-6,1
csc,5.379187921930053E-6,3
至,9.843913897131997E-4,549
致,5.379187921930053E-6,3
quantitative,1.7930626406433508E-6,1
另外,6.8494992872576E-4,382
西安,8.965313203216754E-6,5
诠释,1.7930626406433508E-6,1
水枪,1.7930626406433508E-6,1
双层,5.0205753938013824E-5,28
hyatt,1.7930626406433508E-6,1
css,1.7930626406433508E-6,1
japan,7.172250562573403E-6,4
用到,3.944737809415372E-5,22
队员,1.7930626406433508E-6,1
波动,1.7930626406433508E-6,1
舍,5.0205753938013824E-5,28
pitt,3.5861252812867016E-6,2
发家,1.7930626406433508E-6,1
beautiful,3.4068190172223665E-5,19
worked,3.5861252812867016E-6,2
去年,3.281304632377332E-4,183
styling,1.4344501125146806E-5,8
余晖,5.379187921930053E-6,3
小屋,1.7930626406433508E-6,1
赐教,1.7930626406433508E-6,1
worker,1.7930626406433508E-6,1
访问,3.6399171605060025E-4,203
honeywell,4.3033503375440424E-5,24
defined,1.7930626406433508E-6,1
element,1.4344501125146806E-5,8
适量,1.7930626406433508E-6,1
舟,3.5861252812867016E-6,2
cts,7.172250562573403E-6,4
耻笑,1.7930626406433508E-6,1
谓语,1.7930626406433508E-6,1
般,8.965313203216754E-6,5
限于,3.5861252812867016E-6,2
cub,1.7930626406433508E-6,1
cud,1.7930626406433508E-6,1
功能,2.295120180023489E-4,128
cui,3.5861252812867016E-6,2
滑雪,2.5102876969006912E-5,14
creating,1.7930626406433508E-6,1
船,1.7930626406433508E-6,1
courtney,3.5861252812867016E-6,2
biotech,1.7930626406433508E-6,1
cup,6.455025506316063E-5,36
monitors,1.7930626406433508E-6,1
报道,1.7930626406433508E-6,1
说过,1.7930626406433508E-6,1
cut,1.972368904707686E-5,11
守法,3.5861252812867016E-6,2
一遍,1.0758375843860106E-5,6
遇见,5.379187921930053E-6,3
因素,1.7930626406433508E-5,10
座谈,1.7930626406433508E-6,1
卷曲,1.7930626406433508E-6,1
供应,2.330981432836356E-5,13
worries,1.7930626406433508E-6,1
受孕,1.7930626406433508E-6,1
降价,2.04409141033342E-4,114
根据,1.2551438484503457E-4,70
reported,3.5861252812867016E-6,2
发射,1.7930626406433508E-6,1
恶名,1.7930626406433508E-6,1
distribute,1.7930626406433508E-6,1
kitchen,1.2551438484503457E-4,70
吆喝,3.5861252812867016E-6,2
理疗,1.7930626406433508E-6,1
cvs,3.5861252812867017E-5,20
think,5.379187921930053E-6,3
reporter,1.4344501125146806E-5,8
良,1.7930626406433508E-6,1
marvin,1.7930626406433508E-6,1
marketing,1.4344501125146806E-5,8
色,1.7930626406433508E-5,10
跳出,1.7930626406433508E-6,1
用功,3.5861252812867016E-6,2
thing,5.379187921930053E-6,3
用力,1.7930626406433508E-6,1
cwt,3.5861252812867016E-6,2
节,1.6137563765790156E-5,9
apparel,3.5861252812867016E-6,2
气氛,3.5861252812867016E-6,2
domestic,1.7930626406433508E-6,1
shoot,1.7930626406433508E-6,1
starts,7.172250562573403E-6,4
stability,7.172250562573403E-6,4
通车,7.172250562573403E-6,4
budget,1.2551438484503456E-5,7
actual,1.6137563765790156E-5,9
glass,1.7930626406433508E-6,1
对待,8.965313203216754E-6,5
主要,2.994414609874396E-4,167
发展,5.558494185994388E-5,31
芯,1.7930626406433508E-6,1
technologies,3.5861252812867016E-6,2
花,1.2910051012632125E-4,72
下车,1.2551438484503456E-5,7
降低,2.1516751687720212E-5,12
要将,1.7930626406433508E-6,1
否则,2.8689002250293613E-5,16
排球,1.7930626406433508E-5,10
memory,5.558494185994388E-5,31
小伙子,1.7930626406433508E-6,1
farmers,1.7930626406433508E-6,1
说道,5.217812284272151E-4,291
苏,5.379187921930053E-6,3
hitch,3.5861252812867016E-6,2
lifting,1.7930626406433508E-6,1
苗,7.172250562573403E-6,4
下载,3.4068190172223665E-5,19
只好,3.227512753158031E-5,18
地理,4.0702521942604064E-4,227
彩电,1.2551438484503456E-5,7
一部,1.7930626406433508E-6,1
若,1.7392707614240503E-4,97
上边,2.1516751687720212E-5,12
苦,7.172250562573403E-6,4
libraries,8.965313203216754E-6,5
shore,3.5861252812867016E-6,2
主观,3.5861252812867016E-6,2
英,8.965313203216754E-6,5
锻炼,9.86184452353843E-5,55
disney,3.5861252812867016E-6,2
担负,3.5861252812867016E-6,2
微波,3.5861252812867016E-6,2
叫好,1.7930626406433508E-6,1
short,1.972368904707686E-5,11
illuminated,1.7930626406433508E-6,1
finance,7.172250562573403E-6,4
通过,2.546148949713558E-4,142
rebecca,1.7930626406433508E-6,1
油墨,1.7930626406433508E-6,1
范,1.0758375843860106E-5,6
下边,5.379187921930053E-6,3
补给,1.7930626406433508E-6,1
regulate,3.5861252812867016E-6,2
礼品,2.5102876969006912E-5,14
果真,1.7930626406433508E-6,1
上进,3.5861252812867016E-6,2
enter,3.5861252812867016E-6,2
savings,1.972368904707686E-5,11
gallery,3.5861252812867016E-6,2
俞敏洪,1.7930626406433508E-6,1
sessions,1.7930626406433508E-6,1
出门,5.146089778646417E-4,287
cameron,7.172250562573403E-6,4
dates,1.7930626406433508E-6,1
甜品,5.379187921930053E-6,3
上述,3.765431545351037E-5,21
creative,1.4344501125146806E-5,8
面对面,3.5861252812867016E-6,2
生命,1.0758375843860106E-5,6
satchel,3.5861252812867016E-6,2
职称,1.7930626406433508E-6,1
mellon,1.7930626406433508E-6,1
茶,1.4344501125146806E-5,8
视听,5.379187921930053E-6,3
canceling,3.5861252812867016E-6,2
甩卖,2.1337445423655875E-4,119
bright,8.965313203216754E-6,5
草,7.172250562573403E-6,4
下述,1.7930626406433508E-6,1
常驻,1.7930626406433508E-6,1
不过,3.1916515003451644E-4,178
照相机,1.7930626406433508E-6,1
通通,1.7930626406433508E-6,1
分钟,0.0055853901256040376,3115
网页,4.841269129737047E-5,27
索尼,1.4344501125146806E-5,8
服装,7.172250562573403E-6,4
研磨,1.7930626406433508E-6,1
热心肠,7.172250562573403E-6,4
错别字,1.7930626406433508E-6,1
威士忌,1.7930626406433508E-6,1
wallet,1.7930626406433508E-6,1
补缺,1.7930626406433508E-6,1
就好,3.0482064890936964E-5,17
资格,8.965313203216754E-6,5
宽松,1.7930626406433508E-6,1
报酬,2.1516751687720212E-5,12
通道,1.0758375843860106E-5,6
气泵,1.7930626406433508E-5,10
药,1.6137563765790156E-5,9
预警,1.7930626406433508E-6,1
灵敏,1.7930626406433508E-6,1
香槟,7.172250562573403E-6,4
barely,1.7930626406433508E-6,1
旅行社,5.379187921930053E-6,3
侥幸,3.5861252812867016E-6,2
极端,3.765431545351037E-5,21
到达,4.3212809639504754E-4,241
compact,2.6895939609650264E-5,15
possession,1.7930626406433508E-6,1
预订,3.4068190172223665E-5,19
预计,9.50323199540976E-5,53
听到,5.379187921930053E-6,3
蓄电池,1.7930626406433508E-6,1
shows,5.379187921930053E-6,3
dao,7.172250562573403E-6,4
腰围,1.7930626406433508E-6,1
凹陷,1.7930626406433508E-6,1
jordan,1.0758375843860106E-5,6
厨房,0.0014577599268430442,813
day,4.482656601608377E-5,25
不送,5.379187921930053E-6,3
乔治亚,1.7930626406433508E-6,1
摄影,3.227512753158031E-5,18
出院,3.5861252812867016E-6,2
抵达,1.7930626406433508E-5,10
各地,1.6137563765790156E-5,9
蒸煮,3.5861252812867016E-6,2
guardia,3.5861252812867016E-6,2
莫,1.7930626406433508E-6,1
小巧,5.379187921930053E-6,3
回绝,1.7930626406433508E-6,1
便宜,6.759846155225433E-4,377
获,8.965313203216754E-6,5
专车,1.7930626406433508E-6,1
速递,3.5861252812867016E-6,2
羞辱,1.7930626406433508E-6,1
路口,1.7930626406433508E-6,1
口子,5.379187921930053E-6,3
体检,3.0482064890936964E-5,17
履历,1.7930626406433508E-6,1
留下,2.5282183233071246E-4,141
菜,1.5420338709532818E-4,86
introduction,1.0758375843860106E-5,6
editors,3.5861252812867016E-6,2
听力,1.7930626406433508E-6,1
firestone,1.7930626406433508E-6,1
风范,1.7930626406433508E-6,1
酷暑,5.379187921930053E-6,3
泰勒,1.7930626406433508E-6,1
dds,1.7930626406433508E-6,1
ddr,3.5861252812867016E-6,2
third,5.379187921930053E-6,3
further,1.0758375843860106E-5,6
句子,1.7930626406433508E-6,1
弹簧,2.5102876969006912E-5,14
dec,1.2551438484503456E-5,7
presidents,5.379187921930053E-6,3
电力,7.172250562573403E-6,4
互联,1.7930626406433508E-6,1
den,3.5861252812867016E-6,2
viewing,3.5861252812867016E-6,2
阳台,3.209582126751598E-4,179
der,1.2551438484503456E-5,7
美金,1.7392707614240503E-4,97
des,1.7930626406433508E-6,1
怪异,1.7930626406433508E-6,1
dev,1.7930626406433508E-6,1
scanner,7.172250562573403E-6,4
zheng,5.379187921930053E-6,3
电动,1.757201387830484E-4,98
小幅,5.379187921930053E-6,3
解决,1.3447969804825132E-4,75
操作,3.0482064890936964E-5,17
going,1.6137563765790156E-5,9
buyer,1.7930626406433508E-6,1
dft,1.7930626406433508E-6,1
团结,5.379187921930053E-6,3
录像带,1.7930626406433508E-6,1
treatment,1.7930626406433508E-6,1
average,1.7930626406433508E-6,1
水槽,1.7930626406433508E-6,1
刹车,6.992944298509068E-5,39
捆绑,1.7930626406433508E-6,1
学前班,5.379187921930053E-6,3
choosing,3.5861252812867016E-6,2
谢谢,0.0014218986740301772,793
启动,3.4068190172223665E-5,19
专递,1.7930626406433508E-6,1
著,3.944737809415372E-5,22
unlike,1.7930626406433508E-6,1
发布,3.0482064890936964E-5,17
首次,7.172250562573403E-6,4
急忙,1.7930626406433508E-6,1
董,1.7930626406433508E-6,1
小店,5.379187921930053E-6,3
business,2.6895939609650264E-5,15
shoes,7.172250562573403E-6,4
反应,1.2551438484503456E-5,7
落脚,7.172250562573403E-6,4
拜访,5.379187921930053E-6,3
taught,3.5861252812867016E-6,2
进食,1.7930626406433508E-6,1
maximum,3.5861252812867016E-6,2
换算,1.7930626406433508E-6,1
思想,3.5861252812867016E-6,2
did,7.172250562573403E-6,4
quarter,8.965313203216754E-6,5
杀菌,7.172250562573403E-6,4
交纳,1.7930626406433508E-6,1
少年,1.7930626406433508E-6,1
dip,1.7930626406433508E-6,1
emory,1.7930626406433508E-6,1
dix,3.5861252812867016E-6,2
用品,5.038506020207816E-4,281
气温,7.172250562573403E-6,4
碎步,1.7930626406433508E-6,1
蒙,1.7930626406433508E-6,1
尽头,5.379187921930053E-6,3
鸽子,2.330981432836356E-5,13
制造,7.172250562573403E-6,4
出面,1.7930626406433508E-6,1
吧台,1.6137563765790156E-5,9
static,8.965313203216754E-6,5
顺路,4.482656601608377E-5,25
优点,3.765431545351037E-5,21
strap,1.7930626406433508E-6,1
brown,2.5102876969006912E-5,14
publicly,1.7930626406433508E-6,1
除了,1.68547888220475E-4,94
日用品,2.330981432836356E-5,13
富有,8.965313203216754E-6,5
蒸,3.765431545351037E-5,21
客气,3.5861252812867016E-6,2
砥砺,1.7930626406433508E-6,1
环节,8.965313203216754E-6,5
悲伤,1.7930626406433508E-6,1
交给,3.944737809415372E-5,22
金属,6.275719242251729E-5,35
氧气,1.7930626406433508E-6,1
virtual,5.379187921930053E-6,3
anita,1.7930626406433508E-6,1
法国,7.172250562573403E-6,4
back,1.0041150787602765E-4,56
拜谢,3.5861252812867016E-6,2
丈量,1.7930626406433508E-6,1
附加,1.7930626406433508E-5,10
states,7.172250562573403E-6,4
pound,8.965313203216754E-6,5
洁净,3.5861252812867016E-6,2
sheets,7.172250562573403E-6,4
houston,3.5861252812867016E-6,2
格斗,1.7930626406433508E-6,1
company,3.0482064890936964E-5,17
取巧,1.7930626406433508E-6,1
equinox,1.4344501125146806E-5,8
蓝,7.172250562573403E-5,40
恢复,8.965313203216754E-6,5
length,5.379187921930053E-6,3
concerns,1.7930626406433508E-6,1
研究,8.068781882895079E-5,45
贷款,1.0758375843860106E-5,6
biochemistry,8.965313203216754E-6,5
电压,1.972368904707686E-5,11
baby,3.4068190172223665E-5,19
小弟,1.0758375843860106E-5,6
showing,3.5861252812867016E-6,2
底部,8.965313203216754E-6,5
反弹,3.5861252812867016E-6,2
人类,1.7930626406433508E-6,1
thick,3.5861252812867016E-6,2
dartmouth,1.7930626406433508E-6,1
飞舞,1.7930626406433508E-6,1
瓶子,5.379187921930053E-6,3
balance,1.4344501125146806E-5,8
dna,1.7930626406433508E-6,1
东边,7.172250562573403E-6,4
chloe,1.7930626406433508E-6,1
坐牢,1.7930626406433508E-6,1
lying,1.7930626406433508E-6,1
蔡,1.7930626406433508E-6,1
researchers,3.5861252812867016E-6,2
made,1.2551438484503456E-5,7
因而,1.7930626406433508E-6,1
自动化,1.7930626406433508E-6,1
being,5.379187921930053E-6,3
马利,1.7930626406433508E-6,1
hoping,3.5861252812867016E-6,2
schwartz,1.7930626406433508E-6,1
fredericksburg,1.7930626406433508E-6,1
macy,3.0482064890936964E-5,17
doc,8.965313203216754E-6,5
预购,1.4344501125146806E-5,8
dog,1.0758375843860106E-5,6
status,1.2551438484503456E-5,7
trading,8.965313203216754E-6,5
don,1.6137563765790156E-5,9
分隔,1.7930626406433508E-6,1
拼装,7.172250562573403E-6,4
thief,1.7930626406433508E-6,1
bags,3.5861252812867016E-6,2
毛病,2.5102876969006912E-5,14
dot,6.455025506316063E-5,36
见图,1.7930626406433508E-5,10
chunky,1.7930626406433508E-6,1
推理,1.7930626406433508E-6,1
真题,7.172250562573403E-6,4
休斯敦,7.172250562573403E-6,4
西式,1.7930626406433508E-6,1
dps,1.7930626406433508E-6,1
吸力,1.7930626406433508E-5,10
社团,1.6137563765790156E-5,9
性情,1.7930626406433508E-6,1
代码,1.0758375843860106E-5,6
乐观,1.7930626406433508E-6,1
对手,1.6137563765790156E-5,9
男友,1.4344501125146806E-5,8
居多,1.0758375843860106E-5,6
只不过,3.5861252812867016E-6,2
保姆,1.7930626406433508E-6,1
薄,1.0758375843860106E-5,6
mail,1.02204570516671E-4,57
uniformed,1.7930626406433508E-6,1
任用,5.379187921930053E-6,3
启发,1.7930626406433508E-6,1
edward,8.965313203216754E-6,5
丰足,3.5861252812867016E-6,2
main,2.5102876969006912E-5,14
networking,1.7930626406433508E-6,1
arrangement,1.7930626406433508E-6,1
降到,1.0758375843860106E-5,6
触动,1.7930626406433508E-6,1
bilingual,3.5861252812867016E-6,2
cdma,5.379187921930053E-6,3
credit,4.3033503375440424E-5,24
岗位,3.227512753158031E-5,18
小心,4.661962865672712E-5,26
香水,8.965313203216754E-6,5
变幻,3.5861252812867016E-6,2
dry,1.0758375843860106E-5,6
薪,3.5861252812867016E-6,2
眼镜,2.330981432836356E-5,13
团聚,1.7930626406433508E-6,1
compass,1.7930626406433508E-6,1
化合物,1.7930626406433508E-6,1
马力,1.972368904707686E-5,11
原文,3.5861252812867016E-6,2
揣测,1.7930626406433508E-6,1
fidelity,3.5861252812867016E-6,2
标注,3.765431545351037E-5,21
原料,5.379187921930053E-6,3
也就是说,5.379187921930053E-6,3
ball,5.379187921930053E-6,3
抛锚,1.7930626406433508E-6,1
样本,7.172250562573403E-6,4
make,1.0758375843860106E-5,6
tiled,3.5861252812867016E-6,2
寻找,1.3806582332953802E-4,77
度过,1.4344501125146806E-5,8
限制,7.351556826637738E-5,41
前身,3.5861252812867016E-6,2
due,1.0758375843860106E-5,6
bake,3.5861252812867016E-6,2
duo,8.965313203216754E-6,5
跨国,7.172250562573403E-6,4
压根,3.5861252812867016E-6,2
叶子,7.172250562573403E-6,4
bank,2.6895939609650264E-5,15
进驻,3.5861252812867016E-6,2
dvd,6.813638034444733E-5,38
bang,1.7930626406433508E-6,1
陪伴,1.2551438484503456E-5,7
林立,5.379187921930053E-6,3
expended,1.7930626406433508E-6,1
band,8.965313203216754E-6,5
根本,2.6895939609650264E-5,15
屋外,3.5861252812867016E-6,2
治安,8.965313203216754E-6,5
点心,1.7930626406433508E-6,1
样板,1.7930626406433508E-6,1
mall,3.944737809415372E-5,22
去找,1.7930626406433508E-6,1
balm,1.7930626406433508E-6,1
labor,1.2551438484503456E-5,7
切面,3.5861252812867016E-6,2
填充,1.7930626406433508E-6,1
highest,1.7930626406433508E-6,1
male,1.972368904707686E-5,11
毛皮,1.7930626406433508E-6,1
驱动,3.0482064890936964E-5,17
participated,1.7930626406433508E-6,1
东部,5.379187921930053E-6,3
latitude,1.7930626406433508E-6,1
情书,1.7930626406433508E-6,1
友情,2.8689002250293613E-5,16
cedar,1.7930626406433508E-6,1
货源,5.379187921930053E-6,3
虚,1.7930626406433508E-6,1
relationship,1.7930626406433508E-6,1
询问,9.86184452353843E-5,55
尺子,5.379187921930053E-6,3
虞,1.7930626406433508E-6,1
借助,1.7930626406433508E-6,1
stat,1.2551438484503456E-5,7
star,1.0758375843860106E-5,6
mann,1.7930626406433508E-6,1
sticker,1.2551438484503456E-5,7
虫,1.7930626406433508E-6,1
many,2.5102876969006912E-5,14
反悔,8.965313203216754E-6,5
stay,1.0758375843860106E-5,6
学生,5.307465416304318E-4,296
尴尬,1.2551438484503456E-5,7
词频,1.7930626406433508E-6,1
stan,1.7930626406433508E-6,1
从简,1.7930626406433508E-6,1
等额,1.7930626406433508E-6,1
虽,3.5861252812867016E-6,2
虾,3.5861252812867016E-6,2
变形,5.379187921930053E-6,3
三角板,1.7930626406433508E-6,1
seller,3.5861252812867016E-6,2
欣赏,7.172250562573403E-6,4
treat,1.7930626406433508E-6,1
填写,3.4068190172223665E-5,19
理科,5.379187921930053E-6,3
navigator,5.379187921930053E-6,3
名声,8.965313203216754E-6,5
取得,2.330981432836356E-5,13
specs,1.7930626406433508E-6,1
周一,1.1116988371988776E-4,62
吸取,5.379187921930053E-6,3
坐班,1.7930626406433508E-6,1
