Word Index,Word Form,Surprisal
12,上,3.487185
13,：,3.568229
14,下,3.764796
15,）,2.858636
16,.,3.74633
,,
CMU,39,
0,客厅,6.258925
1,：,3.265959
2,有,3.078321
3,壁橱,6.394945
4,.,3.626795
,,
CMU,40,
0,要求,4.813935
1,：,2.389885
2,男士,6.416388
3,女士,5.238295
4,均可,3.896798
5,，,1.609239
6,但是,2.543796
7,必须,2.861583
8,要求,3.40672
9,身份,4.393926
10,是,1.871929
11,学生,3.814842
12,~,5.160771
13,~,3.452109
14,.,3.154961
,,
CMU,41,
0,需要,3.98786
1,找,3.91412
2,房子,3.386841
3,的,0.8059883
4,同学,4.033514
5,随时,5.438033
6,可以,1.330245
7,联系,4.153699
8,我,4.145011
9,，,1.692693
10,我,0.7850661
11,看到,2.506113
12,后,2.500205
13,就,1.674956
14,会,1.126363
15,回复,3.526362
16,~,5.08787
,,
CMU,42,
0,不,3.59865
1,是,2.539451
2,那,4.281279
3,种,4.366132
4,密封,6.035374
5,的,0.7819946
6,地下室,4.72555
7,。,0.8750613
,,
CMU,43,
0,欢迎,5.269867
1,联系,5.499402
2,～,4.874042
3,继续,4.223194
4,有效,3.011727
5,。,0.3203351
,,
CMU,44,
0,先,4.076213
1,说,3.058937
2,缺点,4.764591
3,吧,5.807478
4,：,2.675778
5,房子,5.728323
6,没有,3.018248
7,空调,3.679737
8,，,0.544068
9,之前,4.143966
10,夏天,5.331597
11,我,4.056154
12,是,1.447474
13,用,3.005185
14,一,1.770077
15,个,5.667714
16,落地,5.57337
17,的,1.25625
18,移动,3.836735
19,小,4.27653
20,空调,5.319258
21,，,1.500031
22,所以,2.539254
23,温度,3.645386
24,也,1.998903
25,还,3.472953
26,算,6.121415
27,凉快,7.065207
28,。,0.8091855
,,
CMU,45,
0,隔音,6.258925
1,一般,4.135893
2,，,1.681356
3,不过,2.382293
4,房间,5.089802
5,之间,2.922044
6,隔,3.717938
7,得,3.113927
8,比较,2.890225
9,开,5.16351
10,。,1.852045
,,
CMU,46,
0,房间,5.415995
1,挺,5.907206
2,小,2.909131
3,的,1.301735
4,，,1.747718
5,要,2.867961
6,好好,2.699567
7,利用,1.470186
8,空间,3.270126
9,才,3.611173
10,能,3.658033
11,住,4.076482
12,得,2.527742
13,比较,1.408048
14,舒服,4.097976
15,。,0.726807
,,
CMU,47,
0,公共,4.455366
1,空间,1.680257
2,充足,4.090818
3,，,0.629897
4,厨房,5.553919
5,非常,3.154587
6,大,1.591452
7,，,0.534119
8,客厅,5.971601
9,可以,3.211471
10,放,3.753779
11,东西,3.453571
12,。,0.5049582
,,
CMU,48,
0,可以,3.535944
1,一,2.465631
2,个,5.689569
3,人,1.958433
4,用,2.679791
5,一,2.038394
6,个,5.667714
7,卫生间,4.93294
8,（,2.53533
9,卫生间,5.898289
10,不,3.720179
11,在,3.866924
12,屋内,4.52629
13,）,3.285568
14,。,0.863662
,,
CMU,49,
0,二,3.222314
1,楼,1.591621
2,另,3.958781
3,有,3.864539
4,一,1.455138
5,个,5.503237
6,小,2.596043
7,办公室,4.04623
8,、,1.190326
9,和,2.766175
10,厕所,4.597183
11,（,2.343791
12,有,3.142366
13,浴缸,6.454475
14,),3.521939
15,。,1.034865
,,
CMU,50,
0,地点,4.410243
1,安全,5.855847
2,，,1.073926
3,环境,4.572483
4,安静,2.742167
5,优雅,5.980248
6,，,0.9153855
7,卧室,6.296344
8,采光,6.376999
9,很,4.343062
10,好,3.559633
11,，,1.364868
12,空气,4.731287
13,清新,6.327209
14,，,0.9949205
15,楼,5.175585
16,前后,5.504587
17,均,2.371557
18,有,0.3553877
19,草坪,5.005437
20,、,1.251517
21,后院,5.221436
22,有,1.628136
23,花坛,5.184949
24,和,1.39466
25,宽敞,5.219282
26,露台,3.29167
27,。,0.8213959
,,
CMU,51,
0,可,3.501123
1,联系,4.428232
2,看,4.016349
3,房,4.803008
4,。,1.131529
,,
CMU,52,
0,<unk>,Infinity
1,入住,5.243498
2,。,0.9292497
,,
CMU,53,
0,新装,6.100998
1,的,1.990388
2,窗子,5.7235
3,。,1.258286
,,
CMU,54,
0,一,2.791026
1,楼,5.695485
2,都,2.838277
3,是,1.239227
4,硬木,5.779892
5,地板,1.730221
6,。,0.4196835
,,
CMU,55,
0,地下室,5.637844
1,巨大,4.788049
2,。,1.596259
,,
CMU,56,
0,可,3.501123
1,免费,2.908404
2,储藏,6.847403
3,物品,2.381168
4,.,3.859633
,,
CMU,57,
0,价格,5.177113
1,可,2.831991
2,议,4.021317
3,。,0.9994671
,,
CMU,58,
0,出租,5.886802
1,两,3.447584
2,间,2.286637
3,卧室,2.529841
4,。,0.8193536
,,
CMU,59,
0,房租,6.258925
1,每,4.417907
2,间,4.163125
3,<unk>,Infinity
4,/,3.159547
5,月,3.459783
6,。,0.96393
,,
CMU,60,
0,比较,4.141838
1,适合,2.462813
2,有,2.742624
3,车,4.297067
4,的,1.156321
5,同学,4.048797
6,。,0.8426741
,,
CMU,61,
0,房子,5.512905
1,在,2.080929
2,半山,6.318498
3,上,3.088415
4,所以,5.135391
5,很,2.641032
6,安静,3.606417
7,。,0.8566467
,,
CMU,62,
0,生态,4.570897
1,好,4.814256
2,，,0.9934592
3,不时,4.718251
4,有,1.139179
5,鹿,4.626124
6,出没,6.002708
7,。,0.6977744
,,
CMU,63,
0,我,3.527254
1,住,4.040179
2,一,2.295993
3,间,0.9863015
4,，,1.717976
5,出租,5.514546
6,两,3.654981
7,间,2.286637
8,。,1.76848
,,
CMU,64,
0,出租,5.886802
1,的,1.31969
2,两,2.679885
3,间,2.333816
4,卧室,2.529841
5,<unk>,Infinity
6,一,2.366728
7,个,5.279712
8,卫生间,4.93294
9,。,0.966715
,,
CMU,65,
0,每,3.568012
1,个,4.638288
2,卧室,4.779879
3,都,2.791571
4,有,1.13947
5,两,2.112528
6,个,0.4321387
7,不同,1.83977
8,方向,1.974397
9,的,0.4253783
10,窗户,4.625391
11,，,0.6959645
12,视野,5.056637
13,和,1.891776
14,采光,4.791681
15,良好,1.802127
16,。,0.4977793
,,
CMU,66,
0,公寓,4.876083
1,也,2.558667
2,是,0.8345106
3,学生,3.78315
4,居多,4.547348
5,，,0.4891628
6,安全,4.790125
7,有,3.034458
8,保障,4.233019
9,。,0.7367586
,,
CMU,67,
0,[,3.567601
1,<unk>,Infinity
2,包,4.622641
3,所有,3.93785
4,，,1.939
,,
CMU,68,
0,但是,3.145239
1,大,3.431137
2,一,3.229056
3,点,5.075235
4,的,1.257224
5,一,2.176602
6,室,4.987225
7,，,0.6922366
8,或者,3.340718
9,三,3.337013
10,室,3.931014
11,都,3.19815
12,可以,1.635856
13,考虑,3.104981
14,。,1.883981
,,
CMU,69,
0,四川,3.801801
1,，,1.604032
2,府,4.950002
3,河,5.404144
4,人家,6.164794
5,.,3.555483
,,
CMU,70,
0,房子,5.512905
1,共,4.35849
2,有,3.044444
3,三,2.11923
4,个,0.4863122
5,厕所,4.61709
6,。,1.203928
,,
CMU,71,
0,两,3.065489
1,个,0.6650633
2,厨房,4.601481
3,。,1.244829
,,
CMU,72,
0,总共,4.315625
1,三,2.945323
2,层,2.010257
3,。,1.262624
,,
CMU,73,
0,每,3.568012
1,屋,5.361506
2,两,3.171141
3,卧室,7.305973
4,。,0.9010747
,,
CMU,74,
0,一,2.791026
1,楼,5.695485
2,有,2.147275
3,厨房,5.076678
4,和,1.448304
5,厕所,0.8880262
6,。,0.69897
,,
CMU,75,
0,二,3.222314
1,楼,1.591621
2,厨房,3.958781
3,和,1.306866
4,厕所,0.8880262
5,。,0.69897
,,
CMU,76,
0,另外,2.677585
1,一,1.652051
2,个,5.97431
3,厕,4.850151
4,所在,5.332943
5,地下室,5.926636
6,，,0.7214034
7,地下室,2.116913
8,只有,4.193738
9,一,1.307162
10,面,5.746109
11,地下,4.778843
12,，,1.395372
13,另外,3.239464
14,一,1.495439
15,面,5.963125
16,可以,3.05601
17,走,3.804077
18,出门,6.185788
19,到,1.921687
20,院子,5.932368
21,。,1.23241
,,
CMU,77,
0,一,2.791026
1,楼,5.695485
2,出门,6.309048
3,就,1.783384
4,是,2.294847
5,阳台,6.252996
6,。,0.8616973
,,
CMU,79,
0,家具,5.804013
1,齐全,6.28716
2,。,0.8237057
,,
CMU,80,
0,免费,4.772542
1,停车,1.363081
2,。,1.661305
,,
CMU,81,
0,走,4.806756
1,两,3.177254
2,分,5.383145
3,种,3.739702
4,到,4.181509
5,公交,5.944695
6,车站,4.135591
7,。,0.8276999
,,
CMU,82,
0,现,3.529129
1,住,3.264564
2,两,2.923864
3,女,2.854511
4,三,3.647956
5,男,0.6939341
6,。,0.7704188
,,
CMU,83,
0,本人,5.073573
1,很,2.727612
2,和善,3.744676
3,，,0.2729289
4,好,4.01179
5,说话,5.576811
6,，,0.6720093
7,热心肠,8.429308
8,。,1.704822
,,
CMU,84,
0,门口,5.976814
1,有,1.705884
2,阳台,4.953685
3,，,0.7207134
4,早上,4.74303
5,起来,2.512137
6,可以,2.77623
7,呼吸,4.26918
8,新鲜,3.476088
9,空气,5.363558
10,。,1.625998
,,
CMU,85,
0,入住,5.976814
1,可以,3.558488
2,有,2.123277
3,价值,4.404692
4,<unk>,Infinity
5,的,1.397776
6,家具,4.544015
7,低价,6.187898
8,<unk>,Infinity
9,转让,5.115943
10,！,4.617445
,,
CMU,86,
0,冬天,5.035784
1,暖气,6.595182
2,充足,5.618956
3,（,3.001493
4,匹兹堡,5.63158
5,有,2.696222
6,漫长,4.589204
7,的,0.2596373
8,五,3.515315
9,个,0.6960008
10,月,1.27737
11,冬季,4.939981
12,）,3.017584
13,。,0.9008504
,,
CMU,87,
0,出租,5.886802
1,其中,3.670913
2,一,0.8213816
3,间,2.082816
4,，,1.717976
5,隔音,6.116605
6,效果,1.14178
7,很,2.878194
8,好,3.741866
9,。,1.655329
,,
CMU,88,
0,希望,4.628299
1,您,3.2899
2,是,1.855936
3,单身,4.622108
4,的,1.283899
5,中国,3.060353
6,学生,2.213105
7,或,2.935308
8,访问,4.263114
9,学者,4.56888
10,，,1.06419
11,不,3.053959
12,吸烟,3.56516
13,，,0.9576563
14,不,2.195154
15,吸毒,4.278793
16,，,0.8874426
17,不,3.000304
18,养,4.810753
19,宠物,2.552417
20,，,0.7998947
21,爱,4.207766
22,清洁,4.467768
23,，,1.191193
24,寻求,4.479913
25,安静,5.846418
26,和谐,5.612142
27,的,0.8809078
28,居住,4.495251
29,环境,0.6541765
30,。,0.7900504
,,
CMU,89,
0,来信,6.527233
1,请,2.68178
2,简单,4.555143
3,介绍,2.487469
4,一下,1.699935
5,您,3.780072
6,的,0.7787857
7,情况,3.005658
8,。,0.5539148
,,
CMU,90,
0,谢谢,5.637844
1,关注,4.865819
2,！,3.678204
,,
CMU,92,
0,我,3.527254
1,可以,2.296368
2,电邮,5.139384
3,你,4.30561
4,房子,4.983461
5,清晰,5.553516
6,照片,2.311905
7,的,0.8668415
8,截图,5.307046
9,。,0.845098
,,
CMU,93,
0,另外,2.677585
1,还,2.42314
2,免费,4.21454
3,提供,1.06923
4,吸尘器,7.195318
5,和,1.558933
6,蒸汽,4.596991
7,拖把,7.459452
8,。,1.51493
,,
CMU,94,
0,所有,3.213507
1,床单,6.560549
2,被子,6.936036
3,均,3.975929
4,是,1.549799
5,全新,3.288862
6,！,4.936014
,,
CMU,95,
0,),5.445959
1,希望,4.783762
2,您,3.136873
3,是,1.855936
4,单身,4.622108
5,的,1.283899
6,中国,3.060353
7,学生,2.213105
8,或,2.935308
9,访问,4.263114
10,学者,4.56888
11,，,1.06419
12,不,3.053959
13,吸烟,3.56516
14,，,0.9576563
15,不,2.195154
16,吸毒,4.278793
17,，,0.8874426
18,不,3.000304
19,养,4.810753
20,宠物,2.552417
21,，,0.7998947
22,爱,4.207766
23,清洁,4.467768
24,，,1.191193
25,寻求,4.479913
26,安静,5.846418
27,和谐,5.612142
28,的,0.8809078
29,居住,4.495251
30,环境,0.6541765
31,。,0.7900504
,,
CMU,98,
0,房间,5.415995
1,都,2.076135
2,翻新,5.966272
3,过,2.348305
4,。,1.14178
,,
CMU,99,
0,桌子,6.100998
1,，,0.7938639
2,凳子,7.680344
3,，,0.7323937
4,啥,6.557298
5,都,0.9736711
6,有,1.402214
7,！,4.95719
,,
CMU,100,
0,真的,5.886802
1,是,1.200772
2,<unk>,Infinity
3,入住,5.243498
4,！,4.326986
,,
CMU,106,
0,有,2.715695
1,兴趣,4.139023
2,快,5.462072
3,联系,5.127764
4,哦,6.747117
5,。,1.335792
,,
CMU,107,
0,房子,5.512905
1,整洁,6.769275
2,，,0.6255411
3,;,5.119273
,,
CMU,108,
0,该,2.399185
1,地,2.8541
2,公共,5.362186
3,交通,5.592818
4,及,1.878358
5,校园,4.431787
6,交通,3.912048
7,方便,2.286167
8,。,0.7990851
,,
CMU,109,
0,带,4.192413
1,家具,5.234958
2,，,0.9882128
3,包,5.064981
4,水电,6.124396
5,和,1.731155
6,上网,5.068735
7,。,1.1269
,,
CMU,111,
0,已,3.881124
1,租,4.731706
2,！,4.776625
,,
CMU,112,
0,超级,4.033378
1,方便,5.518289
2,！,4.426795
,,
CMU,113,
0,<unk>,Infinity
1,就,3.092635
2,可以,1.408872
3,入住,4.436532
4,！,4.551792
,,
CMU,114,
0,现出,7.042348
1,租,5.206141
2,客厅,6.233952
3,。,1.281693
,,
CMU,115,
0,这个,2.896868
1,客厅,6.376574
2,挺,5.696574
3,大,2.454219
4,的,0.5658115
5,，,2.022976
6,冬天,4.916987
7,暖气,6.567575
8,特别,4.300398
9,足,5.286444
10,，,1.348061
11,夏天,4.767131
12,有,2.449441
13,空调,4.249573
14,。,1.275931
,,
CMU,116,
0,周围,5.114965
1,吃饭,6.100546
2,的,0.9777236
3,中餐,6.242402
4,西餐,6.288528
5,也,2.315357
6,很多,3.593413
7,，,0.3573484
8,生活,3.217511
9,非常,3.032108
10,便利,3.329533
11,。,0.1684044
,,
CMU,117,
0,欢迎,5.269867
1,联系,5.499402
2,。,0.6328061
,,
CMU,118,
0,希望,4.628299
1,您,3.2899
2,是,1.855936
3,个,2.341116
4,爱,2.875227
5,干净,3.373277
6,的,0.7994511
7,人,2.16942
8,，,0.7202628
9,男生,4.772558
10,女生,5.56953
11,都,2.07225
12,可以,1.328867
13,，,2.359414
14,但是,1.199001
15,请,4.268443
16,帮忙,4.17128
17,保持,3.788718
18,整洁,3.418591
19,的,0.7123947
20,居住,4.353406
21,环境,0.6541765
22,。,0.7900504
,,
CMU,119,
0,新,2.903667
1,的,2.130357
2,合同,3.932402
3,可以,4.362622
4,从,1.892201
5,<unk>,Infinity
,,
CMU,120,
0,另,3.093914
1,有,4.112612
2,单独,3.955735
3,后院,6.659806
4,草坪,5.732509
5,，,0.8325964
6,尽,4.344347
7,享,2.058905
8,私密,6.634746
9,空间,1.579282
10,，,0.5658115
11,衣服,5.218166
12,晾晒,7.071527
13,非常,4.004621
14,方便,2.645809
15,。,0.2552725
,,
CMU,121,
0,自然,4.170483
1,历史,1.380211
2,博物馆,1.150245
3,、,1.350056
4,艺术,2.322378
5,博物馆,2.595031
6,、,1.179296
7,植物园,4.971431
8,步行,6.069888
9,十,2.744194
10,分钟,5.225296
11,左右,1.925659
12,。,0.4232459
,,
CMU,122,
0,公寓,4.876083
1,宽敞,6.428673
2,面积,3.160379
3,大,2.899973
4,，,0.4118545
5,家具,5.480906
6,设施,2.980459
7,齐全,2.295185
8,，,0.2701534
9,可,2.51071
10,直接,2.028813
11,<unk>,Infinity
12,入住,5.243498
13,。,0.9292497
,,
CMU,123,
0,附近,4.302052
1,餐馆,5.359092
2,美食,5.54517
3,众多,4.832224
4,；,3.152564
,,
CMU,124,
0,治安,5.086936
1,非常,3.000103
2,良好,2.967483
3,，,0.6494846
4,安静,5.804457
5,的,0.7913249
6,住宅,3.910663
7,街,2.132667
8,。,0.5642715
,,
CMU,125,
0,周围,5.114965
1,很多,3.622295
2,学生,2.518941
3,和,1.371109
4,医生,4.382347
5,，,0.9173304
6,以及,2.248569
7,华人,3.818841
8,同学,4.171746
9,。,1.079339
,,
CMU,126,
0,卧室,6.527233
1,面积,4.086636
2,很,5.462387
3,大,3.383542
4,，,1.350056
5,虽然,2.858958
6,是,1.813902
7,客厅,6.010648
8,，,0.8922411
9,但,1.908651
10,并不,2.633258
11,会,2.974482
12,影响,2.17721
13,隐私,6.314537
14,，,0.8532254
15,也,2.098187
16,不,1.861036
17,会,2.9237
18,有,2.047401
19,什么,2.317244
20,噪音,5.822489
21,影响,1.740814
22,休息,5.448929
23,。,0.819544
,,
CMU,127,
0,房间,5.415995
1,家具,5.898835
2,齐全,6.166569
3,（,2.788236
4,床,5.541569
5,，,0.9247482
6,书架,6.24552
7,，,0.7998093
8,桌子,5.779965
9,，,0.729177
10,衣架,7.047577
11,，,1.588359
12,椅子,5.676741
13,，,1.504958
14,小,3.801332
15,沙发,6.534488
16,，,1.136041
17,台灯,7.674237
18,等,1.074923
19,）,1.804735
20,，,0.6729853
21,<unk>,Infinity
22,入住,5.243498
23,。,0.9292497
,,
CMU,128,
0,适合,5.100725
1,暑期,6.003348
2,来,3.574791
3,<unk>,Infinity
4,交流,4.261149
5,的,1.196814
6,同学,4.126291
7,。,0.8426741
,,
CMU,129,
0,公寓,4.876083
1,有,2.750553
2,人,3.173525
3,接收,4.535916
4,快递,6.365265
5,，,1.584157
6,维修,4.991447
7,也,2.220962
8,算,3.678844
9,及时,5.322688
10,。,2.632837
,,
CMU,130,
0,健身房,7.042348
1,楼,4.670619
2,主,3.242847
3,一直,4.812906
4,是,1.148101
5,去,3.891785
6,学校,2.869272
7,，,0.7323937
8,毕竟,4.88454
9,很,3.961128
10,近,1.974979
11,。,0.6738774
,,
CMU,132,
0,房子,5.512905
1,干净,6.083847
2,整洁,1.839242
3,，,0.7476568
4,环境,4.454161
5,优雅,1.600386
6,，,0.2872417
7,宽敞,6.08549
8,，,0.7089185
9,安静,5.702542
10,。,1.259899
,,
CMU,138,
0,附近,4.302052
1,环境,3.390318
2,安全,3.157874
3,安静,6.303366
4,，,0.8755206
5,安全,4.709467
6,指标,3.493096
7,全,3.550051
8,绿,4.109146
9,。,2.423795
,,
CMU,139,
0,<unk>,Infinity
,,
CMU,140,
0,客厅,6.258925
1,和,1.499889
2,卧室,1.44281
3,光线,5.76106
4,充足,1.909957
5,，,0.6478175
6,均,3.392116
7,连接,3.930003
8,了,1.614129
9,巨大,2.898018
10,的,0.1453408
11,阳台,5.189188
12,，,0.6330943
13,每,3.222106
14,天,4.617165
15,看,4.205513
16,着,2.961364
17,心情,4.966558
18,很,2.132062
19,好,3.655055
20,～,4.67932
21,暑假,6.046879
22,短,4.714805
23,租,5.854287
24,的,1.484861
25,话,3.347488
26,可以,2.280351
27,只,3.163377
28,租,3.924057
29,卧室,6.796879
30,，,0.6956164
31,也,2.096244
32,可以,1.419058
33,整,5.021607
34,间,4.397652
35,出租,4.507327
36,。,1.169046
,,
CMU,142,
0,公寓,4.876083
1,附近,2.704796
2,社区,3.171581
3,很,4.516026
4,安全,3.114697
5,，,0.3357921
6,周围,4.207994
7,环境,4.735251
8,很,3.42335
9,好,3.595524
10,。,1.655329
,,
CMU,143,
0,附带,5.023885
1,健身,6.402724
2,室,4.698073
3,。,1.089744
,,
CMU,144,
0,或,4.284591
1,微,3.614477
2,信,5.013442
3,<unk>,Infinity
,,
CMU,145,
0,您,5.160723
1,好,4.76033
2,！,2.515432
,,
CMU,146,
0,欢迎,5.269867
1,入住,6.472378
2,。,0.9292497
,,
CMU,147,
0,地理,4.474815
1,位置,4.980064
2,不,2.572929
3,能,2.881285
4,更好,2.874077
5,。,1.533021
,,
CMU,156,
0,公共,4.455366
1,区域,2.399191
2,家具,5.932817
3,+,4.663384
4,生活,4.325984
5,用品,6.419239
6,全部,3.553723
7,齐全,5.970677
8,，,0.370216
9,入住,5.249908
10,方便,4.753297
11,。,1.137055
,,
CMU,157,
