SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,TranslatedSentence
44,有 兴趣 请 联系 rent 71797@gmail.,1,rent,,,,,,,,,,
45,使用 至今 没有 任何 事故 记录 ， clean title 。,1,clean title,,,,,,,,,,
46,写 paper 写 作业 必备 。,1,paper,,,,,,,,,,
47,有 兴趣 请 先 邮件 联系 rent 71797@gmail.,1,rent,,,,,,,,,,
48,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,2,suv,,pit,,,,,,,,
49,豪华 suv 包车 往返 pit 机场 及 匹兹堡 市区,2,suv,,pit,,,,,,,,
50,联系 电话 ： 304-646-2548 email : xuw25@pitt.,1,email,,,,,,,,,,
51,小 电风扇 已 出 ， 屏风 on hold,1,on hold,,,,,,,,,,
52,hello 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,1,hello,,,,,,,,,,
53,最好 在 north oakland,1,north oakland,,,,,,,,,,
54,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,1,dealer,,,,,,,,,,
55,联系 电话 ： 304-646-2548 email : xuw25@pitt.,1,email,,,,,,,,,,
56,amazon fire tv stick ， 原价 $ 39.,1,amazon fire tv stick,,,,,,,,,,
57,宜家 立柜 / 书柜 ( like new ) : $25 ( multiple available ),2,like new,,multiple available,,,,,,,,
58,地址 ： frick park,1,frick park,,,,,,,,,,
59,我 住 n craig st 。,1,n craig st,,,,,,,,,,
60,以上 queen size 已 出 啦,1,queen size,,,,,,,,,,
61,本人 是 第三 任 车主 ， 前 两 位 车主 及 本人 均 在 奥迪 dealer 店 定期 保养 ， 车况 好 。,1,dealer,,,,,,,,,,
62,求购 bread toaster 一 个 ！,1,bread toaster,,,,,,,,,,
63,cloth horse 是 啥 啊 楼 主,1,cloth horse,,,,,,,,,,
64,可以 暂时 用 国内 的 驾照 开 ， 不过 最好 是 考 learner permit 。,1,learner permit,,,,,,,,,,
65,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 clean title 可 送 aux 线 手机 支架,2,clean title,,aux,,,,,,,,
66,因 relocate 需要 ， 出手 小车 ~,1,relocate,,,,,,,,,,
67,自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 coupe ， 2.,1,coupe,,,,,,,,,,
68,全新 gre og$20,1,gre,,,,,,,,,,
69,物品 condition 大部分 excellent to like new .,2,condition,,excellent to like new,,,,,,,,
70,带 三 档 fan control ，,1,fan control,,,,,,,,,,
71,front ， top ， bottom 都 有 dust filter ，,4,front,,top,,bottom,,dust filter,,,,
72,出售 二手 full size 床 ！,1,full size,,,,,,,,,,
73,对 您 的 tv stand 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 412-626-8640 （ 杨 ） ， 谢谢 ！,1,tv stand,,,,,,,,,,
74,包含 ： 电 吉他 ， 音箱 ， cable ， 输入 3.,1,cable,,,,,,,,,,
75,具体 的 信息 也 可以 参考 amazon 的 页面 或者 短信 我 。,1,amazon,,,,,,,,,,
76,十 分钟 可 达 买 吃 一 条 街 - walnut street 。,1,walnut street,,,,,,,,,,
77,这 是 amazon 的 link,2,amazon,,link,,,,,,,,
78,png 回国 转让 家具 ：,1,png,,,,,,,,,,
79,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,1,playground,,,,,,,,,,
80,今天 刚 做 的 inspection ， 去年 做 过 alignment ， 轮胎 刚 用 一 年 多 ， 很 新 。,2,inspection,,alignment,,,,,,,,
81,正值 壮年 ， 因为 是 timing chain 所以 不用 担心 timing belt 问题 。,2,timing chain,,timing belt,,,,,,,,
82,家具 都 是 宜家 或者 amazon 上 购买 的 ， 使用 了 不到 一 年 。,1,amazon,,,,,,,,,,
83,amazon 上 marcy 健身 椅$15,2,amazon,,marcy,,,,,,,,
84,ask for$19500 （ 可 小刀 ）,1,ask,,,,,,,,,,
85,系统 及 功能 就 不用 说 了 ， 用 mac 的 都 知道 。,1,mac,,,,,,,,,,
86,就 在 south oakland 随时 看 车 ， 412-961-5305 。,1,south oakland,,,,,,,,,,
87,【 物业 】 ： meyers management 公司 ， 物业 反应 迅速,1,meyers management,,,,,,,,,,
88,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 party 的 时候 大家 一起 玩 。,1,party,,,,,,,,,,
89,小朋友 不到 一 岁 就 换 了 convertible car seat ， 这个 在家 闲置 了 几 个 月 了 。,1,convertible car seat,,,,,,,,,,
90,king size 的,1,king size,,,,,,,,,,
91,clean title ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,1,clean title,,,,,,,,,,
92,两 个 car seater 都 出 了 ， 谢谢 关注 ！,1,car seater,,,,,,,,,,
93,room essentials 风扇 。,1,room essentials,,,,,,,,,,
94,modem 和 wireless router 套餐 。,2,modem,,wireless router,,,,,,,,
95,my brest friend 喂奶 枕 。,1,my brest friend,,,,,,,,,,
96,联系 方式 ： 412-418-4937 ( text ),1,text,,,,,,,,,,
97,发动机 强劲 smooth ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,1,smooth,,,,,,,,,,
98,型号 ： hamilton beach 331414-quart .,1,hamilton beach,,,,,,,,,,
99,amazon 链接 ( 原价 $ 19.,1,amazon,,,,,,,,,,
100,转让 玻璃 茶几 ， 包括 一 个 coffee table 和 两 个 side tables 。,2,coffee table,,side tables,,,,,,,,
101,一 个 night stand ， 一 个 小 书桌 免费 赠送 。,1,night stand,,,,,,,,,,
102,联系 方式 ： email : sum 6683@126.,2,email,,sum,,,,,,,,
103,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 standard window ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,1,standard window,,,,,,,,,,
104,地址 ： near frick park,1,near frick park,,,,,,,,,,
105,thx 已 出,1,thx,,,,,,,,,,
106,利用 closet 下方 空间 的 整理 架 免费,1,closet,,,,,,,,,,
107,地址 在 frick park 附近 。,1,frick park,,,,,,,,,,
108,或者 请 查看 word 附件 ～,1,word,,,,,,,,,,
109,（ 坐标 ： south oakland ， 联系 方式 ： jannen47@yahoo.,1,south oakland,,,,,,,,,,
110,每 三千 迈 用 最 好 的 mobil-1 synthetic oil 细心 保养,1,synthetic oil,,,,,,,,,,
111,仅 后面 bumper 和 左 后 车门 有 少许 dents,2,bumper,,dents,,,,,,,,
112,坐标 ： squirrel hill .,1,squirrel hill,,,,,,,,,,
113,免费 的 桌子 ， baby seat ， high chair ， queen size mattress and box .,3,baby seat,,high chair,,queen size mattress and box,,,,,,
114,usp = sharing 链接 会 不断 更新 ， 拿 家具 时间 比较 随意,2,usp,,sharing,,,,,,,,
115,八月 初 到 匹兹堡 ， 需要 一 张 queen size 的 床 ， 桌子 ， 椅子 各 种 家具,1,queen size,,,,,,,,,,
116,利用 closet 下方 空间 的 整理 架 免费,1,closet,,,,,,,,,,
117,我 的 地址 在 fifth ave and aiken ave 附近 。,1,fifth ave and aiken ave,,,,,,,,,,
118,有 兴趣 的 朋友 请 联系 [ url = mailtoynch.,1,url,,,,,,,,,,
119,打印机 为 brother hl-2270 dw ， 状态 良好,2,brother,,dw,,,,,,,,
120,东西 在 north oakland,1,north oakland,,,,,,,,,,
121,地点 位于 s highland ave 和 elwood st 交界,2,s highland ave,,elwood st,,,,,,,,
122,你 转账 后 ， 我 给 你 完整 的 report .,1,report,,,,,,,,,,
123,queen size 睡 两 人 很 宽敞 ， 舒服 ！,1,queen size,,,,,,,,,,
124,微波炉 ， danby 0.,1,danby,,,,,,,,,,
125,人 在 centre giant eagle 附近 ~,1,centre giant eagle,,,,,,,,,,
126,求购 window machine,1,window machine,,,,,,,,,,
127,白板 [ size = 14.,1,size,,,,,,,,,,
128,可以 支撑 起来 看 视频 的 case,1,case,,,,,,,,,,
129,[ quote ] ff_li 发表 于 2016-5-412:20,1,quote,,,,,,,,,,
130,有 兴趣 邮件 betty 2178@live.,1,betty,,,,,,,,,,
131,验证 码 [ url = ] 换 一 个 [/url ],1,url,,,,,,,,,,
132,dish dryer : 有 专门 可以 放 筷子 的 地方 。,1,dish dryer,,,,,,,,,,
133,或 发 邮件 到 ： cap 129@pitt.,1,cap,,,,,,,,,,
134,所有 保养 ， inspection ， 换 轮胎 全 都 是 在 奔驰 dealer 做 的 。,2,inspection,,dealer,,,,,,,,
135,半 年 前 换 了 四 个 break rotors ， 和 两 个 front breaks ，,2,break rotors,,front breaks,,,,,,,,
136,最好 在 centre ， market district giant eagle 附近 。,2,centre,,market district giant eagle,,,,,,,,
137,需要 自己 来 pick up ， 谢谢 ！,1,pick up,,,,,,,,,,
138,回国 出 高端 音响 beats by dr.,1,beats by,,,,,,,,,,
139,电话 ： 412-六五二－6177 （ 最好 message ）,1,message,,,,,,,,,,
140,顶上 的 mic 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，,1,mic,,,,,,,,,,
141,一 个 厚 被子 ， queen size 。,1,queen size,,,,,,,,,,
142,搅拌机 ， $5--- sold,1,sold,,,,,,,,,,
143,买 两 件 以上 送 phipps conservatory and botanical gardens 门票 一 张 ， 买 三 件 以上,1,phipps conservatory and botanical gardens,,,,,,,,,,
144,wireless chiclet-style keyboard ， optical mouse ， 赠送 键盘 和 鼠标 ；,3,wireless,,keyboard,,optical mouse,,,,,,
145,操作 系统 ： windows 8.,1,windows,,,,,,,,,,
146,显卡 ： integrated ;,1,integrated,,,,,,,,,,
147,给 自己 ding 一下 ！,1,ding,,,,,,,,,,
148,今天 随手 一 试 发现 code 能用 ， 真是 意外 惊喜 。,1,code,,,,,,,,,,
149,honeywell 电 风扇 ， amazon 23.,2,honeywell,,amazon,,,,,,,,
150,毕业 甩卖 家具 （ 具体 价格 图片 见 google doc ）,1,google doc,,,,,,,,,,
151,位置 在 hobart street ， squirrel hill .,2,hobart street,,squirrel hill,,,,,,,,
152,楼主 发现 amazon 刚刚 匹配 了 $ 33.,1,amazon,,,,,,,,,,
153,sony 的 2.,1,sony,,,,,,,,,,
154,amazon 原价 23.,1,amazon,,,,,,,,,,
155,这 款 面 包机 在 amazon 卖 $ 54.,1,amazon,,,,,,,,,,
156,target （ 电子 产品 ， 家居 ， 衣物 等 。,1,target,,,,,,,,,,
157,apple watch 送 $100 礼品 卡 （ 相当于 $249 ） ;,1,apple watch,,,,,,,,,,
158,best buy 的 电视 deal 每 年 都 是 最 划算 的 ， 但是 要 去 店 门口 排队 ， 没有 把握 拿到,2,best buy,,deal,,,,,,,,
159,staples （ 电器 ， 电子 产品 ）,1,staples,,,,,,,,,,
160,kindle paperwhite$99 ( 原价 $ 119.,1,kindle,,,,,,,,,,
161,ebay （ 综合 类 。,1,ebay,,,,,,,,,,
162,jc penney （ 主要 是 衣服 ， 很多 冬装 9.,1,jc penney,,,,,,,,,,
163,差不多 算是 全新 的 了 ， 适合 full-size stove 的 公寓 或 house 使用 。,2,stove,,house,,,,,,,,
164,具体 联系 ： lig 51@pitt.,1,lig,,,,,,,,,,
165,高清 图片 见 google doc,1,google doc,,,,,,,,,,
166,可以 轻松 在 cmos 里 超频 。,1,cmos,,,,,,,,,,
167,id=0b2acusdjp9ogqzhpeejstc1quuu&usp = sharing ， 有 兴趣 欢迎 联系 ， 电话 412-996-1826 ， 邮件 rickyzhcl@gmail.,1,sharing,,,,,,,,,,
168,html （ 价格 可以 商量 ）,1,html,,,,,,,,,,
169,update : 依然 有效 ， 现在 $ 25.,1,update,,,,,,,,,,
170,amazon 上 买 的 新 书 ， 除了 用 铅笔 划 过 几 条 线 以外 就 跟 新 的 一样 。,1,amazon,,,,,,,,,,
171,dell st 201020-inch 16:9 aspect ratio flat panel monitor + 音响 $40,2,dell st,,aspect ratio flat panel monitor,,,,,,,,
172,平时 用 的 很 仔细 ， condition 很好 。,1,condition,,,,,,,,,,
173,感兴趣 的 请 email 至 allaboutsignup@gmail.,1,email,,,,,,,,,,
174,hello ， 大家 好,1,hello,,,,,,,,,,
175,轻薄 便捷 ， usb 连接,1,usb,,,,,,,,,,
176,电磁场 与 电磁波 david k .,1,david k,,,,,,,,,,
177,动态 系统 的 数字 控制 gene f.,1,gene,,,,,,,,,,
178,仍然 available :,1,available,,,,,,,,,,
179,坐标 craig 上 的 cvs 附近,2,craig,,cvs,,,,,,,,
180,选择 standard shipping 即 可 免 运费 。,1,standard shipping,,,,,,,,,,
181,因 太太 准备 开车 ， 不 习惯 开 suv ， 所以 正在 购买 新车 中 。,1,suv,,,,,,,,,,
182,成色 不错 啊 ， 是 clean title 吗,1,clean title,,,,,,,,,,
183,一 个 是 独立 房 ， 一 个 是 condo .,1,condo,,,,,,,,,,
184,utility : 自理 （ 约 70-100 / 月 ）,1,utility,,,,,,,,,,
185,个人 平时 比较 宅 ， 不 开 party 。,1,party,,,,,,,,,,
186,有意 请 email 至 fwplzh@gmail.,1,email,,,,,,,,,,
187,啊 不 好意思 我 已经 update 了 联系 方式 了,1,update,,,,,,,,,,
188,现在 还 available,1,available,,,,,,,,,,
189,south oakland 独立 一 室 一 厅 公寓 出租 ！,1,south oakland,,,,,,,,,,
190,该 公寓 是 匹兹堡 最 火 的 公寓 ， 口碑 物业 meyers 旗下 最 受 中国 学生 欢迎 的 公寓 ， 性价比 高 。,1,meyers,,,,,,,,,,
191,） 公寓 情况 ： mozart 是 匹兹堡 的 大 物业 ， arlington 是 mozart 的 物业 总部 ， 物业 维修 都 很 方便 。,3,mozart,,arlington,,mozart,,,,,,
192,精装 修 、 家具 全 、 free 无线 上网 !,1,free,,,,,,,,,,
193,oakland 的 干净 精致 好 房 您 不 能 错过 ！,1,oakland,,,,,,,,,,
194,精装 修 家具 全 free 无线 上网 !,1,free,,,,,,,,,,
195,地点 ： central oakland,1,central oakland,,,,,,,,,,
196,环境 ： 住宅 街区 ， street parking 。,1,street parking,,,,,,,,,,
197,房型 ： house,1,house,,,,,,,,,,
198,欢迎 email 咨询,1,email,,,,,,,,,,
199,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,
200,本人 ： 男 ， 第二 年 pitt phd 。,1,pitt phd,,,,,,,,,,
201,house 一 楼 是 餐厅 客厅 和 厨房 二 楼 是 三 个 房间 share 卫生间 。,2,house,,share,,,,,,,,
202,四 个 房间 租金 分别 为 390，420，460，490 usd / 月 。,1,usd,,,,,,,,,,
203,四 个 房间 租金 分别 为 390，420，460，490 usd / 月 。,1,usd,,,,,,,,,,
204,位置 ： north oakland/shadyside,1,north,,,,,,,,,,
205,有 pet 可以 商量,1,pet,,,,,,,,,,
206,欢迎 email 联系 咨询 。,1,email,,,,,,,,,,
207,( 由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,2,google drive,,link,,,,,,,,
208,有 pet 可以 商量,1,pet,,,,,,,,,,
209,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,
210,如果 感 兴趣 ， 请 通过 email 联系 azhou66@yahoo.,1,email,,,,,,,,,,
211,house 共 两 个 卧室 ， 一 个 阁楼 。,1,house,,,,,,,,,,
212,阁楼 有 一 个 living room 和 一 个 bedroom 。,2,living room,,bedroom,,,,,,,,
213,house 厨房 ， 厕所 宽敞 明亮 。,1,house,,,,,,,,,,
214,本人 男 ， 今年 去 pitt 读 master ， 8.,2,pitt,,master,,,,,,,,
215,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,
216,要求 ： security deposit ， 爱 干净,1,security deposit,,,,,,,,,,
217,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle,1,shuttle,,,,,,,,,,
218,联系 电话 : 412-498-9637 ， email : honglimo@yahoo.,1,email,,,,,,,,,,
219,这时 living room 的 图片 ， 比 卧室 要 大 。,1,living room,,,,,,,,,,
220,house 共 两 个 卧室 ， 一 个 阁楼 。,1,house,,,,,,,,,,
221,house 厨房 ， 厕所 宽敞 明亮 。,1,house,,,,,,,,,,
222,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,,dining room,,,,,,,,
223,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,1,full,,,,,,,,,,
224,长 租 all gone ！,1,all gone,,,,,,,,,,
225,room a$600 ( 双 人大 床 ） 已 租 ！,1,room,,,,,,,,,,
226,价格 ： $400 / 月 ( 包 所有 utilities 费用 ) 。,1,utilities,,,,,,,,,,
227,update : 房间 皆 已 出租,1,update,,,,,,,,,,
228,精装 修 家具 全 free 无线 上网 !,1,free,,,,,,,,,,
229,精装 修 、 家具 全 、 free 无线 上网 !,1,free,,,,,,,,,,
230,oakland 的 干净 精致 好 房 您 不 能 错过 ！,1,oakland,,,,,,,,,,
231,附近 有 cvs 等 超市 。,1,cvs,,,,,,,,,,
232,可以 直接 签 lease ， 无 押金 ， 需要 预付 第一 个 月 房租 。,1,lease,,,,,,,,,,
233,utility : 自理 （ 约 60-100 / 月 ）,1,utility,,,,,,,,,,
234,要求 爱 干净 ， 没有 不良 习惯 ， 喜欢 孩子 ， 女生 优先 ， christian 优先 。,1,christian,,,,,,,,,,
235,房子 介绍 ： 两 室 两 厅 ， 一 个 full bathroom ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住 。,1,full bathroom,,,,,,,,,,
236,房子 介绍 ： 两 室 两 厅 ， 一 个 full bathroom ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住 。,1,full bathroom,,,,,,,,,,
237,出门 走 一 分钟 不到 就 有 81-83 bus 。,1,bus,,,,,,,,,,
238,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,2,leasing office,,lobby,,,,,,,,
239,② 离 各 大 超市 近 （ giant eagle ；,1,giant eagle,,,,,,,,,,
240,② 离 各 大 超市 近 （ giant eagle ；,1,giant eagle,,,,,,,,,,
241,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,2,living room,,dining room,,,,,,,,
242,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,1,full,,,,,,,,,,
243,room a$600 ( 双 人大 床 ） 已 租 ！,1,room,,,,,,,,,,
244,） 公寓 情况 ： mozart 是 匹兹堡 的 大 物业 ， arlington 是 mozart 的 物业 总部 ， 物业 维修 都 很 方便 。,3,mozart,,arlington,,mozart,,,,,,
245,或 发 邮件 联系 ： [ url = ] birchtree@163.,1,url,,,,,,,,,,
246,环境 安静 ， apartments 评分 9.,1,apartments,,,,,,,,,,
247,运动 方面 参加 pitt 射箭 队 ， 以及 会 一点 羽毛球 。,1,pitt,,,,,,,,,,
248,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,1,doorman,,,,,,,,,,
249,房子 在 bloom field bridge 旁边 。,1,bloom field bridge,,,,,,,,,,
250,lebanon ， 该 区 高中 在 滨州 公立 排名 第九 。,1,lebanon,,,,,,,,,,
251,物业 ： walnut 专人 负责 各 种 维修 ， 非常 安心 ；,1,walnut,,,,,,,,,,
252,优点 ： 我 的 卧室 是 整 个 house 最 大 的 卧室 ， 两 扇 窗 采光 好 ， 冬天 暖气 也 很 足 ， 家具 齐全 ， 拎包 入住 ；,1,house,,,,,,,,,,
253,房租 lease 到 7.,1,lease,,,,,,,,,,
254,地址 位 于 beacon st.,1,beacon,,,,,,,,,,
255,后院 有 私家 车库 ， beacon st .,1,beacon st,,,,,,,,,,
256,二 楼 是 三 间 卧室 和 一 个 full 的 卫生间 。,1,full,,,,,,,,,,
257,三 楼 是 一 卧 一 卫 的 studio 。,1,studio,,,,,,,,,,
258,up up up 顶 一下 。,1,up up up,,,,,,,,,,
259,八月 开始 可 签 一 年 lease 。,1,lease,,,,,,,,,,
260,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,1,nice,,,,,,,,,,
261,有 pet 可以 商量,1,pet,,,,,,,,,,
262,walnut street 步行 15-20 mins ， 逛街 吃饭 超 方便,2,walnut street,,mins,,,,,,,,
263,house 里 现 住 有 六 人 ， 三 个 是 匹 大 研究生 .,1,house,,,,,,,,,,
264,房东 非常 nice ， 有 需要 和 修理 会 马上 处理 。,1,nice,,,,,,,,,,
265,地处 squirrel hill ， 社区 安全 ， 步行 距离 可 达 中国 超市 ， 中国 餐馆 ， 超市 ， 方便 没有 车 的 同学 和 朋友 。,1,squirrel hill,,,,,,,,,,
266,物业 ： walnut 专人 负责 各 种 维修 ， 非常 安心 ；,1,walnut,,,,,,,,,,
267,联系 电话 or text ： 412-6518342 jane,2,or text,,jane,,,,,,,,
268,有 attached 车库 可 用 。,1,attached,,,,,,,,,,
269,安装 有 智能 panel ， 可以 远程 手机 调控 暖气 温度 和 开关 。,1,panel,,,,,,,,,,
270,【 车库 】 ： attached 车库 。,1,attached,,,,,,,,,,
271,【 bonus 】 : 房东 在 google 工作 ， 可以 内 推 加 mock interview,3,bonus,,google,,mock interview,,,,,,
272,长 租 ： all gone,1,all gone,,,,,,,,,,
273,后院 《 ——————————————————————————————— 》 deck,1,deck,,,,,,,,,,
274,【 学习 娱乐 】 ： finished basement .,1,finished basement,,,,,,,,,,
275,【 bonus 】 : 房东 在 google 工作 ， 可以 内 推 加 mock interview,3,bonus,,google,,mock interview,,,,,,
276,main floor 格局 《 ——————————————————————————— 》 走廊,1,main floor,,,,,,,,,,
277,水晶 吊灯 《 —————————————————————— 》 楼梯 to downstairs,1,to downstairs,,,,,,,,,,
278,材料 是 cedar 。,1,cedar,,,,,,,,,,
279,地下室 《 game room and study room 》 《 ———————————— 》 外观,1,game room and study room,,,,,,,,,,
280,每个 房间 都 有 closet ， 图 中 黄色 部分 是 closet .,2,closet,,closet,,,,,,,,
281,房东 在 google 工作 ， 可以 内 推 加 mock interview,2,google,,mock interview,,,,,,,,
282,如果 感 兴趣 ， 请 通过 email 联系 azhou66@yahoo.,1,email,,,,,,,,,,
283,如果 感 兴趣 ， 请 通过 email 联系 azhou66@yahoo.,1,email,,,,,,,,,,
284,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很多 。,1,shuttle,,,,,,,,,,
285,出门 走 一 分钟 不到 就 有 81-83 bus 。,1,bus,,,,,,,,,,
286,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,2,leasing office,,lobby,,,,,,,,
287,地点 ： oakland ;,1,oakland,,,,,,,,,,
288,联系 方式 : email : day28@pitt.,1,email,,,,,,,,,,
289,该 公寓 是 匹兹堡 最 火 的 公寓 ， 口碑 物业 meyers 旗下 最 受 中国 学生 欢迎 的 公寓 ， 性价比 高 。,1,meyers,,,,,,,,,,
290,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,
291,公寓 门口 可以 street parking 。,1,street parking,,,,,,,,,,
292,lebanon ， 该 区 高中 在 滨州 公立 排名 第九 。,1,lebanon,,,,,,,,,,
293,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,bus,,downtown,,,,,,,,
294,装修 好 的 single family house 在 forest hills ， 小区 环境 优美 ， 步行 3-5 分钟 有 两 个 公园 。,2,single family house,,forest hills,,,,,,,,
295,有意 请 email ： sheng@temple.,1,email,,,,,,,,,,
296,地处 greenfield ， 周围 环境 安静 ， 邻里 和睦 ， 非常 安全,1,greenfield,,,,,,,,,,
