SentenceID,NonCodeSwitchedSentence,ChineseWordCount,PunctuationCount,IndicesOfChineseWord,IndicesOfPunctuation
33,附近 还 有 一 个 特别 大 的 森林 公园 。,10,1,[0_1_2_3_4_5_6_7_8_9],[10]
34,厨房 ， 餐厅 ， 客厅 配置 豪华 。,5,3,[0_2_4_5_6],[1_3_7]
35,而且 ， 这 两 家 均 可 点 外卖 ！,8,2,[0_2_3_4_5_6_7_8],[1_9]
36,如果 不 想 走路 ， 公交 也 可以 直达 .,8,2,[0_1_2_3_5_6_7_8],[4_9]
37,这个 房子 是 匹 大 拥有 的 ， 所以 房子 管理 得很 棒 ！,12,2,[0_1_2_3_4_5_6_8_9_10_11_12],[7_13]
38,并且 壁橱 分 上下 两 层 ， 高度 比例 大概 4：6 （ 上 ： 下 ） .,11,6,[0_1_2_3_4_5_7_8_9_12_14],[6_10_11_13_15_16]
39,客厅 ： 有 壁橱 .,3,2,[0_2_3],[1_4]
40,要求 ： 男士 女士 均可 ， 但是 必须 要求 身份 是 学生 ~ ~ .,10,5,[0_2_3_4_6_7_8_9_10_11],[1_5_12_13_14]
41,需要 找 房子 的 同学 随时 可以 联系 我 ， 我 看到 后 就 会 回复 ~,15,2,[0_1_2_3_4_5_6_7_8_10_11_12_13_14_15],[9_16]
42,不 是 那 种 密封 的 地下室 。,7,1,[0_1_2_3_4_5_6],[7]
43,欢迎 联系 ～ 继续 有效 。,4,2,[0_1_3_4],[2_5]
44,先 说 缺点 吧 ： 房子 没有 空调 ， 之前 夏天 我 是 用 一 个 落地 的 移动 小 空调 ， 所以 温度 也 还 算 凉快 。,25,4,[0_1_2_3_5_6_7_9_10_11_12_13_14_15_16_17_18_19_20_22_23_24_25_26_27],[4_8_21_28]
45,隔音 一般 ， 不过 房间 之间 隔 得 比较 开 。,9,2,[0_1_3_4_5_6_7_8_9],[2_10]
46,房间 挺 小 的 ， 要 好好 利用 空间 才 能 住 得 比较 舒服 。,14,2,[0_1_2_3_5_6_7_8_9_10_11_12_13_14],[4_15]
47,公共 空间 充足 ， 厨房 非常 大 ， 客厅 可以 放 东西 。,10,3,[0_1_2_4_5_6_8_9_10_11],[3_7_12]
48,可以 一 个 人 用 一 个 卫生间 （ 卫生间 不 在 屋内 ） 。,12,3,[0_1_2_3_4_5_6_7_9_10_11_12],[8_13_14]
49,二 楼 另 有 一 个 小 办公室 、 和 厕所 （ 有 浴缸 ) 。,12,4,[0_1_2_3_4_5_6_7_9_10_12_13],[8_11_14_15]
50,地点 安全 ， 环境 安静 优雅 ， 卧室 采光 很 好 ， 空气 清新 ， 楼 前后 均 有 草坪 、 后院 有 花坛 和 宽敞 露台 。,22,6,[0_1_3_4_5_7_8_9_10_12_13_15_16_17_18_19_21_22_23_24_25_26],[2_6_11_14_20_27]
51,可 联系 看 房 。,4,1,[0_1_2_3],[4]
52,拎包 入住 。,2,1,[0_1],[2]
53,新装 的 窗子 。,3,1,[0_1_2],[3]
54,一 楼 都 是 硬木 地板 。,6,1,[0_1_2_3_4_5],[6]
55,地下室 巨大 。,2,1,[0_1],[2]
56,可 免费 储藏 物品 .,4,1,[0_1_2_3],[4]
57,价格 可 议 。,3,1,[0_1_2],[3]
58,出租 两 间 卧室 。,4,1,[0_1_2_3],[4]
59,房租 每 间 $600 / 月 。,4,3,[0_1_2_5],[3_4_6]
60,比较 适合 有 车 的 同学 。,6,1,[0_1_2_3_4_5],[6]
61,房子 在 半山 上 所以 很 安静 。,7,1,[0_1_2_3_4_5_6],[7]
62,生态 好 ， 不时 有 鹿 出没 。,6,2,[0_1_3_4_5_6],[2_7]
63,我 住 一 间 ， 出租 两 间 。,7,2,[0_1_2_3_5_6_7],[4_8]
64,出租 的 两 间 卧室 共用 一 个 卫生间 。,9,1,[0_1_2_3_4_5_6_7_8],[9]
65,每 个 卧室 都 有 两 个 不同 方向 的 窗户 ， 视野 和 采光 良好 。,15,2,[0_1_2_3_4_5_6_7_8_9_10_12_13_14_15],[11_16]
66,公寓 也 是 学生 居多 ， 安全 有 保障 。,8,2,[0_1_2_3_4_6_7_8],[5_9]
67,[ kenmawr]$450/month 包 所有 ，,2,3,[2_3],[0_1_4]
68,但是 大 一 点 的 一 室 ， 或者 三 室 都 可以 考虑 。,13,2,[0_1_2_3_4_5_6_8_9_10_11_12_13],[7_14]
69,四川 ， 府 河 人家 .,4,2,[0_2_3_4],[1_5]
70,房子 共 有 三 个 厕所 。,6,1,[0_1_2_3_4_5],[6]
71,两 个 厨房 。,3,1,[0_1_2],[3]
72,总共 三 层 。,3,1,[0_1_2],[3]
73,每 屋 两 卧室 。,4,1,[0_1_2_3],[4]
74,一 楼 有 厨房 和 厕所 。,6,1,[0_1_2_3_4_5],[6]
75,二 楼 厨房 和 厕所 。,5,1,[0_1_2_3_4],[5]
76,另外 一 个 厕 所在 地下室 ， 地下室 只有 一 面 地下 ， 另外 一 面 可以 走 出门 到 院子 。,19,3,[0_1_2_3_4_5_7_8_9_10_11_13_14_15_16_17_18_19_20],[6_12_21]
77,一 楼 出门 就 是 阳台 。,6,1,[0_1_2_3_4_5],[6]
78,拎包 入住 。,2,1,[0_1],[2]
79,家具 齐全 。,2,1,[0_1],[2]
80,免费 停车 。,2,1,[0_1],[2]
81,走 两 分 种 到 公交 车站 。,7,1,[0_1_2_3_4_5_6],[7]
82,现 住 两 女 三 男 。,6,1,[0_1_2_3_4_5],[6]
83,本人 很 和善 ， 好 说话 ， 热心肠 。,6,3,[0_1_2_4_5_7],[3_6_8]
84,门口 有 阳台 ， 早上 起来 可以 呼吸 新鲜 空气 。,9,2,[0_1_2_4_5_6_7_8_9],[3_10]
85,入住 可以 有 价值 $2000 的 家具 低价 $200 转让 ！,8,3,[0_1_2_3_5_6_7_9],[4_8_10]
86,冬天 暖气 充足 （ 匹兹堡 有 漫长 的 五 个 月 冬季 ） 。,11,3,[0_1_2_4_5_6_7_8_9_10_11],[3_12_13]
87,出租 其中 一 间 ， 隔音 效果 很 好 。,8,2,[0_1_2_3_5_6_7_8],[4_9]
88,希望 您 是 单身 的 中国 学生 或 访问 学者 ， 不 吸烟 ， 不 吸毒 ， 不 养 宠物 ， 爱 清洁 ， 寻求 安静 和谐 的 居住 环境 。,25,6,[0_1_2_3_4_5_6_7_8_9_11_12_14_15_17_18_19_21_22_24_25_26_27_28_29],[10_13_16_20_23_30]
89,来信 请 简单 介绍 一下 您 的 情况 。,8,1,[0_1_2_3_4_5_6_7],[8]
90,谢谢 关注 ！,2,1,[0_1],[2]
91,谢谢 关注 ！,2,1,[0_1],[2]
92,我 可以 电邮 你 房子 清晰 照片 的 截图 。,9,1,[0_1_2_3_4_5_6_7_8],[9]
93,另外 还 免费 提供 吸尘器 和 蒸汽 拖把 。,8,1,[0_1_2_3_4_5_6_7],[8]
94,所有 床单 被子 均 是 全新 ！,6,1,[0_1_2_3_4_5],[6]
95,) 希望 您 是 单身 的 中国 学生 或 访问 学者 ， 不 吸烟 ， 不 吸毒 ， 不 养 宠物 ， 爱 清洁 ， 寻求 安静 和谐 的 居住 环境 。,25,7,[1_2_3_4_5_6_7_8_9_10_12_13_15_16_18_19_20_22_23_25_26_27_28_29_30],[0_11_14_17_21_24_31]
96,来信 请 简单 介绍 一下 您 的 情况 。,8,1,[0_1_2_3_4_5_6_7],[8]
97,谢谢 关注 ！,2,1,[0_1],[2]
98,房间 都 翻新 过 。,4,1,[0_1_2_3],[4]
99,桌子 ， 凳子 ， 啥 都 有 ！,5,3,[0_2_4_5_6],[1_3_7]
100,真的 是 拎包 入住 ！,4,1,[0_1_2_3],[4]
101,拎包 入住 。,2,1,[0_1],[2]
102,新装 的 窗子 。,3,1,[0_1_2],[3]
103,一 楼 都 是 硬木 地板 。,6,1,[0_1_2_3_4_5],[6]
104,地下室 巨大 。,2,1,[0_1],[2]
105,可 免费 储藏 物品 .,4,1,[0_1_2_3],[4]
106,有 兴趣 快 联系 哦 。,5,1,[0_1_2_3_4],[5]
107,房子 整洁 ， ;,2,2,[0_1],[2_3]
108,该 地 公共 交通 及 校园 交通 方便 。,8,1,[0_1_2_3_4_5_6_7],[8]
109,带 家具 ， 包 水电 和 上网 。,6,2,[0_1_3_4_5_6],[2_7]
110,拎包 入住 。,2,1,[0_1],[2]
111,已 租 ！,2,1,[0_1],[2]
112,超级 方便 ！,2,1,[0_1],[2]
113,拎包 就 可以 入住 ！,4,1,[0_1_2_3],[4]
114,现出 租 客厅 。,3,1,[0_1_2],[3]
115,这个 客厅 挺 大 的 ， 冬天 暖气 特别 足 ， 夏天 有 空调 。,12,3,[0_1_2_3_4_6_7_8_9_11_12_13],[5_10_14]
116,周围 吃饭 的 中餐 西餐 也 很多 ， 生活 非常 便利 。,10,2,[0_1_2_3_4_5_6_8_9_10],[7_11]
117,欢迎 联系 。,2,1,[0_1],[2]
118,希望 您 是 个 爱 干净 的 人 ， 男生 女生 都 可以 ， 但是 请 帮忙 保持 整洁 的 居住 环境 。,20,3,[0_1_2_3_4_5_6_7_9_10_11_12_14_15_16_17_18_19_20_21],[8_13_22]
119,新 的 合同 可以 从 8.,5,1,[0_1_2_3_4],[5]
120,另 有 单独 后院 草坪 ， 尽 享 私密 空间 ， 衣服 晾晒 非常 方便 。,13,3,[0_1_2_3_4_6_7_8_9_11_12_13_14],[5_10_15]
121,自然 历史 博物馆 、 艺术 博物馆 、 植物园 步行 十 分钟 左右 。,10,3,[0_1_2_4_5_7_8_9_10_11],[3_6_12]
122,公寓 宽敞 面积 大 ， 家具 设施 齐全 ， 可 直接 拎包 入住 。,11,3,[0_1_2_3_5_6_7_9_10_11_12],[4_8_13]
123,附近 餐馆 美食 众多 ；,4,1,[0_1_2_3],[4]
124,治安 非常 良好 ， 安静 的 住宅 街 。,7,2,[0_1_2_4_5_6_7],[3_8]
125,周围 很多 学生 和 医生 ， 以及 华人 同学 。,8,2,[0_1_2_3_4_6_7_8],[5_9]
126,卧室 面积 很 大 ， 虽然 是 客厅 ， 但 并不 会 影响 隐私 ， 也 不 会 有 什么 噪音 影响 休息 。,20,4,[0_1_2_3_5_6_7_9_10_11_12_13_15_16_17_18_19_20_21_22],[4_8_14_23]
127,房间 家具 齐全 （ 床 ， 书架 ， 桌子 ， 衣架 ， 椅子 ， 小 沙发 ， 台灯 等 ） ， 拎包 入住 。,14,10,[0_1_2_4_6_8_10_12_14_15_17_18_21_22],[3_5_7_9_11_13_16_19_20_23]
128,适合 暑期 来 cmu/pitt 交流 的 同学 。,6,2,[0_1_2_4_5_6],[3_7]
129,公寓 有 人 接收 快递 ， 维修 也 算 及时 。,9,2,[0_1_2_3_4_6_7_8_9],[5_10]
130,健身房 楼 主 一直 是 去 学校 ， 毕竟 很 近 。,10,2,[0_1_2_3_4_5_6_8_9_10],[7_11]
131,拎包 入住 。,2,1,[0_1],[2]
132,房子 干净 整洁 ， 环境 优雅 ， 宽敞 ， 安静 。,7,4,[0_1_2_4_5_7_9],[3_6_8_10]
133,新装 的 窗子 。,3,1,[0_1_2],[3]
134,一 楼 都 是 硬木 地板 。,6,1,[0_1_2_3_4_5],[6]
135,地下室 巨大 。,2,1,[0_1],[2]
136,可 免费 储藏 物品 .,4,1,[0_1_2_3],[4]
137,有 兴趣 快 联系 哦 。,5,1,[0_1_2_3_4],[5]
138,附近 环境 安全 安静 ， 安全 指标 全 绿 。,8,2,[0_1_2_3_5_6_7_8],[4_9]
139,- 整个 房子 和 你 的 房间 都 有 家具 。,9,2,[1_2_3_4_5_6_7_8_9],[0_10]
140,客厅 和 卧室 光线 充足 ， 均 连接 了 巨大 的 阳台 ， 每 天 看 着 心情 很 好 ～ 暑假 短 租 的 话 可以 只 租 卧室 ， 也 可以 整 间 出租 。,32,5,[0_1_2_3_4_6_7_8_9_10_11_13_14_15_16_17_18_19_21_22_23_24_25_26_27_28_29_31_32_33_34_35],[5_12_20_30_36]
141,拎包 入住 。,2,1,[0_1],[2]
142,公寓 附近 社区 很 安全 ， 周围 环境 很 好 。,9,2,[0_1_2_3_4_6_7_8_9],[5_10]
143,附带 健身 室 。,3,1,[0_1_2],[3]
144,或 微 信 white_wolf_king,3,1,[0_1_2],[3]
145,您 好 ！,2,1,[0_1],[2]
146,欢迎 入住 。,2,1,[0_1],[2]
147,地理 位置 不 能 更好 。,5,1,[0_1_2_3_4],[5]
148,另 有 单独 后院 草坪 ， 尽 享 私密 空间 ， 衣服 晾晒 非常 方便 。,13,3,[0_1_2_3_4_6_7_8_9_11_12_13_14],[5_10_15]
149,自然 历史 博物馆 、 艺术 博物馆 、 植物园 步行 十 分钟 左右 。,10,3,[0_1_2_4_5_7_8_9_10_11],[3_6_12]
150,另 有 单独 后院 草坪 ， 尽 享 私密 空间 ， 衣服 晾晒 非常 方便 。,13,3,[0_1_2_3_4_6_7_8_9_11_12_13_14],[5_10_15]
151,自然 历史 博物馆 、 艺术 博物馆 、 植物园 步行 十 分钟 左右 。,10,3,[0_1_2_4_5_7_8_9_10_11],[3_6_12]
152,另 有 单独 后院 草坪 ， 尽 享 私密 空间 ， 衣服 晾晒 非常 方便 。,13,3,[0_1_2_3_4_6_7_8_9_11_12_13_14],[5_10_15]
153,自然 历史 博物馆 、 艺术 博物馆 、 植物园 步行 十 分钟 左右 。,10,3,[0_1_2_4_5_7_8_9_10_11],[3_6_12]
154,另 有 单独 后院 草坪 ， 尽 享 私密 空间 ， 衣服 晾晒 非常 方便 。,13,3,[0_1_2_3_4_6_7_8_9_11_12_13_14],[5_10_15]
155,自然 历史 博物馆 、 艺术 博物馆 、 植物园 步行 十 分钟 左右 。,10,3,[0_1_2_4_5_7_8_9_10_11],[3_6_12]
156,公共 区域 家具 + 生活 用品 全部 齐全 ， 入住 方便 。,9,3,[0_1_2_4_5_6_7_9_10],[3_8_11]
157,卧室 和 厨房 餐厅 家具 用具 齐全 ， 拎包 入住 ！,9,2,[0_1_2_3_4_5_6_8_9],[7_10]
158,带 家具 ， 包 水电 和 上网 。,6,2,[0_1_3_4_5_6],[2_7]
159,拎包 入住 。,2,1,[0_1],[2]
160,租金 ： $450 全 包 （ 客厅 ）,4,4,[0_3_4_6],[1_2_5_7]
161,房间 的 大小 从 十六 平米 到 十三 平米 不等 ， 一 楼 是 餐厅 ， 客厅 ， 和 厨房 .,17,4,[0_1_2_3_4_5_6_7_8_9_11_12_13_14_16_18_19],[10_15_17_20]
162,二 楼 四 个 卧室 ， 三 楼 两 个 卧室 .,10,2,[0_1_2_3_4_6_7_8_9_10],[5_11]
163,房间 宽敞 ， 明亮 ， 安静 ， 独立 ， 互 不 干扰 。,8,5,[0_1_3_5_7_9_10_11],[2_4_6_8_12]
164,旁边 是 公园 和 植物园 。,5,1,[0_1_2_3_4],[5]
165,八月 可以 入住 。,3,1,[0_1_2],[3]
166,房间 属于 专门 翻修 过 的 ， 整体 感觉 算 比较 新 的 那 种 ， 暖气 很 足 。,17,3,[0_1_2_3_4_5_7_8_9_10_11_12_13_14_16_17_18],[6_15_19]
167,时间 : may.,1,2,[0],[1_2]
168,便利 条件 :,2,1,[0_1],[2]
169,免费 停车场 / 泳池 / 健身房,4,2,[0_1_3_5],[2_4]
170,一 楼 有 客厅 跟 厨房 ， 还 有 个 后 花园 可以 烧烤 。,13,2,[0_1_2_3_4_5_7_8_9_10_11_12_13],[6_14]
171,附近 邻居 都 超级 友好 安静 ！,6,1,[0_1_2_3_4_5],[6]
172,超级 方便 。,2,1,[0_1],[2]
173,一 对 情侣 想 5.,4,1,[0_1_2_3],[4]
174,谢谢 大家 。,2,1,[0_1],[2]
175,入住 时间 不变 ， 限 女生 。,5,2,[0_1_2_4_5],[3_6]
176,欢迎 咨询 ！,2,1,[0_1],[2]
177,顶 一下 吐血 最后 降价 甩卖 顶 一下,8,0,[0_1_2_3_4_5_6_7],
178,基本 家具 齐全 ， 拎包 入住 。,5,2,[0_1_2_4_5],[3_6]
179,公寓 条件 好 、 治安 佳 。,5,2,[0_1_2_4_5],[3_6]
180,， 是 独 栋 房屋 的 一 层 。,7,2,[1_2_3_4_5_6_7],[0_8]
181,两 侧 也 可 免费 趴 车 。,7,1,[0_1_2_3_4_5_6],[7]
182,顶 一下 顶 一下 顶 一下 仍然 有效 顶 一下 ， 可 议价 仍然 有效,14,1,[0_1_2_3_4_5_6_7_8_9_11_12_13_14],[10]
183,顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~ 顶 ~,8,8,[0_2_4_6_8_10_12_14],[1_3_5_7_9_11_13_15]
184,户型 设计 很 容易 隔断 ， 进 房间 、 浴室 、 厨房 都 不 需要 经过 客厅 。,14,4,[0_1_2_3_4_6_7_9_11_12_13_14_15_16],[5_8_10_17]
185,总而言之 拎包 入住,3,0,[0_1_2],
186,购物 吃饭 上学 都 很 方便 ， 而且 附近 是 犹太 社区 所以 非常 安全 。,14,2,[0_1_2_3_4_5_7_8_9_10_11_12_13_14],[6_15]
187,三 个 人 住 所以 价格 相对 便宜 。,8,1,[0_1_2_3_4_5_6_7],[8]
188,家具 厨具 ， 暖气 ， 空调 都 有 。,6,3,[0_1_3_5_6_7],[2_4_8]
189,附近 邻居 都 超级 友好 安静 ！,6,1,[0_1_2_3_4_5],[6]
190,公寓 特色 ：,2,1,[0_1],[2]
191,搭乘 公交 非常 方便 ， 详见 下面 。,6,2,[0_1_2_3_5_6],[4_7]
192,卫生间 设施 干净 、 整洁 、 配置 齐全 且 有 东南 朝向 窗户 （ 容易 保持 通风 、 干燥 ） ；,15,6,[0_1_2_4_6_7_8_9_10_11_12_14_15_16_18],[3_5_13_17_19_20]
193,也 可以 单个 房间 出租 ， 价钱 可以 商量 。,8,2,[0_1_2_3_4_6_7_8],[5_9]
194,东西 坏 了 联系 房东 会 尽快 修 。,8,1,[0_1_2_3_4_5_6_7],[8]
195,超大 客厅 ， 有 隔断 和 屏风 ， 安静 舒适 。,8,3,[0_1_3_4_5_6_8_9],[2_7_10]
196,水电 网 全 包 ， 家具 齐全 ， 拎包 入住 。,8,3,[0_1_2_3_5_6_8_9],[4_7_10]
197,客厅 不 住 人 ！,4,1,[0_1_2_3],[4]
198,两 个 洗手间 不 相互 影响 ！,6,1,[0_1_2_3_4_5],[6]
199,与 房东 签约 ， 房租 已 包括 水电 等 所有 费用 。,10,2,[0_1_2_4_5_6_7_8_9_10],[3_11]
200,周围 安全 安静 。,3,1,[0_1_2],[3]
201,本人 在 这 居住 感觉 非常 便利 。,7,1,[0_1_2_3_4_5_6],[7]
202,另 有 几 家 中餐 外卖 都会 送到 公寓 门口 。,10,1,[0_1_2_3_4_5_6_7_8_9],[10]
203,比起 住 学校 附近 的 公寓 ， 其实 通勤 时间 不 会 差 很 远 。,14,2,[0_1_2_3_4_5_7_8_9_10_11_12_13_14],[6_15]
204,最好 是 男生 .,3,1,[0_1_2],[3]
205,希望 找 一 位 爱 干净 女生 。,7,1,[0_1_2_3_4_5_6],[7]
206,还有 六七 两 月 可以 出租 继续 顶 !,8,1,[0_1_2_3_4_5_6_7],[8]
207,拎包 入住 !,2,1,[0_1],[2]
208,整 套 房子 够 近 ， 户型 也 很 好 。,9,2,[0_1_2_3_4_6_7_8_9],[5_10]
209,两 分 种 步行 到 匹 大 。,7,1,[0_1_2_3_4_5_6],[7]
210,私人 锁 。,2,1,[0_1],[2]
211,一 个 人 租 六百 ;,5,1,[0_1_2_3_4],[5]
212,加 一百 元 包 煤气 水 电网 。,7,1,[0_1_2_3_4_5_6],[7]
213,有 空调 。,2,1,[0_1],[2]
214,整个 房子 六 个 卧室 两 个 厨房 三 个 卫生间 。,11,1,[0_1_2_3_4_5_6_7_8_9_10],[11]
215,豪华 装修 。,2,1,[0_1],[2]
216,安全 安静 。,2,1,[0_1],[2]
217,拎包 入住 。,2,1,[0_1],[2]
218,请 联系 微 信 weiclar2b.,4,1,[0_1_2_3],[4]
219,价钱 可以 商量 ～ 时间 也 可以 商量 ～ 希望 是 爱 干净 的 女生 。,13,3,[0_1_2_4_5_6_7_9_10_11_12_13_14],[3_8_15]
220,微 信号 : lo_me-sh,2,2,[0_1],[2_3]
221,房间 很 新 （ 重新 装修 过 ） 。,6,3,[0_1_2_4_5_6],[3_7_8]
222,欢迎 来看 ！,2,1,[0_1],[2]
223,房间 属于 专门 翻修 过 的 ， 整体 感觉 算 比较 新 的 那 种 ， 暖气 很 足 。,17,3,[0_1_2_3_4_5_7_8_9_10_11_12_13_14_16_17_18],[6_15_19]
224,有意 可 联系 微 信 ： 152******** 。,5,3,[0_1_2_3_4],[5_6_7]
225,搭乘 公交 非常 方便 ， 详见 下面 。,6,2,[0_1_2_3_5_6],[4_7]
226,卫生间 设施 干净 、 整洁 、 配置 齐全 且 有 东南 朝向 窗户 （ 容易 保持 通风 、 干燥 ） ；,15,6,[0_1_2_4_6_7_8_9_10_11_12_14_15_16_18],[3_5_13_17_19_20]
227,家具 餐具 齐全 。,3,1,[0_1_2],[3]
228,全 包 。,2,1,[0_1],[2]
229,家具 餐具 齐全 。,3,1,[0_1_2],[3]
230,全 包 。,2,1,[0_1],[2]
231,家具 部分 提供 ： 客厅 和 餐厅 家具 齐全 。,8,2,[0_1_2_4_5_6_7_8],[3_9]
232,一楼 ： 餐厅 、 客厅 、 大 厨房 ， 半 个 卫生间 。,8,5,[0_2_4_6_7_9_10_11],[1_3_5_8_12]
233,实木 地板 。,2,1,[0_1],[2]
234,还有 一 个 三 楼 独 用 卫生间 。,8,1,[0_1_2_3_4_5_6_7],[8]
235,地毯 为主 。,2,1,[0_1],[2]
236,半 个 卫生间 。,3,1,[0_1_2],[3]
237,免费 使用 。,2,1,[0_1],[2]
238,冬天 有 暖气 ， 夏天 有 中央 空调 。,7,2,[0_1_2_4_5_6_7],[3_8]
239,房子 维护 非常 好 。,4,1,[0_1_2_3],[4]
240,今天 就 可以 入住 。,4,1,[0_1_2_3],[4]
241,对 家具 、 地点 有 什么 具体 要求 。,7,2,[0_1_3_4_5_6_7],[2_8]
242,或者 在 此 留言 ， 谢谢 ！,5,2,[0_1_2_3_5],[4_6]
243,打扰 大家 ！,2,1,[0_1],[2]
244,谢谢 大家 ！,2,1,[0_1],[2]
245,开始 时间 ， 结束 时间 还 有 价格 均 可 刀 。,10,2,[0_1_3_4_5_6_7_8_9_10],[2_11]
246,顶 一下 ～ ～,2,2,[0_1],[2_3]
247,公寓 情况 良好 ， 房间 规整 宽敞 ， 拎包 入住 。,8,3,[0_1_2_4_5_6_8_9],[3_7_10]
248,搭乘 公交 非常 方便 ， 详见 下面 。,6,2,[0_1_2_3_5_6],[4_7]
249,卫生间 设施 干净 、 整洁 、 配置 齐全 且 有 东南 朝向 窗户 （ 容易 保持 通风 、 干燥 ） ；,15,6,[0_1_2_4_6_7_8_9_10_11_12_14_15_16_18],[3_5_13_17_19_20]
250,补充 三 张 图片,4,0,[0_1_2_3],
251,公寓 设施 新 ， 物业 良好 。,5,2,[0_1_2_4_5],[3_6]
252,有 专人 负责 接受 、 保管 包裹 ， 提供 免费 上门 维修 活动 。,11,3,[0_1_2_3_5_6_8_9_10_11_12],[4_7_13]
253,学长 会 买 车 因此 生活 中 有 什么 紧急 情况 也 会 很 方便 ！,15,1,[0_1_2_3_4_5_6_7_8_9_10_11_12_13_14],[15]
254,房子 户型 见 附件 （ 客厅 非常 非常 好 隔断 ！,9,2,[0_1_2_3_5_6_7_8_9],[4_10]
255,谢谢 ： ）,1,2,[0],[1_2]
256,卧室 地毯 。,2,1,[0_1],[2]
257,卫生间 和 厨房 是 瓷砖 。,5,1,[0_1_2_3_4],[5]
258,两 个 卫生间 非常 干净 。,5,1,[0_1_2_3_4],[5]
259,拎包 入住 ！,2,1,[0_1],[2]
260,拎包 入住 。,2,1,[0_1],[2]
261,房子 干净 整洁 ， 环境 优雅 ， 宽敞 ， 安静 ， 明亮 。,8,5,[0_1_2_4_5_7_9_11],[3_6_8_10_12]
262,两 厅 特别 大 。,4,1,[0_1_2_3],[4]
263,新装 的 窗子 和 中央 空调 。,6,1,[0_1_2_3_4_5],[6]
264,地下室 巨大 。,2,1,[0_1],[2]
265,可 免费 储藏 物品 .,4,1,[0_1_2_3],[4]
266,交通 方便 ， 房 区 安全 。,5,2,[0_1_3_4_5],[2_6]
