sent_type,university,sent_id,aligned_to,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,25_50_25_percent_location,10_80_10_percent_location,30_40_30_percent_location,first_middle_last_location,translation_sentence_length,entropy_at_cs_point
code-switch,CMU,30,CMU_288,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,7,living,客厅,39.6219352948563,6.825455,NN,11,dep,6.482378 2.276336 2.337307 5.848589 1.85848 5.275753 6.825455 0.8922411 4.948161 2.290288 2.268386 2.668459,3.664319424999999,8.644949318563542,7.630218513876136,6,2,4,0,0,5.275753,2,2,2,2,12,0.4919998587178059
non-code-switch,CMU,288,CMU_30, ,卧室 无 窗 但 有 独立 卫浴 ， 中央 空调 。,7,,卫浴,44.21694685877485,4.359614,NN,10,dep,6.527233 4.286928 3.514555 4.000649 4.211991 3.467998 4.359614 1.804378 3.705465 5.61005 1.728974,3.928894090909091,,9.709660055555972,,2,3,0,0,3.467998,2,2,2,2,11,1.226946088458801
code-switch,CMU,31,CMU_7558,长 租 all gone ！,长 租 全部 租出 ！,3,all,全部,35.54886904599194,4.537052,DT,4,det,3.13938 4.953151 4.537052 4.4051 4.382312,4.283399,9.815020571213797,9.527338498762017,3,2,1,0,0,4.953151,2,2,2,2,5,1.8392759317095178
non-code-switch,CMU,7558,CMU_31, ,包含 哪些 东西 ？,2,,哪些,37.291807071621456,3.60461,DT,3,det,4.180467 3.60461 2.731296 2.820885,3.3343145,,12.012245148550017,,2,1,0,0,4.180467,2,2,2,2,4,2.276193471545382
code-switch,CMU,33,CMU_2815,暑期 短 租 还 available 哦 。,暑期 短 租 还 有 空的 哦 。,5,available,有,32.225103221061445,2.547122,VE,8,dep,5.886802 4.559146 5.854287 2.365675 2.547122 10.51329 5.936751 1.335792,4.874858124999999,8.323365694436081,5.506461088421789,9,1,3,0,0,2.365675,2,2,2,2,8,1.8992583519330055
non-code-switch,CMU,2815,CMU_33, ,在我看来 没 缺点 了 ！,2,,没,35.52598671859769,5.091503,VE,5,dep,7.042348 5.091503 5.333151 3.41627 2.998058,4.776266000000001,,8.16209754683996,,1,3,0,0,7.042348,2,2,2,2,5,0.6035085614297874
code-switch,CMU,35,CMU_252,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾 州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,40.91055952677069,5.679086,NN,4,nsubj,2.715695 5.679086 2.246461 5.10237 5.394323 5.486727 4.318769 1.058464 5.382254 4.218911 3.197847 1.394795 7.061756 2.432533 0.6128892 4.319332 4.51813 3.831482 0.7667135 5.8026 5.740441 0.9292497,3.7368558363636364,10.625950787430126,10.220485679321962,3,2,2,0,0,2.715695,1,1,1,2,22,2.106714125779868
non-code-switch,CMU,252,CMU_35, ,有 专人 负责 接受 、 保管 包裹 ， 提供 免费 上门 维修 活动 。,2,,专人,39.10103681073801,4.54617,NN,3,nsubj,2.715695 4.54617 0.7067953 3.939587 2.828663 4.906217 5.613455 1.186566 3.360188 2.139819 6.675167 2.343532 3.123587 0.4196835,3.1789374857142856,,11.319097967990071,,2,1,0,0,2.715695,1,2,1,2,14,2.106714125779868
code-switch,CMU,36,CMU_4866,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,2,email,发,34.92896808073729,5.297529,VV,1,ccomp,5.269867 5.297529 5.67024 3.218899 5.395529 1.307169,4.359872166666666,7.630218513876136,8.716408282545688,5,1,1,0,0,5.269867,2,2,2,2,6,0.6969371759338872
non-code-switch,CMU,4866,CMU_36, ,希望 能 方便 上学 就好 。,4,,上学,38.965531700044835,4.138174,VV,3,ccomp,4.628299 1.243639 3.395406 4.138174 10.51329 1.427697,4.2244174999999995,,10.066334999494703,,2,1,0,0,3.395406,2,2,2,2,6,1.499204565808033
code-switch,CMU,45,CMU_4251,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,5,return,退还,39.142593313510076,6.251147,VV,4,ccomp,3.213507 3.934522 5.699054 4.474885 6.251147 1.292597 3.490744 0.5892994 3.87222 2.438411 4.422504 2.84408 5.442994 3.865702 1.408872 2.358855,3.4749620875,11.319097967990071,12.012245148550017,6,2,1,0,0,4.474885,2,2,2,2,16,2.4723840315835277
non-code-switch,CMU,4251,CMU_45, ,诚心 想 租 的 话 价格 好 商量 。,3,,租,38.661000180134685,5.593042,VV,5,acl,6.527233 4.281509 5.593042 1.484861 3.347488 5.285594 4.445062 4.039603 1.119376,4.013752,,7.7081800553458475,,1,2,0,0,4.281509,2,2,2,2,9,2.4723840315835277
code-switch,CMU,46,CMU_2975,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 ！,4,view,景观,38.44671026654459,5.143289,NN,6,conj,4.772542 5.323745 6.185939 5.143289 1.736748 5.847033 0.9520925 4.386751 4.060257 4.275425,4.26838215,10.220485679321962,12.012245148550017,4,2,2,0,0,6.185939,2,2,2,2,10,1.816796542027473
non-code-switch,CMU,2975,CMU_46, ,就近 有 公交 车站 和 校 车站 。,4,,车站,39.015793865739255,4.197186,NN,7,conj,6.258925 2.785783 4.47526 4.197186 2.223981 4.972335 4.102314 0.8276999,3.7304354875000003,,9.44729579108848,,2,3,0,0,4.47526,2,2,2,2,8,1.1846211043043937
code-switch,CMU,49,CMU_3821,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 ： 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,40.402814183789445,5.886802,NN,8,nmod:topic,5.886802 3.196947 3.777291 1.955524 1.840524 4.842676 4.231431 1.233011 0.6812197 5.503237 4.93294,3.4619638818181824,8.61104776688786,9.709660055555972,8,2,7,0,,,1,1,1,1,11,1.8631269136914448
non-code-switch,CMU,3821,CMU_49, ,设施 : 床 ， 桌子 ， 网络 ， 水电 都 有 ， 还有 空调 !,3,,床,38.860933817031736,6.021914,NN,11,nmod:topic,5.230359 3.535707 6.021914 0.7628116 5.87194 0.729177 4.298625 1.890065 5.779168 3.552311 1.13947 1.940914 3.122109 5.113225 5.007293,3.5996725733333337,,7.311764782757601,,1,8,0,1,5.230359,1,2,1,2,15,0.2468024376145664
code-switch,CMU,53,CMU_7651,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,2,couple,情侣,41.24197479182989,5.668503,NN,5,conj,5.100725 5.668503 1.859549 5.150689 2.683036 1.249253,3.618625833333333,9.614349875751646,10.913632859881908,6,2,3,0,0,5.100725,2,2,2,2,6,2.412764924535452
non-code-switch,CMU,7651,CMU_53, ,喜欢 挑战 和 尝试 新鲜 事物 ；,2,,挑战,36.800062954072395,3.467395,NN,4,conj,4.137242 3.467395 2.144705 4.579232 3.874115 0.5049582 2.575203,3.0404071714285714,,12.012245148550017,,2,2,0,0,4.137242,2,2,1,2,7,1.492200771763911
code-switch,CMU,56,CMU_4559,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,4,off,路,35.94251566691263,4.854201,NN,6,compound:nn,2.715695 5.391269 0.6238034 4.854201 3.759812 5.10788 0.794089,3.3209641999999997,10.402807236115917,11.319097967990071,3,1,2,0,1,5.391269,2,2,2,2,7,2.4082310851311046
non-code-switch,CMU,4559,CMU_56, ,有 阳台 、 前后 花园 。,4,,前后,37.23759437749139,4.714108,NN,5,compound:nn,2.715695 5.294359 1.42096 4.714108 3.205664 1.308806,3.109932,,10.913632859881908,,2,1,0,1,5.294359,2,2,2,2,6,2.059885535110695
code-switch,CMU,57,CMU_5972,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,3,no,禁止,36.93404500434029,4.489005,VV,1,ccomp,4.813935 2.389885 4.489005 2.324238 1.189265 3.993038 4.671572 10.51329 1.197862 3.924692 3.516026 3.472183 0.7998947,3.638068130769231,9.614349875751646,12.012245148550017,2,2,2,0,1,4.813935,1,2,1,2,13,0.8172851192916868
non-code-switch,CMU,5972,CMU_57, ,打扰 了 ， 搬家 出 家具 ， 价格 如图 下 ， 可 议 5 .,4,,搬家,40.40231890022949,6.276776,VV,1,ccomp,6.031991 1.276462 1.732808 6.276776 4.447054 5.431317 0.9882128 4.391565 10.51329 3.116772 0.5665758 2.805054 4.095102 10.51329 3.135041,4.3547540399999995,,9.815020571213797,,2,3,0,1,1.276462,2,2,1,2,15,2.4128012514210972
code-switch,CMU,62,CMU_2757,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,1,house,房子,37.40390285781066,5.512905,NN,2,compound:nn,5.512905 2.721907 1.338366 1.053606 5.503237 3.350423 4.166602 1.306866 1.338908 0.6962472 6.954485 6.483206 6.454674 2.329598 1.13947 1.940914 6.059272 1.748957 1.555099 2.230852 4.266731 3.600037 3.54543 3.374271 10.51329 1.427697,3.4851173153846142,6.694125154705801,7.084991463392813,5,2,1,0,,,1,1,1,1,26,1.8631269136914448
non-code-switch,CMU,2757,CMU_62, ,我的 书桌 和 沙发 ， 还有 一 个 小 冰箱 房 饮料 和 啤酒 ， 都 在 客厅 ， 和 卧室 就 一墙之隔 ， 我们 客厅 不 住 人 ， 所以 活动 空间 很大 。,10,,冰箱,38.79706257463431,4.555141,NN,11,compound:nn,10.51329 6.364953 2.437033 5.074112 0.7621061 3.056363 1.269436 5.870041 2.596043 4.555141 5.194153 5.58707 1.566494 4.572647 0.8650046 3.035315 1.518679 4.862876 1.022272 2.84147 4.754136 2.985851 7.700582 0.5762527 3.200768 6.591563 3.223316 4.292892 2.029766 0.6607656 2.886598 4.714616 2.593417 3.773363 0.9820795,3.558013271428571,,10.625950787430126,,2,1,0,0,2.596043,2,2,1,2,35,2.2843831732027566
code-switch,CMU,64,CMU_4714,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,4,doorman,门卫,42.62928595636416,5.924223,NN,5,nsubj,2.791026 2.89797 2.120752 5.924223 5.556201 5.855171 1.99024 5.410367 6.423736 1.584157 4.428697 1.413452 6.046609 5.809309 2.508252 2.308789 1.973128,3.8260046470588227,9.93280360687018,11.319097967990071,7,2,1,0,0,2.120752,1,2,1,2,17,2.1177885166943704
non-code-switch,CMU,4714,CMU_64, ,有 兴趣 看 房间 照片 的 请 邮件 联系 。,2,,兴趣,36.464743104299316,4.139023,NN,3,nsubj,2.715695 4.139023 5.29988 5.132896 4.911899 1.431429 5.442451 5.498927 3.218899 0.6328061,3.8423905100000004,,8.578257944064871,,2,1,0,0,2.715695,1,2,1,2,10,2.106714125779868
code-switch,CMU,67,CMU_6327,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,7,lease,租约,41.57872850128562,5.26434,NN,4,dobj,4.302052 2.663521 4.100472 5.744014 2.150431 0.4045706 5.26434 1.225863,3.23190795,7.34880605443795,10.066334999494703,5,2,3,0,0,0.4045706,3,2,3,2,8,1.3768836385668013
non-code-switch,CMU,6327,CMU_67, ,我 会 保留 一 个 星期 。,6,,星期,37.0805339075153,2.318286,NN,3,dobj,3.527254 3.41376 3.22313 2.063136 5.36251 2.318286 0.9379214,2.9779996285714287,,12.012245148550017,,2,3,0,0,5.36251,3,2,3,2,7,2.494879583153575
code-switch,CMU,68,CMU_6434,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好好 相处 ， 绝对 不 会 打扰 你 。,3,nice,好好,38.34822979377173,6.455507,AD,4,advmod,4.531389 1.781411 6.455507 2.012454 0.2729289 4.544313 1.185932 2.945629 4.850398 1.571177 0.8059883,2.814284290909091,7.792737443373911,12.012245148550017,4,2,1,0,0,1.781411,2,2,1,2,11,2.498606364375838
non-code-switch,CMU,6434,CMU_68, ,话 不 多 说 ， 直接 上 链接 ！,3,,多,33.55179624048572,0.7359536,AD,4,advmod,5.688997 2.779256 0.7359536 3.158305 0.8016323 4.249277 2.92708 4.585149 4.632327,3.284219655555556,,8.251045032856455,,1,1,0,0,2.779256,2,2,2,2,9,2.1237230048641935
code-switch,CMU,69,CMU_1904,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,10,doorman,门卫,42.62928595636416,5.869847,NN,9,dobj,5.194147 5.250388 6.208732 4.069185 4.178795 3.183764 1.148435 5.263488 2.746676 5.869847 1.079181 6.134986 6.14892 3.148362 4.082433 1.293804,4.0625714375,9.93280360687018,11.319097967990071,7,2,1,0,0,2.746676,2,2,2,2,16,2.2388310556529993
non-code-switch,CMU,1904,CMU_69, ,公寓 有 空调 ， 厨房 家电 设备 齐全 ， 同时 房屋 管理 公司 的 维修 处理 也 非常 及时 。,3,,空调,38.933227616033385,4.202307,NN,2,dobj,4.876083 2.750553 4.202307 0.96393 5.48567 3.669703 2.711847 6.351652 0.370216 2.606274 9.374412 3.803994 1.861097 1.223583 4.650373 3.79948 2.749288 2.776933 4.672996 2.632837,3.5766614,,9.121873390653853,,2,1,0,0,2.750553,1,2,1,2,20,2.2388310556529993
