SentenceID,NumberOfWords,AverageSurprisalWithPunct,SurprisalOfTranslationOfFirstCodeSwitchedWord,AverageSurprisalOfTranslationOfSwitchPointWords,AverageSurprisalOfTranslationOfCodeSwitchedWordsWithPunct,AverageSurprisalOfNonCodeSwitchedWordsWithPunct,CorpusName
160,5,5.4101814,5.589065,5.589065,5.5534485,3.188802,pittcssa
161,8,3.3860525,3.533542,3.533542,3.4729245,2.517821375,pittcssa
163,9,3.248483567,3.967804,3.967804,2.62030282,1.792759778,pittcssa
165,22,2.993510223,4.505727,4.505727,4.505727,2.78870445,pittcssa
167,10,3.1912114,4.964939,4.262286,3.393300333,2.1732213,pittcssa
169,4,3.4291945,5.804013,5.804013,3.338474,1.7599575,pittcssa
170,7,4.540287714,4.794477,4.794477,5.753601667,2.074458429,pittcssa
171,6,4.172874833,5.729537,5.729537,4.299335333,2.023207167,pittcssa
172,8,3.213958025,3.553629,3.553629,3.662289333,1.840599525,pittcssa
173,3,4.235781667,2.390614,2.390614,3.697006,1.771111,pittcssa
175,8,3.83833035,3.136307,3.136307,4.3181125,2.758802225,pittcssa
176,18,3.30189285,3.033369,3.033369,3.635459075,2.494013056,pittcssa
177,8,4.3322444,5.440048,5.440048,5.6240875,2.926222525,pittcssa
178,11,3.514408191,5.127452,5.127452,4.620126,2.674385282,pittcssa
180,9,3.772005889,5.462672,5.462672,3.139529,3.074332778,pittcssa
182,10,3.77008751,3.736986,3.736986,3.736986,3.39638891,pittcssa
183,3,3.236072667,4.417162,4.417162,4.417162,1.763685333,pittcssa
184,10,3.33144403,3.356558,3.356558,3.8683175,2.55778053,pittcssa
185,24,3.241693858,8.419351,8.419351,8.419351,2.890887567,pittcssa
187,10,3.59778099,4.491409,4.491409,4.491409,3.14864009,pittcssa
188,11,4.003653455,4.637844,4.637844,4.637844,3.582031273,pittcssa
189,8,4.173623363,5.015528,5.015528,5.015528,3.546682362,pittcssa
190,4,3.573841308,3.73961,3.73961,4.908611,1.119535808,pittcssa
191,9,3.231191178,3.395068,3.395068,3.05112,1.875137844,pittcssa
192,6,3.510481333,3.281963,3.281963,3.0232895,1.494955,pittcssa
193,4,4.918769,5.242048,5.242048,4.623721,2.6069085,pittcssa
194,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
195,10,3.34317682,6.275625,6.275625,3.3090343,2.0195631,pittcssa
196,18,3.309569306,4.717025,4.6242365,4.325266667,2.588691528,pittcssa
199,6,3.8535302,2.315639,2.315639,4.46787925,0.874944033,pittcssa
200,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
201,6,4.073151,5.242048,5.242048,4.623721,2.531910667,pittcssa
202,30,3.419851783,3.238747,4.702353,4.3318432,2.697877917,pittcssa
203,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
204,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
206,10,2.93616151,4.717025,4.717025,4.717025,2.46445901,pittcssa
207,10,3.6584689,6.088486,5.3237645,3.918182333,2.4830142,pittcssa
208,7,4.178603329,4.717025,4.717025,4.717025,3.504742614,pittcssa
210,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
211,6,3.596211567,6.416388,6.416388,3.5790792,2.403185167,pittcssa
212,12,3.044899667,6.136152,6.136152,5.322817,2.1577635,pittcssa
214,10,3.26339754,6.098844,6.098844,6.098844,2.65351314,pittcssa
215,10,2.93616151,4.717025,4.717025,4.717025,2.46445901,pittcssa
216,7,4.178603329,4.717025,4.717025,4.717025,3.504742614,pittcssa
217,12,3.664319425,6.825455,6.825455,4.221952367,2.608831333,pittcssa
218,13,2.923518923,3.482888,3.482888,2.5908805,2.524921923,pittcssa
219,6,3.945603333,4.564699,4.564699,3.89527225,1.348755167,pittcssa
222,6,4.0969425,4.512905,4.512905,4.014783,2.7586815,pittcssa
223,8,4.173623363,5.015528,5.015528,5.015528,3.546682362,pittcssa
224,10,3.59778099,4.491409,4.491409,4.491409,3.14864009,pittcssa
225,11,4.003653455,4.637844,4.637844,4.637844,3.582031273,pittcssa
227,15,3.381244407,5.506878,5.506878,3.0598836,2.973259927,pittcssa
229,17,3.492158747,5.629957,5.629957,5.629957,3.160984806,pittcssa
233,23,2.858922452,4.0924,3.881958,3.418020667,1.967264887,pittcssa
234,10,3.6780763,5.143139,5.143139,4.3463395,2.8088084,pittcssa
235,10,3.6780763,5.143139,5.143139,4.3463395,2.8088084,pittcssa
236,12,3.664319425,6.825455,6.825455,4.221952367,2.608831333,pittcssa
237,13,2.819696808,3.453533,3.453533,1.90285775,2.526949462,pittcssa
239,24,3.481380104,4.562703,5.19544775,5.19544775,2.615472146,pittcssa
242,12,3.791419733,6.205146,6.205146,6.205146,3.274324233,pittcssa
243,16,4.062571438,5.194147,5.531997,4.047725,3.303623,pittcssa
244,6,3.755855533,6.338496,6.338496,5.451996,1.938523533,pittcssa
246,13,4.183163685,6.264979,6.264979,5.6502145,3.313899915,pittcssa
249,6,4.146965667,6.444796,6.444796,4.962332,1.665799667,pittcssa
250,8,4.322251075,6.060255,6.060255,4.870234333,2.4959132,pittcssa
251,13,2.689764246,3.453533,3.453533,3.453533,2.424107862,pittcssa
252,10,2.89954711,4.335979,4.335979,2.58210455,2.3831262,pittcssa
253,5,4.5063852,6.527233,6.527233,6.527233,3.2009386,pittcssa
254,8,2.85408295,2.988035,2.988035,1.7338015,2.420632575,pittcssa
256,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
258,17,2.900058976,5.249664,5.249664,2.973649333,2.375297329,pittcssa
259,12,2.960726942,1.782907,1.782907,1.1680464,2.766052542,pittcssa
261,12,4.093427575,6.264979,6.264979,6.264979,3.571345992,pittcssa
263,6,3.624921,4.789209,4.789209,4.789209,2.8267195,pittcssa
264,14,3.977539464,6.242901,6.242901,3.56305975,3.468530929,pittcssa
265,8,3.791623875,3.699992,4.9694995,3.721163667,2.3961875,pittcssa
266,15,4.159632553,3.699992,4.570679667,4.573801286,2.025191953,pittcssa
267,5,4.0830604,4.234934,4.234934,4.565241,2.256964,pittcssa
269,9,3.762005011,3.699992,4.129145,3.45331122,1.843498778,pittcssa
270,15,4.159632553,3.699992,4.570679667,4.573801286,2.025191953,pittcssa
273,4,4.1376875,8.129298,8.129298,4.8712325,1.70207125,pittcssa
275,13,2.784983554,6.968053,6.8603345,4.532499675,1.390368269,pittcssa
276,11,4.013001118,4.690859,5.0060235,4.699498333,2.731319755,pittcssa
279,19,2.957148474,6.136152,6.136152,5.322817,2.396851947,pittcssa
281,23,2.858922452,4.0924,3.881958,3.418020667,1.967264887,pittcssa
282,4,3.673342558,5.347054,5.347054,5.1076135,1.119535808,pittcssa
284,24,3.241693858,8.419351,8.419351,8.419351,2.890887567,pittcssa
285,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
286,6,3.431111167,6.349603,6.349603,3.080432667,1.890894833,pittcssa
288,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
291,12,3.606946033,7.274445,7.274445,4.3570755,2.880766783,pittcssa
292,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
294,17,3.173590612,6.100998,6.100998,2.7281347,2.692155076,pittcssa
295,12,3.69716775,4.919989,5.8744295,4.79169575,2.099935833,pittcssa
296,7,3.270237457,5.7816,5.7816,5.7816,2.4442946,pittcssa
298,10,3.8321497,4.578514,4.578514,3.1772695,3.1966958,pittcssa
300,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
303,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
304,7,3.572651429,5.807992,5.807992,4.083044,1.239483429,pittcssa
305,18,3.52659985,4.876083,3.9046585,4.108398667,2.841866739,pittcssa
307,15,3.691686327,8.37097,8.37097,5.787705333,2.53414526,pittcssa
308,6,3.962210833,5.086936,5.086936,4.375747,2.5036285,pittcssa
309,5,3.57566,3.650633,3.650633,3.650633,2.8455334,pittcssa
311,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
312,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
313,6,3.4570935,3.092391,3.092391,3.50955,2.2872435,pittcssa
314,21,3.617878281,3.864295,3.864295,2.495132233,3.261430819,pittcssa
315,7,4.666970729,6.803147,6.803147,6.337005,1.951111443,pittcssa
316,6,5.497341167,2.717953,4.491427,5.3523276,1.037068167,pittcssa
317,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
318,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
320,7,3.823893,5.799016,5.799016,3.541063,2.812160714,pittcssa
321,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
323,12,3.606946033,7.274445,7.274445,4.3570755,2.880766783,pittcssa
325,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
326,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
327,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
328,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
330,5,3.6198434,5.026644,5.026644,3.043162333,1.793946,pittcssa
331,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
332,5,3.3546008,3.652972,3.652972,2.6541505,2.2929406,pittcssa
333,21,2.380041781,4.823924,4.823924,2.77815885,2.115455224,pittcssa
336,16,3.249721275,6.846841,5.037198,3.562540333,2.581744962,pittcssa
337,7,3.572651429,5.807992,5.807992,4.083044,1.239483429,pittcssa
338,12,3.606946033,7.274445,7.274445,4.3570755,2.880766783,pittcssa
340,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
342,10,3.69038463,6.066782,6.066782,4.67445225,1.82060373,pittcssa
343,12,3.664319425,6.825455,6.825455,4.221952367,2.608831333,pittcssa
344,4,6.38304575,4.495176,6.0139285,6.537747333,1.47973525,pittcssa
345,4,6.38304575,4.495176,6.0139285,6.537747333,1.47973525,pittcssa
347,6,3.676597333,3.212503,3.212503,2.860861333,2.246166667,pittcssa
348,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
349,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
350,18,3.201882983,4.876083,4.876083,3.201882983,0,pittcssa
352,16,3.475429775,5.806124,5.806124,5.806124,3.112547025,pittcssa
353,10,4.28097705,5.29259,5.29259,5.29259,3.75171805,pittcssa
355,6,3.086683168,6.215111,6.215111,3.596129,1.887973502,pittcssa
356,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
357,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
358,8,3.2139832,4.64023,4.64023,2.945208333,2.109530075,pittcssa
359,10,3.968402,5.026644,5.026644,3.043162333,3.0554533,pittcssa
360,11,3.788240109,6.211772,6.211772,4.210898733,2.639813182,pittcssa
362,18,3.75402325,5.40662,6.1006905,4.64028325,2.722849194,pittcssa
365,17,3.528030135,5.144928,5.144928,5.144928,3.225387312,pittcssa
366,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
367,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
368,14,4.77033835,7.948301,7.948301,6.808784,3.311313207,pittcssa
372,14,2.940385843,5.222569,5.222569,3.112621,2.4957257,pittcssa
373,11,3.407000536,4.538711,4.4487065,4.306146,2.232597082,pittcssa
374,7,4.135258604,3.73961,3.73961,4.908611,2.732798319,pittcssa
375,8,3.175987325,5.638106,5.638106,2.843886,2.109530075,pittcssa
376,5,3.6198434,5.026644,5.026644,3.043162333,1.793946,pittcssa
377,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
380,9,4.584813111,7.041281,7.041281,4.836865,3.509954222,pittcssa
382,3,3.245690667,5.297721,5.297721,3.2801465,1.058926333,pittcssa
383,9,4.439020667,6.53482,6.53482,6.53482,3.712929556,pittcssa
384,7,3.457155,5.230359,4.684535,4.606379333,1.482992429,pittcssa
385,6,4.855756167,5.617539,5.617539,5.973296667,1.869107833,pittcssa
386,17,3.103486735,5.026644,5.026644,3.043162333,2.566458088,pittcssa
387,17,3.103486735,5.026644,5.026644,3.043162333,2.566458088,pittcssa
388,9,3.767360211,6.534501,6.534501,3.72353345,2.939908333,pittcssa
389,13,2.503433805,5.249664,5.249664,2.973649333,1.817207035,pittcssa
390,15,3.970573467,5.012303,5.012303,5.1834385,3.279448333,pittcssa
392,4,3.573841308,3.73961,3.73961,4.908611,1.119535808,pittcssa
393,8,3.175987325,5.638106,5.638106,2.843886,2.109530075,pittcssa
394,5,3.6198434,5.026644,5.026644,3.043162333,1.793946,pittcssa
395,4,4.918769,5.242048,5.242048,4.623721,2.6069085,pittcssa
396,34,3.402466912,6.782705,6.782705,6.782705,3.202975588,pittcssa
398,23,3.688363348,6.676227,5.698537333,4.8949045,2.837075609,pittcssa
399,12,3.606946033,7.274445,7.274445,4.3570755,2.880766783,pittcssa
400,34,3.402466912,6.782705,6.782705,6.782705,3.202975588,pittcssa
401,8,3.219499038,4.538711,4.538711,4.538711,2.652160163,pittcssa
402,9,3.366656822,6.416388,6.416388,3.5790792,2.571305889,pittcssa
404,8,3.219499038,4.538711,4.538711,4.538711,2.652160163,pittcssa
405,9,3.366656822,6.416388,6.416388,3.5790792,2.571305889,pittcssa
406,4,3.673342558,5.347054,5.347054,5.1076135,1.119535808,pittcssa
408,11,3.892881109,5.901935,5.901935,5.757983,2.845975109,pittcssa
409,17,3.791168771,5.442093,6.118427,4.574496333,2.983904712,pittcssa
410,20,3.63137494,6.754584,6.754584,3.9168825,3.23968669,pittcssa
411,21,3.129579443,5.886802,5.886802,5.886802,2.849255538,pittcssa
412,14,4.489027586,6.59303,6.59303,6.59303,4.018096871,pittcssa
413,22,3.162268914,4.925744,4.925744,4.925744,2.938371459,pittcssa
414,7,3.668090714,7.496588,7.496588,7.496588,2.597149571,pittcssa
415,9,3.767360211,6.534501,6.534501,3.72353345,2.939908333,pittcssa
418,6,3.981523038,3.855117,3.855117,4.85274875,0.746357205,pittcssa
419,7,3.997238,5.026644,5.026644,3.043162333,2.693025571,pittcssa
420,4,4.918769,5.242048,5.242048,4.623721,2.6069085,pittcssa
422,5,4.058377,4.320126,4.320126,4.5982015,2.2190964,pittcssa
423,9,3.634401,4.572973,4.572973,5.0952835,2.502115778,pittcssa
424,21,3.205299762,6.136152,6.136152,5.322817,2.69836481,pittcssa
425,12,3.664319425,6.825455,6.825455,4.221952367,2.608831333,pittcssa
426,13,2.689764246,3.453533,3.453533,3.453533,2.424107862,pittcssa
427,10,2.89954711,4.335979,4.335979,2.58210455,2.3831262,pittcssa
428,23,4.112346978,5.109433,4.6623315,6.22598275,3.02956737,pittcssa
430,41,3.093085659,6.323794,6.323794,3.54208655,2.920300949,pittcssa
433,12,3.599163133,3.900547,3.900547,3.900547,3.27411755,pittcssa
434,5,4.3134964,6.406551,6.406551,4.907214333,1.3691678,pittcssa
435,22,4.347385955,6.257711,6.257711,5.622668,3.836234318,pittcssa
437,24,3.788890688,3.896816,3.896816,3.896816,3.626523354,pittcssa
438,9,4.964961667,7.405363,7.4191925,6.346621667,2.849421111,pittcssa
439,4,3.9356965,5.43889,5.43889,4.144793,1.8633,pittcssa
440,12,4.7486185,4.231919,5.8324705,5.209515,2.57798725,pittcssa
441,12,4.7486185,4.231919,5.8324705,5.209515,2.57798725,pittcssa
442,12,3.606946033,7.274445,7.274445,4.3570755,2.880766783,pittcssa
443,12,3.664319425,6.825455,6.825455,4.221952367,2.608831333,pittcssa
444,8,3.04656825,2.988035,2.988035,3.2920735,2.223549875,pittcssa
445,9,3.556812667,4.637844,4.637844,4.637844,3.041496667,pittcssa
447,22,2.835943836,4.637844,4.637844,4.637844,2.625132745,pittcssa
448,19,2.957148474,6.136152,6.136152,5.322817,2.396851947,pittcssa
449,8,3.04656825,2.988035,2.988035,3.2920735,2.223549875,pittcssa
453,13,2.784983554,6.968053,6.8603345,4.532499675,1.390368269,pittcssa
454,9,3.556812667,4.637844,4.637844,4.637844,3.041496667,pittcssa
455,11,4.003653455,4.637844,4.637844,4.637844,3.582031273,pittcssa
456,6,3.981523038,3.855117,3.855117,4.85274875,0.746357205,pittcssa
457,5,3.6198434,5.026644,5.026644,3.043162333,1.793946,pittcssa
458,4,4.918769,5.242048,5.242048,4.623721,2.6069085,pittcssa
459,3,4.385329667,5.804013,5.804013,5.804013,2.450658667,pittcssa
462,6,3.602654717,4.036094,4.036094,4.328885,2.15969305,pittcssa
463,4,3.382907325,4.876083,4.876083,4.876083,2.163886575,pittcssa
464,12,2.87582825,6.095413,6.095413,3.362655,2.31538575,pittcssa
465,38,3.135541989,6.633372,6.633372,5.731821,2.8338672,pittcssa
466,5,3.79242822,4.575308,4.575308,4.3312055,2.05994602,pittcssa
467,27,3.082852856,0.328867,0.328867,0.328867,3.070672596,pittcssa
468,18,2.867191067,4.554286,4.554286,4.554286,2.614175178,pittcssa
469,17,3.756788,6.538589,6.538589,4.354509333,2.988345176,pittcssa
470,11,3.916445636,5.910181,5.910181,3.4503805,3.289103727,pittcssa
471,4,4.714454,7.275246,7.275246,7.275246,2.8956425,pittcssa
472,5,3.1769964,4.069786,4.069786,5.034686,1.163122,pittcssa
473,17,3.753453247,6.8207,6.8207,4.250872933,3.0032992,pittcssa
474,23,3.367681487,5.414762,5.519589,4.0460805,2.664015313,pittcssa
475,10,3.10267848,5.69368,5.69368,3.3845375,2.42577098,pittcssa
476,14,2.945258214,5.993045,5.993045,2.794391,2.346460143,pittcssa
477,20,5.0487543,2.717953,2.717953,5.13118675,1.97004225,pittcssa
478,20,3.303610075,4.958618,5.268156333,5.268156333,2.513386625,pittcssa
481,6,3.602654717,4.036094,4.036094,4.328885,2.15969305,pittcssa
482,12,3.961523,7.674901,7.674901,4.9664135,3.133787417,pittcssa
483,6,3.401066367,4.897071,4.897071,3.0904955,2.3709012,pittcssa
484,11,3.500075391,5.506878,5.506878,5.506878,2.999450118,pittcssa
487,3,4.385329667,5.804013,5.804013,5.804013,2.450658667,pittcssa
489,5,2.8557464,4.141838,4.141838,2.701182,1.2350372,pittcssa
490,8,3.388282,3.453853,3.453853,3.453853,2.956550375,pittcssa
491,16,3.339421175,4.584012,4.584012,4.584012,3.052920425,pittcssa
493,6,3.23056265,7.241163,7.241163,4.02980445,1.8872945,pittcssa
495,3,5.950142,7.405363,7.405363,5.444542,2.320447333,pittcssa
497,10,3.45111064,5.104862,5.104862,4.3363275,2.58384514,pittcssa
498,11,3.6272672,6.521648,4.988145,4.75404875,1.8985222,pittcssa
499,9,4.332507,6.731577,6.731577,3.091370667,3.302050111,pittcssa
500,4,2.7083597,6.223624,6.223624,2.719215933,0.66894775,pittcssa
502,6,4.167708167,4.859866,4.859866,4.00912975,1.494955,pittcssa
504,33,3.386125736,5.249664,5.165,3.500321,2.961844403,pittcssa
507,4,4.800968,5.462672,5.462672,5.1267645,2.23758575,pittcssa
509,11,3.590614491,5.249664,5.249664,2.973649333,2.779619218,pittcssa
511,11,3.011765864,5.614315,5.614315,5.614315,2.501373591,pittcssa
512,4,3.935903,5.679086,5.679086,5.679086,2.5161315,pittcssa
513,19,3.175917805,5.154819,5.154819,2.972501667,2.706575437,pittcssa
514,19,3.175917805,5.154819,5.154819,2.972501667,2.706575437,pittcssa
516,12,3.599163133,3.900547,3.900547,3.900547,3.27411755,pittcssa
518,7,3.593881571,6.066141,6.066141,4.302218,2.364676429,pittcssa
519,7,4.598957143,3.274441,3.274441,3.734029,3.532091714,pittcssa
520,22,3.624989923,7.871154,4.978172667,4.517112667,1.161110286,pittcssa
521,10,2.80017776,5.071644,5.071644,5.071644,2.29301336,pittcssa
522,7,4.048648829,7.705893,7.705893,7.705893,2.947806971,pittcssa
523,19,3.223538305,5.48145,5.48145,3.148918,2.892073253,pittcssa
526,22,4.506070564,2.717953,4.408638333,4.740056429,1.489671018,pittcssa
527,9,4.332507,6.731577,6.731577,3.091370667,3.302050111,pittcssa
529,14,3.524383786,6.444796,6.444796,3.905682667,2.687451786,pittcssa
530,15,3.848761773,6.060255,6.060255,5.1677655,3.159726373,pittcssa
532,24,4.461011229,7.96483,7.96483,7.96483,4.129143313,pittcssa
533,27,3.494264607,6.158363,6.158363,4.537664,3.158141348,pittcssa
535,23,2.944519217,5.222569,5.222569,5.222569,2.717451,pittcssa
536,17,3.685625753,4.65209,5.6579705,4.525575,2.354574282,pittcssa
