"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-My workers","UPDATE-My workers","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A19HCBT1EH8484","https://master-requester.mturk.com/workers/A19HCBT1EH8484","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1A1ZXUVSV4YR8","https://master-requester.mturk.com/workers/A1A1ZXUVSV4YR8","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1BDH3O29OKARK","https://master-requester.mturk.com/workers/A1BDH3O29OKARK","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1BF1W2XN5BWFQ","https://master-requester.mturk.com/workers/A1BF1W2XN5BWFQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1BQKP971LFCYL","https://master-requester.mturk.com/workers/A1BQKP971LFCYL","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1DXYZ9EW2R6DT","https://master-requester.mturk.com/workers/A1DXYZ9EW2R6DT","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1EK8YNHZHTW1J","https://master-requester.mturk.com/workers/A1EK8YNHZHTW1J","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1IAMFWEE5O3RG","https://master-requester.mturk.com/workers/A1IAMFWEE5O3RG","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1KVE1E8ZON2F7","https://master-requester.mturk.com/workers/A1KVE1E8ZON2F7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1L1S0IAPZB4MO","https://master-requester.mturk.com/workers/A1L1S0IAPZB4MO","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1MWYS9YMR5MGQ","https://master-requester.mturk.com/workers/A1MWYS9YMR5MGQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1NZ4BJK085UI7","https://master-requester.mturk.com/workers/A1NZ4BJK085UI7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1O6NAOVMJ1XVC","https://master-requester.mturk.com/workers/A1O6NAOVMJ1XVC","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1PFJ5ACN1S55A","https://master-requester.mturk.com/workers/A1PFJ5ACN1S55A","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1R2GKP9RVX5SA","https://master-requester.mturk.com/workers/A1R2GKP9RVX5SA","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1RGKDDAQN68NO","https://master-requester.mturk.com/workers/A1RGKDDAQN68NO","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1RK4PGIIJGBQN","https://master-requester.mturk.com/workers/A1RK4PGIIJGBQN","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1SX9GLTEPQ25T","https://master-requester.mturk.com/workers/A1SX9GLTEPQ25T","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1TB704LFMMB4R","https://master-requester.mturk.com/workers/A1TB704LFMMB4R","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1TW60NCALLP12","https://master-requester.mturk.com/workers/A1TW60NCALLP12","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A1WAWEY2810TFN","https://master-requester.mturk.com/workers/A1WAWEY2810TFN","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A20QXCW2IQ1JTI","https://master-requester.mturk.com/workers/A20QXCW2IQ1JTI","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A22KNHLEDEI42N","https://master-requester.mturk.com/workers/A22KNHLEDEI42N","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A23NESSAWIXYA5","https://master-requester.mturk.com/workers/A23NESSAWIXYA5","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A24JKHC4HTY6CD","https://master-requester.mturk.com/workers/A24JKHC4HTY6CD","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A28MBKG5QQ0F8H","https://master-requester.mturk.com/workers/A28MBKG5QQ0F8H","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A28QUR0QYD2WI7","https://master-requester.mturk.com/workers/A28QUR0QYD2WI7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A29BLVQALSAGAP","https://master-requester.mturk.com/workers/A29BLVQALSAGAP","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A29IGBZ9R3C59H","https://master-requester.mturk.com/workers/A29IGBZ9R3C59H","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2CSDDEF3W5XJ1","https://master-requester.mturk.com/workers/A2CSDDEF3W5XJ1","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2DIYZKRJME8Z2","https://master-requester.mturk.com/workers/A2DIYZKRJME8Z2","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2FAKTUX48XA8L","https://master-requester.mturk.com/workers/A2FAKTUX48XA8L","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2FJ8YQ6VHGD2L","https://master-requester.mturk.com/workers/A2FJ8YQ6VHGD2L","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2GRDXKQMO9AKR","https://master-requester.mturk.com/workers/A2GRDXKQMO9AKR","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2GYHE0G2PMHF7","https://master-requester.mturk.com/workers/A2GYHE0G2PMHF7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2HG1N3BVQO6I","https://master-requester.mturk.com/workers/A2HG1N3BVQO6I","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2HITRHQ441VHA","https://master-requester.mturk.com/workers/A2HITRHQ441VHA","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2IICH6KZZB6XF","https://master-requester.mturk.com/workers/A2IICH6KZZB6XF","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2LBH2X1DIWOD","https://master-requester.mturk.com/workers/A2LBH2X1DIWOD","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2MQQ8MU5BYFU3","https://master-requester.mturk.com/workers/A2MQQ8MU5BYFU3","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2NI2HSU84PHJW","https://master-requester.mturk.com/workers/A2NI2HSU84PHJW","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2TZ7IH313CFE1","https://master-requester.mturk.com/workers/A2TZ7IH313CFE1","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2V5XDYKKJVE4C","https://master-requester.mturk.com/workers/A2V5XDYKKJVE4C","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2Z5Z53HZL34C3","https://master-requester.mturk.com/workers/A2Z5Z53HZL34C3","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A2ZPIWKNHLR8KC","https://master-requester.mturk.com/workers/A2ZPIWKNHLR8KC","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A302512CBCH9X2","https://master-requester.mturk.com/workers/A302512CBCH9X2","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A30US88GBGBG0V","https://master-requester.mturk.com/workers/A30US88GBGBG0V","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A32Q6TNSAG4U3I","https://master-requester.mturk.com/workers/A32Q6TNSAG4U3I","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A37MPHPHMGWFQB","https://master-requester.mturk.com/workers/A37MPHPHMGWFQB","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A37O5SYY9VWSPY","https://master-requester.mturk.com/workers/A37O5SYY9VWSPY","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A37XGTIC952YW4","https://master-requester.mturk.com/workers/A37XGTIC952YW4","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3CFADK3905MM0","https://master-requester.mturk.com/workers/A3CFADK3905MM0","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3CRRFF9J9ZTRO","https://master-requester.mturk.com/workers/A3CRRFF9J9ZTRO","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3DDWZOH9DPSP9","https://master-requester.mturk.com/workers/A3DDWZOH9DPSP9","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3F19XZ6NM6AR7","https://master-requester.mturk.com/workers/A3F19XZ6NM6AR7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3FHVHURR4H6V1","https://master-requester.mturk.com/workers/A3FHVHURR4H6V1","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3GPHENAT5DWHG","https://master-requester.mturk.com/workers/A3GPHENAT5DWHG","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3HMJTA2S4Q3NQ","https://master-requester.mturk.com/workers/A3HMJTA2S4Q3NQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3JC5R5HMP1XSA","https://master-requester.mturk.com/workers/A3JC5R5HMP1XSA","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3K72W67MBZ0AF","https://master-requester.mturk.com/workers/A3K72W67MBZ0AF","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3LDQA6YZGV6NK","https://master-requester.mturk.com/workers/A3LDQA6YZGV6NK","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3N5462QAZ9V6T","https://master-requester.mturk.com/workers/A3N5462QAZ9V6T","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3N5TCHRPQF6P","https://master-requester.mturk.com/workers/A3N5TCHRPQF6P","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3OMRMNTOU7QXI","https://master-requester.mturk.com/workers/A3OMRMNTOU7QXI","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3PEDSLDKU79RH","https://master-requester.mturk.com/workers/A3PEDSLDKU79RH","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3PSIT0A7OU2FL","https://master-requester.mturk.com/workers/A3PSIT0A7OU2FL","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3QJ8GCXBF3QH7","https://master-requester.mturk.com/workers/A3QJ8GCXBF3QH7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3RWDYQD1331VH","https://master-requester.mturk.com/workers/A3RWDYQD1331VH","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3T00CY2PTYDAW","https://master-requester.mturk.com/workers/A3T00CY2PTYDAW","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3TKUXUTDX6FBF","https://master-requester.mturk.com/workers/A3TKUXUTDX6FBF","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3VMNOYU4TNDNS","https://master-requester.mturk.com/workers/A3VMNOYU4TNDNS","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A3VOMP0WOJTB4I","https://master-requester.mturk.com/workers/A3VOMP0WOJTB4I","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A41VIGPOYTFUH","https://master-requester.mturk.com/workers/A41VIGPOYTFUH","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A4PFF3LK637YM","https://master-requester.mturk.com/workers/A4PFF3LK637YM","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A5WAWW70PYRP","https://master-requester.mturk.com/workers/A5WAWW70PYRP","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A654E8ZVRD6GM","https://master-requester.mturk.com/workers/A654E8ZVRD6GM","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A746183X8258H","https://master-requester.mturk.com/workers/A746183X8258H","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A7J4Y6FOPZ8YV","https://master-requester.mturk.com/workers/A7J4Y6FOPZ8YV","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"A9E9Y0LEAYO4V","https://master-requester.mturk.com/workers/A9E9Y0LEAYO4V","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AACQ1P1IWRQXL","https://master-requester.mturk.com/workers/AACQ1P1IWRQXL","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AAJ121M08S5KD","https://master-requester.mturk.com/workers/AAJ121M08S5KD","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"ABRU6XODRFXB5","https://master-requester.mturk.com/workers/ABRU6XODRFXB5","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"ACJ8NDBQ6PHHR","https://master-requester.mturk.com/workers/ACJ8NDBQ6PHHR","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"ACKF1WBCKVLY3","https://master-requester.mturk.com/workers/ACKF1WBCKVLY3","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"ADVCIFLB5A9B","https://master-requester.mturk.com/workers/ADVCIFLB5A9B","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AGJTTK50503VZ","https://master-requester.mturk.com/workers/AGJTTK50503VZ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AH3W6E7W1EU0D","https://master-requester.mturk.com/workers/AH3W6E7W1EU0D","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AH9NHR1PJODG1","https://master-requester.mturk.com/workers/AH9NHR1PJODG1","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AHFEDGGIOG8DK","https://master-requester.mturk.com/workers/AHFEDGGIOG8DK","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AHLS6AZ1VTNH7","https://master-requester.mturk.com/workers/AHLS6AZ1VTNH7","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AIIHUC6DCPZAR","https://master-requester.mturk.com/workers/AIIHUC6DCPZAR","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AJTHGXBMZJ3HE","https://master-requester.mturk.com/workers/AJTHGXBMZJ3HE","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AKH3FBPEXXT51","https://master-requester.mturk.com/workers/AKH3FBPEXXT51","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AMEO4HBYM9LDY","https://master-requester.mturk.com/workers/AMEO4HBYM9LDY","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AN738HXJ1TH8N","https://master-requester.mturk.com/workers/AN738HXJ1TH8N","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AOK5QT1QFHEOK","https://master-requester.mturk.com/workers/AOK5QT1QFHEOK","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AOYQ6FLVQO6JJ","https://master-requester.mturk.com/workers/AOYQ6FLVQO6JJ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"APF1EAZT104LQ","https://master-requester.mturk.com/workers/APF1EAZT104LQ","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"APKO12PP5J5LW","https://master-requester.mturk.com/workers/APKO12PP5J5LW","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AQ4PB1PVI9U7V","https://master-requester.mturk.com/workers/AQ4PB1PVI9U7V","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AQ8J14431IR7Z","https://master-requester.mturk.com/workers/AQ8J14431IR7Z","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AQFFLBXV8P2TC","https://master-requester.mturk.com/workers/AQFFLBXV8P2TC","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"ASC0F4W1UMR3R","https://master-requester.mturk.com/workers/ASC0F4W1UMR3R","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AWIVX59AEP746","https://master-requester.mturk.com/workers/AWIVX59AEP746","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AX4U4ZJJQKKMS","https://master-requester.mturk.com/workers/AX4U4ZJJQKKMS","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
"AZPJUBGJZ3BT4","https://master-requester.mturk.com/workers/AZPJUBGJZ3BT4","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","Never Blocked","",""
