SentenceID,CodeSwitchedSentence, TranslatedSentence
24,停车  ：  we offer free outdoor/off-street parking ， $ 20/month reserved outdoor parking ， or$55/month reserved garage parking .,停车 ： 我们 提供 免费 室外 / 路外 停车场 ， 20 美元 每 月 的 预留 室外 停车位 和 55 美元 每 月 的 预留 车库 。
26,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！
27,） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,） 房东 非常 无敌 好 还 会 帮忙 丢 垃圾 ！
28,二 楼 是 三 间 卧室 和 一 个 full 卫生间  。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间  。
30,这 附近 的 apartment 的 租金 至少 都 是 这个 房子 的 1 .,这 附近 的 公寓 的 租金 至少 都 是 这个 房子 的
31,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交车 到 中国 超市 ， 餐馆 和 市中心 .
32,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；
34,长 租 all gone ！,长 租 已 全部 租满 。
35,room a$600  (  双 人大 床 ） 已 租 ！,含 双 人大 床 房 的 房间 已 租 。
36,暑期 短 租 还 available 哦  。,暑期 短 租 仍 可 预订 。
37,有 车库 ， drive way parking 和 street parking  。,有 车库 ， 私人 车道 和 路边 停车道 。
39,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住  。,有 宠物 可以 商量 ， 正规 物业 管理 ， 宾夕法尼亚州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住  。
40,欢迎 email 联系 咨询  。,欢迎 发 邮件 联系 咨询 。
45,# NAME ?,#NAME?
46,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 谷歌 云 盘 的 链接 观看 照片 ， 谢谢 ！
47,公寓 位置 方便 ， 在 market district 超市 附近  。,公寓 位置 方便 ， 在 市场 区 超市 附近  。
49,oakland 有 一 栋 三 层 楼 六 个 卧室  (,oakland 有 一 栋 三 层 楼 六 个 卧室  (
50,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很 频繁  。,小区 居民 是 学生 和 年轻 学者 ， 学校 的 班车 从 门前 经过 ， 而且 很 频繁  。
51,联系 电话  :  pn-0 ， email  :  em@3,联系 电话  :  pn-0 ， 电子 邮箱 :  em@3
52,squirrel hill 好 房 短 租 ， 租 的 时间 越 长 越好  。,松鼠丘 好 房 短 租 ， 租 的 时间 越 长 越好  。
53,周边  ：  步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店  。,周边  ：  步行 五 分钟 到 巨鹰 超市 ， 十 分钟 到 熊猫 超市 和 来 德 爱 药店  。
54,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以  。,所有 想 寄 想 退化 的 东西 ， 直接 放在 公寓 一 楼 就 可以  。
55,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !
56,地址 位 于 beacon st .,地址 位于 灯塔路
57,后院 有 私家 车库 ， beacon st .,后院 有 私家 车库 ， 灯塔 路 。
58,bathroom  :  二 楼 和 地下室 各 有 一 个 卫生间,浴室 :  二 楼 和 地下室 各 有 一 个 卫生间
61,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品  。,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品  。
62,想 租 的 同学 可以 看看 论坛 里 其他 发 sherwood 的 照片 up up up !,想 租 的 同学 可以 看看 论坛 里 其他 发 谢尔 伍德 的 照片 ， 顶 ！
63,最后 up 一次 ～ up,最后 顶 一 次 ~ 顶 ！
64,适合 couple 或 单身 居住  。,适合 情侣 或 单身 居住  。
65,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用  。,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， 单人 床 都 可以 用  。
67,坡度 大 ， 不 适合 自行车 骑 行 联系 方式  ：  房东 steve 邮箱  ：  em@4,坡度 大 ， 不 适合 自行车 骑 行 联系 方式  ：  房东 史蒂夫 邮箱  ：  em@4
68,有 车库 ， off street parking .,有 车库 ， 路 外 停车场
69,要求  ：  no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。
70,html 继续 有效  。,网页 继续 有效 。
72,kitchen 副本 .,厨房 副本
74,【  吃 货 福音  】  附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle  。,【  吃 货 福音  】  附近 有 四川 美食 ， 台湾 味 ， 每 日 面食 ， 各 种 小吃 ， 以及 熊猫 中 超 ， 巨 鹰 超市 。
77,# 家具 齐全  :  房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器  。,# 家具 齐全  :  房间 有 双人床 ， 步入 式 衣柜 ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器  。
78,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share  。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。
79,【  其他  】  包 utility fee ， 价格 和 时间 可 议  。,【  其他  】  包 物业费 ， 价格 和 时间 可 议  。
80,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；
82,周围 走路 可 达 whole food ， target ， trade jose  。,周围 走路 可 达 全食 超市 ， 塔吉特 商店 ， 乔 氏 超市  。
87,房子 在 bloom field bridge 旁边  。,房子 在 布卢姆菲尔德 桥 旁边
89,八月 开始 可 签 一 年 lease  。,八月 开始 可 签 一 年 租约 。
90,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你  。,性格 非常 好 ， 好 相处 ， 绝对 不 会 打扰 你  。
91,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便  。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便  。
92,本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 studio  。,本人 八月 中旬 毕业 ， 想 从 八月 一号 开始 租 到 至少 八月 二十 号 ， 希望 是 带卫浴 和 厨房 的 单间 。
94,三 楼 是 一 卧 一 卫 的 studio  。,三 楼 是 一 卧 一 卫 的 公寓 。
95,up up up up up 房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！,顶 ！ 房子 的 一 层 已经 出租 啦 ~ 现在 招 二 层 ， 布局 和 一 层 一模一样 的 ！
96,up up 请问 你 是 男生 还是 女生 ？,顶 ！ 请 问 你 是 男生 还是 女生 ？
97,步行 到 walnut street ， whole foods ， 公交 到 giant eagle ， target 也 很 方便  。,步行 到 沃尔纳特 街 ， 全食 超市 ， 公交 到 巨鹰 超市 ， 塔吉特 商店 也 很 方便  。
98,公寓 由 物业 walnut capital 管理 ， 服务 管理 都 很 好  。,公寓 由 物业 沃尔纳特 公司 管理 ， 服务 管理 都 很 好  。
99,an open-air shopping 经历  。,一 次 露天 购物 经历 。
100,oakland ave pittsburgh 15213$700 煤气 水电 网 全 包  。,匹兹堡 ， 奥克兰 大道 152 13，700 美元 煤气 水电 网 全 包  。
101,到 giant eagle ， lotus 可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去  。,到 巨鹰 超市 ， 联华 超市 可以 坐 门口 的 公交 ， 我 有时 也 会 开车 去  。
102,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！
104,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下  ：  email  :  em@5,有意 向 者 可以 联系 我 来看 房 ， 联系 方式 如下  ：  电子 邮箱  :  em@5
105,公寓 位 在 murray ave .,公寓 位于 梅瑞 大道 .
106,家 对面 就 是 cvs ！,家 对面 就是 CVS
107,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区  。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区  。
108,房子 目前 half furnished ，,房子 目前 装修 了 一半 。
110,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全  。,房子 目前 几乎 装修 完成 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全  。
119,附近 有 cvs ， 餐厅 也 比较 多  。,附近 有 cvs ， 餐厅 也 比较 多  。
121,想 找 1-2 间 带 家具 的 house room 或者 apartment room ， 2018 .,想 找 1-2 间 带 家具 的 房屋 内 单间 或者 公寓 单间 ， 2018 .
123,步行 / 公交 去 giant eagle/aldi/target 超市 10-15 min .,步行 / 公交 去 巨 鹰 / 阿尔迪/塔吉特 超市 10 - 15 分钟 .
124,房间 是 一 栋 house 的 顶层 ， 非常 宽敞  。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞  。
125,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；
126,地址  ：  king edward apartment,地址 ： 爱德华 国王 公寓 。
129,budget 灵活  。,资金 灵活
130,客厅 超大 ， walk-in closet 也 很 大  。,客厅 超大 ， 步入 式 衣柜 也 很 大 。
131,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；
135,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7
136,出门 走 一 分钟 不到 就 有 81-83 bus  。,出门 走 一 分钟 不到 就 有 81 - 83 路 公交  。
137,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决  。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决  。
138,房东 人 很 nice  。,房东人 很好
140,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细  。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细  。
141,半夜 两 点 走 block 都 不 怕  。,半夜 两 点 走在 街区 都 不 怕  。
142,由于 是 在 terrace 的 最 里面 所以 非常 安静  。,由于 是 在 露台 的 最 里面 所以 非常 安静  。
145,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住  。,卧室 内 家具 齐全 ， 标准 双人 床 ， 拎包 入住  。
152,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街 pa  。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 停车 。
156,trader joe's 和 target 更 是 在 步行 范围 内  。,乔氏 超市 和 塔吉特 超市 更 是 在 步行 范围 内  。
161,apt 隶属 franklin west 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决  。,公寓 隶属 西 富兰克林 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决  。
163,还有 很多 知名 餐厅 ， 例如 noodle head ， spoon 等等 ， 吃喝 不 愁  。,还有 很多 知名 餐厅 ， 例如 面试 爱好者 餐厅 ， 勺子 餐厅 等等 ， 吃喝 不 愁  。
175,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪  。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪  。
176,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调  。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调  。
185,晚上 回来 有 学校 的 黄 线 escort 送 回来 ， 治安 非常 好  。,晚上 回来 有 学校 的 黄 线 护送 车 送 回来 ， 治安 非常 好  。
186,户型  ：  一 楼 是 超大 living room ， dining room ， sun room 及 厨房  。,户型  ：  一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房 及 厨房  。
193,邮箱  ：  [ url ] em@9,邮箱  ：  [ 链接 ] em@9
195,晚上 ， 有 学校 escort 直达 门口  。,晚上 ， 有 学校 护送 车直 达 门口  。
197,guaizhu_person up 一下 up 一下,guaizhu_person 顶 一下 顶 一下
199,北边 南 边 都 有 giant eagle ， 左右 邻居 都 是 young couple ， 非常 安静 ， neighborhood 相当 安全 ， 晚上 有 路灯  。,北边 南 边 都 有 巨鹰 超市 ， 左右 邻居 都 是 年轻 情侣 ， 非常 安静 ， 街区 相当 安全 ， 晚上 有 路灯  。
202,三 楼 front room 600，12 ft x 10 .,三 楼 客厅 600，12 尺 x 10 .
203,户型  ：  12'0'' * 10'8' ， 有 足够 挂 衣服 的 地方 价格  ：  $480 / 间  (  包含  :  水 ， garbage ， 不 包含  ：  网 ， 电 ， 气  ),户型  ：  12'0'' * 10'8' ， 有 足够 挂 衣服 的 地方 价格  ：  $480 / 间  (  包含  :  水 ， 车库 ， 不 包含  ：  网 ， 电 ， 气  )
204,还 有 其他 utility 吗 ？,还 有 其他 设施 或 服务 吗 ？
209,房屋 出租 ， 独 栋 房子 ， 其中 一 大 间 带 独立 卫生间 ， 随时 入住 ， 位 于 greenfield ave 紧邻 giant eagle and murry ave .,房屋 出租 ， 独 栋 房子 ， 其中 一 大 间 带 独立 卫生间 ， 随时 入住 ， 位 于 绿地 大道 ， 紧邻 巨鹰 超市 和 梅瑞 大道 .
210,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！
212,由 meyers management 公司 统一 管理 ， 非常 规范  。,由 梅耶 公司 统一 管理 ， 非常 规范  。
213,也 有 parking  。,也 有 停车 坪 。
214,步行 五 分钟 有 whole food  。,步行 五 分钟 有 全食 超市  。
215,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 washer dryer ， 可 包 utility ， queen 床 ， 厨具 和 床上 用品 都 可以 提供  。,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 洗衣机 和 烘干机 ， 可 包 物业费 ， 标准 双人床 ， 厨具 和 床上 用品 都 可以 提供  。
218,house 出租 2018 .,房屋 出租 2018
220,房型  ：  house 一 层 ， 与 二 层 完全 独立  。,房型  ：  房屋 一 层 与 二 层 完全 独立  。
221,距离 giant eagle （ 10-15 min ） ， cvs （ 10-15 mins ） 可以 步行 可达 ， 周围 还有 很多 的 饭店  。,距离 巨 鹰 超市 （ 10 - 15 分钟 ） ， cvs （ 10 - 15 分钟 ） 可以 步行 可达 ， 周围 还有 很多 的 饭店  。
222,周边 有 一 个 pizza 店 ， 一 个 墨西哥 菜  。,周边 有 一 个 披萨店 ， 一 个 墨西哥 菜  。
223,租户 将 与 mozart management 物业 直接 签约  。,租户 将 与 莫扎特 物业 管理 公司 直接 签约  。
224,晚上 还 有 escort 直达 公寓 门口  。,晚上 还有 护送 车直 达 公寓 门口  。
225,附近 有 giant eagle 和 府 河 人家  。,附近 有 巨鹰 超市 和 府 河 人家  。
227,两 个 超大 walk in closet ， 还 可以 免费 申请 地下室 storage space  。,两 个 超大 步入 式 衣柜 ， 还 可以 免费 申请 地下室 的 储物 空间  。
228,walnut street 上 餐厅 众多 ， 附近 还 有 giant eagle ， whole foods 等 大型 超市  。,沃尔纳特 街上 餐厅 众多 ， 附近 还有 巨 鹰 超市 ， 全食 超市 等 大型 超市  。
231,女生 在 ibm 做 设计师 ， 男生 即将 完成 cs phd  。,女生 在 万国 商业 机器 公司 做 设计师 ， 男生 即将 完成 电脑 科学 博士 。
232,餐厅 和 deck 之前 是 全 景 玻璃 门  。,餐厅 和 露台 之前 是 全 景 玻璃 门  。
233,生活 不 只是 便利 ， 是 非常 丰富 ~ 关于 租约 和 价格 bedroom 1$600 ， bedroom 2$540 ， bedroom 3$520 ；,生活 不 只是 便利 ， 是 非常 丰富 ~ 关于 租约 和 价格 卧室 1$600 ， 卧室 2$540 ， 卧室 3$520 ；
234,非常 宽敞 ， 可以 放 两 张 full-size 床 ， 还有 walk-in closet ！,非常 宽敞 ， 可以 放 两 张 单人床 ， 还有 步入 式 衣柜 ！
235,royal garden 公寓 卧室 诚意 招租 因 本人 年底 毕业 ， 现 诚意 招租  。,皇家 花园 公寓 卧室 诚意 招租 因 本人 年底 毕业 ， 现 诚意 招租  。
236,周边  ：  步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店  。,周边  ：  步行 五 分钟 到 巨鹰 超市 ， 十 分钟 到 熊猫 超市 和 来 德 爱 药店  。
238,位 于 escort yellow line 上 ， 熬夜 赶 due 回家 也 不用 担心 哦 ！,位于 护送 车 黄 线 上 ， 熬夜 赶 作业 回家 也 不用 担心 哦 ！
239,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！
240,我 在 greenfield 的 房子 的 一 个 大 卧室 出租  。,我 在 绿地 的 房子 的 一 个 大 卧室 出租  。
241,yellow escort 站 走 半 分钟 ， 距离 61c，61d 3-5 分钟  。,黄 护送 车站 走 半 分钟 ， 距离 61c，61d 3-5 分钟  。
242,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available  。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。
246,一 个 匹 大 的 phd 学长  (  有 车 周末 可以 出去 买 买 买 ！,一 个 匹 大 的 读 博学 长  (  有 车 周末 可以 出去 买 买 买 ！
247,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！
248,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！
249,在 shady ave .,在 沙地 大道
250,和 walnut st .,和 沃尔纳特 街
252,家 对面 就是 一 个 cvs ， 食物 ， 药品 ， 和 一些 生活 用品 采购 很 方便  。,家 对面 就是 一 个 cvs ， 食物 ， 药品 ， 和 一些 生活 用品 采购 很 方便  。
253,房间 宽敞 ， 客厅 更大 ， 可 开 party ， 卧室 里 各 式 家具 齐全 ， 拎包 入住  。,房间 宽敞 ， 客厅 更大 ， 可 开 派对 ， 卧室 里 各 式 家具 齐全 ， 拎包 入住  。
254,欢迎 text ， 不 能 时时 接 电话  。,欢迎 来 短信 ， 不 能 时时 接 电话  。
255,走路 去 giant eagle,走路 去 巨鹰 超市
258,步行 五 分钟 有 whole food  。,步行 五 分钟 有 全食 超市  。
259,北面 五 分钟 是 shady 最 繁华 的 walnut street ， 再 过去 就是 giant eagle 等 超市  。,北面 五 分钟 是 沙地区 最 繁华 的 沃尔纳特 街 ， 再 过去 就是 巨鹰 超市 等 超市  。
260,晚上 有 学校 shuttle 能 送到 家  。,晚上 有 学校 班车 能 送 到 家  。
261,utility 不 包  。,水电气 费 不 包
262,详情 请 微 信 fingolfin_will_rise 或者 email em@10,详情 请 微 信 fingolfin_will_rise 或者 em@11
265,吃饭 地方 多 ， 出门 右 拐 即 是 ellsworth ave ， 有 很多 西餐 店 和 酒吧 ；,吃饭 地方 多 ， 出门 右 拐 即 是 艾斯沃兹 大道 ， 有 很多 西餐 店 和 酒吧 ；
266,电话  ：  pn-1 ， email  :  em@13,电话  ：  pn-1 ， 邮箱 :  em@13
267,价格  ：  $500 / 月 ， 包含 所有 utility  。,价格  ：  $500 / 月 ， 包含 所有 水电气 等 服务费 。
268,五六 分钟 可以 走到 murray 大街 的 giant eagle  (  giant eagle 是 最 大 的 食品 超级 市场  ),五六 分钟 可以 走到 梅瑞 大街 的 巨 鹰 超市 (  巨鹰 超市 是 最 大 的 食品 超级 市场  )
269,门口 有 bus 到 中国 店 等  。,门口 有 公交 到 中国 店 等  。
270,whole foods 是 我 去 的 最 频繁 的 超市 ， 因为 里边 只 卖 有机 食品 ， 质量 有 保证  。,全食 超市 是 我 去 的 最 频繁 的 超市 ， 因为 里边 只 卖 有机 食品 ， 质量 有 保证  。
271,路由器 是 dual band ！,路由器 是 双频的 ！
272,价格 公道 ， 附近 其他 房子 算 utility fee 都 要 大概 700-800 左右  。,价格 公道 ， 附近 其他 房子 算 服务费 都 要 大概 700-800 左右  。
274,公寓 的 管理 是 meyers management ， 有 任何 需要 修 的 地方 都 可以 叫 他们 免费 来 修  。,公寓 由 梅耶 物业 公司 管理 ， 有 任何 需要 修 的 地方 都 可以 叫 他们 免费 来 修  。
275,本人 是 哥伦比亚 大学 的 学生 ， 来 pitts 实习 ， 男生 ， 求 8 .,本人 是 哥伦比亚 大学 的 学生 ， 来 匹兹堡 实习 ， 男生 ， 求 8 .
276,房子 附近 有 giant eagle 和 各 类 饭店  。,房子 附近 有 巨鹰 超市 和 各 类 饭店  。
277,（ utility 全 包 ）  。,（ 水电气 费 全 包 ）  。
278,main office 就 在 地下 一 楼 ， 咨询 非常 方便  。,总 办公室 就 在 地下 一 楼 ， 咨询 非常 方便  。
279,我 希望 租 一 个 房间 前 一 整 年 lease  。,我 希望 租 一 个 房间 前 一 整 年 的 租期 。
280,market district 的 giant eagle 和 walnut street 都 在 步行 范围 内 ， 购物 非常 方便  。,市场 区 的 巨鹰 超市 和 沃尔纳特 街 都 在 步行 范围 内 ， 购物 非常 方便  。
281,欢迎 text ， 不 能 时时 接 电话  。,欢迎 发 短信 ， 不 能 时时 接 电话  。
282,html 联系 电话  ：  pn-2,链接 联系 电话  ：  pn-2
283,lease 从 八月 开始 ， 具体 日期 可以 商量  。,租期 从 八月 开始 ， 具体 日期 可以 商量  。
284,house 一共 有 两 层 + 地下室  。,房子 一共 有 两 层 + 地下室  。
286,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet  。,全新 的 宜家 买 的 小 单人床 的 床 和 书桌 柜子 ， 房间 内 有 衣柜 。
288,pn-3 call 或者 text 都 阔 以  。,pn-3 打 电话 或者 发 短信 都 可 以  。
289,只 用 交 electronic utility ， 三 人 平分  。,只 用 交 电费 ， 三 人 平分  。
290,我俩 都 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪  。,我俩 都 是 刚 毕业 没 多久 的 年轻 职员 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪  。
291,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很多  。,小区 居民 是 学生 和 年轻 学者 ， 学校 的 班车 从 门前 经过 ， 而且 很多  。
292,联系 电话  :  pn-4 ， email  :  em@3,联系 电话  :  pn-4 ， 邮箱  :  em@3
293,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况  。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况  。
296,另 有 全套 基本 家具 （ full size 床 / 书桌 / 柜子 / 空调 ） 如 需要 可 低价 转让  。,另 有 全套 基本 家具 （ 单人 床 / 书桌 / 柜子 / 空调 ） 如 需要 可 低价 转让  。
298,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等  。,可以 共用 大部分 家用 电器 ， 厨房 用品 ， 家具 等  。
299,我们 都 是 香港 理工 大学 的 ， 两 个 学 cee ， 一 个 ece ， 一 个 product design  。,我们 都 是 香港 理工 大学 的 ， 两 个 学 土木 与 环境 工程 ， 一 个 电子 和 计算机 工程 ， 一 个 产品 设计  。
300,步行 三 分钟 就 是 walnut st .,步行 三 分钟 就 是 沃尔纳特 街 .
301,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况  。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况  。
