SentenceID,CodeSwitchedSentence, TranslatedSentence
67,自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 coupe ， 2 .,自动 挡 （ 手 自 一体 ） 两 门 蓝 （ 灰 ） 色 双开门 车 ， 2 .
68,全新 gre og$20,全新 研究生 标准 考试 官方 指导 书 $ 20
69,物品 condition 大部分 excellent to like new .,物品 状态 大部分 完美 到 较 新 .
70,带 三 档 fan control ，,带 三 档 风扇 控制 ，
71,front ， top ， bottom 都 有 dust filter ，,前面 ， 上面 ， 下面 都 有 粉尘 过滤器 ，
72,出售 二手 full size 床 ！,出售 二手 全尺寸 大小 的 床 ！
73,对 您 的 tv stand 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！,对 您 的 电视 站 脚 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！
74,包含  ：  电 吉他 ， 音箱 ， cable ， 输入 3 .,包含  ：  电 吉他 ， 音箱 ， 线 ， 输入 3 .
75,具体 的 信息 也 可以 参考 amazon 的 页面 或者 短信 我  。,具体 的 信息 也 可以 参考 亚马逊 的 页面 或者 短信 我  。
76,十 分钟 可 达 买 吃 一 条 街 - walnut street  。,十 分钟 可 达 买 吃 一 条 街 - 核桃 街  。
77,这 是 amazon 的 link,这 是 亚马逊 的 链接
78,png 回国 转让 家具  ：,图片 ：  回国 转让 家具  ：
79,小区 环境 非常 幽静  ：  有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,小区 环境 非常 幽静  ：  有 多 处 操场 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在
80,今天 刚 做 的 inspection ， 去年 做 过 alignment ， 轮胎 刚 用 一 年 多 ， 很 新  。,今天 刚 做 的 检查 ， 去年 做 过 校准 ， 轮胎 刚 用 一 年 多 ， 很 新  。
81,正 值 壮年 ， 因为 是 timing chain 所以 不用 担心 timing belt 问题  。,正 值 壮年 ， 因为 是 时间链 所以 不用 担心 同 步带 问题  。
82,家具 都 是 宜家 或者 amazon 上 购买 的 ， 使用 了 不到 一 年  。,家具 都 是 宜家 或者 亚马逊 上 购买 的 ， 使用 了 不到 一 年  。
83,amazon 上 marcy 健身 椅$15,亚马逊 上 马 西牌 健身 椅$15
84,ask for$19500 （ 可 小刀 ）,需要 $ 19500 （ 可 小刀 ）
85,系统 及 功能 就 不用 说 了 ， 用 mac 的 都 知道  。,系统 及 功能 就 不用 说 了 ， 用 苹果 电脑 的 都 知道  。
86,就 在 south oakland 随时 看 车 ， pn-4  。,就 在 南奥克兰 随时 看 车 ， pn-4  。
87,【  物业  】   ：  meyers management 公司 ， 物业 反应 迅速,【  物业  】   ： 迈耶斯 物业 公司 ， 物业 反应 迅速
88,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 party 的 时候 大家 一起 玩  。,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 聚会 的 时候 大家 一起 玩  。
89,小朋友 不到 一 岁 就 换 了 convertible car seat ， 这个 在家 闲置 了 几 个 月 了  。,小朋友 不到 一 岁 就 换 了 可转 换式 汽车 座椅 ， 这个 在家 闲置 了 几 个 月 了  。
90,king size 的,超大 号的
91,clean title ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送  。,干净 标题 ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送  。
92,两 个 car seater 都 出 了 ， 谢谢 关注 ！,两 个 汽车 座椅 都 出 了 ， 谢谢 关注 ！
93,room essentials 风扇  。,房 需 牌 风扇  。
94,modem 和 wireless router 套餐  。,调制 解调器 和 无线 路由器 套餐  。
96,联系 方式  ：  pn-5  (  text  ),联系 方式  ：  pn-5  (  短信  )
97,发动机 强劲 smooth ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题  。,发动机 强劲 平稳 ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题  。
98,型号  ：  hamilton beach 331414-quart .,型号  ： 汉密尔顿 碧池 331414-quart .
99,amazon 链接  (  原价 $ 19 .,亚马逊 链接  (  原价 $ 19 .
100,转让 玻璃 茶几 ， 包括 一 个 coffee table 和 两 个 side tables  。,转让 玻璃 茶几 ， 包括 一 个 咖啡 桌 和 两 个 茶几  。
101,一 个 night stand ， 一 个 小 书桌 免费 赠送  。,一 个 床头柜 ， 一 个 小 书桌 免费 赠送  。
102,联系 方式  ：  email  :  sum em@3,联系 方式  ：  电子 邮件 :  sum em@3
103,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 standard window ， 如果 给 大家 造成 误导 ， 十分 抱歉  。,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 标准 窗 ， 如果 给 大家 造成 误导 ， 十分 抱歉  。
104,地址  ：  near frick park,地址  ： 近 弗里克 公园
105,thx 已 出,谢谢 已 出
106,利用 closet 下方 空间 的 整理 架 免费,利用 衣橱 下方 空间 的 整理 架 免费
107,地址 在 frick park 附近  。,地址 在 弗里克 公园 附近  。
108,或者 请 查看 word 附件 ～,或者 请 查看 文档 附件 ～
109,（ 坐标  ：  south oakland ， 联系 方式  ：  em@4,（ 坐标  ：  南 奥克兰 ， 联系 方式  ：  em@4
110,每 三千 迈 用 最 好 的 mobil-1 synthetic oil 细心 保养,每 三千 迈 用 最 好 的 汽车 一 号 合成 油 细心 保养
111,仅 后面 bumper 和 左 后 车门 有 少许 dents,仅 后面 保险杠 和 左 后 车门 有 少许 凹痕
112,坐标  ：  squirrel hill .,坐标  ： 松鼠山
113,免费 的 桌子 ， baby seat ， high chair ， queen size mattress and box .,免费 的 桌子 ， 婴儿 座椅 ， 高 脚凳 ， 大号 席梦思 和 盒子
115,八月 初 到 匹兹堡 ， 需要 一 张 queen size 的 床 ， 桌子 ， 椅子 各 种 家具,八月 初 到 匹兹堡 ， 需要 一 张 大号 的 床 ， 桌子 ， 椅子 各 种 家具
116,利用 closet 下方 空间 的 整理 架 免费,利用 衣橱 下方 空间 的 整理 架 免费
117,我 的 地址 在 fifth ave and aiken ave 附近  。,我 的 地址 在 五 街 和 艾肯 街 附近  。
118,有 兴趣 的 朋友 请 联系 [ url = mailtoynch .,有 兴趣 的 朋友 请 联系 [ 统一 资源 定位 符 = mailtoynch .
119,打印机 为 brother hl-2270 dw ， 状态 良好,打印机 为 兄弟 牌 hl-2270 dw ， 状态 良好
120,东西 在 north oakland,东西 在 北 奥克兰
121,地点 位 于 s highland ave 和 elwood st 交界,地点 位 于 南 高地 街 和 埃尔 伍德 街 交界
122,你 转账 后 ， 我 给 你 完整 的 report .,你 转账 后 ， 我 给 你 完整 的 报告
123,queen size 睡 两 人 很 宽敞 ， 舒服 ！,大号 床 睡 两 人 很 宽敞 ， 舒服 ！
124,微波炉 ， danby 0 .,微波炉 ， 丹比 0 .
125,人 在 centre giant eagle 附近 ~,人 在 中 大 老鹰 附近 ~
126,求购 window machine,求购 窗口 机
127,白板 [ size = 14 .,白板 [ 大小 = 14 .
128,可以 支撑 起来 看 视频 的 case,可以 支撑 起来 看 视频 的 外壳
130,有 兴趣 邮件 betty em@5,有 兴趣 邮件 betty em@5
131,验证 码 [ url = ] 换 一 个 [/url ],验证 码 [ 统一 资源 定位 符 = ] 换 一 个 [ / 统一 资源 定位符 ]
132,dish dryer  :  有 专门 可以 放 筷子 的 地方  。,晾碗 框  :  有 专门 可以 放 筷子 的 地方  。
133,或 发 邮件 到  ：  cap em@6,或 发 邮件 到  ：  cap em@6
134,所有 保养 ， inspection ， 换 轮胎 全 都 是 在 奔驰 dealer 做 的  。,所有 保养 ， 检查 ， 换 轮胎 全 都 是 在 奔驰 卖家 做 的  。
135,半 年 前 换 了 四 个 break rotors ， 和 两 个 front breaks ，,半 年 前 换 了 四 个 刹车 转子 ， 和 两 个 前刹 ，
136,最好 在 centre ， market district giant eagle 附近  。,最 好 在 中大 老鹰 超 市区 附近  。
137,需要 自己 来 pick up ， 谢谢 ！,需要 自己 来 拿 ， 谢谢 ！
138,回国 出 高端 音响 beats by dr .,回国 出 高端 音响 beats by dr .
139,电话  ：  412-六五二－6177 （ 最好 message ）,电话  ：  412-六五二－6177 （ 最好 短信 ）
140,顶上 的 mic 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，,顶上 的 麦克风 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，
141,一 个 厚 被子 ， queen size  。,一 个 厚 被子 ， 大号 的 。
142,搅拌机 ， $5--- sold,搅拌机 ， $5--- 已 出售
143,买 两 件 以上 送 phipps conservatory and botanical gardens 门票 一 张 ， 买 三 件 以上,买 两 件 以上 送 菲普斯 温室 植物园 门票 一 张 ， 买 三 件 以上
144,wireless chiclet-style keyboard ， optical mouse ， 赠送 键盘 和 鼠标 ；,无线 的 方块 键盘 ， 光学 鼠标 ， 赠送 键盘 和 鼠标 ；
145,操作 系统  ：  windows 8 .,操作 系统  ：  视窗 8 .
146,显卡  ：  integrated ;,显卡  ： 集成 ;
147,给 自己 ding 一下 ！,给 自己 顶 一下 ！
148,今天 随手 一 试 发现 code 能用 ， 真是 意外 惊喜  。,今天 随手 一 试 发现 代码 能用 ， 真是 意外 惊喜  。
149,honeywell 电 风扇 ， amazon 23 .,哈尼维尔 电 风扇 ， 亚马逊 23 .
150,毕业 甩卖 家具 （ 具体 价格 图片 见 google doc ）,毕业 甩卖 家具 （ 具体 价格 图片 见 谷歌 文档 ）
151,位置 在 hobart street ， squirrel hill .,位置 在 霍巴特街 ， 松鼠山 .
152,楼 主 发现 amazon 刚刚 匹配 了 $ 33 .,楼 主 发现 亚马逊 刚刚 匹配 了 $ 33 .
153,sony 的 2 .,索尼 的 2 .
154,amazon 原价 23 .,亚马逊 原价 23 .
155,这 款 面 包机 在 amazon 卖 $ 54 .,这 款 面 包机 在 亚马逊 卖 $ 54 .
156,target （ 电子 产品 ， 家居 ， 衣物 等  。,塔吉特 （ 电子 产品 ， 家居 ， 衣物 等  。
157,apple watch 送 $100 礼品 卡 （ 相当于 $249 ） ;,苹果 手表 送 $100 礼品 卡 （ 相当于 $249 ） ;
158,best buy 的 电视 deal 每 年 都 是 最 划算 的 ， 但是 要 去 店 门口 排队 ， 没有 把握 拿到,百 思 买 的 电视 促销 每 年 都 是 最 划算 的 ， 但是 要 去 店 门口 排队 ， 没有 把握 拿到
159,staples （ 电器 ， 电子 产品 ）,订书机 （ 电器 ， 电子 产品 ）
160,kindle paperwhite$99  (  原价 $ 119 .,电子书 $99  (  原价 $ 119 .
161,ebay （ 综合 类  。,易趣 （ 综合 类  。
162,jc penney （ 主要 是 衣服 ， 很多 冬装 9 .,杰西 盘 尼 （ 主要 是 衣服 ， 很多 冬装 9 .
163,差不多 算是 全新 的 了 ， 适合 full-size stove 的 公寓 或 house 使用  。,差不多 算是 全新 的 了 ， 适合 带 全 壁炉 的 公寓 或 独 栋 住宅 使用  。
164,具体 联系  ：  lig em@7,具体 联系  ：  lig em@7
165,高清 图片 见 google doc,高清 图片 见 谷歌 文档
166,可以 轻松 在 cmos 里 超频  。,可以 轻松 在 计算机 芯片 里 超频  。
167,id=0b2acusdjp9ogqzhpeejstc1quuu&usp = sharing ， 有 兴趣 欢迎 联系 ， 电话 pn-6 ， 邮件 em@8,id=0b2acusdjp9ogqzhpeejstc1quuu&usp = sharing ， 有 兴趣 欢迎 联系 ， 电话 pn-6 ， 邮件 em@8
168,html （ 价格 可以 商量 ）,超 文字 标记 语言 （ 价格 可以 商量 ）
169,update  :  依然 有效 ， 现在 $ 25 .,更新  :  依然 有效 ， 现在 $ 25 .
170,amazon 上 买 的 新 书 ， 除了 用 铅笔 划 过 几 条 线 以外 就 跟 新 的 一样  。,亚马逊 上 买 的 新 书 ， 除了 用 铅笔 划 过 几 条 线 以外 就 跟 新 的 一样  。
171,dell st 201020-inch 16:9 aspect ratio flat panel monitor + 音响 $40,戴尔 2010 款 20 英寸 16:9 平板 显示器 + 音响 $40
172,平时 用 的 很 仔细 ， condition 很好  。,平时 用 的 很 仔细 ， 状态 很 好  。
173,感兴趣 的 请 email 至 em@9,感兴趣 的 请 发电子 邮件 至 em@9
174,hello ， 大家 好,嘿 ， 大家 好
175,轻薄 便捷 ， usb 连接,轻薄 便捷 ， 通用 串行 总线 连接
176,电磁场 与 电磁波 david k .,电磁场 与 电磁波 大卫 k .
177,动态 系统 的 数字 控制 gene f .,动态 系统 的 数字 控制 基因 f .
178,仍然 available  :,仍然 有效  :
179,坐标 craig 上 的 cvs 附近,坐标 克列戈 街 上 的 cvs （ 超市名 ） 附近
180,选择 standard shipping 即 可 免 运费  。,选择 标准 运送 即 可 免 运费  。
181,因 太太 准备 开车 ， 不 习惯 开 suv ， 所以 正在 购买 新车 中  。,因 太太 准备 开车 ， 不 习惯 开 城市 功能 越野车 ， 所以 正在 购买 新车 中  。
182,成色 不错 啊 ， 是 clean title 吗,成色 不错 啊 ， 是 干净 标题 吗
183,一 个 是 独立 房 ， 一 个 是 condo .,一 个 是 独立 房 ， 一 个 是 公寓 .
184,utility  :  自理 （ 约 70-100 / 月 ）,水电气  :  自理 （ 约 70-100 / 月 ）
185,个人 平时 比较 宅 ， 不 开 party  。,个人 平时 比较 宅 ， 不 开 聚会 。
186,有意 请 email 至 em@10,有意 请 发电子 邮件 至 em@10
187,啊 不 好意思 我 已经 update 了 联系 方式 了,啊 不 好意思 我 已经 更新 了 联系 方式 了
188,现在 还 available,现在 还 有效
189,south oakland 独立 一 室 一 厅 公寓 出租 ！,南 奥克兰 独立 一 室 一 厅 公寓 出租 ！
190,该 公寓 是 匹兹堡 最 火 的 公寓 ， 口碑 物业 meyers 旗下 最 受 中国 学生 欢迎 的 公寓 ， 性价比 高  。,该 公寓 是 匹兹堡 最 火 的 公寓 ， 口碑 物业 迈耶斯 旗下 最 受 中国 学生 欢迎 的 公寓 ， 性价比 高  。
191,） 公寓 情况  ：  mozart 是 匹兹堡 的 大 物业 ， arlington 是 mozart 的 物业 总部 ， 物业 维修 都 很 方便  。,） 公寓 情况  ： 莫扎特 是 匹兹堡 的 大 物业 ， 艾林顿 是 莫扎特 的 物业 总部 ， 物业 维修 都 很 方便  。
192,精装 修  、  家具 全  、  free 无线 上网 !,精装 修  、  家具 全  、 免费 无线 上网 !
193,oakland 的 干净 精致 好 房 您 不 能 错过 ！,奥克兰 的 干净 精致 好 房 您 不 能 错过 ！
194,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !
195,地点  ：  central oakland,地点  ：  中 奥克兰
196,环境  ：  住宅 街区 ， street parking  。,环境  ：  住宅 街区 ， 提供 路边 停车  。
197,房型  ：  house,房型  ：  大 独 栋 住宅
198,欢迎 email 咨询,欢迎 电子 邮件 咨询
199,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .
200,本人  ：  男 ， 第二 年 pitt phd  。,本人  ：  男 ， 第二 年 匹兹堡 大学 博士 。
201,house 一 楼 是 餐厅 客厅 和 厨房 二 楼 是 三 个 房间 share 卫生间  。,住宅 一 楼 是 餐厅 客厅 和 厨房 二 楼 是 三 个 房间 共 享 卫生间  。
202,四 个 房间 租金 分别 为 390，420，460，490 usd / 月  。,四 个 房间 租金 分别 为 390，420，460，490 美 刀 / 月  。
203,四 个 房间 租金 分别 为 390，420，460，490 usd / 月  。,四 个 房间 租金 分别 为 390，420，460，490 美 刀 / 月  。
204,位置  ：  north oakland/shadyside,位置  ：  北 奥克兰 / 沙迪
205,有 pet 可以 商量,有 宠物 可以 商量
206,欢迎 email 联系 咨询  。,欢迎 电子 邮件 联系 咨询  。
207,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 谷歌 云 盘 的 链接 观看 照片 ， 谢谢 ！
208,有 pet 可以 商量,有 宠物 可以 商量
209,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .
210,如果 感 兴趣 ， 请 通过 email 联系 em@11,如果 感 兴趣 ， 请 通过 电子 邮件 联系 em@11
211,house 共 两 个 卧室 ， 一 个 阁楼  。,住宅 共 两 个 卧室 ， 一 个 阁楼  。
212,阁楼 有 一 个 living room 和 一 个 bedroom  。,阁楼 有 一 个 客厅 和 一 个 卧室  。
213,house 厨房 ， 厕所 宽敞 明亮  。,住宅 厨房 ， 厕所 宽敞 明亮  。
214,本人 男 ， 今年 去 pitt 读 master ， 8 .,本人 男 ， 今年 去 匹兹堡 大学 读 硕士 ， 8 .
215,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交 到 中国 超市 ， 餐馆 和 市区 .
216,要求  ：  security deposit ， 爱 干净,要求  ： 保证金 ， 爱 干净
217,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle,小区 居民 是 学生 和 年轻 学者 ， 学校 的 摆渡 车
218,联系 电话  :  pn-7 ， email  :  em@12,联系 电话  :  pn-7 ， 电子 邮件  :  em@12
219,这时 living room 的 图片 ， 比 卧室 要 大  。,这时 客厅 的 图片 ， 比 卧室 要 大  。
220,house 共 两 个 卧室 ， 一 个 阁楼  。,住宅 共 两 个 卧室 ， 一 个 阁楼  。
221,house 厨房 ， 厕所 宽敞 明亮  。,住宅 厨房 ， 厕所 宽敞 明亮  。
222,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；
223,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,二 楼 是 三 间 卧室 和 一 个 完全 的 卫生间 ；
224,长 租 all gone ！,长 租 全 没 了 ！
225,room a$600  (  双 人大 床 ） 已 租 ！,房间 a$600  (  双 人大 床 ） 已 租 ！
226,价格  ：  $400 / 月  (  包 所有 utilities 费用  )   。,价格  ：  $400 / 月  (  包 所有 水电气 费用  )   。
227,update  :  房间 皆 已 出租,更新  :  房间 皆 已 出租
228,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !
229,精装 修  、  家具 全  、  free 无线 上网 !,精装 修  、  家具 全  、 免费 无线 上网 !
230,oakland 的 干净 精致 好 房 您 不 能 错过 ！,奥克兰 的 干净 精致 好 房 您 不 能 错过 ！
231,附近 有 cvs 等 超市  。,附近 有 cvs ( 超市名 )  等 超市  。
232,可以 直接 签 lease ， 无 押金 ， 需要 预付 第一 个 月 房租  。,可以 直接 签 合同 ， 无 押金 ， 需要 预付 第一 个 月 房租  。
233,utility  :  自理 （ 约 60-100 / 月 ）,水电气  :  自理 （ 约 60-100 / 月 ）
234,要求 爱 干净 ， 没有 不良 习惯 ， 喜欢 孩子 ， 女生 优先 ， christian 优先  。,要求 爱 干净 ， 没有 不良 习惯 ， 喜欢 孩子 ， 女生 优先 ， 基督教徒 优先  。
235,房子 介绍  ：  两 室 两 厅 ， 一 个 full bathroom ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住  。,房子 介绍  ：  两 室 两 厅 ， 一 个 完整 浴室 ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住  。
236,房子 介绍  ：  两 室 两 厅 ， 一 个 full bathroom ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住  。,房子 介绍  ：  两 室 两 厅 ， 一 个 完整 浴室 ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住  。
237,出门 走 一 分钟 不到 就 有 81-83 bus  。,出门 走 一 分钟 不到 就 有 81 - 83 公交  。
238,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决  。,负责 租赁 的 办公室 就 在 大厅 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决  。
239,② 离 各 大 超市 近 （ giant eagle ；,② 离 各 大 超市 近 （ 大 老鹰 ；
240,② 离 各 大 超市 近 （ giant eagle ；,② 离 各 大 超市 近 （ 大 老鹰 ；
241,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；
