NewSentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
1558,html 有 清晰 图片 谢谢,短讯 有 清晰 图片 谢谢,[],[0],[0],,
1576,full size 床,大号 床,[],[0_1],[0],,
1591,都 没有 了 up up up up,都 没有 了 顶顶顶,[],[3_4_5_6],[3],,
1634,黑色 限量 版 fuji absolute 3 .,黑色 限量 版 版型 名称,[],[3_4_5_6],[3_4],[6],
1644,html 照片 链接 ding ding,短讯 照片 链接 顶,[],[0_3_4],[0_3],,
1647,谢谢 up up,谢谢顶,[],[1_2],[0],,
1672,tp-link 路由器 and motorola,路由器 and motorola,[and_motorola],[0_2_3],[1_2],,
1678,queen size 用 了 半 年 多,较大号 床 了 半 年 多,[],[0_1],[0_1],,
1680,图片 见 google doc 宜家 切 丝 工具,图片 见 谷歌 文档 宜家 切 丝 工具,[],[2_3],[2_3],,
1690,具体 信息 见 google doc .,具体 信息 见 谷歌 文档,[],[3_4_5],[3_4],[5],
1691,转 king edward 洗衣 卡 一张,转皇 爱德华 洗衣 卡 一张,[],[1_2],[0_1],,
1698,我 是 second owner  。,我 是 二 任 主人,[],[2_3_4],[2_3_4],[4],
1712,sp = sharing up 顶 友情 帮 顶,春季 顶 友情 帮 顶,[],[0_1_2_3],[0],[1],
1716,所以 在 那天 才 能 pick up .,所以 在 那天 才 能 领取,[],[5_6_7],[5],[7],
1755,我 是 cee fall 的 学生,我 是 计算机 工程 秋季 的 学生,[],[2_3],[2_3_4],,
1757,已 删除 up up,已 删除 顶顶,[],[2_3],[2],,
1767,家 住 squirrel hill .,家 住 松鼠山,[],[2_3_4],[2],[4],
1781,赠送 一 本 pittsburgh 介绍,赠送 一 本 匹兹堡 介绍,[],[3],[3],,
1806,在 squirrel hill .,在 松鼠山,[],[1_2_3],[1],[3],
1826,有 一 个 box spring 你 要 吗 送给 你 up up !,有 一 个 床垫 你 要 吗 送给 你 顶,[],[3_4_10_11_12],[3_9],[12],
1854,thanks 哎哟 不错 哦,感谢 哎哟 不错 哦,[],[0],[0],,
,,,,,,,
,,,,,,,
2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静  。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静  。,[],[0_1_2],[0_1_2],[2_5_10_11_16_27_33],[2_5_10_11_16_27_33]
68,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你  。,性格 非常 好 好 相处 ， 绝对 不 会 打扰 你  。,[],[2],[2],[5_11],[5_11]
245,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 apartment 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置  。,松鼠 山 公寓 很少 ， 所以 我 的 房子 既 能 享受 公寓 的 物业 ， 又 能 享受 松鼠 山 的 优越 位置  。,[],[12],[12],[4_15_24],[4_15_24]
305,安全 环境 好 ， 物业 超 nice  。,安全 环境 好 ， 物业 超 好 。,[],[6_7],[6_7],[3_7],[3_7]
351,客厅 和 厨房 大家 共用 ， 卫生间 两 个 女生 share 一 个 ， 两 个 男生 share 另 一 个  。,客厅 和 厨房 大家 共用 ， 卫生间 两 个 女生 共用 一 个 ， 两 个 男生 共用 另 一 个  。,[],[10_17],[10_17],[5_13_21],[5_13_21]
527,卧室  ：  出租 卧室 ， 有 一 女生 住 客厅 ， 人 极 nice ， 非常 好 相处  。,卧室  ：  出租 卧室 ， 有 一 女生 住 客厅 ， 人 极 好 ， 非常 好 相处  。,[],[13_14],[13_14],[1_4_10_14_18],[1_4_10_14_18]
550,squirrel hill 松鼠 山 好 房 出租 ！,松鼠 山 松鼠 山 好 房 出租 ！,[],[0_1],[0_1],[7],[7]
647,房子 是 三 层 的 house ， 一 层 客厅 ， 厨房 和 餐厅  。,房子 是 三 层 的 房子 ， 一 层 客厅 ， 厨房 和 餐厅  。,[],[5_6],[5_6],[6_10_14],[6_10_14]
669,好 房 出租 （ house for rent .,好 房 出租 （ 房子 供 出租 。,[],[4_5_6_7],[4_5_6_7],[3_7],[3_7]
696,治安 很 好 ， 不用 担心 安全 问题 ， 邻居 都 很 nice  。,治安 很 好 ， 不用 担心 安全 问题 ， 邻居 都 很 好 。,[],[12_13],[12_13],[3_8_13],[3_8_13]
719,整个 房子 是 house 中 的 二 楼  。,整个 房子 是 房子 中 的 二 楼  。,[],[3],[3],[8],[8]
738,房子  ：  独立 house ， 二 层 的 一 间 卧室  。,房子  ：  独立 房子 ， 二 层 的 一 间 卧室  。,[],[3_4],[3_4],[1_4_11],[1_4_11]
763,房子 介绍  ：  house 在 松鼠 山上 ， 要 出租 的 客厅 位于 第一 层 （ house 一共 有 两 层 和 地下室 ）  。,房子 介绍  ：  房子 在 松鼠 山上 ， 要 出租 的 客厅 位于 第一 层 （ 房子 一共 有 两 层 和 地下室 ）  。,[],[3_16],[3_16],[2_7_15_23_24],[2_7_15_23_24]
862,匹兹堡 独 栋 house 两 间 卧室 出租  。,匹兹堡 独 栋 房子 两 间 卧室 出租  。,[],[3],[3],[8],[8]
909,房子  ：  是 一 个 house  。,房子  ：  是 一 个 房子  。,[],[5_6],[5_6],[1_6],[1_6]
964,客厅 和 卧室 都 非常 大 ， nicely-furnished ， everything is included !,客厅 和 卧室 都 非常 大 ， 精装 ， 一切 都 包 ！,[],[7_8_9_10_11_12],[7_8_9_10_11_12],[6_8_12],[6_8_12]
974,主 卧室  (  bedroom  )  含 独立 卫生间  ：  5/15-6/30,主 卧室  (  卧室  )  含 独立 卫生间  ：  5/15-6/30,[],[3_4],[3_4],[2_4_8],[2_4_8]
987,客厅 面积 相当 大 ， 摆 完 桌子 书架 柜子 依然 绰绰有余 ， 适合 聚会 开 party  。,客厅 面积 相当 大 ， 摆 完 桌子 书架 柜子 依然 绰绰有余 ， 适合 聚会 开 派对  。,[],[16_17],[16_17],[4_12_17],[4_12_17]
1094,房屋 信息  ：  整 栋 房子 是 个 三 层 的 house ， 进去 以后 每 家 独立  。,房屋 信息  ：  整 栋 房子 是 个 三 层 的 房子 ， 进去 以后 每 家 独立  。,[],[11_12],[11_12],[2_12_18],[2_12_18]
1280,如果 你 希望 有 更 大 的 空间 ， 可以 把 东西 放 在 living room 里面 ， 我 肯定 不 会 侵占 客厅 空间 ， 也 不 会 对 你 的 物品 做 什么  。,如果 你 希望 有 更 大 的 空间 ， 可以 把 东西 放 在 客厅 里面 ， 我 肯定 不 会 侵占 客厅 空间 ， 也 不 会 对 你 的 物品 做 什么  。,[],[14_15],[14],[8_17_25_35],[8_16_24_34]
1346,房子 信息  ：  是 一 个 house ， 共 三 层 ， 一 层 是 客厅 ， 厨房  。,房子 信息  ：  是 一 个 房子 ， 共 三 层 ， 一 层 是 客厅 ， 厨房  。,[],[6_7],[6_7],[2_7_11_16_18],[2_7_11_16_18]
1548,moving sale 大 甩卖 ！,搬家 甩卖 大 甩卖 ！,[],[0_1],[0_1],[4],[4]
1605,sold 还 卖 吗 ？,销售 还 卖 吗 ？,[],[0],[0],[4],[4]
1676,车主 是 第二 个 owner ， 是 个 妹子 ， 极其 爱惜 车  。,车主 是 第二 个 车主 ， 是 个 妹子 ， 极其 爱惜 车  。,[],[4_5],[4_5],[5_9_13],[5_9_13]
1701,无 任何 大 事故 ， clean title ， 定期 保养 ， 车况 良好  。,无 任何 大 事故 ， 无 事故 ， 定期 保养 ， 车况 良好  。,[],[5_6_7],[5_6_7],[4_7_10_13],[4_7_10_13]
1770,tel  ：  pn-44 ， 发 短信 打 电话 均可,电话  ：  pn-44 ， 发 短信 打 电话 均可,[],[0_1_2_3],[0_1_2_3],[1_2_3],[1_2_3]
1830,已 专业 清洗 ， 干净 整洁 ， size 相当 大 ， 大小 见 图片  。,已 专业 清洗 ， 干净 整洁 ， 大小 相当 大 ， 大小 见 图片  。,[],[7],[7],[3_6_10_14],[3_6_10_14]
1908,cpc 是 由 微软 举办 的 ， 由 美加 高校 学生 参加 的 智力 解密 大赛  。,校园 解密 挑战 是 由 微软 举办 的 ， 由 美加 高校 学生 参加 的 智力 解密 大赛  。,[],[0],[0_1_2],[6_16],[8_18]
0,比邻 各 大 超市 （ giant eagle ；,比邻 各 大 超市 （ 如 巨鹰 超市 ；,[],[5_6_7],[5_6_7],[4_7],[4_7]
1,房间  ：  房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,房间  ：  房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 标准 双人床 和 一 个 气垫 床 ；,[],[25_26],[25_26],[1_9_15_18_21_34],[1_9_15_18_21_32]
3,今天 安排 看 房 ， 欢迎 联系 ～ up up ， 可以 约 看 房  。,今天 安排 看 房 ， 欢迎 联系 ～ 抓紧 机会 ， 可以 约 看 房  。,[],[8_9_10],[8_9_10],[4_7_10_15],[4_7_10_15]
4,lease 从 八月 开始 ， 具体 日期 可以 商量  。,租约 从 八月 开始 ， 具体 日期 可以 商量  。,[],[0],[0],[4_9],[4_9]
5,house 一共 有 两 层 + 地下室  。,房子 一共 有 两 层 + 地下室  。,[],[0],[0],[5_7],[5_7]
6,一共 有 两 个 可以 洗澡 的 bathroom  。,一共 有 两 个 可以 洗澡 的 浴室 。,[],[7_8],[7_8],[8],[8]
7,） 还有 green pepper ！,还有 青椒 ！,[],[0_2_3_4],[1_2],[0_4],[2]
8,直达 waterfront （ 匹兹堡 逛街 好 去处 ， macy ’ s 和 amc 电影院 都 在 那里 ）  。,直达 滨 水区 （ 匹兹堡 逛街 好 去处 ， 梅 西 百货 和 amc 电影院 都 在 那里 ）  。,[amc],[1_2_8_9_10_12],[1_2_3_9_10_11_13],[2_7_9_17_18],[3_8_18_19]
9,整个 house 家具 齐全  。,整个 房子 家具 齐全 。,[],[1],[1],[4],[4]
10,后院  ：  deck  。,后院 ： 露天 阳台,[],[2_3],[2_3],[1_3],[1]
11,可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,可以 从 地下室 直接 走 出去 的 ， 所以 叫 半地下室 。,[],[10_11_12_13],[10_11],[7_13],[7_11]
12,html 可以 email  :  em@0,网页 可以 发送 至 邮箱 :  em@0,[],[0_2_3_4],[0_2_3_4_5_6],[3_4],[5_6]
13,空调 有 window ac 和 暖气  。,空调 有 窗口 式 冷气机 和 暖气  。,[],[2_3],[2_3_4],[6],[7]
14,入住 时间 flexible ， 可 长期 入住  。,入住 时间 灵活 ， 可 长期 入住,[],[2_3],[2_3],[3_7],[3]
15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己  。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己  。,[],[5_6],[5_6_7],[3_6_9_11_12_13_19],[3_7_10_12_13_14_20]
16,二 楼 是 三 间 卧室 和 一 个 full 卫生间  。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间  。,[],[9],[9_10_11],[11],[13]
17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况  。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况  。,[],[5],[5],[3_11],[3_11]
18,半山 独 栋 别墅 ， 自 带 车库 和 driveway  。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,[],[9_10],[9_10_11],[4_10],[4_11]
19,一 楼 有 half bath  。,一 楼 有 盥洗室 。,[],[3_4_5],[3_4],[5],[4]
20,folk library 旁边  。,民间 图书馆 旁边 。,[],[0_1],[0_1],[3],[3]
21,有 兴趣 联系 email  :  em@1,有 兴趣 请 联系 邮箱  :  em@1,[],[3_4_5],[2_4_5_6],[4_5],[5_6]
22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !,[],[4],[4],[7],[7]
23,oakland 的 干净 精致 好 房 您 不 能 错过 ！,奥克兰 的 干净 精致 好 房 您 不 能 错过 ！,[],[0],[0],[10],[10]
24,停车  ：  we offer free outdoor/off-street parking ， $ 20/month reserved outdoor parking ， or$55/month reserved garage parking .,停车 ： 我们 提供 免费 室外 / 路外 停车场 ， 20 美元 每 月 的 预留 室外 停车位 和 55 美元 每 月 的 预留 车库 。,[],[2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18],[2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26],[1_7_8_13_18],[1_6_9_26]
25,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[0_9_10],[0_9_10],[0_4_10_15],[0_4_10_15]
26,） 房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,） 房东 非常 无敌 好 还 会 帮忙 丢 垃圾 ！,[],[0_4],[0_4],[0_10],[0_10]
27,二 楼 是 三 间 卧室 和 一 个 full 卫生间  。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间  。,[],[9],[9_10_11],[11],[13]
29,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交车 到 中国 超市 ， 餐馆 和 市中心 .,[],[2_9_10],[2_9_10],[6_10],[6_10]
30,户型  ：  一 楼 是 超大 living room ， dining room 及 厨房 ；,户型  ：  一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,[],[6_7_8_9_10],[6_7_8],[1_8_13],[1_7_11]
31,长 租 all gone ！,长 租 已 全部 租满 。,[],[2_3_4],[2_3_4_5],[4],[5]
32,room a$600  (  双 人大 床 ） 已 租 ！,含 双 人大 床 房 的 房间 已 租 。,[],[0_1_2],[0_4_5_6],[2_6_9],[9]
33,暑期 短 租 还 available 哦  。,暑期 短 租 仍 可 预订 。,[],[4],[3_4_5_6],[6],[6]
34,有 车库 ， drive way parking 和 street parking  。,有 车库 ， 私人 车道 和 路边 停车道 。,[],[3_4_5_7_8_9],[3_4_6_7_8],[2_9],[2_8]
35,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住  。,有 宠物 可以 商量 ， 正规 物业 管理 ， 宾夕法尼亚州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住  。,[],[1_8],[1_9],[7_13_17_20],[4_8_14_18_21]
36,欢迎 email 联系 咨询  。,欢迎 发 邮件 联系 咨询 。,[],[1],[1_2],[4],[5]
37,# NAME ?,#NAME?,[],[0_1_2],[0],[0_2],[0]
38,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 google drive 的 link 观看 照片 ， 谢谢 ！,(  由于 可 接受 的 附件 大 小 太 小 放 不 下 我 的 照片 ， 请 点击 以下 谷歌 云 盘 的 链接 观看 照片 ， 谢谢 ！,[],[0_20_21_23],[0_20_21_22_24],[0_16_26_28],[0_16_27_29]
39,公寓 位置 方便 ， 在 market district 超市 附近  。,公寓 位置 方便 ， 在 市场 区 超市 附近  。,[],[5_6],[5_6],[3_9],[3_9]
40,oakland 有 一 栋 三 层 楼 六 个 卧室  (,oakland 有 一 栋 三 层 楼 六 个 卧室  (,[oakland],[0],[0],[10],[10]
41,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很 频繁  。,小区 居民 是 学生 和 年轻 学者 ， 学校 的 班车 从 门前 经过 ， 而且 很 频繁  。,[],[10],[10],[7_14_18],[7_14_18]
42,联系 电话  :  pn-0 ， email  :  em@3,联系 电话  :  pn-0 ， 电子 邮箱 :  em@3,[],[5_6_7],[5_6_7_8],[2_3_4_6_7],[2_3_4_7_8]
43,squirrel hill 好 房 短 租 ， 租 的 时间 越 长 越好  。,松鼠丘 好 房 短 租 ， 租 的 时间 越 长 越好  。,[],[0_1],[0],[6_13],[5_12]
44,周边  ：  步行 五 分钟 到 giant eagle ， 十 分钟 到 熊猫 超市 和 rite aid 药店  。,周边  ：  步行 五 分钟 到 巨鹰 超市 ， 十 分钟 到 熊猫 超市 和 来 德 爱 药店  。,[],[6_7_8_15_16],[6_15_16_17],[1_8_18],[1_8_19]
45,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以  。,所有 想 寄 想 退化 的 东西 ， 直接 放在 公寓 一 楼 就 可以  。,[],[4],[4],[7_15],[7_15]
46,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !,[],[3],[3],[9],[9]
48,后院 有 私家 车库 ， beacon st .,后院 有 私家 车库 ， 灯塔 路 。,[],[5_6_7],[5_6_7],[4_7],[4_7]
49,bathroom  :  二 楼 和 地下室 各 有 一 个 卫生间,浴室 :  二 楼 和 地下室 各 有 一 个 卫生间,[],[0_1],[0_1],[1],[1]
50,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品  。,走路 一 分钟 有 一 家 cvs ， 可以 买 日用品 和 药品  。,[cvs],[6_7],[6_7],[7_13],[7_13]
51,想 租 的 同学 可以 看看 论坛 里 其他 发 sherwood 的 照片 up up up !,想 租 的 同学 可以 看看 论坛 里 其他 发 谢尔 伍德 的 照片 ， 顶 ！,[],[10_13_14_15_16],[10_11_15_16],[16],[14_16]
52,最后 up 一次 ～ up,最后 顶 一 次 ~ 顶 ！,[],[1_4],[1_2_3_4_5_6],[3],[4_6]
53,适合 couple 或 单身 居住  。,适合 情侣 或 单身 居住  。,[],[1],[1],[5],[5]
54,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用  。,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， 单人 床 都 可以 用  。,[],[16_17],[16],[7_15_22],[7_15_21]
55,坡度 大 ， 不 适合 自行车 骑 行 联系 方式  ：  房东 steve 邮箱  ：  em@4,坡度 大 ， 不 适合 自行车 骑 行 联系 方式  ：  房东 史蒂夫 邮箱  ：  em@4,[],[12],[12],[2_10_14_15],[2_10_14_15]
56,有 车库 ， off street parking .,有 车库 ， 路 外 停车场,[],[3_4_5_6],[3_4_5],[2_6],[2]
57,要求  ：  no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,[],[2_3_4_5_6_7_8_9_10],[2_3_4_5_6_7_8_9_10_11_12],[1_4_7_10],[1_4_8_12]
58,html 继续 有效  。,网页 继续 有效 。,[],[0],[0],[3],[3]
60,【  吃 货 福音  】  附近 有 sichuan gourmet ， 台湾 味 ， every day noodle ， 各 种 小吃 ， 以及 中 超 panda ， giant eagle  。,【  吃 货 福音  】  附近 有 四川 美食 ， 台湾 味 ， 每 日 面食 ， 各 种 小吃 ， 以及 熊猫 中 超 ， 巨 鹰 超市 。,[],[0_7_8_9_13_14_15_16_24_25_26_27_28],[0_7_8_9_13_14_15_16_22_26_27_28_29],[0_4_9_12_16_20_25_28],[0_4_9_12_16_20_25_29]
61,# 家具 齐全  :  房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器  。,# 家具 齐全  :  房间 有 双人床 ， 步入 式 衣柜 ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器  。,[],[0_6_7_10_11_12_13],[0_6_7_8_9_10_11],[0_3_9_13_16_18_20_22_23_29],[0_3_7_11_14_16_18_20_21_27]
62,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share  。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,[],[0_5_6_8_9_10_25_26],[0_5_6_8_9_24_25],[10_16_26],[9_15_25]
