SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,Translation1,CodeSwitch2,Translation2,CodeSwitch3,Translation3,CodeSwitch4,Translation4,CodeSwitch5,Translation5,CodeSwitch6,Translation6,CodeSwitch7,Translation7,TranslatedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,AddedWordList
138,回国 出 高端 音响 beats by dr .,2,beats by,beats,,,,,,,,,,,,,回国 出 高端 音响 beats by dr.,[4_5_6],[7],[dr]
139,电话 ： 412-六五二－6177 （ 最好 message ）,2,message,短信,,,,,,,,,,,,,电话 ： 412-六五二－6177 （ 最好 短信 ）,[5],[1_3_6],
140,顶上 的 mic 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，,2,mic,麦克风,,,,,,,,,,,,,顶上 的 麦克风 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，,[2],[7_15],
141,一 个 厚 被子 ， queen size 。,2,queen size,大号的,,,,,,,,,,,,,一 个 厚 被子 ， 大号的。,[5_6],[4_7],
142,搅拌机 ， $5--- sold,2,sold,已出售,,,,,,,,,,,,,搅拌机 ， $5---已出售,[3],[1],
143,买 两 件 以上 送 phipps conservatory and botanical gardens 门票 一 张 ， 买 三 件 以上,2,phipps conservatory and botanical gardens,菲普斯温室植物园,,,,,,,,,,,,,买 两 件 以上 送 菲普斯温室植物园 门票 一 张 ， 买 三 件 以上,[5_6_7_8_9],[13],
144,wireless chiclet-style keyboard ， optical mouse ， 赠送 键盘 和 鼠标 ；,3,wireless,无线的,keyboard,键盘,optical mouse ， ,光学鼠标 ， ,,,,,,,,,无线的方块键盘 ，光学鼠标 ， 赠送 键盘 和 鼠标 ；,[0_2_4_5],[3_6_11],
145,操作 系统 ： windows 8.,2,windows,视窗,,,,,,,,,,,,,操作 系统 ： 视窗 8.,[3],[2],
146,显卡 ： integrated ;,2,integrated,集成,,,,,,,,,,,,,显卡 ：集成 ;,[2],[1_3],
147,给 自己 ding 一下 ！,2,ding,顶,,,,,,,,,,,,,给 自己 顶 一下 ！,[2],[4],
148,今天 随手 一 试 发现 code 能用 ， 真是 意外 惊喜 。,2,code,代码,,,,,,,,,,,,,今天 随手 一 试 发现代码 能用 ， 真是 意外 惊喜 。,[5],[7_11],
149,honeywell 电 风扇 ， amazon 23.,3,honeywell,哈尼维尔,amazon,亚马逊,,,,,,,,,,,哈尼维尔电 风扇 ， 亚马逊 23.,[0_4],[3],
150,毕业 甩卖 家具 （ 具体 价格 图片 见 google doc ）,2,google doc,谷歌文档,,,,,,,,,,,,,毕业 甩卖 家具 （ 具体 价格 图片 见 谷歌文档 ）,[8_9],[3_10],
151,位置 在 hobart street ， squirrel hill .,2,hobart street,霍巴特街,squirrel hill ， ,松鼠山 ， ,,,,,,,,,,,位置 在霍巴特街 ，松鼠山.,[2_3_5_6],[4_7],
