word index,word form,pos-tag,head,dep rel,frequency
13,）,PU,10,punct,
14,，,PU,5,punct,
15,请,VV,18,xcomp,1.93E-16
16,简单,AD,18,advmod,2.57E-16
17,介绍,VV,5,conj,2.96E-16
18,一下,AD,18,advmod,1.81E-16
19,自己,PN,18,dobj,2.44E-15
20,。,PU,5,punct,
,,,,,
CMU,16,,,,
0,二,OD,2,amod:ordmod,3.43E-15
1,楼,NN,13,nsubj,1.04E-16
2,是,VC,13,cop,1.98E-14
3,三,CD,6,nummod,3.17E-15
4,间,M,4,mark:clf,1.74E-15
5,卧室,NN,10,conj,3.33E-18
6,和,CC,10,cc,1.59E-14
7,一,CD,10,nummod,1.35E-14
8,个,M,8,mark:clf,4.57E-15
9,设施,NN,13,dep,2.41E-16
10,完全,JJ,13,amod,6.08E-16
11,的,DEG,11,case,1.12E-13
12,卫生间,NN,0,root,4.05E-18
13,。,PU,13,punct,
,,,,,
CMU,17,,,,
0,有,VE,3,dep,1.01E-14
1,兴趣,NN,1,dobj,1.46E-16
2,者,NN,6,nsubj,2.52E-15
3,，,PU,6,punct,
4,请,VV,6,xcomp,1.93E-16
5,发送,VV,0,root,1.59E-17
6,短信,NN,6,dobj,2.91E-18
7,介绍,VV,6,conj,2.96E-16
8,一下,AD,8,advmod,1.81E-16
9,自己,PN,11,compound:nn,2.44E-15
10,情况,NN,8,dobj,1.64E-15
11,。,PU,6,punct,
,,,,,
CMU,18,,,,
0,半山,NN,2,compound:nn,4.67E-19
1,独,NN,4,compound:nn,5.28E-17
2,栋,M,4,nummod,1.10E-18
3,别墅,NN,7,nsubj,6.74E-18
4,，,PU,7,punct,
5,自,AD,7,advmod,7.10E-16
6,带,VV,0,root,5.49E-16
7,车库,NN,11,conj,9.99E-19
8,和,CC,11,cc,1.59E-14
9,私人,JJ,11,amod,1.03E-16
10,车道,NN,7,dobj,1.61E-18
11,。,PU,7,punct,
,,,,,
CMU,19,,,,
0,一,CD,2,dep,1.35E-14
1,楼,NN,3,dep,1.04E-16
2,有,VE,0,root,1.01E-14
3,半,CD,5,dep,1.13E-16
4,浴室,NN,3,dobj,2.84E-18
5,。,PU,3,punct,
,,,,,
CMU,22,,,,
0,精装,AD,2,advmod,4.40E-19
1,修,VV,0,root,3.12E-17
2,家具,NN,2,dobj,1.16E-17
3,全,DT,8,det,1.03E-15
4,免费,JJ,7,amod,2.69E-17
5,无线,JJ,7,amod,1.20E-17
6,上网,NN,8,compound:nn,8.91E-18
7,!,NN,2,dep,
,,,,,
CMU,25,,,,
0,对比,P,3,case,6.28E-17
1,其他,DT,3,det,1.18E-15
2,地方,NN,14,nmod:prep,1.04E-15
3,，,PU,14,punct,
4,可能,AD,14,advmod,1.41E-15
5,和,P,8,case,1.59E-14
6,很多,CD,8,dep,3.62E-16
7,人,NN,14,nmod:prep,8.08E-15
8,共用,JJ,14,dep,4.01E-18
9,，,PU,14,punct,
10,并且,AD,14,advmod,3.64E-16
11,还,AD,14,advmod,2.84E-15
12,很,AD,14,advmod,2.06E-15
13,贵,VA,0,root,2.85E-17
14,！,PU,14,punct,
,,,,,
CMU,26,,,,
0,房东,NN,7,nsubj,4.22E-19
1,非常,AD,7,advmod,4.30E-16
2,无敌,AD,7,advmod,3.07E-19
3,好,AD,7,advmod,1.73E-15
4,还,AD,7,advmod,2.84E-15
5,会,VV,7,aux:modal,3.45E-15
6,帮忙,VV,0,root,1.20E-17
7,丢,VV,7,ccomp,5.74E-18
8,垃圾,NN,8,dobj,2.40E-17
9,！,PU,7,punct,
,,,,,
CMU,29,,,,
0,门口,NN,2,nsubj,7.71E-18
1,有,VE,0,root,1.01E-14
2,公交车,NN,2,dobj,
3,到,VV,2,conj,5.42E-15
4,中国,NR,10,nmod:assmod,4.33E-15
5,超市,NN,10,conj,3.83E-18
6,，,PU,10,punct,
7,餐馆,NN,10,conj,4.10E-18
8,和,CC,10,cc,1.59E-14
9,市中心,NN,4,dobj,
10,。,PU,2,punct,
,,,,,
CMU,30,,,,
0,户型,NN,11,dep,2.57E-19
1,：,PU,11,punct,
2,一,CD,11,dep,1.35E-14
3,楼,M,3,mark:clf,1.04E-16
4,是,VC,11,cop,1.98E-14
5,超大,JJ,7,amod,1.28E-18
6,客厅,NN,11,dep,6.20E-18
7,，,PU,11,punct,
8,餐厅,NN,11,conj,6.78E-18
9,及,CC,11,cc,1.61E-15
10,厨房,NN,0,root,1.60E-17
11,；,PU,11,punct,
,,,,,
CMU,31,,,,
0,长,AD,2,advmod,1.22E-15
1,租,VV,0,root,1.62E-17
2,全部,DT,4,det,3.64E-16
3,租出,NN,2,dobj,
4,！,PU,2,punct,
,,,,,
CMU,33,,,,
0,暑期,NN,2,nsubj,2.46E-18
1,短,VA,7,dep,1.18E-16
2,租,VV,5,xcomp,1.62E-17
3,还,AD,5,advmod,2.84E-15
4,有空的,VA,2,conj,
5,哦,SP,7,discourse,5.49E-18
6,。,PU,0,root,
,,,,,
CMU,35,,,,
0,有,VE,0,root,1.01E-14
1,宠物,NN,4,nsubj,1.71E-18
2,可以,VV,4,aux:modal,2.86E-15
3,商量,VV,1,ccomp,1.68E-17
4,正规,JJ,6,amod,3.27E-17
5,物业,NN,7,compound:nn,1.97E-17
6,管理,NN,4,dobj,2.55E-15
7,，,PU,1,punct,
8,宾州,NR,11,nmod:assmod,
9,法律,NN,11,compound:nn,9.49E-16
10,规定,NN,12,nsubj,1.47E-15
11,租房,VV,1,dep,2.26E-18
12,合同,NN,12,dobj,3.83E-16
13,，,PU,12,punct,
14,保护,VV,12,conj,6.36E-16
15,双方,PN,17,compound:nn,2.47E-16
16,权益,NN,15,dobj,1.06E-16
17,，,PU,12,punct,
18,安心,AD,20,advmod,6.64E-18
19,入住,VV,12,conj,7.82E-19
20,。,PU,1,punct,
,,,,,
CMU,36,,,,
0,欢迎,VV,0,root,1.39E-16
1,发,VV,1,ccomp,6.77E-16
2,邮件,NN,2,dobj,2.05E-17
3,联系,VV,1,conj,6.05E-16
4,咨询,NN,4,dobj,1.20E-16
5,。,PU,1,punct,
,,,,,
CMU,45,,,,
0,所有,DT,7,det,6.50E-16
1,想,VV,7,acl,6.31E-16
2,寄,VV,2,ccomp,1.29E-17
3,想,VV,2,conj,6.31E-16
4,退还,VV,4,ccomp,1.00E-17
5,的,DEC,2,mark,1.12E-13
6,东西,NN,10,nsubj,4.28E-16
7,，,PU,10,punct,
8,直接,AD,10,advmod,7.02E-16
9,放在,VV,0,root,4.44E-20
10,公寓,NN,13,compound:nn,1.10E-17
11,一,CD,13,dep,1.35E-14
12,楼,NN,10,dobj,1.04E-16
13,就,AD,15,advmod,3.73E-15
14,可以,VV,10,conj,2.86E-15
15,。,PU,10,punct,
,,,,,
CMU,46,,,,
0,免费,AD,2,advmod,2.69E-17
1,送,VV,8,acl,9.48E-17
2,顶楼,NN,4,compound:nn,4.63E-19
3,景观,NN,6,conj,2.01E-17
4,和,CC,6,cc,1.59E-14
5,顶楼,NN,2,dobj,4.63E-19
6,的,DEC,2,mark,1.12E-13
7,阳光,NN,9,nsubj,3.51E-17
8,普照,VV,0,root,2.36E-19
9,!,NN,9,dobj,
,,,,,
CMU,49,,,,
0,浴室,NN,8,nmod:topic,2.84E-18
1,:,PU,8,punct,
2,二,OD,4,amod:ordmod,3.43E-15
3,楼,NN,6,conj,1.04E-16
4,和,CC,6,cc,1.59E-14
5,地下室,NN,8,nsubj,2.70E-18
6,各,AD,8,advmod,2.64E-15
7,有,VE,0,root,1.01E-14
8,一,CD,11,nummod,1.35E-14
9,个,M,9,mark:clf,4.57E-15
10,卫生间,NN,8,dobj,4.05E-18
,,,,,
CMU,53,,,,
0,适合,VV,0,root,8.67E-17
1,情侣,NN,5,conj,1.23E-18
2,或,CC,5,cc,1.79E-15
3,单身,JJ,5,amod,3.03E-18
4,居住,NN,1,dobj,1.22E-16
5,。,PU,1,punct,
,,,,,
CMU,54,,,,
0,暑假,NN,15,nmod:topic,8.29E-18
1,短,JJ,5,amod,1.18E-16
2,租,VV,5,acl,1.62E-17
3,的,DEC,3,mark,1.12E-13
4,同学,NN,15,nsubj,3.67E-17
5,看,VV,15,dep,2.07E-15
6,过来,VV,6,dep,5.18E-17
7,～,PU,6,punct,
8,家具,NN,6,dobj,1.16E-17
9,全,AD,15,advmod,1.03E-15
10,齐,AD,15,advmod,2.41E-17
11,入住,VV,15,xcomp,7.82E-19
12,即,AD,15,advmod,7.95E-16
13,可,VV,15,aux:modal,1.43E-15
14,用,VV,0,root,1.48E-15
15,，,PU,15,punct,
16,单人,NN,18,compound:nn,
17,床,NN,21,nsubj,1.33E-17
18,都,AD,21,advmod,3.54E-15
19,可以,VV,21,aux:modal,2.86E-15
20,用,VV,15,conj,1.48E-15
21,。,PU,15,punct,
,,,,,
CMU,56,,,,
0,有,VE,0,root,1.01E-14
1,车库,NN,1,dobj,9.99E-19
2,，,PU,1,punct,
3,路,NN,6,compound:nn,2.46E-16
4,外,NN,6,compound:nn,1.07E-15
5,停车场,NN,1,dep,4.11E-20
6,。,PU,1,punct,
,,,,,
CMU,57,,,,
0,要求,VV,0,root,1.36E-15
1,：,PU,1,punct,
2,禁止,VV,1,ccomp,9.11E-17
3,吸烟,VV,3,ccomp,1.81E-20
4,，,PU,1,punct,
5,禁止,VV,1,conj,9.11E-17
6,宠物,NN,6,dobj,1.71E-18
7,入内,VV,6,ccomp,
8,，,PU,1,punct,
9,禁止,VV,1,conj,9.11E-17
10,举办,VV,10,ccomp,1.47E-16
11,派对,NN,11,dobj,1.73E-18
12,。,PU,1,punct,
,,,,,
CMU,61,,,,
0,#,NN,2,compound:nn,
1,家具,NN,3,nsubj,1.16E-17
2,齐全,VA,0,root,2.54E-17
3,:,PU,3,punct,
4,房间,NN,6,nsubj,3.80E-17
5,有,VE,3,conj,1.01E-14
6,双人床,NN,6,dobj,
7,，,PU,6,punct,
8,步入,VV,6,conj,1.08E-20
9,式,NN,11,compound:nn,3.55E-16
10,衣柜,NN,9,dobj,4.72E-19
11,，,PU,6,punct,
12,挂,VV,6,conj,1.35E-17
13,衣架,NN,13,dobj,3.08E-19
14,，,PU,6,punct,
15,书桌,VV,6,conj,9.78E-19
16,，,PU,6,punct,
17,台灯,VV,6,conj,6.36E-20
18,，,PU,3,punct,
19,转椅,NN,26,nsubj,5.62E-20
20,，,PU,20,punct,
21,（,PU,20,parataxis:prnmod,
22,还,AD,26,advmod,2.84E-15
23,可,VV,26,aux:modal,1.43E-15
24,低价,AD,26,advmod,1.35E-20
25,出,VV,3,conj,2.20E-15
26,显示器,NN,26,dobj,3.27E-18
27,。,PU,3,punct,
,,,,,
CMU,62,,,,
0,房子,NN,2,compound:nn,5.70E-17
1,里面,NN,3,dep,4.91E-17
2,有,VE,0,root,1.01E-14
3,一,CD,9,nummod,1.35E-14
4,个,M,4,mark:clf,4.57E-15
5,公共,JJ,9,amod,2.73E-16
6,厨房,NN,9,conj,1.60E-17
7,和,CC,9,cc,1.59E-14
8,餐厅,NN,3,dobj,6.78E-18
9,，,PU,3,punct,
10,烤箱,NN,13,compound:nn,1.42E-20
11,微波炉,NN,13,compound:nn,3.92E-19
12,洗衣机,NN,15,nsubj,9.63E-18
13,都,AD,15,advmod,3.54E-15
14,有,VE,3,conj,1.01E-14
15,，,PU,3,punct,
16,餐具,NN,19,nsubj,2.47E-19
17,也,AD,19,advmod,5.45E-15
18,可以,VV,3,conj,2.86E-15
19,和,P,24,case,1.59E-14
20,家,NN,24,dep,1.29E-15
21,里,LC,21,case,1.06E-15
22,其他,DT,24,det,1.18E-15
23,人,NN,19,nmod:prep,8.08E-15
24,共用,JJ,24,dep,4.01E-18
25,。,PU,3,punct,
,,,,,
CMU,63,,,,
0,【,PU,5,punct,
1,其他,DT,4,det,1.18E-15
2,】,PU,4,dep,
3,包,NN,5,nsubj,7.36E-17
4,物业费,VA,0,root,
5,，,PU,5,punct,
6,价格,NN,9,conj,6.70E-16
7,和,CC,9,cc,1.59E-14
8,时间,NN,11,nsubj,9.88E-16
9,可,VV,11,aux:modal,1.43E-15
10,议,VV,5,conj,1.26E-16
11,。,PU,5,punct,
,,,,,
CMU,64,,,,
0,一,CD,3,dep,1.35E-14
1,层,M,1,mark:clf,1.86E-16
2,有,VE,0,root,1.01E-14
3,门卫,NN,5,nsubj,3.06E-19
4,帮忙,VV,16,acl,1.20E-17
5,开门,NN,9,conj,2.40E-18
6,和,CC,9,cc,1.59E-14
7,收发,NN,9,compound:nn,2.25E-18
8,快递,NN,5,dobj,2.01E-18
9,，,PU,5,punct,
10,不用,AD,12,advmod,5.89E-17
11,担心,VV,5,conj,6.17E-17
12,快递,NN,14,nsubj,2.01E-18
13,丢失,VV,12,ccomp,1.30E-17
14,等,ETC,5,dep,2.53E-15
15,问题,NN,3,dobj,3.24E-15
16,；,PU,3,punct,
,,,,,
CMU,67,,,,
0,八月,NT,4,advmod:loc,2.42E-19
1,开始,LC,1,case,1.01E-15
2,可,VV,4,aux:modal,1.43E-15
3,签,VV,0,root,1.89E-17
4,一,CD,7,nummod,1.35E-14
5,年,M,5,mark:clf,1.38E-14
6,租约,NN,4,dobj,8.76E-19
7,。,PU,4,punct,
,,,,,
CMU,68,,,,
0,性格,NN,5,compound:nn,6.45E-17
1,非常,AD,3,advmod,4.30E-16
2,好,JJ,5,amod,1.73E-15
3,好,JJ,5,amod,1.73E-15
4,相处,NN,10,nsubj,1.25E-17
5,，,PU,10,punct,
6,绝对,AD,10,advmod,1.63E-16
7,不,AD,10,neg,8.49E-15
8,会,VV,10,aux:modal,3.45E-15
9,打扰,VV,0,root,2.67E-18
10,你,PN,10,ccomp,1.63E-15
11,。,PU,10,punct,
,,,,,
CMU,69,,,,
0,［,PU,2,punct,
1,治安,NN,6,dep,5.37E-17
2,］,PU,2,punct,
3,附近,NN,5,compound:nn,9.39E-17
4,治安,NN,6,nsubj,5.37E-17
5,好,VA,0,root,1.73E-15
6,，,PU,6,punct,
7,公寓,NN,9,dep,1.10E-17
8,有,VE,6,conj,1.01E-14
9,门卫,NN,9,dobj,3.06E-19
10,，,PU,6,punct,
11,收发,NN,13,compound:nn,2.25E-18
12,快递,NN,15,nsubj,2.01E-18
13,也,AD,15,advmod,5.45E-15
14,方便,VA,6,conj,8.60E-17
15,。,PU,6,punct,
,,,,,
CMU,76,,,,
0,一,CD,4,nummod,1.35E-14
1,次,M,1,mark:clf,1.38E-15
2,露天,JJ,4,amod,2.37E-18
3,购物,NN,5,dep,1.34E-17
4,经历,NN,0,root,1.87E-16
5,。,PU,5,punct,
,,,,,
CMU,79,,,,
0,（,PU,15,punct,
1,对比,P,4,case,6.28E-17
2,其他,DT,4,det,1.18E-15
3,地方,NN,15,nmod:prep,1.04E-15
4,，,PU,15,punct,
5,可能,AD,15,advmod,1.41E-15
6,和,P,9,case,1.59E-14
7,很多,CD,9,dep,3.62E-16
8,人,NN,15,nmod:prep,8.08E-15
9,共用,JJ,15,dep,4.01E-18
10,，,PU,15,punct,
11,并且,AD,15,advmod,3.64E-16
12,还,AD,15,advmod,2.84E-15
13,很,AD,15,advmod,2.06E-15
14,贵,VA,0,root,2.85E-17
15,！,PU,15,punct,
,,,,,
CMU,83,,,,
0,附近,NN,2,compound:nn,9.39E-17
1,街区,NN,4,nsubj,3.81E-18
2,非常,AD,4,advmod,4.30E-16
3,安静,VA,0,root,1.56E-17
4,也,AD,7,advmod,5.45E-15
5,非常,AD,7,advmod,4.30E-16
6,安全,VA,4,dep,4.75E-16
7,，,PU,4,punct,
8,临近,VV,4,conj,6.57E-18
9,富人,NN,11,compound:nn,5.69E-21
10,区,NN,9,dobj,7.47E-16
11,。,PU,4,punct,
,,,,,
CMU,84,,,,
0,房子,NN,3,nsubj,5.70E-17
1,目前,NT,3,nmod:tmod,5.97E-16
2,装修,VV,0,root,4.62E-18
3,了,AS,3,aux:asp,1.80E-14
4,一半,CD,3,dep,6.70E-17
5,，,PU,3,punct,
,,,,,
CMU,85,,,,
0,房子,NN,6,nsubj,5.70E-17
1,目前,NT,6,nmod:tmod,5.97E-16
2,几乎,AD,6,advmod,2.34E-16
3,是,VC,6,cop,1.98E-14
4,完整,JJ,6,amod,1.62E-16
5,装修,NN,0,root,4.62E-18
6,，,PU,6,punct,
7,含,VV,6,conj,3.65E-17
8,电视,NN,8,dobj,2.25E-16
9,，,PU,6,punct,
10,床,NN,13,nsubj,1.33E-17
11,，,PU,13,punct,
12,书桌,VV,6,conj,9.78E-19
13,，,PU,6,punct,
14,餐厅,NN,17,compound:nn,6.78E-18
15,大,JJ,17,amod,4.04E-15
16,桌子,NN,24,nmod:topic,1.25E-17
17,，,PU,24,punct,
18,椅子,NN,24,nmod:topic,1.12E-17
19,，,PU,24,punct,
20,生活,NN,22,compound:nn,1.74E-15
21,用品,NN,24,nsubj,3.00E-17
22,基本,AD,24,advmod,1.26E-15
23,齐全,VA,6,conj,2.54E-17
24,。,PU,6,punct,
,,,,,
CMU,87,,,,
0,想,VV,0,root,6.31E-16
1,找,VV,1,ccomp,1.57E-16
2,2-Jan,CD,12,nummod,
3,间,M,3,mark:clf,1.74E-15
4,带,VV,12,acl,5.49E-16
5,家具,NN,5,dobj,1.16E-17
6,的,DEC,5,mark,1.12E-13
7,住宅,NN,12,compound:nn,8.08E-17
8,房间,NN,12,conj,3.80E-17
9,或者,CC,12,cc,6.81E-16
10,公寓,NN,12,compound:nn,1.10E-17
11,房间,NN,2,dobj,3.80E-17
12,，,PU,1,punct,
,,,,,
CMU,89,,,,
0,房间,NN,7,nsubj,3.80E-17
1,是,VC,7,cop,1.98E-14
2,一,CD,5,nummod,1.35E-14
3,套,M,3,mark:clf,1.18E-16
4,房子,NN,7,nmod:assmod,5.70E-17
5,的,DEG,5,case,1.12E-13
6,顶层,NN,0,root,1.11E-18
7,，,PU,7,punct,
8,非常,AD,10,advmod,4.30E-16
9,宽敞,VA,7,conj,1.49E-18
10,。,PU,7,punct,
,,,,,
CMU,92,,,,
0,资金,NN,2,nsubj,7.62E-16
1,灵活,VA,0,root,8.67E-17
2,。,PU,2,punct,
,,,,,
CMU,93,,,,
0,客厅,NN,9,dep,6.20E-18
1,超大,JJ,9,dep,1.28E-18
2,，,PU,9,punct,
3,步入,VV,9,dep,1.08E-20
4,式,NN,6,compound:nn,3.55E-16
5,衣柜,NN,4,dobj,4.72E-19
6,也,AD,9,advmod,5.45E-15
7,很,AD,9,advmod,2.06E-15
8,大,VA,0,root,4.04E-15
9,。,PU,9,punct,
,,,,,
CMU,95,,,,
0,如果,CS,2,advmod,1.19E-15
1,感,VV,8,dep,1.88E-16
2,兴趣,NN,2,dobj,1.46E-16
3,，,PU,8,punct,
4,请,VV,8,xcomp,1.93E-16
5,通过,P,7,case,1.48E-15
6,邮箱,NN,8,nmod:prep,1.20E-18
7,联系,VV,0,root,6.05E-16
8,em@7,CD,8,nmod:range,
,,,,,
CMU,96,,,,
0,出门,VV,2,xcomp,1.02E-17
1,走,VV,0,root,4.30E-16
2,一,CD,2,nmod:range,1.35E-14
3,分钟,M,3,mark:clf,8.38E-17
4,不到,AD,3,advmod,4.89E-20
5,就,AD,7,advmod,3.73E-15
6,有,VE,2,conj,1.01E-14
7,81,CD,10,dep,
8,-,PU,10,punct,
9,83,CD,11,dep,
10,路,NN,12,compound:nn,2.46E-16
11,公交,NN,7,dobj,5.53E-18
12,。,PU,2,punct,
,,,,,
CMU,97,,,,
0,租约,NN,2,compound:nn,8.76E-19
1,办公室,NN,10,nmod:topic,1.54E-16
2,就,AD,10,nmod:prep,3.73E-15
3,在,P,5,case,1.88E-14
4,大堂,NN,3,dep,6.07E-19
5,，,PU,10,punct,
6,员工,NN,10,nsubj,6.26E-17
7,也,AD,10,advmod,5.45E-15
8,非常,AD,10,advmod,4.30E-16
9,好,VA,0,root,1.73E-15
10,，,PU,10,punct,
11,有,VE,10,conj,1.01E-14
12,什么,DT,14,det,1.36E-15
13,问题,NN,12,dobj,3.24E-15
14,随时,AD,17,advmod,6.36E-17
15,可以,VV,17,aux:modal,2.86E-15
16,找,VV,12,conj,1.57E-16
17,他们,PN,17,dobj,2.97E-15
18,沟通,VV,20,xcomp,6.03E-17
19,解决,VV,17,ccomp,9.04E-16
20,。,PU,10,punct,
,,,,,
CMU,98,,,,
0,房东,CD,2,dep,4.22E-19
1,人,NN,4,nsubj,8.08E-15
2,很,AD,4,advmod,2.06E-15
3,好,VA,0,root,1.73E-15
4,。,PU,4,punct,
,,,,,
CMU,99,,,,
0,由,P,3,case,1.70E-15
1,正规,JJ,3,amod,3.27E-17
2,公司,NN,4,nmod:prep,2.03E-15
3,管理,VV,0,root,2.55E-15
4,，,PU,4,punct,
5,欢迎,VV,4,conj,1.39E-16
6,发,VV,6,ccomp,6.77E-16
7,邮件,NN,7,dobj,2.05E-17
8,联系,VV,6,conj,6.05E-16
9,咨询,NN,9,dobj,1.20E-16
10,详细,VA,9,conj,1.12E-16
11,。,PU,4,punct,
,,,,,
CMU,100,,,,
0,半夜,NT,4,nmod:tmod,3.50E-18
1,两,CD,4,dep,2.28E-15
2,点,M,2,mark:clf,6.26E-16
3,走在,VV,0,root,
4,街区,NN,4,dobj,3.81E-18
5,都,AD,8,advmod,3.54E-15
6,不,AD,8,neg,8.49E-15
7,怕,VV,4,conj,5.70E-17
8,。,PU,4,punct,
,,,,,
CMU,102,,,,
0,卧室,NN,4,advmod:loc,3.33E-18
1,内,LC,1,case,1.17E-15
2,家具,NN,4,nsubj,1.16E-17
3,齐全,VA,0,root,2.54E-17
4,，,PU,4,punct,
5,标准,NN,7,nsubj,6.70E-16
6,双人,VV,4,conj,1.32E-18
7,床,NN,7,dobj,1.33E-17
8,，,PU,7,punct,
9,拎包,AD,11,advmod,5.06E-20
