Word,Probability
margins,2.554333898037067E-19
sefer,1.3662740763653752E-20
caucasian,5.348396317798323E-20
pouting,9.522211974794069E-21
indonesians,1.6885247611571907E-20
glare,1.0453359449556358E-19
terrestrial,1.628742501237113E-19
impinging,1.910829113771527E-20
diverticula,1.229829146409201E-20
budget,1.0025794343375975E-18
glass,1.9602979250232492E-18
rapists,1.2759874267641721E-20
technologies,4.772739858032005E-19
adorned,1.4151110433403095E-19
sirst,1.5893530406094416E-20
brigid,9.268304692369172E-21
assume,1.480337414632607E-18
luminance,2.4988052663272017E-20
clumsiness,1.4125088993715054E-20
memory,2.3060419988206235E-18
kramer,6.602915061765397E-20
rhinitis,1.9435495662890103E-20
intercede,2.1919457778304537E-20
piezoelectric,2.2353760780981152E-20
disaster,4.414725078742017E-19
dissection,1.106626401274152E-19
dunes,7.501556403433448E-20
currants,1.674269457805324E-20
progeny,8.25092732851711E-20
attends,7.201040769864765E-20
sachem,1.2589429092040684E-20
spitfire,9.310739938171764E-21
shechem,1.1002975487057148E-20
menschenx,1.2669400853971689E-20
kristin,1.646778399215029E-20
transjordan,1.2088932004641698E-20
cursive,1.2711070673262693E-20
affirmations,2.6637699881052486E-20
stylist,1.0845450710971763E-20
earliest,7.281705395874063E-19
stylish,2.918672324995214E-20
tilly,2.9069092503650864E-20
marvel,8.680744931835802E-20
comradeship,2.306227017717005E-20
kilkenny,1.8160938052849583E-20
rebecca,1.3113167590037613E-19
dogmatic,9.149189018635412E-20
funnel,8.150650332086624E-20
oases,2.3442870855793454E-20
ledgers,1.9253017982526858E-20
ected,4.754101416304165E-19
gland,3.019217220704757E-19
extant,1.4544230428050079E-19
candies,1.776224269149217E-20
outings,1.7786705722802614E-20
preliminaries,3.7313991332962686E-20
karate,1.509828287761205E-20
psychol,9.033419789610329E-20
specifically,9.71578435935752E-19
sedulously,1.1261322243249271E-20
vomiting,2.0094451346718615E-19
flowers,1.1578270971680599E-18
flowery,3.046354652246697E-20
suckling,3.054382445500261E-20
lomax,1.5698071092094592E-20
tolstoi,1.5783155903123023E-20
wretch,5.597441611021596E-20
monochromatic,2.614984763962498E-20
eyebrows,1.1887324784900777E-19
yarrow,1.6120035419404362E-20
tolstoy,8.002185144192428E-20
shrimps,1.5546271706315906E-20
sorrows,1.0629897420189657E-19
glans,1.5085515563398714E-20
canceling,1.4454926586089757E-20
mercator,1.2970427792450116E-20
homesickness,1.2581438039259675E-20
introspection,4.4277413096569206E-20
bright,1.1711633988330506E-18
shamrock,9.69320825748345E-21
expansionary,1.5149290900344458E-20
sisal,1.267429958364587E-20
indomethacin,1.229271915908763E-20
congressman,9.089351035665291E-20
cockney,1.6937602784964717E-20
assure,3.8283064160521277E-19
emergent,9.186263217150824E-20
jeanie,1.2685321725412778E-20
candide,1.242694435216019E-20
gracious,1.9602897502681056E-19
candida,3.975496709548618E-20
easement,3.2860801122648395E-20
briggs,7.346980050270711E-20
downtime,1.2741626499605396E-20
earldom,1.7091300428492148E-20
cornucopia,1.0108283746188905E-20
oasis,5.493101730667585E-20
nitrous,5.033692738410793E-20
medusa,2.424460920109411E-20
manila,1.6893480539130579E-19
subcommittees,1.4660611998284436E-20
pastels,1.0312530156541791E-20
frontpage,1.7155779957828556E-20
provencal,1.831022683967025E-20
melchior,1.4348164896253075E-20
unvarying,1.689976009823167E-20
artaxerxes,1.1801315338646343E-20
claimants,6.337437592191293E-20
inductively,1.5730402707944186E-20
tubercle,6.649201933774315E-20
α,1.9072928432879778E-20
β,1.6982671097967183E-20
hounded,1.2513988655058295E-20
methylation,2.394884839701543E-20
jezebel,1.2872851220752522E-20
undressing,1.2861859696046078E-20
channeled,3.095690983477793E-20
tilts,1.2552535534182007E-20
exotic,1.7122967654129684E-19
resistive,2.760593380115437E-20
psychic,2.273347356485111E-19
introduction,2.3063282071018375E-18
overtone,1.0230690753922504E-20
archibald,7.451500571281457E-20
cursing,5.675469189613161E-20
revenge,2.994297382852198E-19
intemperance,3.325600613911295E-20
crescendo,2.5050174678952723E-20
threads,2.054790532071523E-19
manioc,1.3216711426819568E-20
gingerbread,1.710005690778475E-20
overtook,4.228258913912175E-20
demands,1.341294718947275E-18
catecholamines,2.7860330956546686E-20
siren,4.059142518735259E-20
antitumor,1.0735443612725936E-20
trebled,1.1844148606234963E-20
sires,1.3514278637465604E-20
fractionated,1.3282721809179158E-20
noncommissioned,9.873205955949142E-21
retrieval,2.132826683440018E-19
clyde,9.374331572754728E-20
exemplar,3.353312115336928E-20
zheng,1.6226246002152702E-20
memoir,1.4693984594189795E-19
servitude,8.847776305195145E-20
paled,1.686197864561955E-20
carefully,1.5436996355815159E-18
partisanship,3.17134267817738E-20
buyer,3.7317827650638777E-19
shylock,2.133531488171891E-20
в,3.7924709838030745E-20
и,2.4434434975968628E-20
tompkins,2.6874430992557286E-20
policyholders,1.2564629273065143E-20
о,2.2730136305260576E-20
countercurrent,1.0469809996143467E-20
average,3.405410932082476E-18
с,2.883174905093679E-20
substandard,2.336097021905324E-20
beasley,1.3430632828278963E-20
pluralism,1.0195196395727016E-19
technologist,1.2351626383419657E-20
cordage,1.4912008681751314E-20
linkage,1.580747197254324E-19
choosing,4.2041534898679487E-19
journal,3.291145490599124E-18
elijah,9.349305187531755E-20
palau,1.0865566119696369E-20
caledonia,2.968982278749053E-20
leblanc,1.4223277906621923E-20
endpoints,2.0616058897307275E-20
business,7.008148818853058E-18
lucius,5.266161955099055E-20
nonzero,3.0022477149427887E-20
geschichte,6.87115419019332E-20
inscribed,1.6886034470025824E-19
krakow,1.3699450619149648E-20
headquartered,1.5204524077420852E-20
balsam,3.507671087370373E-20
grumble,1.871676016850635E-20
borrow,2.2691763943381503E-19
seeth,9.654202122452785E-21
baal,4.261585584226838E-20
sssr,3.376470859871619E-20
retrieved,1.2002898064738892E-19
plurality,9.307096507976592E-20
baba,6.635855957118218E-20
poignancy,1.2983164489602987E-20
retriever,1.0516347928048187E-20
retrieves,1.535895653039941E-20
tautology,1.51142343661136E-20
rockwell,3.445579688750128E-20
digestibility,1.7327235496424896E-20
chartered,9.798053319335111E-20
journey,1.1226885704492802E-18
leaching,4.7777586065832035E-20
aramaic,3.6315875161848295E-20
charterer,1.1808051091948342E-20
acceded,2.909141234072885E-20
pasteur,5.492363859510412E-20
narrowing,9.1522721566241E-20
pluralist,2.982456847059097E-20
vigilante,1.1444381647761324E-20
calving,1.1912363416947934E-20
pumped,9.075692764992465E-20
countermeasures,1.905305796063888E-20
back,1.2447391833522585E-17
bach,1.39385361826041E-19
resisting,1.3894870130970869E-19
heeded,3.143563819218727E-20
paler,3.686921729560751E-20
pales,1.0667810526161773E-20
paley,2.9647938648776285E-20
engagements,1.220050975808931E-19
robins,4.6118845581093866E-20
glencoe,3.338484272954391E-20
hardwick,1.5780032962955736E-20
paleo,9.313342388311174E-21
bact,1.1357735366649248E-20
billions,9.544629786465539E-20
massaged,1.1996560333222921E-20
relax,2.070079467384642E-19
bridgman,1.3023395307052198E-20
relay,1.4093470755374263E-19
checkpoints,1.2577825226124967E-20
bournemouth,1.1036837955929925E-20
cloudiness,1.1706769855934648E-20
babe,8.077781728183181E-20
raccoon,1.8546896717054123E-20
dimensionless,4.475412072798795E-20
baby,1.2563907016608806E-18
fiendish,1.3295856528118056E-20
babu,2.1709669680007734E-20
showing,1.5528420429212586E-18
sired,9.438076292640009E-21
gladys,4.2812846009291387E-20
angora,1.0491517492012182E-20
baer,3.021410933086976E-20
suzanne,6.327487047540613E-20
industrialized,1.1435496576814779E-19
relic,6.707340669888706E-20
colliding,1.9108321754775737E-20
attempt,2.612368964784727E-18
tiles,1.1962664185583635E-19
conciliating,1.0218107142071951E-20
groningen,2.0236437964618705E-20
chloe,3.301633578980364E-20
frayed,2.288025175271376E-20
immaculate,5.301469549225715E-20
conciliation,9.331427885927041E-20
filmed,4.4978941802972396E-20
yielded,3.1381023479732245E-19
curry,6.95538172352877E-20
inorganic,1.6602783796852582E-19
bade,1.0830708596358524E-19
zechariah,2.3481172798433457E-20
hoping,3.5701451992464137E-19
alcott,2.614017264851847E-20
schwartz,1.2178480783085727E-19
merchantmen,1.7107098831691382E-20
substratum,4.196692724574171E-20
palma,2.982741585721409E-20
sideline,1.4088807777065652E-20
curse,2.327700293073173E-19
maniac,2.1113402427478506E-20
littleness,1.0028220133076509E-20
joyce,2.0250347295187334E-19
nobility,2.911745215065317E-19
mechanistic,5.3948975092304866E-20
imperious,4.4146310843663936E-20
ellie,3.6136489804591875E-20
curve,1.2102569455713409E-18
bags,2.7350201741925843E-19
extraneous,6.68530557147303E-20
cultivating,8.774374964439635E-20
overhanging,4.288519412316695E-20
bauman,1.985329606997682E-20
ellis,2.212036386736084E-19
entitious,2.2734055288999918E-20
bagh,1.1638187640496114E-20
preoperative,6.568666817930778E-20
brewers,2.5081006058839602E-20
condemnation,1.9369497527354698E-19
seemeth,1.179093615514917E-20
brewery,4.032175011878893E-20
pavement,1.492501787074231E-19
alcove,2.2842439683041176E-20
ogle,1.378563764435477E-20
irregularity,6.918273846246849E-20
cultivation,4.978370465688453E-19
dully,1.2939933200228338E-20
deerfield,1.2804881346523259E-20
microorganisms,1.168891092456621E-19
deriving,1.0214384107519573E-19
comings,1.8464322504983708E-20
pampered,1.9459928077140083E-20
commonalities,1.5004502821411946E-20
insincere,2.0407679183791798E-20
fortiori,1.4924837230085575E-20
colitis,5.025842524107918E-20
bait,1.0759851533327542E-19
perjured,9.261905726732273E-21
inspections,6.533634777348291E-20
networking,1.0576531883801548E-19
nostrils,9.869011418665624E-20
bain,3.6699996802425015E-20
galena,2.888771703746431E-20
bail,1.0544947324227266E-19
palpi,9.632433392463142E-21
headship,1.54101482554946E-20
revenue,1.0596281418653613E-18
sufficiency,1.1500717039014408E-19
tilak,2.0342128057339163E-20
filmic,9.352409757462768E-21
baja,2.7164007150422314E-20
bilingual,1.14243244114516E-19
compositor,1.1287989702913094E-20
macaque,9.97681408855807E-21
baht,1.231699848803529E-20
bahr,1.7894692095057842E-20
denominators,1.2685138023049996E-20
storehouse,3.756254062980645E-20
messengers,1.0772251442815313E-19
utilising,1.7630252543833456E-20
shimmered,9.825351490444484E-21
soloist,2.187708376662287E-20
informations,1.9399061360938382E-20
paraplegia,1.5413240578601427E-20
baku,1.9740900841014828E-20
bakr,1.4745451872829158E-20
fidelity,2.0405027746355648E-19
ellen,2.4094233508626986E-19
angola,8.116671518384086E-20
sennacherib,1.2719582216071582E-20
balk,1.3777615974513298E-20
eller,1.3556346478542634E-20
ball,1.1048553574116333E-18
elles,2.1297778365590496E-20
bali,4.437964346145727E-20
germinated,1.3434613046139234E-20
bale,4.3560208455208635E-20
threats,3.468856615138209E-19
palms,1.659130239917872E-19
bald,1.1759373027517213E-19
ellex,2.6755055073809586E-20
polyurethane,1.9128222844077098E-20
bala,1.5195430810463152E-20
spindle,1.1237147012307188E-19
hostilities,1.6417069893198333E-19
tiled,3.3482939791269386E-20
toilsome,1.2290177943069148E-20
gregory,3.2100475413330846E-19
nederland,1.0678648965565898E-20
waving,1.554967020002737E-19
symbolization,1.0863943415491796E-20
winnings,1.32987651488621E-20
admittance,4.988612178584142E-20
interorganizational,9.534826203705085E-21
freeing,7.210207517767576E-20
bestseller,1.2328571736890542E-20
bake,1.0011068455804782E-19
interagency,1.9594796228482378E-20
albemarle,2.715721016299939E-20
incorrigible,2.2368120182338594E-20
trees,2.0217971590770674E-18
garfield,5.622948684093847E-20
vacillation,1.5569265118724094E-20
hiding,2.739436072823254E-19
predicate,1.5569491684971526E-19
elmer,5.464343125774096E-20
bank,3.297917494500712E-18
supernova,1.5492110126355743E-20
bani,1.1252014656868327E-20
bang,1.0610400476086417E-19
bane,2.984006070318557E-20
banc,1.1646699183305003E-20
band,1.2408859466885533E-18
beneficent,6.227179434049663E-20
erskine,4.9184684930619614E-20
koran,6.794764624336559E-20
hamster,2.807939602416397E-20
hijacking,1.1394537073326533E-20
shortcoming,2.347030374196887E-20
allied,5.320696144685062E-19
unruffled,1.4065263257569118E-20
coventry,5.679480024533896E-20
balm,3.351493461945388E-20
vastly,1.3253690712447543E-19
disobeyed,2.2147830432302766E-20
regained,1.0971191916589853E-19
alternator,2.0366774791012387E-20
allies,5.8312595092232805E-19
moent,3.0967800323184837E-19
ogre,1.4838313417215352E-20
evangelicalism,1.367088490173708E-20
endows,1.2125182604230638E-20
wiping,6.539078490698725E-20
alderman,5.630902996402298E-20
freighted,1.1327608179153034E-20
masseter,9.768893630949549E-21
uproar,5.342998530038585E-20
fitzherbert,9.270784674266726E-21
freighter,1.797359225987262E-20
warbler,2.6727897741178345E-20
campsites,1.398660802923805E-20
stat,1.6732679737575585E-19
twinkle,3.152751999063863E-20
atrocity,2.3865171970768325E-20
star,1.1130045779269964E-18
childhood,8.53519020170928E-19
bans,2.119343542353044E-20
gordon,4.694397536058874E-19
misrule,1.4393539379860177E-20
stay,1.7880886862494792E-18
stag,4.801728703220181E-20
lucien,4.959917869517626E-20
stab,5.195767209681073E-20
inspire,1.5588569175346415E-19
stan,7.572437960112802E-20
progress,2.3765965652942254E-18
seeks,4.3324983703078645E-19
bara,1.1165062205151613E-20
confederated,9.328344747938354E-21
barb,3.342485922756988E-20
delectable,1.842700030827854E-20
treas,1.787172929971012E-20
treat,8.437799169398095E-19
politique,4.4769827280005793E-20
stds,1.3520340815437403E-20
uninsured,2.216718041451578E-20
hexagon,1.5383572647012167E-20
affectation,4.4367549722574134E-20
barr,6.156809182280052E-20
nominate,5.146715617112289E-20
tread,1.059819957749166E-19
confederates,9.55763591375049E-20
imperil,1.0846614159269381E-20
barn,2.192901030116919E-19
bark,3.1792051393044404E-19
dumas,4.652051079731625E-20
bari,2.6134600343514093E-20
bare,5.670895306950498E-19
bard,6.581777043221306E-20
woodbury,2.1802439373212535E-20
tractors,5.843400704550133E-20
redesigned,1.825214627597074E-20
seeds,5.926695642223862E-19
apportioned,3.884092537240492E-20
stumps,4.3401703933188414E-20
bapu,1.2382886402153024E-20
seedy,1.3708360183744564E-20
duress,2.9712938668140575E-20
korea,5.719360888982009E-19
ferromagnetic,2.0175265077812372E-20
calicut,1.0359711046716247E-20
striations,1.3570491560476833E-20
smithy,1.1875837263814821E-20
tyrosine,5.723207310288056E-20
smiths,3.1330989079522576E-20
milking,4.3085919571566515E-20
colombian,4.5129761442816243E-20
admin,3.404081324997722E-20
bast,1.6583638948944673E-20
auction,1.4331193859638084E-19
basu,1.514919904916307E-20
bats,7.543709972279776E-20
admit,8.405070756444891E-19
downloads,9.779823921535064E-21
pamela,6.735278737561769E-20
uneven,1.3395873279534601E-19
bath,5.641339433802537E-19
bate,1.9510936099872492E-20
stew,6.071764173430223E-20
westinghouse,3.694554562734334E-20
postwar,2.394236064190319E-19
palpitation,1.4322813970189188E-20
antidepressants,4.072096597017422E-20
informatics,2.0307928800801286E-20
bars,4.928985453331219E-19
bart,7.415023405445087E-20
bass,2.7649774370032246E-19
biomed,1.1118432422065503E-20
eagerly,2.1542699540769317E-19
lucian,3.3519802732067603E-20
ster,5.054325575457234E-20
milton,3.7310651011666104E-19
abacus,1.4869206031223157E-20
bask,1.4004763946092982E-20
step,2.8630861944457973E-18
bash,1.568808993038345E-20
base,2.6489182950326107E-18
stem,5.504823778436691E-19
mussulman,1.551899190544281E-20
trend,6.845901544893521E-19
ragtime,1.5079973875454798E-20
subtypes,3.2178101908430336E-20
seeps,9.620982611849744E-21
invoices,3.6948791035752487E-20
nonviolence,2.4914694186401153E-20
baud,1.5122194801834147E-20
pondicherry,1.9181649614586135E-20
renting,4.490273593947842E-20
tragedies,8.712121295398932E-20
baur,1.387280441549473E-20
priceless,4.726276019413607E-20
hydrogenated,1.2388397473036478E-20
trent,9.865928280676936E-20
dedicatory,1.2936963345363366E-20
betsey,1.239093868905496E-20
baum,3.134531786381956E-20
missionary,4.819526706638294E-19
topeka,2.789195838000562E-20
forehead,3.170009917535398E-19
seers,2.816928771368519E-20
northerners,2.7493569189252844E-20
across,3.856816747202317E-18
unwise,8.696656618158752E-20
unacknowledged,1.8463342759048873E-20
solitude,1.8312547612853395E-19
computationally,1.5733739967534724E-20
meissner,1.3151527705092497E-20
removals,1.798749240532311E-20
disputations,1.3647922106389357E-20
stephan,2.811720809383656E-20
uniquely,1.1177728483065419E-19
seest,1.2814586954690231E-20
pynchon,1.0365405819962483E-20
phantasies,1.1506534280502498E-20
stir,3.060239182996349E-19
escort,1.569676068190675E-19
hospitals,5.051911420239677E-19
lucile,9.306759720311493E-21
christological,1.6974557576944323E-20
existence,2.7275579392799044E-18
utopianism,1.0430589541689555E-20
whooping,2.894380749223368E-20
hering,1.1074864345025755E-20
boycotts,1.9413420762295824E-20
pleasantries,1.112522940948843E-20
interrogatory,1.0938802128325376E-20
seemd,1.0262746816227926E-20
visitors,5.339522575164149E-19
inspite,1.1528088691068894E-20
bays,8.591422719639203E-20
seems,4.853485068144443E-18
honored,1.9018907691397746E-19
unwind,1.0803750274620297E-20
enmity,8.761356590330499E-20
sojourn,6.293401074126452E-20
virago,9.838853614108947E-21
provenance,4.44734847517783E-20
cubist,1.3863802999718423E-20
alcock,1.2930564379726467E-20
cubism,1.8798079081097757E-20
martyr,1.3185941281053618E-19
biodiversity,6.549822017215413E-20
stephen,6.128657407524952E-19
martyn,1.840431306647499E-20
moroccan,4.093329528448951E-20
darlene,1.3663536807225807E-20
frederick,5.338147562978727E-19
cloaked,1.7254213807219134E-20
cubits,2.0339525607199755E-20
uproot,1.1836188170514418E-20
temporary,8.625777204673631E-19
hollowness,9.92369348865367E-21
philosophizing,1.363092963783204E-20
cultivates,1.491197806469085E-20
dammed,1.3244174930055445E-20
pectin,1.5836276503027425E-20
lxiii,9.4337899041751E-21
zimmerman,4.614973819510167E-20
nongovernmental,2.708219836486349E-20
toughness,5.3860246851081265E-20
hermit,7.321197423654288E-20
osier,1.2063244290912711E-20
sanctuary,2.0125711365451984E-19
slumbering,1.8821470515291972E-20
sv40,1.1453566765900414E-20
flathead,1.0227414728452896E-20
planning,2.3403020608405807E-18
docking,2.164656791839219E-20
staunch,5.2269108835846795E-20
stop,2.0105806602103365E-18
flirt,2.062882621152061E-20
retroactive,2.7436988861516056E-20
stow,3.0850668634969125E-20
cocteau,1.4807328952026157E-20
nashville,1.3167913955852632E-19
peaches,5.619210341011238E-20
evaporates,2.1616012092049482E-20
quarterback,2.2303701887123112E-20
britannica,3.955519077596098E-20
anthropologists,1.006485650762729E-19
antietam,1.4260171464480597E-20
obelisk,2.1674123272809457E-20
sayers,1.7594859221937497E-20
cultivated,4.385843699436068E-19
skinning,1.0994402710127331E-20
intraperitoneal,1.8020681298865687E-20
munster,3.4624343805353575E-20
antidepressant,3.2353109026040454E-20
zooplankton,2.3637779062704935E-20
loops,1.5201851208042375E-19
tyrone,3.088388814557216E-20
characterize,2.0061639043019742E-19
equipments,2.65363267938574E-20
deepens,2.085309617941671E-20
flips,1.0831183160795712E-20
tearing,1.2339410176294668E-19
percival,3.7418211806780885E-20
counterfactual,1.3476252248369773E-20
evaporated,8.478604975242814E-20
cholinesterase,1.3760347952411812E-20
stud,7.797513156699097E-20
amity,3.569820658405499E-20
antrum,1.7825436304289107E-20
ohio,8.117624627476319E-19
fling,5.006501727013042E-20
stun,9.538653336263039E-21
mcintosh,2.9070715207855434E-20
bifurcation,4.3098288863993826E-20
mesenchyme,1.2502966513291388E-20
nitrogenous,3.5556633296471155E-20
latour,1.936051448181467E-20
complements,5.1154862154393846E-20
